交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,3.165,3.175,3.055,3.075,9868992
2006-12-13,3.14,3.18,3.115,3.18,8070076
2006-12-14,3.18,3.215,3.15,3.16,7922712
2006-12-15,3.18,3.185,3.12,3.13,7609084
2006-12-18,3.13,3.145,3.02,3.05,6893320
2006-12-19,3.025,3.095,2.985,3.085,8664432
2006-12-20,3.09,3.095,2.995,3.025,5399604
2006-12-21,3.025,3.055,2.935,2.96,8623664
2006-12-22,2.98,3.0,2.915,2.935,5908756
2006-12-26,2.935,2.95,2.89,2.915,4673424
2006-12-27,2.79,2.93,2.74,2.915,17889760
2006-12-28,2.865,2.925,2.845,2.885,10324328
2006-12-29,3.0,3.05,2.975,3.025,9717092
2007-01-03,3.08,3.09,2.925,2.99,11689748
2007-01-04,3.005,3.07,2.995,3.06,7814632
2007-01-05,3.065,3.08,3.015,3.035,7744156
2007-01-08,3.07,3.175,3.045,3.05,7698572
2007-01-09,3.09,3.32,3.04,3.305,32562880
2007-01-10,3.385,3.495,3.34,3.47,27270768
2007-01-11,3.425,3.53,3.395,3.425,13723024
2007-01-12,3.38,3.395,3.33,3.38,12513452
2007-01-16,3.42,3.475,3.41,3.465,11585308
2007-01-17,3.485,3.485,3.385,3.395,12120304
2007-01-18,3.29,3.29,3.18,3.18,21956900
2007-01-19,3.165,3.2,3.145,3.16,13260072
2007-01-22,3.185,3.185,3.06,3.1,13896568
2007-01-23,3.065,3.125,3.055,3.065,11621568
2007-01-24,3.095,3.115,3.075,3.095,8619072
2007-01-25,3.11,3.16,3.075,3.08,8825320
2007-01-26,3.11,3.12,3.035,3.05,9507288
2007-01-29,3.08,3.095,3.055,3.07,8438052
2007-01-30,3.09,3.09,3.045,3.055,5516784
2007-01-31,3.03,3.07,2.955,3.065,8255324
2007-02-01,3.08,3.19,3.025,3.025,6425048
2007-02-02,3.0,3.045,2.99,3.025,5853092
2007-02-05,3.01,3.045,3.0,3.0,5480104
2007-02-06,3.015,3.015,2.96,3.005,8344112
2007-02-07,3.02,3.085,2.985,3.075,10100132
2007-02-08,3.05,3.09,3.05,3.075,6450052
2007-02-09,3.07,3.08,2.97,2.975,8153376
2007-02-12,3.015,3.04,2.985,3.035,6924344
2007-02-13,3.04,3.045,3.01,3.025,5504492
2007-02-14,3.02,3.06,3.015,3.045,4819724
2007-02-15,3.045,3.085,3.03,3.045,3443776
2007-02-16,3.045,3.05,3.025,3.03,3749088
2007-02-20,3.025,3.075,3.005,3.07,5702480
2007-02-21,3.07,3.195,3.07,3.185,11160576
2007-02-22,3.245,3.245,3.16,3.195,7799064
2007-02-23,3.19,3.225,3.07,3.18,4956140
2007-02-26,3.21,3.215,3.13,3.16,5759936
2007-02-27,3.08,3.11,2.98,3.0,10860724
2007-02-28,3.02,3.055,2.965,3.02,8865668
2007-03-01,3.0,3.155,2.99,3.11,13470576
2007-03-02,3.1,3.125,3.045,3.05,8226932
2007-03-05,3.07,3.165,3.065,3.08,7905324
2007-03-06,3.135,3.155,3.12,3.15,6862352
2007-03-07,3.145,3.175,3.125,3.135,5770240
2007-03-08,3.165,3.17,3.125,3.14,4872336
2007-03-09,3.17,3.175,3.12,3.14,4244408
2007-03-12,3.145,3.215,3.06,3.21,7021084
2007-03-13,3.195,3.235,3.16,3.16,8417500
