交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,22.945,22.98,22.815,22.965,58746
2006-12-13,22.97,23.075,22.905,22.955,51274
2006-12-14,23.025,23.155,22.97,23.02,63471
2006-12-15,23.015,23.28,22.92,23.2,114244
2006-12-18,23.11,23.13,22.895,23.035,65880
2006-12-19,23.06,23.12,22.905,23.11,66152
2006-12-20,23.025,23.145,22.695,22.965,49991
2006-12-21,22.9,22.97,22.71,22.925,64566
2006-12-22,22.98,22.99,22.815,22.87,60135
2006-12-26,22.83,23.1,22.81,23.09,50597
2006-12-27,23.205,23.435,23.155,23.435,115092
2006-12-28,23.325,23.495,23.28,23.4,65855
2006-12-29,23.35,23.44,23.205,23.315,71278
2007-01-03,23.365,23.68,23.325,23.44,104242
2007-01-04,23.475,24.04,23.43,23.895,187147
2007-01-05,23.875,23.925,23.575,23.855,139623
2007-01-08,23.84,23.985,23.755,23.96,100643
2007-01-09,23.995,24.24,23.925,24.165,158988
2007-01-10,24.03,24.135,23.925,24.11,117719
2007-01-11,24.135,24.395,24.005,24.085,119623
2007-01-12,23.96,24.16,23.93,24.14,109450
2007-01-16,24.17,24.345,24.105,24.205,114802
2007-01-17,24.23,24.69,24.19,24.66,156223
2007-01-18,24.88,25.32,24.865,25.275,255385
2007-01-19,25.525,25.72,25.43,25.605,227136
2007-01-22,25.455,25.58,25.35,25.52,136198
2007-01-23,25.41,25.625,25.36,25.565,154528
2007-01-24,25.54,25.765,25.305,25.64,147650
2007-01-25,25.41,25.6,25.085,25.175,168618
2007-01-26,25.215,25.245,24.86,25.145,122723
2007-01-29,24.84,25.24,24.65,25.2,168198
2007-01-30,25.24,25.465,25.225,25.445,130315
2007-01-31,25.24,25.475,25.155,25.365,109007
2007-02-01,25.12,25.35,24.99,25.305,104576
2007-02-02,25.145,25.36,25.095,25.205,93301
2007-02-05,25.075,25.195,24.97,25.11,66305
2007-02-06,25.215,25.24,24.98,25.105,66351
2007-02-07,25.12,25.185,24.965,25.095,63485
2007-02-09,25.05,25.185,24.95,25.035,75009
2007-02-12,25.045,25.255,24.995,25.245,81582
2007-02-13,25.19,25.26,25.13,25.235,60206
2007-02-14,25.215,25.445,25.205,25.22,83040
2007-02-15,25.16,25.31,24.92,25.27,51939
2007-02-16,25.135,25.265,25.015,25.125,75609
2007-02-20,25.115,25.205,25.015,25.17,91398
2007-02-21,25.12,25.255,25.07,25.215,83692
2007-02-22,25.22,25.69,25.195,25.65,133573
2007-02-23,25.515,25.73,25.455,25.65,99113
2007-02-26,25.67,26.155,25.595,26.07,154570
2007-02-27,25.875,26.27,25.075,25.76,216204
2007-02-28,25.635,26.345,25.475,26.125,231834
2007-03-01,25.72,26.175,25.565,25.755,196148
2007-03-02,25.615,25.67,25.16,25.36,152838
2007-03-05,25.265,25.645,25.225,25.245,141502
2007-03-06,25.36,25.4,25.06,25.285,182470
2007-03-07,25.195,25.355,25.145,25.22,161870
2007-03-08,25.21,25.635,25.065,25.55,160117
2007-03-09,25.815,26.06,25.72,26.015,205991
2007-03-12,26.05,26.08,25.955,26.015,128549
2007-03-13,25.84,26.18,25.825,25.845,161749
2007-03-14,25.935,25.97,23.98,25.725,150183
2007-03-15,25.68,25.84,25.52,25.65,96321
2007-03-16,25.57,25.6,25.265,25.3,167598
2007-03-19,25.37,25.495,25.305,25.445,99076
2007-03-20,25.475,26.07,25.375,26.055,164578
2007-03-21,25.985,26.22,25.935,26.16,126888
2007-03-22,25.875,26.28,25.845,26.08,121851
2007-03-23,26.14,26.155,25.72,25.775,119341
2007-03-26,26.355,27.4,26.34,27.385,451745
2007-03-27,27.18,27.385,26.995,27.1,283818
2007-03-28,26.91,27.04,26.56,26.68,154374
2007-03-29,26.325,26.87,26.32,26.705,169044
2007-03-30,26.555,26.83,26.515,26.68,108466
2007-04-02,26.7,26.915,26.395,26.69,118503
2007-04-03,26.8,27.15,26.785,27.14,122219
2007-04-04,27.09,27.255,26.855,26.925,98528
2007-04-05,26.975,27.325,26.94,27.285,96614
2007-04-09,27.3,27.5,27.18,27.385,104608
2007-04-10,27.375,27.43,27.225,27.31,100555
2007-04-11,27.155,27.52,26.875,27.28,131161
2007-04-12,27.18,27.535,27.165,27.47,93878
2007-04-13,27.535,28.07,27.48,27.985,143590
2007-04-16,28.13,28.255,28.06,28.19,80894
2007-04-17,28.065,28.425,28.065,28.235,117730
2007-04-18,27.42,28.04,27.275,27.76,240217
2007-04-19,27.655,27.86,27.235,27.39,159740
2007-04-20,27.72,27.75,27.375,27.705,142662
2007-04-23,27.515,27.655,27.32,27.385,100702
2007-04-24,27.315,27.405,27.06,27.375,105297
