交易日期,开盘价,最高价,最低价,收盘价,成交量
2011-01-24,12.75,12.75,12.75,12.75,10
2011-01-28,12.65,12.65,12.65,12.65,6
2011-01-31,12.2843,12.2843,12.2843,12.2843,0
2011-02-02,12.85,12.85,12.85,12.85,1
2011-02-03,12.25,12.85,12.25,12.85,7
2011-02-04,13.0,13.0,12.8,12.8,3
2011-02-07,12.0,12.0,12.0,12.0,9
2011-02-08,12.5,12.5,12.38,12.38,13
2011-02-09,12.25,12.25,12.25,12.25,9
2011-02-11,11.4,11.8,11.4,11.8,3
2011-02-17,12.75,12.75,12.75,12.75,4
2011-02-18,12.75,12.75,12.25,12.25,25
2011-02-22,12.5,12.5,12.5,12.5,4
2011-02-23,12.4,12.4,11.5,11.8,16
2011-02-24,12.25,12.25,12.25,12.25,15
2011-02-28,12.56,12.56,12.56,12.56,3
2011-03-01,12.25,12.75,12.25,12.7,6
2011-03-02,13.0,13.0,12.91,12.91,6
2011-03-04,13.21,13.21,13.21,13.21,2
2011-03-08,12.9,13.35,12.9,13.3,20
2011-03-09,13.12,13.55,13.12,13.5,9
2011-03-10,13.45,13.45,13.4,13.4,9
2011-03-11,13.25,13.25,13.25,13.25,10
2011-03-14,13.3,13.3,13.3,13.3,2
2011-03-15,13.5,13.5,13.36,13.36,21
2011-03-16,13.5,13.5,13.5,13.5,2
2011-03-17,13.25,13.25,13.25,13.25,1
2011-03-21,13.32,13.32,13.32,13.32,8
2011-03-23,13.15,13.25,13.15,13.25,6
2011-03-24,13.5,13.5,13.5,13.5,8
2011-03-25,13.75,13.75,13.75,13.75,416
2011-03-28,13.75,13.75,13.25,13.25,22
2011-03-29,13.5,13.65,13.5,13.65,6
2011-03-30,14.0,14.0,13.95,13.95,12
2011-03-31,14.4,14.4,14.0,14.0,9
2011-04-01,14.65,14.65,14.65,14.65,2
2011-04-04,14.61,14.75,14.61,14.75,39
2011-04-05,14.62,14.8,14.58,14.8,15
2011-04-06,14.75,15.05,14.75,14.75,31
2011-04-07,14.45,14.5,14.45,14.5,16
2011-04-08,14.64,14.64,14.64,14.64,17
2011-04-11,14.89,14.89,14.75,14.75,7
2011-04-12,14.95,14.95,14.95,14.95,1
2011-04-13,15.0,15.0,15.0,15.0,7
2011-04-14,15.0,15.0,15.0,15.0,12
2011-04-15,15.0,15.0,15.0,15.0,2
2011-04-18,14.78,14.85,14.24,14.24,16
2011-04-19,14.85,14.85,14.85,14.85,3
2011-04-20,15.49,15.49,14.71,14.71,9
2011-04-21,15.1388,15.56,14.81,15.01,104
2011-04-27,15.0,15.63,15.0,15.63,31
2011-04-28,15.0,15.0,15.0,15.0,4
2011-04-29,15.18,15.18,14.99,14.99,13
2011-05-02,15.0,15.05,14.99,14.99,18
2011-05-03,15.05,15.05,14.99,14.99,5
2011-05-04,14.76,14.76,14.2,14.2,15
2011-05-05,14.89,14.89,14.66,14.66,7
2011-05-06,14.95,14.95,14.91,14.95,4
2011-05-09,14.97,14.97,14.97,14.97,9
2011-05-10,14.97,14.97,14.8,14.97,18
2011-05-11,14.86,14.86,14.86,14.86,2
2011-05-12,14.65,14.75,14.65,14.75,5
2011-05-13,14.75,14.75,14.39,14.67,4
2011-05-16,14.55,14.74,14.55,14.74,5
2011-05-17,14.64,14.64,14.64,14.64,1
2011-05-18,15.0,15.07,15.0,15.07,7
2011-05-19,15.07,15.07,15.07,15.07,4
2011-05-20,15.02,15.02,15.02,15.02,19
2011-05-23,14.6,14.64,14.32,14.64,10
2011-05-24,14.9,14.9,14.9,14.9,8
2011-05-25,14.87,14.87,14.87,14.87,14
2011-05-26,14.75,14.8,14.75,14.8,9
2011-05-27,15.0,15.0,14.75,15.0,34
2011-05-31,15.12,15.5,15.12,15.5,3
2011-06-01,15.0,15.0,15.0,15.0,1
2011-06-02,14.05,14.4,14.05,14.4,12
2011-06-03,14.02,14.1,14.02,14.1,4
2011-06-06,14.0,14.05,14.0,14.05,45
2011-06-07,14.15,14.15,14.0,14.0,21
2011-06-08,13.6,14.07,13.6,14.05,66
2011-06-09,13.3,13.3,13.3,13.3,1
2011-06-10,13.15,13.15,13.14,13.14,8
2011-06-13,13.47,13.47,13.45,13.45,2
2011-06-14,13.45,13.45,13.45,13.45,14
2011-06-15,13.3,13.34,13.23,13.23,6
2011-06-16,12.99,13.09,12.99,13.09,3
2011-06-17,13.06,13.11,13.06,13.07,13
2011-06-20,12.82,12.82,12.82,12.82,11
2011-06-21,12.83,12.83,12.8,12.8,7
2011-06-22,12.5,12.5,12.47,12.47,20
2011-06-23,12.1,12.16,12.1,12.16,10
2011-06-24,12.74,12.98,12.74,12.98,9
2011-06-27,12.86,13.2,12.86,13.2,5
2011-06-28,13.29,13.34,13.29,13.34,16
2011-06-29,13.08,13.08,13.08,13.08,5
2011-06-30,13.34,13.34,13.34,13.34,10
2011-07-01,13.42,13.42,13.42,13.42,1
2011-07-05,13.6,13.6,13.6,13.6,2
