交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,34.42,34.55,34.18,34.19,15635
2006-12-12,34.31,34.77,34.05,34.57,14654
2006-12-13,34.64,34.82,34.37,34.72,10754
2006-12-14,34.86,35.18,34.8,34.97,10543
2006-12-15,34.92,35.12,34.71,34.85,15757
2006-12-18,35.0,35.39,34.53,34.54,14214
2006-12-19,34.42,34.78,34.01,34.62,15856
2006-12-20,34.6,35.18,34.6,35.14,13759
2006-12-21,37.29,38.0,36.07,36.62,71952
2006-12-22,36.67,36.74,36.3,36.45,16613
2006-12-26,36.28,36.44,36.04,36.33,13487
2006-12-27,36.22,36.72,36.22,36.54,17470
2006-12-28,36.38,37.28,36.37,37.21,21121
2006-12-29,37.05,37.32,36.9,37.0,19012
2007-01-03,36.55,37.0,36.17,36.29,24887
2007-01-04,36.12,37.23,36.0,37.2,23080
2007-01-05,36.75,36.99,36.45,36.65,16793
2007-01-08,36.51,37.38,36.51,37.21,21242
2007-01-09,37.1,37.45,36.85,37.13,26010
2007-01-10,36.82,37.4,36.74,37.34,21569
2007-01-11,37.24,37.38,37.0,37.21,23888
2007-01-12,37.19,37.98,37.15,37.96,36477
2007-01-16,37.51,37.66,37.0,37.11,31012
2007-01-17,37.3,37.86,37.29,37.52,30942
2007-01-18,37.52,37.7,37.07,37.15,39164
2007-01-19,37.2,37.23,36.6,36.75,34802
2007-01-22,36.75,36.79,36.49,36.67,30961
2007-01-23,36.7,37.2,36.63,36.81,26102
2007-01-24,36.68,36.9,36.34,36.75,31297
2007-01-25,36.9,37.12,36.37,36.58,26357
2007-01-26,36.68,36.78,35.91,36.58,18479
2007-01-29,36.37,36.94,36.31,36.92,21400
2007-01-30,36.85,37.23,36.75,37.05,21251
2007-01-31,37.0,37.86,36.89,37.7,33911
2007-02-01,37.74,38.07,37.64,38.07,30647
2007-02-02,38.09,38.6,38.09,38.56,24811
2007-02-05,38.73,38.8,38.14,38.66,25415
2007-02-06,38.58,38.74,38.46,38.55,22172
2007-02-07,38.5,39.1,38.44,39.1,20793
2007-02-09,38.84,38.93,38.48,38.76,16749
2007-02-12,38.3,38.68,38.16,38.38,25778
2007-02-13,38.69,38.8,38.43,38.74,20496
2007-02-14,38.72,39.25,38.69,39.2,23933
2007-02-15,38.95,39.13,38.75,38.83,19008
2007-02-16,38.83,38.99,38.46,38.75,27220
2007-02-20,38.56,39.05,38.56,38.82,16553
2007-02-21,38.75,38.76,38.4,38.47,18660
2007-02-22,38.42,38.45,38.12,38.32,37544
2007-02-23,38.17,38.37,37.95,38.28,22571
2007-02-26,38.25,38.49,37.8,37.96,21277
2007-02-27,37.32,37.4,36.5,36.99,19725
2007-02-28,37.67,37.67,35.3,35.72,58673
2007-03-01,35.05,35.53,34.67,35.24,41219
2007-03-02,35.75,35.95,35.36,35.75,34821
2007-03-05,36.65,36.65,34.9,34.94,25831
2007-03-06,34.29,35.85,34.28,35.27,32852
2007-03-07,35.4,35.46,34.98,35.13,24829
2007-03-08,35.5,35.93,35.37,35.74,15115
2007-03-09,35.99,36.46,35.8,36.15,24821
2007-03-12,35.93,36.69,35.73,36.37,18860
2007-03-13,36.1,36.15,35.54,35.64,15198
2007-03-14,35.55,35.9,35.24,35.46,22501
2007-03-15,35.38,35.5,34.92,34.99,23279
2007-03-16,34.97,35.31,34.63,35.23,24863
2007-03-19,35.25,35.87,35.2,35.73,14243
2007-03-20,35.95,36.5,35.62,36.34,19976
2007-03-21,36.28,36.71,36.17,36.64,16200
2007-03-22,35.73,37.51,35.73,36.69,16743
2007-03-23,36.41,36.92,36.3,36.39,17504
2007-03-26,37.35,37.35,36.3,36.72,27370
2007-03-27,36.81,36.98,36.23,36.32,36311
2007-03-28,37.0,37.77,36.72,37.65,70865
2007-03-29,37.77,38.68,37.76,38.65,37804
2007-03-30,38.6,38.95,38.22,38.57,25304
2007-04-02,38.37,39.05,38.37,38.77,28305
2007-04-03,38.74,38.8,38.48,38.53,20622
2007-04-04,38.06,38.75,38.0,38.68,28039
2007-04-05,38.52,38.83,38.52,38.64,14195
2007-04-09,38.35,38.58,38.1,38.34,21995
2007-04-10,38.33,38.6,38.0,38.12,22296
2007-04-11,38.02,38.34,37.73,38.2,41765
2007-04-12,38.0,38.5,37.57,38.45,33312
2007-04-13,39.25,39.25,38.25,38.68,18901
2007-04-16,38.7,38.8,38.48,38.79,18494
2007-04-17,38.75,39.0,38.74,38.92,20392
2007-04-18,38.58,38.88,38.3,38.65,26091
2007-04-19,38.56,38.75,38.2,38.3,17938
2007-04-20,38.5,38.63,38.27,38.51,23791
2007-04-23,38.42,38.83,38.41,38.59,12305
