交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,39.95,40.09,39.34,39.99,45160
2006-12-13,40.57,40.75,39.53,40.29,40039
2006-12-14,40.54,41.59,40.05,40.76,100939
2006-12-15,43.17,43.27,42.22,42.78,187118
2006-12-18,42.44,42.55,41.05,41.3,73288
2006-12-19,40.8,41.55,40.45,41.44,50769
2006-12-20,42.29,42.44,41.6,41.85,48577
2006-12-21,42.01,42.04,40.99,41.36,29067
2006-12-22,41.32,41.62,40.58,40.76,22012
2006-12-26,40.75,41.55,40.75,41.44,21530
2006-12-27,41.76,41.89,41.35,41.8,26347
2006-12-28,41.78,41.84,41.25,41.53,27932
2006-12-29,41.36,41.8,41.0,41.08,21449
2007-01-03,40.72,41.32,38.89,39.93,64747
2007-01-04,39.81,41.0,39.43,40.81,39171
2007-01-05,40.89,40.9,40.12,40.67,24266
2007-01-08,40.47,40.97,40.13,40.43,41539
2007-01-09,40.55,40.55,39.38,39.6,53371
2007-01-10,39.15,39.59,38.73,39.21,53049
2007-01-11,39.38,40.38,39.24,39.89,40626
2007-01-12,39.65,40.2,39.5,39.95,33517
2007-01-16,40.25,40.75,39.81,40.04,47780
2007-01-17,40.17,40.55,39.8,40.21,30291
2007-01-18,39.98,40.4,38.42,38.58,49829
2007-01-19,38.31,38.57,37.5,38.41,78342
2007-01-22,38.45,38.63,37.2,37.81,61844
2007-01-23,37.65,37.96,37.37,37.49,44658
2007-01-24,37.96,39.74,37.87,39.7,65715
2007-01-25,39.7,39.97,38.84,39.11,55075
2007-01-26,39.17,39.66,38.66,39.29,39779
2007-01-29,39.39,39.75,38.91,39.39,34741
2007-01-30,39.55,39.55,38.83,39.03,44937
2007-01-31,38.88,39.13,38.28,38.87,41652
2007-02-01,38.91,38.99,38.32,38.75,41880
2007-02-02,38.99,39.21,38.42,38.98,27750
2007-02-05,38.89,39.06,38.38,38.44,29152
2007-02-06,39.08,39.2,38.0,38.44,52808
2007-02-07,38.6,38.85,38.03,38.15,40348
2007-02-08,38.18,38.4,37.93,38.06,36852
2007-02-09,38.2,38.34,37.45,37.65,40943
2007-02-12,37.99,38.19,37.47,38.08,54033
