交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,18.39,18.46,18.0,18.23,214220
2006-12-13,18.34,18.34,17.81,17.93,209483
2006-12-14,17.87,18.42,17.82,18.21,209823
2006-12-15,18.44,18.48,18.05,18.15,248960
2006-12-18,18.18,18.49,18.18,18.3,239171
2006-12-19,18.2,18.4,18.05,18.12,231346
2006-12-20,18.21,18.52,18.14,18.29,209248
2006-12-21,18.33,18.37,17.92,17.99,245110
2006-12-22,18.05,18.26,17.97,18.16,151282
2006-12-26,18.11,18.68,18.08,18.65,186143
2006-12-27,18.67,18.79,18.56,18.59,98022
2006-12-28,18.59,18.75,18.45,18.54,124019
2006-12-29,18.45,18.66,18.44,18.45,109357
2007-01-03,18.32,18.68,18.07,18.4,322046
2007-01-04,18.37,18.88,18.34,18.79,238021
2007-01-05,18.65,18.75,18.42,18.66,253155
2007-01-08,18.63,19.05,18.57,18.9,288528
2007-01-09,18.91,19.28,18.79,19.25,269470
2007-01-10,19.15,19.63,19.01,19.54,294256
2007-01-11,19.5,19.79,19.46,19.54,296891
2007-01-12,19.36,19.55,19.3,19.51,281407
2007-01-16,19.5,19.56,1.44,19.48,282163
2007-01-17,19.37,19.77,19.25,19.42,291578
2007-01-18,18.62,18.68,18.06,18.25,483472
2007-01-19,18.16,18.48,18.09,18.23,324856
2007-01-22,18.26,18.32,17.85,17.96,285217
2007-01-23,17.95,18.0,17.42,17.47,370781
2007-01-24,17.56,17.78,17.35,17.59,496954
2007-01-25,17.67,17.88,17.44,17.48,275899
2007-01-26,17.58,17.9,17.48,17.77,270704
2007-01-29,17.75,17.82,17.47,17.61,252762
2007-01-30,17.7,17.85,17.58,17.79,217980
2007-01-31,17.7,17.76,17.45,17.7,224591
2007-02-01,17.77,17.95,17.0,17.93,205610
2007-02-02,17.99,18.36,17.87,18.14,257640
2007-02-05,18.18,18.27,17.99,18.1,240461
2007-02-06,18.08,18.2,17.87,18.17,201011
2007-02-07,18.21,18.46,18.11,18.26,161047
2007-02-08,18.22,18.41,18.12,18.32,171990
2007-02-09,18.39,18.48,17.9,17.95,310635
2007-02-12,17.92,17.97,17.73,17.88,209944
2007-02-13,17.99,18.23,17.94,18.2,231485
2007-02-14,18.62,19.08,18.42,18.89,555845
2007-02-15,18.95,19.17,18.86,19.13,231033
2007-02-16,19.06,19.13,18.92,19.02,171912
2007-02-20,18.83,18.87,18.46,18.74,283897
2007-02-21,18.64,19.0,18.64,18.98,194072
2007-02-22,19.1,19.48,19.02,19.18,317168
2007-02-23,19.2,19.47,19.1,19.17,230091
2007-02-26,19.28,19.37,18.95,19.1,207206
2007-02-27,18.77,19.07,18.39,18.47,315350
2007-02-28,18.48,18.8,18.47,18.57,241486
2007-03-01,18.24,18.69,18.18,18.44,271040
2007-03-02,18.29,18.37,17.95,17.99,311769
2007-03-05,17.87,18.17,17.77,17.8,375032
2007-03-06,18.05,18.27,17.87,18.17,216507
2007-03-07,18.17,18.42,18.1,18.21,196478
2007-03-08,18.58,18.66,18.41,18.44,199248
2007-03-09,18.64,18.64,18.14,18.33,227936
2007-03-12,18.29,18.65,18.26,18.58,161012
2007-03-13,18.42,18.59,18.24,18.34,273715
2007-03-14,18.41,18.51,18.15,18.39,254319
2007-03-15,18.42,18.59,18.33,18.57,132809
2007-03-16,18.47,18.62,18.35,18.5,186393
2007-03-19,18.56,18.7,18.31,18.48,208750
2007-03-20,18.43,18.6,18.38,18.5,163102
2007-03-21,18.5,18.93,18.42,18.88,206935
2007-03-22,18.96,18.96,18.68,18.8,145846
2007-03-23,18.77,18.92,18.73,18.78,118693
2007-03-26,18.76,18.9,18.55,18.89,127746
2007-03-27,18.8,18.9,18.72,18.85,101961
2007-03-28,18.75,18.83,18.62,18.65,172826
2007-03-29,18.85,18.89,18.32,18.49,180635
