交易日期,开盘价,最高价,最低价,收盘价,成交量
2015-01-02,2.7,2.73,2.64,2.69,77292
2015-01-05,2.67,2.7,2.64,2.66,82506
2015-01-06,2.65,2.66,2.55,2.63,118627
2015-01-07,2.63,2.65,2.54,2.58,117953
2015-01-08,2.59,2.65,2.56,2.61,97145
2015-01-09,2.63,2.64,2.58,2.63,83796
2015-01-12,2.62,2.64,2.55,2.63,94825
2015-01-13,2.64,2.68,2.6,2.66,159323
2015-01-14,2.6,2.66,2.58,2.63,92886
2015-01-15,2.62,2.65,2.49,2.52,169390
2015-01-16,2.52,2.53,2.39,2.39,290923
2015-01-20,2.39,2.43,2.19,2.24,517150
2015-01-21,2.18,2.45,2.14,2.45,450933
2015-01-22,2.42,2.5,2.37,2.47,350249
2015-01-23,2.48,2.5,2.43,2.45,104820
2015-01-26,2.44,2.64,2.44,2.61,354342
2015-01-27,2.58,2.84,2.56,2.7,502620
2015-01-28,2.71,2.75,2.6,2.63,237753
2015-01-29,2.63,2.69,2.51,2.61,172021
2015-01-30,2.56,2.6,2.51,2.57,120098
2015-02-02,2.69,2.75,2.65,2.67,244248
2015-02-03,2.7,2.8,2.68,2.76,214249
2015-02-04,2.78,2.92,2.76,2.85,276246
2015-02-05,2.88,3.37,2.87,3.31,700478
2015-02-06,3.2,3.21,3.0,3.03,361898
2015-02-09,3.03,3.07,2.93,3.04,232532
2015-02-10,3.07,3.1,3.01,3.04,131569
2015-02-11,3.03,3.1,3.0,3.07,111344
2015-02-12,3.08,3.15,3.05,3.12,122680
2015-02-13,3.13,3.18,3.11,3.15,87633
2015-02-17,3.16,3.17,3.08,3.11,80866
2015-02-18,3.11,3.14,3.06,3.08,63197
2015-02-19,3.06,3.08,3.01,3.055,62675
2015-02-20,3.03,3.13,3.02,3.06,92286
2015-02-23,3.05,3.1,3.03,3.06,59073
2015-02-24,3.06,3.12,3.02,3.11,101884
2015-02-25,3.08,3.14,3.06,3.1,56266
2015-02-26,3.1,3.13,3.06,3.08,83353
2015-02-27,3.07,3.12,3.07,3.11,67145
2015-03-02,3.13,3.23,3.11,3.21,134172
2015-03-03,3.2,3.23,3.13,3.14,81439
2015-03-04,3.14,3.14,3.01,3.05,115472
2015-03-05,3.1,3.1,2.98,2.98,106541
2015-03-06,2.96,2.99,2.83,2.92,160268
2015-03-09,2.92,2.98,2.9,2.93,118446
2015-03-10,2.97,2.98,2.92,2.92,95227
2015-03-11,2.92,2.95,2.8,2.84,101596
2015-03-12,2.76,2.79,2.71,2.76,130529
2015-03-13,2.74,2.78,2.71,2.75,77078
2015-03-16,2.75,2.81,2.75,2.76,56802
2015-03-17,2.75,2.8,2.73,2.77,70598
2015-03-18,2.77,2.82,2.72,2.75,106953
2015-03-19,2.76,2.78,2.73,2.74,84072
2015-03-20,2.76,2.8,2.74,2.8,82194
2015-03-23,2.81,2.85,2.8,2.84,56072
2015-03-24,2.85,2.85,2.76,2.79,74613
2015-03-25,2.78,2.79,2.56,2.63,254088
2015-03-26,2.59,2.7,2.53,2.65,271097
2015-03-27,2.7,2.8,2.63,2.72,156806
2015-03-30,2.73,2.76,2.65,2.7,76981
2015-03-31,2.66,2.7,2.65,2.68,57298
2015-04-01,2.66,2.75,2.65,2.69,105269
2015-04-02,2.66,2.7,2.65,2.69,63857
2015-04-06,2.68,2.73,2.68,2.7,60600
2015-04-07,2.7,2.74,2.69,2.7,46457
2015-04-08,2.68,2.74,2.68,2.71,40106
2015-04-09,2.69,2.75,2.69,2.72,64927
2015-04-10,2.74,2.78,2.73,2.76,57899
2015-04-13,2.76,2.8,2.73,2.78,79761
2015-04-14,2.77,2.79,2.65,2.67,124718
2015-04-15,2.7,2.74,2.65,2.7,139308
2015-04-16,2.72,2.94,2.7,2.87,257047
2015-04-17,2.54,2.58,2.45,2.575,503194
2015-04-20,2.56,2.57,2.45,2.49,264405
2015-04-21,2.53,2.53,2.35,2.35,296149
2015-04-22,2.35,2.36,2.25,2.28,255000
2015-04-23,2.28,2.36,2.26,2.33,140810
2015-04-24,2.36,2.38,2.3,2.3,131458
2015-04-27,2.3,2.36,2.29,2.34,119068
2015-04-28,2.36,2.37,2.31,2.31,97763
2015-04-29,2.3,2.33,2.27,2.28,108793
2015-04-30,2.28,2.31,2.26,2.26,92718
2015-05-01,2.26,2.31,2.25,2.31,109971
2015-05-04,2.31,2.36,2.3,2.31,90042
2015-05-05,2.34,2.34,2.25,2.28,112680
2015-05-06,2.29,2.31,2.24,2.29,175919
2015-05-07,2.32,2.32,2.26,2.32,140885
2015-05-08,2.33,2.36,2.3,2.31,93281
2015-05-11,2.31,2.35,2.31,2.32,72494
2015-05-12,2.32,2.35,2.3,2.35,93797
2015-05-13,2.36,2.38,2.35,2.37,67939
2015-05-14,2.38,2.39,2.33,2.33,82041
2015-05-15,2.33,2.38,2.32,2.32,71366
2015-05-18,2.35,2.36,2.33,2.35,40658
2015-05-19,2.36,2.37,2.28,2.28,87801
2015-05-20,2.3,2.33,2.28,2.32,59178
2015-05-21,2.31,2.35,2.28,2.28,65675
2015-05-22,2.3,2.31,2.27,2.28,118094
2015-05-26,2.27,2.28,2.22,2.22,88604
2015-05-27,2.24,2.28,2.2,2.28,158593
2015-05-28,2.28,2.33,2.27,2.27,99139
2015-05-29,2.27,2.32,2.25,2.28,70415
2015-06-01,2.29,2.3,2.25,2.25,57569
2015-06-02,2.26,2.3,2.25,2.3,59248
2015-06-03,2.3,2.32,2.28,2.28,52227
2015-06-04,2.28,2.33,2.26,2.33,111776
2015-06-05,2.31,2.34,2.29,2.33,69677
2015-06-08,2.31,2.33,2.29,2.31,56863
2015-06-09,2.35,2.36,2.28,2.29,104268
2015-06-10,2.31,2.35,2.3,2.32,74525
2015-06-11,2.34,2.35,2.31,2.32,70717
2015-06-12,2.31,2.33,2.3,2.31,40774
2015-06-15,2.32,2.35,2.29,2.32,83514
2015-06-16,2.32,2.37,2.32,2.35,93777
2015-06-17,2.37,2.54,2.35,2.47,268559
2015-06-18,2.5,2.59,2.48,2.52,245543
2015-06-19,2.53,2.59,2.46,2.58,235924
2015-06-22,2.61,2.67,2.58,2.62,183876
2015-06-23,2.62,2.64,2.55,2.61,170609
2015-06-24,2.6,2.66,2.56,2.62,167405
2015-06-25,2.62,2.66,2.57,2.58,177960
2015-06-26,2.54,2.55,2.37,2.47,351497
2015-06-29,2.41,2.42,2.31,2.34,214745
2015-06-30,2.43,2.43,2.35,2.4,176364
2015-07-01,2.47,2.48,2.36,2.42,185514
2015-07-02,2.43,2.63,2.39,2.53,298495
2015-07-06,2.46,2.54,2.44,2.47,181567
2015-07-07,2.04,2.14,2.02,2.09,379347
2015-07-08,2.07,2.07,2.01,2.01,134469
2015-07-09,2.04,2.06,1.93,1.98,223027
2015-07-10,2.0,2.03,1.95,1.96,156256
2015-07-13,1.97,1.99,1.95,1.96,87381
2015-07-14,2.03,2.06,1.97,2.05,143701
2015-07-15,2.07,2.09,1.95,1.96,114492
2015-07-16,1.97,2.0,1.87,1.87,193334
