交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,38.44,38.94,36.55,38.43,41023
2006-12-13,38.61,39.19,38.19,38.5,42604
2006-12-14,38.71,39.54,38.6,39.01,59165
2006-12-15,39.27,40.19,39.23,40.02,82341
2006-12-18,40.21,40.64,38.86,39.24,60021
2006-12-19,38.82,39.72,38.23,39.46,71231
2006-12-20,39.44,40.3,39.39,40.0,71887
2006-12-21,39.87,40.34,39.65,39.89,59762
2006-12-22,39.98,40.51,39.91,40.23,52865
2006-12-26,40.13,40.13,39.42,39.82,42994
2006-12-27,39.86,40.47,39.8,40.32,33000
2006-12-28,40.38,40.63,39.92,40.19,43028
2006-12-29,40.2,40.25,38.39,39.46,39029
2007-01-03,38.68,39.06,38.05,38.71,112829
2007-01-04,38.68,39.14,38.26,38.9,54739
2007-01-05,38.72,38.79,37.6,38.41,61108
2007-01-08,38.22,38.31,37.17,37.5,61307
2007-01-09,37.6,38.06,37.34,37.78,52336
2007-01-10,37.49,37.7,37.07,37.16,62815
2007-01-11,37.23,38.0,37.17,37.41,61923
2007-01-12,37.32,38.2,37.27,38.2,42027
2007-01-16,38.1,38.89,37.97,38.67,51979
2007-01-17,38.7,39.0,37.78,37.88,45931
2007-01-18,37.5,37.65,36.72,37.0,85015
2007-01-19,36.69,37.48,36.6,36.99,57867
2007-01-22,37.6,37.9,36.8,36.94,76089
2007-01-23,36.9,37.07,36.3,36.43,49918
2007-01-24,36.51,37.36,36.5,37.27,45389
2007-01-25,38.08,38.23,36.78,37.08,65387
2007-01-26,37.29,37.29,36.3,36.83,39245
2007-01-29,36.7,37.45,36.45,37.43,63777
2007-01-30,37.32,37.42,36.63,37.05,44605
2007-01-31,36.84,38.19,36.76,37.68,62456
2007-02-01,37.95,39.3,37.85,38.65,138319
2007-02-02,37.23,37.74,36.68,37.4,228807
2007-02-05,37.25,37.42,36.0,37.16,58461
2007-02-06,37.2,38.41,37.08,38.21,80350
2007-02-07,38.5,39.91,38.4,38.98,98995
2007-02-08,38.95,39.51,38.67,39.13,51800
2007-02-09,39.08,39.31,38.66,38.7,51721
2007-02-12,38.79,38.99,38.36,38.86,36701
2007-02-13,38.85,39.9,38.85,39.29,41794
2007-02-14,39.24,40.28,39.14,40.16,62661
2007-02-15,40.0,40.32,39.86,40.07,48166
2007-02-16,39.95,40.44,39.87,40.36,45217
2007-02-20,40.13,41.74,40.0,41.51,84204
2007-02-21,41.18,41.32,40.92,41.26,41766
2007-02-22,41.41,42.0,40.89,41.02,46308
2007-02-23,41.0,41.2,40.74,40.8,51754
2007-02-26,40.86,41.2,40.4,40.86,37685
2007-02-27,40.19,40.54,38.78,38.85,83998
2007-02-28,38.91,39.58,38.08,39.17,68868
2007-03-01,39.32,39.32,38.05,38.85,79379
2007-03-02,38.41,38.87,37.69,37.69,68735
2007-03-05,37.3,38.32,37.04,37.04,87866
2007-03-06,37.65,38.66,37.41,38.58,117458
2007-03-07,38.68,39.32,38.28,38.35,82066
2007-03-08,38.77,39.22,37.98,38.1,72640
2007-03-09,38.48,38.89,38.0,38.85,59475
2007-03-12,38.64,39.05,38.38,38.81,43119
2007-03-13,38.3,38.88,37.69,37.84,48338
2007-03-14,37.77,38.22,37.26,38.06,80255
2007-03-15,38.1,38.29,37.55,37.78,65995
2007-03-16,37.66,38.08,37.52,37.85,62687
2007-03-19,38.0,38.54,38.0,38.49,35545
2007-03-20,38.51,38.69,38.23,38.57,36059
2007-03-21,38.45,39.8,38.31,39.78,46745
2007-03-22,39.54,39.72,38.91,39.49,48741
2007-03-23,39.56,39.6,38.99,38.99,26921
2007-03-26,38.98,39.05,38.43,39.03,32035
2007-03-27,38.82,39.42,38.76,39.33,34333
2007-03-28,39.09,39.51,38.74,39.34,55842
2007-03-29,39.65,39.92,39.3,39.84,58565
2007-03-30,39.75,40.24,39.42,39.78,53798
2007-04-02,39.79,40.47,39.55,40.45,67669
2007-04-03,40.42,41.38,40.4,41.19,55646
2007-04-04,41.22,41.55,40.92,41.52,37608
2007-04-05,41.57,41.76,41.44,41.68,28277
2007-04-09,41.72,42.14,41.61,41.66,40270
2007-04-10,41.57,41.96,41.46,41.84,31138
2007-04-11,41.75,41.87,41.24,41.68,46292
2007-04-12,41.62,42.37,41.4,42.28,44157
2007-04-13,42.2,42.5,41.93,42.41,34212
2007-04-16,43.76,45.3,43.67,45.2,126331
2007-04-17,45.28,45.32,44.75,45.06,68630
2007-04-18,44.8,45.15,44.63,44.99,47643
2007-04-19,44.6,45.15,44.41,44.63,45543
2007-04-20,45.07,45.17,44.52,44.97,55016
2007-04-23,44.27,44.95,44.16,44.79,67746
2007-04-24,44.75,45.0,40.5,44.75,77519
2007-04-25,53.12,57.18,52.95,56.8,950790
2007-04-26,56.51,63.04,56.07,62.74,595109
2007-04-27,61.28,63.84,59.87,62.6,452442
2007-04-30,61.91,62.44,61.18,61.29,226305
2007-05-01,61.17,62.04,60.28,62.04,174670
2007-05-02,61.68,62.25,60.9,61.17,134994
2007-05-03,61.1,62.54,60.76,62.18,129285
2007-05-04,62.39,63.75,62.19,63.29,134499
2007-05-07,62.45,63.0,60.71,60.76,139882
2007-05-08,60.54,61.84,59.7,61.82,127249
2007-05-09,62.0,62.95,61.3,62.85,84440
2007-05-10,62.44,62.65,60.85,60.9,96317
2007-05-11,60.96,61.6,60.56,61.53,75806
2007-05-14,61.65,61.74,60.6,61.71,72610
2007-05-15,61.37,61.97,60.52,60.58,82542
2007-05-16,61.02,63.34,60.1,63.26,132664
2007-05-17,62.88,63.52,62.02,62.12,114001
2007-05-18,62.48,63.3,62.17,63.3,90467
2007-05-21,63.58,68.68,63.3,68.3,352290
2007-05-22,68.48,69.07,67.21,68.89,164019
2007-05-23,69.21,73.31,68.79,69.0,412174
2007-05-24,69.04,70.42,67.15,69.37,227526
2007-05-25,69.69,69.7,68.25,68.51,96078
2007-05-29,68.43,69.78,67.72,69.63,112157
2007-05-30,69.06,70.08,68.86,69.85,99751
2007-05-31,70.68,70.74,68.57,69.09,86945
2007-06-01,68.93,69.3,68.35,68.63,65234
2007-06-04,68.25,70.65,67.65,70.41,109600
2007-06-05,71.1,74.24,70.86,73.7,296311
2007-06-06,73.14,73.75,71.86,72.29,149155
2007-06-07,72.57,74.72,70.88,72.05,234402
2007-06-08,72.47,73.24,71.05,73.24,97573
2007-06-11,73.0,73.05,71.0,71.18,107258
2007-06-12,70.44,70.76,69.42,70.08,108878
2007-06-13,70.9,71.89,69.25,70.9,110588
2007-06-14,70.9,72.12,70.8,72.01,75918
2007-06-15,72.85,72.87,71.19,72.45,91590
2007-06-18,72.34,72.64,71.4,71.82,71461
2007-06-19,71.55,71.83,69.68,69.81,88446
2007-06-20,70.25,70.5,69.05,69.13,83552
2007-06-21,69.16,69.77,68.66,69.67,72279
2007-06-22,69.55,69.88,68.42,68.98,63775
2007-06-25,69.35,69.63,68.3,68.71,70208
2007-06-26,68.53,68.63,67.38,67.5,103161
2007-06-27,66.96,68.21,66.71,68.15,77397
2007-06-28,68.46,70.23,68.15,68.94,90992
2007-06-29,69.03,69.19,68.15,68.41,49115
2007-07-02,68.81,69.71,68.2,69.6,44759
2007-07-03,70.04,70.05,69.02,69.45,20353
2007-07-05,69.36,69.65,68.06,68.73,42032
2007-07-06,68.75,69.3,68.01,68.95,42133
2007-07-09,69.38,72.35,68.97,71.97,139861
2007-07-10,71.65,71.94,70.07,70.29,81523
2007-07-11,70.58,71.65,70.15,70.73,62204
2007-07-12,71.31,73.57,70.73,72.76,108252
2007-07-13,73.08,75.35,72.79,75.1,116890
2007-07-16,74.73,74.84,73.0,73.69,76938
2007-07-17,74.39,74.52,73.59,73.79,56341
2007-07-18,73.27,73.49,72.25,73.34,56561
2007-07-19,74.24,74.35,73.12,73.3,44900
2007-07-20,72.62,72.96,70.5,71.63,83765
2007-07-23,71.78,72.67,70.85,71.66,80764
2007-07-24,71.04,72.16,68.85,69.2,126998
2007-07-25,84.67,88.8,83.65,86.14,533918
2007-07-26,85.02,89.0,83.43,84.02,218774
