交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,28.385,28.585,28.27,28.36,13865
2006-12-12,28.18,28.26,27.845,28.16,20413
2006-12-13,28.305,28.395,28.025,28.145,23515
2006-12-14,27.92,28.16,27.875,28.1,21461
2006-12-15,28.305,28.405,28.135,28.25,14876
2006-12-18,28.28,28.34,27.875,27.945,11099
2006-12-19,27.955,27.965,27.47,27.55,51964
2006-12-20,27.71,28.91,27.235,27.38,38787
2006-12-21,27.395,27.425,26.785,26.945,33356
2006-12-22,27.2,27.215,26.865,26.965,29364
2006-12-26,27.035,27.515,26.255,27.38,15887
2006-12-27,27.495,27.765,27.46,27.73,18050
2006-12-28,27.62,27.845,27.55,27.74,11213
2006-12-29,27.82,27.945,27.65,27.71,9710
2007-01-03,27.485,27.83,27.055,27.425,35146
2007-01-04,27.245,27.82,27.235,27.71,29697
2007-01-05,27.72,27.855,27.575,27.83,26212
2007-01-08,28.115,28.395,28.025,28.17,20295
2007-01-09,28.17,28.205,27.575,27.83,25083
2007-01-10,27.515,27.8,27.37,27.785,36018
2007-01-11,27.44,27.89,27.36,27.53,32112
2007-01-12,27.64,27.845,27.56,27.81,26577
2007-01-16,27.99,28.045,27.155,27.155,37333
2007-01-17,28.91,29.89,28.845,29.53,116689
2007-01-18,29.115,29.135,28.215,28.35,69278
2007-01-19,28.43,28.52,28.025,28.35,58345
2007-01-22,28.205,28.35,26.9,28.27,36835
2007-01-23,28.09,28.475,28.025,28.295,44475
2007-01-24,28.485,28.745,28.28,28.745,35700
2007-01-25,28.495,28.745,28.01,28.125,27262
2007-01-26,28.27,28.63,28.025,28.52,25661
2007-01-29,28.28,28.315,27.92,28.125,20792
2007-01-30,28.495,28.52,28.16,28.485,20939
2007-01-31,28.18,28.745,28.125,28.7,25036
2007-02-01,28.55,28.64,28.28,28.52,24554
2007-02-02,28.305,28.55,28.25,28.55,28011
2007-02-05,28.235,28.44,28.17,28.325,16077
2007-02-06,28.46,28.53,28.1,28.395,22154
2007-02-07,28.61,28.99,28.585,28.855,20752
2007-02-08,28.72,29.045,28.63,28.89,14716
2007-02-09,29.08,29.135,28.16,28.295,41685
2007-02-12,28.16,28.19,27.775,27.855,26895
2007-02-13,28.08,28.205,27.72,27.955,31494
2007-02-14,28.71,29.27,28.64,29.225,32164
2007-02-15,28.955,29.15,28.845,29.07,13116
2007-02-16,28.945,29.35,28.945,29.305,17002
2007-02-20,28.755,29.115,28.52,29.025,25714
2007-02-21,28.405,28.755,28.35,28.745,16200
2007-02-22,28.475,28.82,28.475,28.7,35732
2007-02-23,28.82,29.135,28.82,28.98,27159
2007-02-26,28.81,28.88,28.405,28.595,18882
2007-02-27,27.755,28.07,27.29,27.54,38397
2007-02-28,27.92,28.01,27.415,27.72,30757
2007-03-01,26.325,27.055,26.11,26.84,44365
2007-03-02,26.605,26.73,26.1,26.165,34289
2007-03-05,25.615,26.19,25.535,25.775,33851
2007-03-06,25.965,26.155,25.83,26.09,24391
2007-03-07,26.02,26.21,25.885,25.93,30399
2007-03-08,26.3,26.515,26.21,26.235,20377
2007-03-09,26.245,26.37,26.045,26.2,22173
2007-03-12,26.145,26.72,26.145,26.66,25636
2007-03-13,26.27,26.39,25.685,25.705,24233
2007-03-14,26.03,26.865,25.48,25.955,46110
2007-03-15,26.055,26.36,25.975,26.21,32232
2007-03-16,26.435,26.81,26.38,26.66,43862
2007-03-19,26.605,26.75,26.45,26.515,25770
2007-03-20,26.325,27.045,26.325,27.01,24298
2007-03-21,26.9,27.865,26.775,27.73,40761
2007-03-22,27.55,27.585,27.315,27.46,23871
2007-03-23,27.485,27.765,27.425,27.685,20881
2007-03-26,27.73,27.99,27.585,27.99,32831
2007-03-27,27.36,27.62,27.315,27.45,18473
2007-03-28,27.415,27.56,27.235,27.27,17970
2007-03-29,27.865,27.89,27.46,27.73,29347
2007-03-30,27.665,28.0,27.63,27.83,25805
2007-04-02,28.035,28.115,27.74,27.99,19355
2007-04-03,28.08,28.28,27.935,28.145,18738
2007-04-04,28.305,28.45,28.19,28.35,10994
2007-04-05,28.925,28.99,28.79,28.88,21242
2007-04-09,28.81,29.0,28.475,28.765,8938
2007-04-10,28.595,28.925,28.565,28.865,20135
2007-04-11,28.63,28.7,28.35,28.43,17809
2007-04-12,28.415,29.195,28.315,29.125,32985
2007-04-13,29.25,29.25,28.655,28.97,26849
2007-04-16,29.305,29.34,29.09,29.295,16028
2007-04-17,29.27,29.45,28.9,29.395,27342
2007-04-18,30.485,30.995,30.275,30.825,47248
2007-04-19,30.35,31.025,30.015,30.735,37318
2007-04-20,31.4,31.58,31.095,31.25,41139
2007-04-23,30.8,30.995,30.745,30.925,20547
2007-04-24,31.32,31.545,31.15,31.4,19186
2007-04-25,31.195,31.25,30.8,31.195,25072
2007-04-26,30.78,31.06,30.62,30.95,18475
2007-04-27,30.62,31.015,30.52,30.745,27534
2007-04-30,30.62,31.085,30.475,30.665,24053
2007-05-01,30.815,30.995,30.395,30.8,21686
2007-05-02,30.6,30.745,30.5,30.61,16644
2007-05-03,30.835,30.835,30.475,30.665,12500
2007-05-04,31.005,31.025,30.655,30.86,7502
2007-05-07,30.79,30.89,30.575,30.7,12002
2007-05-08,30.32,30.32,29.945,30.14,19031
2007-05-09,29.62,29.99,29.585,29.99,31091
2007-05-10,29.61,29.7,28.82,28.835,27555
2007-05-11,29.17,29.375,28.99,29.33,14234
2007-05-14,29.34,29.51,28.925,29.195,23278
2007-05-15,28.98,29.405,28.945,28.945,28836
2007-05-16,28.595,28.71,28.26,28.62,40015
2007-05-17,28.8,28.865,28.575,28.685,15089
