交易日期,开盘价,最高价,最低价,收盘价,成交量
2016-02-02,135.51,137.59,131.7,133.24,43783
2016-02-03,137.45,137.61,130.29,131.36,46207
2016-02-04,131.4,137.27,130.5,136.12,44096
2016-02-05,137.0,137.0,126.98,128.36,55515
2016-02-08,126.85,126.99,119.22,121.86,75210
2016-02-09,119.92,125.72,118.77,119.71,45085
2016-02-10,122.49,123.67,118.65,119.2,34270
2016-02-11,116.51,117.64,114.25,116.31,53685
2016-02-12,117.77,122.33,115.73,121.66,31766
2016-02-16,123.27,126.79,122.95,126.24,29292
2016-02-17,127.0,130.82,126.73,130.68,26803
2016-02-18,131.76,132.0,126.08,127.07,32672
2016-02-19,127.05,128.79,125.0,128.67,23326
2016-02-22,130.0,132.43,129.49,130.64,17160
2016-02-23,130.16,130.5,128.06,128.16,15150
2016-02-24,126.51,131.25,125.5,130.34,19185
2016-02-25,130.78,132.49,128.69,132.47,21297
2016-02-26,134.2,134.97,132.25,133.11,21845
2016-02-29,133.34,137.92,132.9,133.97,25184
2016-03-01,135.37,138.64,134.62,138.43,36793
2016-03-02,137.85,138.24,135.05,136.97,38959
2016-03-03,137.75,138.85,134.3,137.33,46978
2016-03-04,146.0,147.86,141.72,146.06,62446
2016-03-07,144.76,146.23,140.57,143.51,33769
2016-03-08,142.29,142.82,139.41,139.63,25290
2016-03-09,140.75,142.53,140.47,141.96,23341
2016-03-10,143.46,145.8,142.0,144.42,45009
2016-03-11,145.99,150.02,145.75,148.82,48840
2016-03-14,147.11,149.19,147.0,148.14,22551
2016-03-15,148.23,149.98,146.08,148.47,25112
2016-03-16,147.46,149.27,146.85,148.63,28410
2016-03-17,147.37,151.72,147.37,151.55,36830
2016-03-18,151.72,153.0,150.87,152.49,34989
2016-03-21,152.59,153.0,150.83,152.89,22672
2016-03-22,152.4,155.61,151.55,154.76,27478
2016-03-23,154.82,155.32,152.34,152.99,22118
2016-03-24,151.76,153.29,151.12,153.0,20023
2016-03-28,153.28,153.5,152.07,153.1,13762
2016-03-29,153.27,154.93,152.18,154.13,22358
2016-03-30,155.0,157.28,154.54,156.93,22308
2016-03-31,157.02,157.37,154.45,154.5,18474
2016-04-01,154.03,157.92,151.16,157.8,20967
2016-04-04,158.0,158.33,155.66,156.01,14590
2016-04-05,154.45,157.05,154.45,155.03,31604
2016-04-06,154.7,157.77,153.71,157.54,24200
2016-04-07,157.48,157.95,154.69,154.97,16616
2016-04-08,156.28,156.9,154.64,156.15,14456
2016-04-11,157.43,157.8,155.6,155.61,10239
2016-04-12,156.01,156.37,153.0,155.43,11518
2016-04-13,156.47,159.65,155.61,159.48,17792
2016-04-14,157.29,159.11,156.0,158.82,22496
2016-04-15,158.13,158.34,154.52,155.49,23192
2016-04-18,155.16,156.4,153.81,155.9,11204
2016-04-19,156.45,156.77,150.78,151.07,19891
2016-04-20,151.46,154.1,150.4,153.23,14862
2016-04-21,152.9,153.28,150.44,151.35,12894
2016-04-22,150.42,152.94,148.73,150.33,18288
2016-04-25,150.25,150.86,148.77,149.1,8290
2016-04-26,151.49,154.11,150.04,150.76,20505
2016-04-27,147.21,153.36,146.5,151.53,32918
2016-04-28,150.39,154.02,147.33,147.99,19443
2016-04-29,146.31,147.79,143.25,145.75,26963
2016-05-02,146.16,146.83,144.49,146.08,15793
2016-05-03,145.1,145.99,142.33,143.2,19435
2016-05-04,142.51,144.42,141.27,142.07,16480
2016-05-05,143.82,144.9,142.09,142.58,12520
2016-05-06,141.76,142.51,139.18,141.89,25808
2016-05-09,142.0,143.92,141.26,142.4,12228
2016-05-10,142.5,145.14,141.5,144.61,13704
2016-05-11,144.09,146.22,143.51,143.85,12667
2016-05-12,144.07,144.73,139.52,141.04,20924
2016-05-13,140.94,143.13,139.62,140.05,16890
2016-05-16,140.87,143.62,140.69,142.65,16126
2016-05-17,142.51,142.99,139.88,141.17,15271
2016-05-18,140.53,145.05,140.33,143.88,18051
2016-05-19,143.03,144.66,141.12,142.74,13522
2016-05-20,144.13,147.67,143.71,146.73,20524
2016-05-23,148.19,150.34,147.88,148.1,13419
2016-05-24,148.77,151.68,148.35,151.42,14739
2016-05-25,151.84,154.0,150.49,153.57,17243
2016-05-26,153.77,154.25,151.82,153.02,15230
2016-05-27,153.0,153.93,152.46,153.3,15246
2016-05-31,154.0,154.95,153.3,154.36,18253
2016-06-01,153.41,155.32,153.34,154.77,24290
2016-06-02,155.21,155.52,153.38,154.91,32259
2016-06-03,165.77,166.0,161.2,162.56,71461
2016-06-06,163.4,163.94,161.02,162.84,25857
2016-06-07,163.35,165.95,162.81,164.84,22702
2016-06-08,164.09,164.62,163.34,163.7,20746
2016-06-09,162.14,165.05,162.12,164.14,17465
2016-06-10,162.17,162.98,160.0,160.82,20946
2016-06-13,160.14,162.25,159.63,160.01,16547
2016-06-14,159.27,160.53,158.13,158.99,20555
2016-06-15,158.82,160.12,158.18,158.4,24250
2016-06-16,157.05,158.84,155.6,158.63,17188
2016-06-17,158.97,159.75,154.93,156.0,26998
2016-06-20,158.5,159.6,156.69,156.93,15589
2016-06-21,157.57,158.4,155.61,155.81,12110
2016-06-22,155.73,157.17,154.8,155.14,10065
2016-06-23,157.35,158.63,155.97,158.62,19646
2016-06-24,152.0,154.87,148.4,148.72,32741
2016-06-27,146.5,147.25,142.27,143.63,29044
2016-06-28,146.7,149.93,146.58,149.77,28248
2016-06-29,152.01,155.65,150.78,155.0,39433
2016-06-30,155.0,157.24,154.17,155.4,32503
2016-07-01,154.47,155.87,153.62,154.22,15536
2016-07-05,151.58,151.71,149.53,150.76,19848
2016-07-06,149.36,151.27,147.16,150.63,14965
2016-07-07,150.14,153.0,150.14,150.99,14209
2016-07-08,152.65,155.26,151.93,155.14,20733
2016-07-11,157.27,158.47,156.28,157.36,19214
2016-07-12,158.58,160.91,158.25,158.59,14366
2016-07-13,158.91,160.38,157.34,157.41,11313
2016-07-14,159.55,161.06,158.86,160.79,15719
2016-07-15,160.68,161.57,159.66,161.16,14114
2016-07-18,162.42,163.7,161.95,162.33,10875
2016-07-19,161.29,162.0,159.79,160.53,11415
2016-07-20,161.6,163.77,160.91,162.67,14061
2016-07-21,163.01,163.48,159.82,160.41,15260
2016-07-22,159.59,160.3,156.69,159.67,14801
2016-07-25,159.64,160.7,159.27,159.78,6616
2016-07-26,161.55,163.5,160.37,163.44,22757
2016-07-27,165.94,167.6,162.71,165.66,24161
2016-07-28,165.0,166.97,163.91,164.23,15026
2016-07-29,163.93,164.65,161.1,161.98,18784
2016-08-01,162.78,163.88,161.9,163.51,10650
2016-08-02,163.1,163.99,162.27,162.89,16141
2016-08-03,161.88,164.15,161.28,164.11,11305
2016-08-04,164.27,167.0,164.2,166.99,13425
2016-08-05,167.95,170.2,167.23,170.12,19191
2016-08-08,170.0,171.23,167.85,168.35,12029
2016-08-09,168.94,172.17,168.7,171.17,25091
2016-08-10,171.32,172.18,169.84,171.85,15623
2016-08-11,172.07,173.16,170.9,172.09,11251
2016-08-12,172.2,172.62,171.37,172.47,11901
2016-08-15,173.1,175.81,172.5,175.54,17941
2016-08-16,174.81,174.99,172.1,172.4,14195
2016-08-17,172.25,173.28,171.76,173.03,11895
2016-08-18,172.82,174.18,172.64,173.93,8639
2016-08-19,174.22,175.06,173.43,174.93,11277
2016-08-22,175.0,176.31,174.06,175.93,11426
2016-08-23,176.72,177.47,176.12,177.34,14795
2016-08-24,177.57,177.69,174.36,175.3,15134
2016-08-25,175.52,177.14,174.69,176.04,14017
2016-08-26,176.84,178.65,175.13,177.16,17813
2016-08-29,177.3,178.68,176.9,177.4,11774
2016-08-30,178.16,179.42,175.94,177.0,20764
2016-08-31,177.1,178.32,175.35,176.42,22398
2016-09-01,176.88,177.67,174.82,177.09,29002
2016-09-02,177.0,177.34,168.8,173.11,67866
2016-09-06,173.62,174.0,169.64,171.1,27147
2016-09-07,171.42,172.0,167.71,168.9,23826
2016-09-08,168.39,168.83,166.56,168.38,13030
2016-09-09,166.33,167.05,160.67,160.78,32655
2016-09-12,159.13,164.75,158.75,164.48,27599
2016-09-13,164.61,167.36,164.3,165.24,28269
2016-09-14,165.23,169.93,165.05,169.61,32057
2016-09-15,169.33,173.0,168.2,172.72,27281
2016-09-16,172.42,172.99,169.85,171.24,35094
2016-09-19,171.55,173.58,169.4,170.73,20885
2016-09-20,172.21,172.21,168.17,168.23,13685
2016-09-21,168.39,170.02,167.61,169.83,13052
2016-09-22,170.92,171.25,168.07,168.84,15352
2016-09-23,168.83,169.03,165.51,166.65,20732
2016-09-26,165.17,167.23,162.76,166.69,26915
2016-09-27,166.89,170.88,166.01,170.86,19626
2016-09-28,171.78,172.71,169.78,170.7,16787
2016-09-29,170.0,173.99,169.49,172.46,32304
2016-09-30,172.85,174.65,172.44,172.52,24362
2016-10-03,173.01,173.89,169.72,170.07,17536
2016-10-04,170.61,170.9,168.08,169.05,14454
2016-10-05,171.5,174.11,170.68,173.48,20420
2016-10-06,173.3,174.65,171.26,174.19,16358
2016-10-07,174.88,174.95,172.39,174.21,17300
2016-10-10,174.73,175.9,173.75,174.77,12686
2016-10-11,175.29,175.5,169.53,171.17,19020
2016-10-12,170.75,171.06,168.4,170.47,17342
2016-10-13,168.77,169.9,166.8,168.94,17027
2016-10-14,169.98,172.64,169.34,170.09,14450
2016-10-17,169.92,170.95,168.73,168.88,8852
2016-10-18,170.65,172.87,170.54,172.17,10480
2016-10-19,171.17,172.28,170.11,171.87,12799
2016-10-20,171.66,174.58,171.02,173.41,14758
2016-10-21,172.29,173.4,170.7,172.92,11979
2016-10-24,174.16,177.0,173.55,176.55,14662
2016-10-25,176.03,176.5,173.51,173.65,16699
2016-10-26,172.15,174.78,171.1,173.0,15812
2016-10-27,174.31,175.25,171.78,172.24,15829
2016-10-28,172.49,172.87,169.04,169.35,14615
2016-10-31,170.0,171.66,168.69,170.28,15036
2016-11-01,170.72,171.55,165.83,168.8,21065
2016-11-02,172.6,174.15,169.81,172.56,36778
2016-11-03,172.45,175.34,172.15,172.99,15877
2016-11-04,170.4,174.53,170.23,172.17,17426
2016-11-07,174.39,177.88,174.11,176.96,19616
2016-11-08,177.07,178.02,175.11,177.0,15160
2016-11-09,171.47,176.5,171.16,173.42,25497
2016-11-10,173.78,174.5,163.3,167.94,41200
2016-11-11,167.5,170.0,165.73,167.54,23755
2016-11-14,166.47,167.77,163.02,163.78,22040
2016-11-15,164.83,167.5,163.61,166.45,19363
2016-11-16,166.3,168.17,165.75,167.83,10071
2016-11-17,167.52,169.02,166.02,167.04,14000
2016-11-18,166.75,169.16,166.75,168.16,14722
2016-11-21,169.13,172.76,169.13,172.58,16625
2016-11-22,173.72,177.42,173.31,177.02,24944
2016-11-23,176.77,177.76,175.24,177.08,17832
2016-11-25,176.78,177.02,175.57,176.75,5485
2016-11-28,176.06,177.07,174.54,174.65,18503
2016-11-29,173.86,176.98,173.43,175.45,14099
2016-11-30,175.12,175.9,170.44,170.49,21774
2016-12-01,170.01,170.49,161.21,162.79,37200
2016-12-02,163.57,164.92,160.62,164.22,20755
2016-12-05,166.01,166.61,162.4,166.13,15638
2016-12-06,166.81,167.97,163.45,164.76,32276
2016-12-07,164.76,168.55,163.67,168.55,22677
2016-12-08,169.55,171.38,167.51,170.71,26991
2016-12-09,181.12,181.9,176.9,179.09,63444
2016-12-12,178.05,180.77,176.56,178.16,28848
2016-12-13,178.74,181.94,178.0,179.44,58406
2016-12-14,178.75,179.22,176.23,177.62,37629
2016-12-15,178.31,181.2,176.57,180.01,30865
2016-12-16,180.75,181.09,177.48,178.42,27023
2016-12-19,179.07,181.41,178.12,180.46,17153
2016-12-20,181.0,183.28,180.14,182.07,22085
2016-12-21,183.73,183.99,181.78,182.29,15531
2016-12-22,182.85,183.0,179.38,180.6,11961
2016-12-23,180.33,181.98,179.66,181.94,6790
2016-12-27,182.11,183.7,182.05,182.31,5791
2016-12-28,182.64,183.0,179.84,180.19,10743
2016-12-29,179.7,180.67,178.63,179.87,9949
2016-12-30,180.37,180.9,176.02,176.77,18397
2017-01-03,178.29,180.9,176.54,178.34,25777
2017-01-04,178.26,179.0,176.68,177.07,18339
2017-01-05,176.33,177.0,173.88,174.28,19605
2017-01-06,174.21,176.9,173.31,176.59,17673
2017-01-09,176.67,178.3,176.64,176.97,12259
2017-01-10,177.49,180.74,176.9,180.57,21430
2017-01-11,180.05,180.47,177.76,179.42,14289
2017-01-12,178.09,179.1,175.4,178.86,17324
2017-01-13,178.9,180.78,178.39,180.45,14075
2017-01-17,179.48,179.63,177.56,179.11,20734
2017-01-18,180.35,185.07,180.0,185.02,29452
2017-01-19,185.1,186.88,184.68,185.56,38880
2017-01-20,188.6,191.54,188.1,191.08,49172
2017-01-23,191.01,191.53,188.42,191.0,27205
2017-01-24,192.62,199.64,192.28,197.75,48774
2017-01-25,199.97,202.59,198.03,202.48,52090
2017-01-26,204.44,205.27,201.13,204.17,32491
2017-01-27,205.38,205.79,203.54,205.71,20783
2017-01-30,204.45,204.87,200.61,203.22,26235
2017-01-31,202.47,202.47,198.86,199.5,19772
2017-02-01,202.25,204.48,200.21,203.69,24260
2017-02-02,201.97,205.03,201.0,204.05,17220
2017-02-03,204.95,206.6,203.03,206.16,19412
2017-02-06,206.15,206.66,204.3,206.56,13822
2017-02-07,207.21,207.39,204.93,205.91,17728
2017-02-08,205.97,208.75,205.16,206.89,16561
2017-02-09,207.33,207.69,203.63,205.34,20507
2017-02-10,206.0,206.5,203.85,205.52,18769
2017-02-13,206.78,207.11,205.17,206.71,8594
2017-02-14,206.99,207.0,204.8,205.33,10530
2017-02-15,205.82,206.94,204.8,205.99,12564
2017-02-16,206.46,208.22,205.17,208.18,12222
2017-02-17,209.0,210.41,206.82,210.41,22742
2017-02-21,211.0,213.62,210.91,212.75,23105
2017-02-22,213.0,214.93,211.5,214.16,16950
2017-02-23,215.08,215.96,209.64,210.58,22294
2017-02-24,208.3,210.65,202.61,210.37,20254
2017-02-27,210.84,213.45,210.19,213.28,19893
2017-02-28,214.14,214.34,210.3,210.93,18368
2017-03-01,213.07,215.39,210.56,215.14,38180
2017-03-02,224.11,224.98,216.02,217.29,61286
2017-03-03,218.0,220.0,217.7,218.32,25297
