交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,28.155,28.28,28.155,28.265,19500
2006-12-12,28.525,28.88,28.48,28.77,22104
2006-12-13,28.6,28.66,28.43,28.53,21898
2006-12-14,28.395,28.49,28.265,28.36,39770
2006-12-15,28.225,28.24,27.985,28.0,16870
2006-12-18,28.235,28.245,27.685,27.77,36208
2006-12-19,27.78,27.865,26.67,26.84,105772
2006-12-20,26.87,27.025,26.815,26.9,41270
2006-12-21,26.785,26.865,26.73,26.795,13528
2006-12-22,26.785,26.905,26.73,26.82,9700
2006-12-26,26.635,26.875,26.525,26.79,7948
2006-12-27,26.86,26.985,26.805,26.825,22256
2006-12-28,26.88,26.95,26.82,26.905,15444
2006-12-29,26.82,26.985,26.79,26.79,8470
2007-01-03,27.12,27.2,26.835,26.925,57744
2007-01-04,27.44,27.76,27.34,27.65,38408
2007-01-05,27.795,27.92,27.475,27.76,22190
2007-01-08,27.48,27.505,27.05,27.215,23984
2007-01-09,27.34,27.35,27.085,27.135,21598
2007-01-10,27.2,27.22,27.005,27.145,14066
2007-01-11,27.405,27.635,27.4,27.565,13326
2007-01-12,28.115,28.26,28.085,28.17,26744
2007-01-16,28.585,28.655,28.46,28.57,21074
2007-01-17,28.685,28.735,28.475,28.495,26390
2007-01-18,28.715,28.775,28.36,28.49,21216
2007-01-19,28.235,28.545,28.19,28.37,20746
2007-01-22,28.255,28.275,28.005,28.025,30206
2007-01-23,28.225,28.275,28.105,28.2,13828
2007-01-24,28.3,28.46,28.26,28.38,13694
2007-01-25,28.185,28.21,27.76,27.84,20460
2007-01-26,27.59,27.6,27.225,27.39,45988
2007-01-29,27.5,27.71,27.425,27.53,22598
2007-01-30,27.91,27.94,27.68,27.8,17940
2007-01-31,27.705,28.075,27.645,27.99,19750
2007-02-01,28.8,29.02,28.54,28.675,38432
2007-02-02,29.035,29.04,28.79,28.86,20892
2007-02-05,28.78,28.91,28.685,28.91,31036
2007-02-06,29.33,29.425,29.29,29.4,21062
2007-02-07,28.9,29.085,28.88,29.0,25382
2007-02-09,28.555,28.59,28.355,28.39,22162
2007-02-12,28.38,28.48,28.24,28.4,12100
2007-02-13,28.505,28.555,28.395,28.45,21740
2007-02-14,28.705,28.845,28.635,28.76,14994
2007-02-15,28.875,28.945,28.715,28.785,7640
2007-02-16,28.905,28.965,28.79,28.935,17806
2007-02-20,28.645,28.74,28.575,28.695,14162
2007-02-21,28.46,28.525,28.38,28.5,12718
2007-02-22,28.505,28.55,28.355,28.39,15678
2007-02-23,28.45,28.625,28.435,28.575,19250
2007-02-26,28.715,28.715,28.565,28.67,12572
2007-02-27,28.365,28.465,27.72,27.845,21424
2007-02-28,28.28,28.42,27.955,28.06,26372
2007-03-01,27.45,27.675,27.28,27.56,18614
2007-03-02,27.225,27.35,26.915,26.92,24896
2007-03-05,26.86,27.06,26.75,26.75,17594
2007-03-06,27.295,27.515,27.175,27.44,15744
2007-03-07,27.565,28.0,27.53,27.725,22622
2007-03-08,28.065,28.22,27.965,28.07,14898
2007-03-09,28.455,28.56,28.22,28.3,36556
2007-03-12,28.225,28.41,28.2,28.325,21968
2007-03-13,28.195,28.345,27.885,27.915,14386
2007-03-14,27.865,28.025,27.53,27.815,26966
2007-03-15,27.675,27.89,27.63,27.845,13428
2007-03-16,28.115,28.575,27.735,27.75,28236
2007-03-19,27.475,27.89,27.4,27.74,52478
2007-03-20,27.64,28.025,27.59,27.92,27078
2007-03-21,27.96,28.35,27.695,28.335,25340
2007-03-22,28.065,28.07,27.69,27.74,36214
2007-03-23,27.5,27.595,27.31,27.375,28592
2007-03-26,27.35,27.405,27.1,27.39,29482
2007-03-27,27.13,27.21,26.9,27.01,19912
2007-03-28,27.07,27.115,26.635,26.82,28320
2007-03-29,26.73,26.9,26.7,26.855,15534
2007-03-30,26.87,26.925,26.675,26.835,20658
2007-04-02,26.895,26.93,26.73,26.82,20082
2007-04-03,27.07,27.09,26.87,26.93,25948
2007-04-04,27.14,27.26,27.1,27.225,17856
2007-04-05,27.155,27.385,27.115,27.295,7816
2007-04-09,27.015,27.25,27.015,27.17,7274
2007-04-10,26.95,27.045,26.91,26.95,15678
2007-04-11,26.965,27.02,26.805,26.875,26134
2007-04-12,27.15,27.35,27.085,27.275,17300
2007-04-13,28.015,28.075,27.84,27.99,26892
2007-04-16,28.375,28.5,28.29,28.35,23612
2007-04-17,28.53,28.665,28.455,28.58,17530
2007-04-18,29.055,29.08,28.8,28.835,25718
2007-04-19,29.19,29.385,29.15,29.23,30442
2007-04-20,29.655,29.735,29.48,29.505,28394
2007-04-23,28.265,28.375,27.875,28.0,61508
2007-04-24,27.895,27.95,27.675,27.69,51350
2007-04-25,27.715,27.81,27.53,27.79,19726
2007-04-26,27.65,27.65,27.33,27.475,19362
2007-04-27,27.33,27.56,27.285,27.5,19912
2007-04-30,27.48,27.5,27.07,27.155,27960
2007-05-01,27.17,27.2,27.015,27.085,21404
2007-05-02,26.585,26.97,26.565,26.89,28394
2007-05-03,26.565,26.6,26.34,26.47,40840
2007-05-04,26.715,26.95,26.65,26.825,26112
2007-05-07,27.05,27.06,26.88,26.895,19168
2007-05-08,26.57,26.945,26.57,26.91,15024
2007-05-09,26.92,27.04,26.86,26.965,14742
2007-05-10,26.6,26.785,26.5,26.515,20338
2007-05-11,26.64,26.695,26.56,26.635,11618
2007-05-14,26.6,26.65,26.515,26.575,16992
2007-05-15,26.76,27.045,26.76,26.875,20516
2007-05-16,26.955,27.075,26.91,27.015,10908
2007-05-17,27.095,27.22,27.05,27.14,17828
2007-05-18,27.095,27.205,27.05,27.11,14980
2007-05-21,26.925,26.95,26.705,26.775,13174
2007-05-22,26.7,26.85,26.63,26.77,18284
2007-05-23,26.885,27.045,26.72,26.72,10038
2007-05-24,26.775,26.885,26.645,26.675,20378
2007-05-25,26.69,26.765,26.63,26.74,13704
2007-05-29,26.69,26.845,26.675,26.74,20356
2007-05-30,26.425,26.725,26.4,26.7,12608
2007-05-31,26.57,26.645,26.515,26.595,21684
2007-06-01,26.49,26.665,26.48,26.625,14976
2007-06-04,26.585,26.765,26.565,26.715,9440
2007-06-05,26.41,26.445,26.27,26.285,21052
2007-06-06,26.415,26.455,26.14,26.295,18606
2007-06-07,25.91,26.145,25.745,25.76,29452
2007-06-08,25.345,25.61,25.255,25.54,33750
2007-06-11,25.7,26.07,25.695,25.955,20460
2007-06-12,25.96,26.05,25.74,25.74,28722
2007-06-13,25.625,25.77,25.505,25.75,32664
2007-06-14,25.425,25.685,25.425,25.585,21074
2007-06-15,25.88,25.99,25.76,25.86,17996
2007-06-18,26.025,26.025,25.845,25.945,13606
2007-06-19,25.96,25.98,25.82,25.94,17012
2007-06-20,26.0,26.125,25.75,25.755,19256
2007-06-21,25.75,25.845,25.68,25.825,23800
2007-06-22,25.6,25.75,25.5,25.625,19092
2007-06-25,25.655,25.87,25.495,25.5,20196
2007-06-26,25.895,25.96,25.795,25.905,20004
2007-06-27,26.475,26.785,26.365,26.635,30426
2007-06-28,26.555,26.69,26.46,26.52,23080
2007-06-29,26.66,26.925,26.65,26.735,20648
2007-07-02,26.95,27.02,26.725,26.83,15574
2007-07-03,26.77,26.965,26.755,26.92,6922
2007-07-05,27.13,27.17,26.79,26.925,12566
2007-07-06,26.95,27.085,26.895,26.945,8280
2007-07-09,26.905,26.94,26.71,26.74,11630
2007-07-10,26.72,27.02,26.59,26.665,19970
2007-07-11,27.46,27.705,27.33,27.445,25822
2007-07-12,27.76,28.0,27.715,27.98,26312
2007-07-13,28.115,28.3,27.99,28.055,17676
2007-07-16,28.11,28.26,28.055,28.09,15908
2007-07-17,28.145,28.25,28.025,28.065,14630
2007-07-18,27.825,27.94,27.435,27.665,30718
2007-07-19,27.97,28.035,27.75,27.85,15714
2007-07-20,28.045,28.075,27.745,27.795,15938
2007-07-23,27.82,27.915,27.74,27.8,14706
2007-07-24,27.575,27.69,27.285,27.355,15202
2007-07-25,27.795,27.795,27.26,27.495,18538
2007-07-26,27.175,27.25,26.125,26.19,52494
2007-07-27,26.24,26.4,25.835,25.855,32088
2007-07-30,26.01,26.085,25.625,25.755,31026
2007-07-31,25.835,26.12,25.75,25.885,17432
2007-08-01,25.67,25.915,25.565,25.87,21988
2007-08-02,25.845,26.055,25.755,25.88,12620
2007-08-03,25.75,25.805,25.335,25.38,21554
2007-08-06,25.84,25.865,25.54,25.805,19334
