交易日期,开盘价,最高价,最低价,收盘价,成交量
2014-09-19,92.7,99.7,89.95,93.89,2505913
2014-09-22,92.7,92.95,89.5,89.89,582138
2014-09-23,88.91,90.48,86.62,87.17,351052
2014-09-24,88.47,90.57,87.22,90.57,276924
2014-09-25,91.09,91.5,88.5,88.92,248741
2014-09-26,89.73,90.46,88.66,90.46,168175
2014-09-29,89.62,89.7,88.02,88.75,197230
2014-09-30,89.0,90.88,88.46,88.85,216638
2014-10-01,88.7,88.94,86.04,86.1,221680
2014-10-02,86.27,88.2,85.61,87.06,196744
2014-10-03,88.1,89.94,87.65,88.1,164848
2014-10-06,89.15,89.65,88.06,88.31,84424
2014-10-07,87.95,89.7,87.06,87.67,118789
2014-10-08,88.0,88.5,87.06,88.3,95735
2014-10-09,88.57,90.35,88.0,88.79,203122
2014-10-10,88.25,88.74,85.24,85.88,140542
2014-10-13,86.85,86.89,84.92,85.12,134032
2014-10-14,85.81,85.88,83.22,84.95,143066
2014-10-15,84.04,86.49,82.81,85.6,156255
2014-10-16,84.98,89.18,84.02,88.85,137869
2014-10-17,90.4,90.9,87.67,87.91,160022
2014-10-20,88.01,89.5,87.86,88.26,89947
2014-10-21,89.1,92.5,88.5,90.9,213848
2014-10-22,92.25,93.5,91.01,91.63,185785
2014-10-23,92.92,94.7,92.82,94.45,187378
2014-10-24,95.07,98.0,94.78,95.76,287669
2014-10-27,97.0,98.85,96.3,97.79,256060
2014-10-28,99.84,100.67,98.61,99.68,279038
2014-10-29,99.88,100.0,96.82,98.31,248198
2014-10-30,98.48,99.44,97.3,98.73,135747
2014-10-31,100.1,100.22,98.14,98.6,155972
2014-11-03,99.67,102.8,99.05,101.8,369318
2014-11-04,100.43,106.36,99.51,106.07,551931
2014-11-05,108.48,110.14,106.48,108.67,424901
2014-11-06,109.3,111.7,107.21,111.57,292302
2014-11-07,112.93,114.77,111.75,114.56,440825
2014-11-10,117.27,119.45,115.2,119.15,659604
2014-11-11,117.23,117.55,113.69,114.54,615255
2014-11-12,115.08,119.07,114.02,118.2,485675
2014-11-13,119.3,120.0,114.55,114.84,554035
2014-11-14,115.06,115.39,113.35,115.1,263404
2014-11-17,115.44,115.63,113.13,114.25,197402
2014-11-18,114.33,114.38,110.41,110.81,370502
2014-11-19,109.83,110.68,107.22,108.82,419385
2014-11-20,107.81,112.44,107.26,109.82,332906
2014-11-21,113.21,113.5,110.43,110.73,232819
2014-11-24,112.0,113.93,111.55,113.92,182622
2014-11-25,114.94,115.17,112.33,113.47,183617
2014-11-26,113.33,113.74,112.33,112.67,102607
2014-11-28,113.14,113.23,111.11,111.64,68654
2014-12-01,109.98,110.05,103.89,105.99,340811
2014-12-02,107.3,110.0,106.61,109.89,168436
2014-12-03,110.56,111.68,108.79,110.64,144060
2014-12-04,110.1,110.5,108.91,109.17,97316
2014-12-05,109.6,110.35,107.76,107.9,109275
2014-12-08,105.97,107.4,104.21,105.07,170923
2014-12-09,102.5,107.95,101.2,107.48,218547
2014-12-10,107.09,107.38,103.51,103.88,164714
