交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,52.45,52.95,52.35,52.78,129434
2006-12-13,53.2,53.39,52.95,53.11,128246
2006-12-14,53.1,53.48,52.72,53.14,125300
2006-12-15,53.22,53.47,52.86,53.33,192759
2006-12-18,53.47,53.77,53.36,53.67,117697
2006-12-19,53.42,53.89,53.4,53.61,88383
2006-12-20,53.7,53.79,53.42,53.68,76196
2006-12-21,53.89,54.01,53.43,53.52,95342
2006-12-22,53.64,53.66,53.04,53.36,78236
2006-12-26,53.4,54.01,53.38,53.75,67328
2006-12-27,53.88,54.05,53.5,53.81,81774
2006-12-28,53.8,53.96,53.51,53.64,63347
2006-12-29,53.65,53.78,53.25,53.3,61068
2007-01-03,53.4,54.18,52.99,53.33,148010
2007-01-04,53.33,53.89,53.05,53.66,126944
2007-01-05,53.59,53.59,53.03,53.2,98258
2007-01-08,53.46,53.64,52.8,53.41,93585
2007-01-09,53.6,53.71,52.97,53.48,109475
2007-01-10,53.26,53.7,53.16,53.59,96542
2007-01-11,53.5,53.65,53.18,53.26,120267
2007-01-12,53.24,53.6,53.24,53.4,105302
2007-01-16,53.46,53.53,53.31,53.42,111650
2007-01-17,53.5,53.71,53.15,53.32,118463
2007-01-18,53.45,53.55,53.21,53.26,92697
2007-01-19,53.46,53.64,53.25,53.6,119744
2007-01-22,53.64,54.05,53.54,53.64,126176
2007-01-23,53.25,53.52,52.9,53.31,164456
2007-01-24,53.47,53.48,52.56,53.2,237836
2007-01-25,53.2,53.22,52.34,52.39,186281
2007-01-26,52.52,52.8,51.72,52.05,214970
2007-01-29,51.99,52.25,51.35,51.46,204479
2007-01-30,51.52,52.13,51.36,52.12,167694
2007-01-31,52.0,52.8,51.85,52.55,171594
2007-02-01,52.76,52.97,52.65,52.88,118487
2007-02-02,52.83,53.16,52.73,52.75,117249
2007-02-05,52.74,53.12,52.37,52.88,104459
2007-02-06,52.77,53.33,52.75,53.21,130006
2007-02-07,53.35,53.49,53.25,53.33,84035
2007-02-09,53.32,53.5,52.66,52.99,107919
2007-02-12,53.2,53.31,52.98,53.05,89705
2007-02-13,53.09,53.79,53.09,53.76,94277
2007-02-14,53.76,54.17,53.57,54.05,113826
2007-02-15,54.08,54.21,53.7,53.83,94526
2007-02-16,53.64,54.07,53.6,54.03,89715
2007-02-20,53.87,54.17,53.71,54.02,88183
2007-02-21,53.75,53.97,53.71,53.92,86061
2007-02-22,53.85,54.1,53.49,53.67,96328
2007-02-23,53.28,53.74,52.78,52.86,154629
2007-02-26,53.09,53.15,52.6,52.77,110728
2007-02-27,52.2,52.61,49.0,50.76,246354
2007-02-28,50.87,51.5,50.36,50.92,230968
2007-03-01,50.25,50.9,49.8,50.38,231530
2007-03-02,50.1,50.34,49.82,49.98,161638
2007-03-05,49.6,50.28,49.56,49.61,164295
2007-03-06,50.1,51.65,50.1,50.96,155619
2007-03-07,51.03,51.1,50.41,50.6,140715
2007-03-08,50.88,51.33,50.59,50.74,126214
2007-03-09,51.15,51.21,50.67,50.94,100605
2007-03-12,50.95,51.18,50.7,51.09,100968
2007-03-13,51.08,51.08,49.26,49.44,227801
2007-03-14,49.52,49.92,48.36,49.76,233084
2007-03-15,49.63,50.82,49.54,50.09,171226
2007-03-16,50.27,50.47,49.5,49.63,194310
2007-03-19,49.8,50.39,49.35,50.37,117624
2007-03-20,50.37,50.83,50.31,50.78,93796
2007-03-21,50.78,52.0,50.58,51.83,181531
2007-03-22,51.98,52.15,51.41,51.67,140544
2007-03-23,51.7,52.0,51.41,51.71,120288
2007-03-26,51.7,51.71,50.92,51.54,127741
2007-03-27,51.56,52.0,51.35,51.84,166488
2007-03-28,51.44,51.48,50.5,50.72,177130
2007-03-29,51.02,51.25,50.68,51.15,128337
2007-03-30,51.17,51.41,50.28,51.01,134406
2007-04-02,51.2,51.25,50.12,50.43,133030
2007-04-03,50.6,50.89,50.46,50.85,123955
2007-04-04,50.94,51.03,50.59,50.85,105117
2007-04-05,50.73,50.92,50.38,50.86,102069
2007-04-09,50.9,50.96,50.52,50.87,90205
2007-04-10,50.94,51.17,50.81,51.1,99463
2007-04-11,51.07,51.07,50.31,50.48,147147
2007-04-12,50.52,50.52,50.06,50.27,125869
2007-04-13,50.44,50.58,50.15,50.44,120856
2007-04-16,50.8,51.68,50.75,51.24,179200
2007-04-17,51.3,51.5,51.09,51.32,120826
2007-04-18,51.43,52.2,51.25,51.85,183782
2007-04-19,51.34,51.39,50.73,50.88,242996
2007-04-20,51.3,51.3,50.33,51.07,252298
2007-04-23,51.04,51.05,50.32,50.54,170032
2007-04-24,50.65,50.9,50.25,50.65,143017
2007-04-25,50.84,51.24,50.5,51.2,144884
2007-04-26,51.0,51.17,50.65,50.71,141782
2007-04-27,50.72,50.85,50.4,50.76,124175
2007-04-30,50.93,51.22,50.77,50.85,145601
2007-05-01,51.0,51.25,50.67,50.92,141739
2007-05-02,51.02,51.19,50.92,51.02,105468
2007-05-03,51.22,51.58,51.1,51.25,121797
2007-05-04,51.5,51.56,51.09,51.26,129398
2007-05-07,51.48,51.56,51.28,51.38,107728
2007-05-08,51.28,51.49,51.09,51.44,99646
2007-05-09,51.32,51.63,51.19,51.43,154103
2007-05-10,51.45,51.47,50.54,50.58,170201
2007-05-11,50.82,51.09,50.62,50.95,107676
2007-05-14,51.03,51.15,50.56,50.78,103660
2007-05-15,50.99,51.39,50.92,50.98,140768
2007-05-16,51.25,51.42,50.86,51.13,163276
2007-05-17,51.15,51.25,50.87,51.12,106285
2007-05-18,51.32,51.37,51.11,51.26,122015
2007-05-21,51.3,51.35,51.07,51.22,108800
2007-05-22,51.21,51.62,51.17,51.49,142421
2007-05-23,51.7,51.9,51.33,51.35,127486
2007-05-24,51.7,51.74,50.96,51.09,149135
2007-05-25,51.2,51.25,50.79,51.21,110153
2007-05-29,51.23,51.5,51.16,51.2,124354
2007-05-30,50.65,51.09,50.49,50.82,128624
2007-05-31,50.96,51.04,50.47,50.7,130398
2007-06-01,50.75,50.99,50.48,50.73,132466
2007-06-04,50.78,50.92,50.62,50.87,123277
2007-06-05,50.78,50.8,50.55,50.68,110990
2007-06-06,50.5,50.65,50.26,50.3,131083
2007-06-07,50.3,50.5,49.74,49.75,201345
2007-06-08,49.92,50.28,49.56,50.24,173451
2007-06-11,50.1,50.29,49.81,50.05,119327
2007-06-12,49.85,50.1,49.65,49.67,149048
2007-06-13,50.0,50.38,49.75,50.33,161998
2007-06-14,50.36,50.45,50.0,50.06,141912
2007-06-15,50.17,50.38,49.99,50.12,197299
2007-06-18,50.01,50.14,49.83,49.91,122344
2007-06-19,50.17,50.83,50.15,50.55,170562
2007-06-20,50.7,50.8,49.94,49.95,181512
2007-06-21,50.02,50.13,49.71,49.91,185885
2007-06-22,49.84,49.89,48.95,48.98,275645
2007-06-25,49.18,49.48,48.66,48.86,203626
2007-06-26,49.15,49.4,48.8,48.8,165588
2007-06-27,48.79,49.2,48.55,49.2,152802
2007-06-28,49.23,49.46,48.76,49.1,136966
2007-06-29,49.23,49.35,48.59,48.86,167354
2007-07-02,49.15,49.35,48.98,49.32,100274
2007-07-03,49.49,49.7,49.24,49.58,75015
2007-07-05,49.04,49.65,49.03,49.37,116114
2007-07-06,49.31,49.37,48.85,49.13,142671
2007-07-09,49.0,49.17,48.78,48.81,140246
2007-07-10,48.6,48.73,48.27,48.36,202451
2007-07-11,48.37,49.06,48.12,48.58,169843
2007-07-12,48.6,49.55,48.51,49.54,175873
2007-07-13,49.55,49.82,49.35,49.5,133208
2007-07-16,49.34,49.98,49.34,49.62,128831
2007-07-17,49.73,50.15,49.7,49.82,185555
2007-07-18,49.36,49.78,48.54,49.32,270470
2007-07-19,49.57,49.85,48.9,49.25,193392
2007-07-20,49.26,49.27,48.1,48.28,310145
2007-07-23,48.46,48.6,45.17,48.12,213532
2007-07-24,47.93,48.14,47.0,47.15,296630
2007-07-25,47.32,48.24,46.9,47.93,325924
2007-07-26,47.34,47.72,46.9,47.44,487547
2007-07-27,47.54,48.21,47.35,47.4,360079
2007-07-30,47.9,48.14,47.45,47.75,313016
2007-07-31,48.01,48.41,47.4,47.4,306725
2007-08-01,47.3,47.86,46.89,47.64,460022
2007-08-02,47.77,48.05,47.56,47.8,319641
2007-08-03,47.65,48.1,46.97,46.99,372363
2007-08-06,47.29,48.28,46.52,48.16,413938
2007-08-07,48.04,49.34,47.6,48.72,377859
2007-08-08,48.67,49.97,48.56,49.63,341466
2007-08-09,48.3,49.2,47.92,48.44,361445
2007-08-10,47.75,49.4,47.75,48.61,303017
2007-08-13,49.29,49.3,48.4,48.47,225074
2007-08-14,48.6,48.7,47.8,47.8,239169
2007-08-15,47.9,49.27,47.66,48.24,345306
2007-08-16,48.06,50.33,47.77,50.25,621467
2007-08-17,51.82,52.78,50.52,51.74,593958
2007-08-20,51.86,52.17,50.47,51.3,322737
2007-08-21,51.0,51.96,50.7,51.32,245215
2007-08-22,51.78,51.87,50.93,51.65,255833
2007-08-23,52.03,52.08,51.24,51.82,336598
