交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,37.74,37.77,37.04,37.32,31836
2006-12-13,37.715,37.815,37.36,37.735,24049
2006-12-14,38.04,38.185,37.815,38.175,39343
2006-12-15,38.425,38.445,37.555,37.865,24597
2006-12-18,37.705,37.705,36.945,36.985,32275
2006-12-19,37.245,37.48,36.99,37.365,23702
2006-12-20,37.32,37.695,37.29,37.435,28393
2006-12-21,37.825,37.825,36.345,36.505,42064
2006-12-22,37.0,37.01,35.96,36.355,23045
2006-12-26,36.39,36.75,36.12,36.29,19179
2006-12-27,36.71,37.16,36.615,37.135,16994
2006-12-28,37.3,37.535,36.975,37.32,19389
2006-12-29,37.32,37.415,37.04,37.275,8607
2007-01-03,37.2,37.215,36.215,36.44,63401
2007-01-04,35.54,35.81,35.145,35.38,51459
2007-01-05,35.295,35.34,34.58,34.845,46076
2007-01-08,35.21,35.315,34.63,34.95,48967
2007-01-09,35.415,35.415,34.105,35.34,82063
2007-01-10,34.975,35.68,34.715,35.49,47658
2007-01-11,36.01,37.15,35.81,36.54,63863
2007-01-12,36.16,37.245,36.16,37.085,39555
2007-01-16,36.45,36.615,35.96,36.14,35115
2007-01-17,35.615,36.385,35.53,36.16,30381
2007-01-18,36.75,36.91,36.165,36.31,33247
2007-01-19,36.825,37.585,36.675,37.515,37012
2007-01-22,37.555,37.65,37.03,37.19,22007
2007-01-23,37.61,38.53,37.6,38.425,36280
2007-01-24,38.725,38.905,38.36,38.775,44809
2007-01-25,38.26,38.625,37.715,37.81,39810
2007-01-26,37.96,37.96,37.435,37.665,14844
2007-01-29,37.425,38.005,37.375,37.6,23841
2007-01-30,38.165,38.305,37.79,38.25,24045
2007-01-31,37.78,38.5,37.64,38.435,33053
2007-02-01,39.195,39.345,38.82,38.83,36012
2007-02-02,38.885,39.095,38.41,38.595,43155
2007-02-05,38.775,39.01,38.55,38.635,28402
2007-02-06,39.075,39.43,39.02,39.15,31488
2007-02-07,40.93,41.54,40.895,41.38,56331
2007-02-09,40.91,41.155,40.585,40.705,20733
2007-02-12,41.175,41.54,41.11,41.26,27302
2007-02-13,41.82,42.255,41.785,42.215,25678
2007-02-14,42.58,43.085,41.96,42.71,41471
2007-02-15,42.835,43.085,42.78,42.805,26954
2007-02-16,42.29,42.92,42.225,42.855,15876
2007-02-20,42.74,43.01,42.505,42.89,23264
2007-02-21,42.255,42.805,41.96,42.635,37984
2007-02-22,43.135,43.32,42.78,43.05,27282
2007-02-23,43.415,43.53,43.2,43.415,27376
2007-02-26,43.63,44.785,43.555,43.845,24785
2007-02-27,41.905,42.055,40.46,40.75,65028
2007-02-28,40.46,40.77,39.975,40.265,42146
2007-03-01,39.17,40.07,39.01,39.665,43718
2007-03-02,39.41,39.785,38.8,39.0,41881
2007-03-05,37.855,38.795,37.825,38.11,43392
2007-03-06,39.3,40.145,39.235,39.835,38542
2007-03-07,39.58,40.3,39.485,39.91,24257
2007-03-08,40.295,40.6,40.06,40.115,25117
2007-03-09,40.535,40.675,40.105,40.225,22811
2007-03-12,40.32,40.895,40.2,40.835,21687
2007-03-13,40.37,40.855,39.55,39.625,33311
2007-03-14,39.56,39.945,38.87,39.945,31419
2007-03-15,40.565,41.585,40.435,41.38,35923
2007-03-16,41.355,41.86,41.11,41.41,21274
2007-03-19,42.28,42.77,42.15,42.655,22551
2007-03-20,42.74,43.455,42.47,43.455,31102
2007-03-21,43.63,44.44,43.405,44.29,32532
2007-03-22,44.53,44.625,43.995,44.175,23646
2007-03-23,44.56,44.87,44.215,44.335,32863
2007-03-26,45.225,45.76,44.56,45.74,53810
2007-03-27,45.385,45.535,44.99,45.355,39437
2007-03-28,45.0,45.055,44.355,44.37,27909
2007-03-29,45.375,45.74,44.97,45.345,36095
2007-03-30,45.43,45.715,45.32,45.47,27812
2007-04-02,45.44,45.73,45.085,45.59,23870
2007-04-03,46.21,46.78,46.18,46.605,25727
2007-04-04,46.07,46.865,45.975,46.77,25171
2007-04-05,46.54,46.77,46.265,46.37,14810
2007-04-09,46.32,46.885,46.295,46.575,19702
2007-04-10,47.26,47.805,47.195,47.635,26848
2007-04-11,47.635,47.665,46.705,46.925,27477
2007-04-12,46.745,47.215,46.37,47.205,25920
2007-04-13,46.78,47.28,46.51,47.26,17441
2007-04-16,47.605,48.01,47.465,47.87,29417
2007-04-17,47.43,47.955,47.335,47.84,36426
2007-04-18,46.99,47.065,46.65,46.905,30643
2007-04-19,46.135,46.305,45.72,46.17,24982
2007-04-20,46.79,47.325,46.78,47.3,19607
2007-04-23,46.885,47.12,46.605,46.66,22334
2007-04-24,46.63,46.765,45.835,45.945,21028
2007-04-25,46.81,47.15,46.605,47.15,23741
2007-04-26,46.82,46.82,45.975,46.165,26510
2007-04-27,45.46,46.005,45.34,45.87,16100
2007-04-30,45.89,46.5,45.73,45.855,22208
2007-05-01,45.665,45.855,45.13,45.45,27591
2007-05-02,45.805,46.735,45.715,46.545,18007
2007-05-03,46.855,47.1,46.5,46.93,28807
2007-05-04,47.615,48.73,47.615,48.425,55371
2007-05-07,49.135,49.34,48.575,48.78,37401
2007-05-08,47.825,47.925,47.1,47.755,33269
2007-05-09,48.855,51.01,48.575,50.15,63221
2007-05-10,48.74,48.95,48.02,48.245,38984
2007-05-11,48.76,49.315,48.265,49.08,21587
