交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,145.42,146.5,144.06,146.04,1014
2006-12-13,144.6,146.5,144.6,146.08,1223
2006-12-14,146.4,148.13,146.05,146.24,912
2006-12-15,146.25,146.28,145.15,145.58,1038
2006-12-18,146.61,146.61,144.17,145.11,1041
2006-12-19,144.5,145.86,144.0,145.66,791
2006-12-20,144.9,148.15,144.81,147.08,1108
2006-12-21,148.25,150.44,148.04,149.49,1858
2006-12-22,149.3,150.08,149.0,149.68,1213
2006-12-26,149.3,150.15,149.0,149.28,693
2006-12-27,149.14,152.27,149.14,151.98,865
2006-12-28,151.9,153.5,151.6,153.11,1147
2006-12-29,153.5,153.75,151.7,151.93,761
2007-01-03,152.9,158.41,152.9,155.05,2335
2007-01-04,155.25,157.83,153.5,156.79,2419
2007-01-05,156.8,157.51,156.12,156.72,1613
2007-01-08,158.0,159.79,156.6,159.53,2548
2007-01-09,160.0,161.35,159.67,160.6,2401
2007-01-10,160.45,164.92,158.9,164.9,2923
2007-01-11,165.05,168.39,164.9,167.93,3146
2007-01-12,167.02,173.89,167.02,172.5,4243
2007-01-16,173.0,173.49,169.31,171.46,3232
2007-01-17,171.98,175.1,171.31,173.08,1836
2007-01-18,173.69,173.9,169.42,170.05,2747
2007-01-19,170.6,170.6,168.88,169.89,1504
2007-01-22,169.9,170.56,168.6,169.26,2069
2007-01-23,175.0,176.9,168.7,176.09,7977
2007-01-24,171.16,173.06,166.62,171.85,12340
2007-01-25,171.9,172.9,168.9,169.45,3547
2007-01-26,169.02,170.0,167.51,169.23,2568
2007-01-29,170.67,171.37,168.16,168.57,1851
2007-01-30,168.83,169.06,165.66,167.87,4187
2007-01-31,166.25,168.78,166.0,167.94,2057
2007-02-01,169.5,170.98,167.98,169.35,2984
2007-02-02,169.32,170.0,168.15,168.89,1764
2007-02-05,169.89,171.26,169.42,170.41,2842
2007-02-06,170.01,171.16,169.61,170.65,1546
2007-02-07,171.95,172.73,171.18,172.54,2422
2007-02-09,176.86,180.3,172.7,173.4,3188
2007-02-12,173.02,173.42,170.1,171.06,3376
2007-02-13,172.0,172.6,170.07,170.54,1761
2007-02-14,170.26,179.99,170.26,171.9,4609
2007-02-15,171.9,176.11,170.75,175.43,4008
2007-02-16,176.08,176.6,172.6,173.54,1730
2007-02-20,173.9,175.0,172.85,174.0,2146
2007-02-21,173.35,173.95,172.55,172.55,1797
2007-02-22,174.6,175.9,173.72,175.01,2916
2007-02-23,175.02,175.17,173.68,174.2,2009
2007-02-26,174.35,174.75,166.8,167.59,4233
2007-02-27,167.25,167.25,159.4,163.04,2585
2007-02-28,163.8,163.8,158.28,159.09,5092
2007-03-01,158.0,159.74,154.29,158.53,2530
2007-03-02,158.0,158.2,155.2,155.69,1916
2007-03-05,154.52,155.54,152.19,152.5,2286
2007-03-06,154.25,155.89,153.45,155.14,2998
2007-03-07,154.91,157.45,154.65,155.81,2397
2007-03-08,156.05,159.4,156.05,157.45,2050
2007-03-09,158.18,159.59,157.4,158.73,1808
2007-03-12,158.63,159.62,157.78,159.31,1927
2007-03-13,159.31,159.49,153.18,153.36,2632
2007-03-14,153.35,154.72,151.32,153.79,3007
2007-03-15,152.73,157.03,152.73,156.21,2097
2007-03-16,156.82,158.09,155.83,156.07,1667
2007-03-19,156.07,158.52,156.07,158.26,1380
2007-03-20,159.14,159.14,154.08,154.34,4779
2007-03-21,154.41,158.78,154.41,158.2,3175
2007-03-22,159.69,160.09,157.76,157.9,1569
2007-03-23,159.01,160.39,158.5,160.25,1326
2007-03-26,160.75,161.89,157.92,159.2,1514
2007-03-27,159.65,159.7,158.1,158.66,1024
2007-03-28,159.03,159.5,156.5,156.76,1494
2007-03-29,157.25,158.0,154.52,156.0,1456
2007-03-30,156.4,158.2,155.91,156.29,1625
2007-04-02,156.17,156.47,153.72,154.11,1817
2007-04-03,154.75,156.37,154.75,155.91,1199
2007-04-04,156.01,156.56,155.52,155.59,1297
2007-04-05,155.6,157.0,155.4,156.44,1070
2007-04-09,156.26,157.27,155.18,155.36,2007
2007-04-10,155.37,158.66,155.37,158.57,1797
2007-04-11,158.25,158.26,156.14,157.16,1107
2007-04-12,155.75,157.65,153.72,156.45,2858
2007-04-13,156.87,158.04,156.27,157.79,1668
2007-04-16,158.6,160.94,158.6,160.77,2195
2007-04-17,161.0,162.49,160.55,161.5,1909
2007-04-18,160.9,162.83,160.0,160.11,2715
2007-04-19,158.0,158.0,153.18,156.52,9920
2007-04-20,157.5,157.91,154.1,154.8,3482
2007-04-23,155.09,155.98,152.11,152.69,3385
2007-04-24,152.39,153.55,150.0,152.66,3277
2007-04-25,153.5,153.59,150.86,152.72,3157
2007-04-26,153.25,161.45,152.79,152.82,2683
2007-04-27,152.91,153.61,150.3,151.25,3447
2007-04-30,151.49,151.56,149.48,149.8,4603
2007-05-01,149.62,150.01,147.5,148.84,3727
2007-05-02,148.28,159.0,147.88,148.53,3979
2007-05-03,148.9,149.91,148.49,148.88,2575
2007-05-04,149.04,149.74,148.42,148.79,2631
2007-05-07,150.24,150.52,147.05,148.42,4229
2007-05-08,147.84,148.35,146.61,147.22,2516
2007-05-09,146.65,147.56,144.6,146.0,4351
2007-05-10,145.25,146.89,145.0,145.66,3414
2007-05-11,147.25,151.4,147.25,148.88,4189
2007-05-14,148.9,149.3,145.66,146.83,4414
2007-05-15,146.86,148.06,144.46,144.87,3891
2007-05-16,145.38,146.1,143.69,144.74,2597
2007-05-17,145.17,148.59,144.55,147.98,4922
2007-05-18,148.4,149.09,147.8,148.09,3377
2007-05-21,150.2,150.3,146.71,148.14,5597
2007-05-22,148.32,149.08,147.1,147.5,2448
2007-05-23,148.1,149.6,146.6,147.17,3145
2007-05-24,147.36,148.2,145.3,146.28,3255
2007-05-25,146.03,146.49,144.1,144.88,2986
2007-05-29,147.0,147.72,145.0,146.41,2798
2007-05-30,145.9,146.5,145.12,146.3,1884
2007-05-31,152.29,154.47,150.0,153.3,9604
2007-06-01,153.34,154.48,153.07,154.3,3843
2007-06-04,152.4,153.3,151.53,153.0,2122
2007-06-05,152.6,155.42,151.6,152.11,2453
2007-06-06,151.2,152.8,151.07,151.48,2521
2007-06-07,151.25,151.7,149.04,149.23,3576
2007-06-08,149.36,152.21,148.1,151.96,5175
2007-06-11,152.67,154.66,151.85,154.05,2975
2007-06-12,153.5,158.0,153.5,155.0,8724
2007-06-13,156.3,157.52,154.81,156.8,3730
2007-06-14,157.02,158.53,156.83,157.23,2803
2007-06-15,158.22,159.1,156.99,157.95,2381
2007-06-18,158.0,160.6,157.31,160.33,3384
2007-06-19,160.15,161.6,157.95,161.0,4081
2007-06-20,161.61,162.62,157.61,157.61,4093
2007-06-21,157.67,157.95,153.55,156.61,4224
2007-06-22,156.81,159.6,153.29,155.26,7296
2007-06-25,155.41,157.49,153.93,154.44,2486
2007-06-26,155.4,157.9,154.03,156.33,5654
2007-06-27,155.99,159.59,155.42,159.05,3069
2007-06-28,159.25,160.0,158.2,158.89,1953
2007-06-29,158.9,159.5,155.3,156.48,4444
2007-07-02,158.05,166.23,157.65,165.49,5890
2007-07-03,165.5,167.1,164.57,165.67,1419
2007-07-05,166.25,166.29,163.11,163.75,2063
2007-07-06,164.5,165.75,163.7,165.75,1264
2007-07-09,166.0,166.1,163.62,164.39,1925
2007-07-10,164.32,164.42,162.02,163.87,3960
2007-07-11,163.79,164.74,162.85,164.72,3158
2007-07-12,165.5,166.48,164.47,165.3,3543
2007-07-13,167.05,169.6,166.1,168.85,3261
2007-07-16,168.8,169.44,166.32,166.85,3572
2007-07-17,166.7,167.69,163.07,164.19,4891
2007-07-18,165.0,174.62,164.98,174.27,13954
2007-07-19,178.65,179.97,172.12,174.99,13415
2007-07-20,173.52,174.1,168.86,171.59,7303
2007-07-23,173.0,174.6,171.01,172.25,3955
2007-07-24,171.0,171.0,164.62,166.7,7634
2007-07-25,168.5,169.64,166.8,168.7,4771
2007-07-26,166.85,166.98,161.5,165.4,5493
2007-07-27,164.61,166.5,161.11,163.5,4631
2007-07-30,162.5,165.87,159.61,164.4,6014
2007-07-31,165.5,167.05,159.21,159.4,4417
2007-08-01,159.8,160.8,153.4,155.08,7931
2007-08-02,155.37,160.3,155.27,158.05,4643
2007-08-03,157.95,158.25,149.91,151.1,7654
2007-08-06,151.03,156.2,150.5,156.17,5120
2007-08-07,155.0,159.1,154.2,157.9,5629
2007-08-08,158.95,164.99,158.95,162.48,5928
2007-08-09,158.95,163.9,151.4,156.77,7381
2007-08-10,153.0,162.67,150.05,158.2,7798
2007-08-13,160.57,168.75,152.1,152.6,7751
2007-08-14,154.5,155.7,144.56,146.9,15254
2007-08-15,142.66,150.64,142.66,145.39,7084
2007-08-16,144.75,154.3,139.2,153.15,9978
2007-08-17,158.0,163.01,156.8,161.14,9930
2007-08-20,161.58,161.58,154.55,158.13,3619
2007-08-21,157.48,159.45,156.0,158.51,2636
2007-08-22,160.5,163.44,158.1,160.06,7601
2007-08-23,160.65,162.0,158.9,160.0,5369
2007-08-24,160.2,160.2,155.03,158.55,2681
2007-08-27,158.5,160.2,157.0,157.47,2254
2007-08-28,156.32,156.9,150.01,150.51,2782
2007-08-29,151.25,154.83,149.58,154.56,3481
2007-08-30,153.09,155.46,152.4,154.3,2060
2007-08-31,156.88,157.1,154.3,155.1,1706
2007-09-04,153.95,158.76,153.1,157.42,1204
2007-09-05,156.25,157.6,154.2,156.5,1885
2007-09-06,158.42,158.42,155.0,156.5,1899
2007-09-07,154.75,155.02,151.91,152.4,2399
2007-09-10,152.84,153.87,149.86,152.13,1450
2007-09-11,152.3,158.22,152.3,157.55,2907
2007-09-12,156.69,157.01,152.9,154.94,2515
2007-09-13,155.5,158.69,154.5,158.5,1323
2007-09-14,157.68,159.19,155.9,158.1,1793
2007-09-17,158.8,159.7,157.59,157.85,1515
2007-09-18,159.0,170.0,159.0,169.59,4957
2007-09-19,169.99,175.0,169.6,170.7,5083
2007-09-20,170.4,171.0,165.09,167.0,2204
2007-09-21,167.1,171.1,167.0,170.3,2274
2007-09-24,170.15,170.15,165.0,165.2,1438
2007-09-25,165.42,168.87,164.16,168.83,2401
2007-09-26,169.0,169.82,165.92,168.69,2036
2007-09-27,168.77,172.58,168.7,172.5,1844
2007-09-28,172.58,173.75,172.3,173.42,1812
2007-10-01,174.05,176.22,173.16,175.6,3565
2007-10-02,176.6,178.03,175.7,176.82,2192
2007-10-03,176.21,180.08,175.5,178.7,3094
2007-10-04,178.41,178.5,172.18,177.13,4469
2007-10-05,177.45,179.45,176.7,179.04,1730
2007-10-08,179.32,180.1,178.1,179.3,1969
2007-10-09,179.27,186.3,178.8,186.2,4195
2007-10-10,186.28,186.4,183.2,185.2,3099
2007-10-11,176.91,188.08,176.91,183.95,2559
2007-10-12,183.8,185.13,182.3,184.09,3241
2007-10-15,183.5,183.62,180.3,181.38,2130
2007-10-16,182.0,184.6,180.69,184.03,2549
2007-10-17,192.5,198.78,187.75,195.99,12750
2007-10-18,187.5,192.0,186.79,191.79,11452
2007-10-19,191.25,193.55,185.61,186.78,4905
2007-10-22,186.0,190.91,184.3,189.93,2270
2007-10-23,190.75,191.95,189.09,191.65,4042
2007-10-24,191.2,191.43,184.21,189.23,5055
2007-10-25,192.5,197.93,192.08,195.05,11835
2007-10-26,197.0,202.94,195.65,198.59,6967
2007-10-29,199.25,199.25,196.04,196.86,2609
2007-10-30,196.55,199.2,196.04,197.26,5555
2007-10-31,198.0,207.32,197.68,206.71,5800
2007-11-01,205.0,205.29,198.71,200.46,3831
2007-11-02,201.85,202.22,194.42,199.75,5876
2007-11-05,198.9,198.9,194.3,195.76,7678
2007-11-06,196.5,197.17,191.75,196.61,3966
2007-11-07,193.13,195.99,191.48,191.86,5262
2007-11-08,192.0,194.24,185.87,191.24,4592
2007-11-09,186.81,194.3,185.71,191.26,3766
2007-11-12,193.23,196.0,188.68,188.99,4827
2007-11-13,189.37,196.08,189.37,195.15,3203
2007-11-14,196.38,198.6,194.25,195.95,3557
2007-11-15,196.01,197.34,194.61,196.75,4935
2007-11-16,197.5,197.5,189.28,192.5,4776
2007-11-19,189.02,190.33,183.4,184.41,4813
2007-11-20,185.5,191.29,182.67,187.72,3660
2007-11-21,186.7,190.41,182.1,187.42,6214
2007-11-23,190.49,191.7,188.96,190.12,2251
2007-11-26,190.5,191.29,186.8,187.13,2639
2007-11-27,188.12,192.31,186.25,192.0,3081
2007-11-28,193.24,201.49,193.24,200.35,7138
2007-11-29,200.0,200.64,196.56,197.82,2825
2007-11-30,201.7,202.83,197.54,198.37,2812
2007-12-03,201.84,203.81,197.21,203.45,3891
2007-12-04,203.0,204.88,201.65,203.08,4514
