交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,107750.0,108800.0,107600.0,108800.0,26
2006-12-13,109200.0,110000.0,109000.0,109800.0,25
2006-12-14,110000.0,110200.0,109750.0,110200.0,39
2006-12-15,109800.0,113500.0,109800.0,113500.0,37
2006-12-18,114500.0,114500.0,113325.0,113325.0,38
2006-12-19,113300.0,113300.0,112450.0,113200.0,52
2006-12-20,113500.0,113500.0,111200.0,111420.0,40
2006-12-21,111200.0,111900.0,109500.0,109989.9,39
2006-12-22,110000.0,110550.0,109500.0,109700.0,21
2006-12-26,109700.0,109900.0,107900.0,109900.0,26
2006-12-27,110300.0,110300.0,110100.0,110100.0,13
2006-12-28,110250.0,110250.0,109600.0,109995.0,21
2006-12-29,109700.0,109900.0,109000.0,109900.0,24
2007-01-03,110400.0,110600.0,109100.0,109300.0,57
2007-01-04,109400.0,109400.0,108250.0,108600.0,35
2007-01-05,108800.0,108800.0,107000.1,107200.0,32
2007-01-08,107600.0,107800.0,107300.0,107500.1,30
2007-01-09,107510.0,109600.0,107510.0,109350.0,38
2007-01-10,109350.0,109550.0,108500.0,109490.0,32
2007-01-11,109700.0,110100.0,109400.0,110000.0,33
2007-01-12,110200.0,110200.0,109750.0,110000.0,24
2007-01-16,110100.0,110400.0,108600.0,108950.0,29
2007-01-17,108700.0,109510.0,108500.1,108500.1,13
2007-01-18,109000.0,109500.0,108700.0,109050.0,22
2007-01-19,109490.0,109700.0,109000.0,109450.0,21
2007-01-22,110100.0,110100.0,108700.0,109100.0,43
2007-01-23,108850.0,109490.0,108500.1,108650.0,25
2007-01-24,108850.0,108850.0,107100.0,107500.0,38
2007-01-25,108100.0,108100.0,107100.0,107300.0,30
2007-01-26,107500.0,107650.0,106100.0,106800.0,45
2007-01-29,106800.0,108200.0,106600.0,108200.0,39
2007-01-30,108100.0,109000.0,108100.0,109000.0,47
2007-01-31,109400.0,110100.0,108950.0,109900.0,36
2007-02-01,110200.0,110600.0,109800.0,110600.0,39
2007-02-02,110650.0,110700.0,108800.0,109101.0,31
2007-02-05,109200.0,109200.0,108255.0,108750.0,29
2007-02-06,108600.0,109100.0,108200.0,109100.0,15
2007-02-07,108999.9,108999.9,108525.0,108601.0,14
2007-02-09,108800.0,109300.0,108800.0,109100.0,27
2007-02-12,109450.0,109450.0,108550.0,108600.0,15
2007-02-13,108900.0,108920.0,108050.0,108200.0,23
2007-02-14,108600.0,108790.0,108210.0,108400.1,29
2007-02-15,108800.0,108800.0,106710.0,106710.0,65
2007-02-16,107500.0,108550.0,107000.0,108400.0,49
2007-02-20,108300.0,109400.0,108300.0,108900.0,19
2007-02-21,109000.0,109000.0,107500.0,107700.0,29
2007-02-22,107700.0,108100.0,107000.0,107400.0,35
2007-02-23,107160.0,107300.0,106500.0,106800.0,49
2007-02-26,107100.0,107100.0,106400.0,106600.0,26
2007-02-27,106450.0,106450.0,103800.0,105100.0,130
2007-02-28,105350.0,106500.0,105000.0,106000.1,65
2007-03-01,105400.0,107100.0,104800.0,106600.0,66
2007-03-02,106850.0,107850.0,106850.0,107050.0,28
2007-03-05,106890.0,108200.0,106650.0,106990.0,41
2007-03-06,107400.0,107700.0,106950.0,107350.0,32
2007-03-07,107600.0,108000.0,107500.0,108000.0,12
2007-03-08,108200.0,108990.0,108200.0,108990.0,27
2007-03-09,109000.0,109550.0,109000.0,109550.0,29
2007-03-12,109500.0,109700.0,109000.0,109200.0,12
2007-03-13,109000.0,109000.0,107900.0,108100.0,17
2007-03-14,107100.0,107100.0,106695.0,106800.0,62
2007-03-15,107200.0,107200.0,106400.0,106600.0,33
2007-03-16,106600.0,106700.0,105500.0,105500.0,53
2007-03-19,106300.0,108400.0,106190.0,107700.0,49
2007-03-20,107400.0,108100.0,106800.0,108000.0,35
2007-03-21,107800.0,109300.0,107200.0,109000.0,55
2007-03-22,109200.0,109350.0,108400.0,108400.0,35
2007-03-23,108650.0,108650.0,108000.0,108000.0,17
2007-03-26,108150.0,108300.0,107700.0,108200.0,14
2007-03-27,107800.0,107800.0,107300.0,107601.0,20
2007-03-28,108000.0,108350.0,107600.0,108350.0,12
2007-03-29,107975.0,108301.0,107975.0,108200.0,18
2007-03-30,108200.0,108940.0,108200.0,108940.0,23
2007-04-02,108300.0,108400.0,107600.0,108050.0,43
2007-04-03,108500.0,109100.0,108300.0,108300.0,14
2007-04-04,108300.0,108550.0,108295.0,108550.0,16
2007-04-05,108950.0,109100.0,108575.0,108849.0,19
2007-04-09,108990.0,109000.0,108700.0,109000.0,27
2007-04-10,109050.0,110000.0,109000.0,109800.0,59
2007-04-11,109700.0,109775.0,109450.0,109750.0,22
2007-04-12,109200.0,109750.0,109200.0,109750.0,14
2007-04-13,109750.0,109850.0,109750.0,109850.0,6
2007-04-16,109810.0,109975.0,109600.0,109970.0,28
2007-04-17,109800.0,109990.0,109700.0,109900.0,18
2007-04-18,109500.0,110000.0,109500.0,109700.0,73
2007-04-19,110000.0,110000.0,109000.0,109300.0,21
2007-04-20,109700.0,109700.0,109300.0,109300.0,24
2007-04-23,109500.0,109750.0,109300.0,109500.0,40
2007-04-24,109850.0,109850.0,108850.0,108850.0,33
2007-04-25,109200.0,109400.0,108800.0,109000.0,34
2007-04-26,109300.0,109400.0,109000.0,109400.0,14
2007-04-27,109200.0,109200.0,109000.0,109000.0,9
2007-04-30,109500.0,109500.0,108800.0,109100.0,34
2007-05-01,109000.0,109000.0,108000.0,108301.0,34
2007-05-02,108220.0,108700.0,108220.0,108600.0,36
2007-05-03,108990.0,109000.0,108000.0,108600.0,190
2007-05-04,108620.0,109500.0,108620.0,109200.0,148
2007-05-07,109550.0,110490.0,109500.0,110490.0,98
2007-05-08,110200.0,110200.0,108400.0,108600.0,89
2007-05-09,109000.0,109300.0,108875.0,109100.0,46
2007-05-10,109150.0,109400.0,109000.0,109200.0,16
2007-05-11,109010.0,110300.0,109010.0,110000.0,47
2007-05-14,109990.0,109990.0,109250.0,109350.0,41
2007-05-15,109350.1,109550.0,109150.1,109250.0,12
2007-05-16,109260.0,109440.0,109000.0,109000.0,52
2007-05-17,108800.1,109000.0,108600.0,108600.0,36
