交易日期,开盘价,最高价,最低价,收盘价,成交量
2009-02-12,10.24,10.24,10.24,10.24,100
2009-03-03,9.5,9.5,9.5,9.5,2
2009-03-27,11.86,11.86,11.86,11.86,112
2009-04-06,12.4,12.4,12.4,12.4,12
2009-04-09,12.4,12.4,12.4,12.4,10
2009-04-20,12.076,12.076,12.076,12.076,5
2009-04-24,11.5,11.5,11.5,11.5,5
2009-05-04,12.16,12.16,12.16,12.16,5
2009-05-05,12.22,12.24,12.22,12.24,50
2009-05-11,12.68,12.68,12.68,12.68,5
2009-05-12,12.724,12.724,12.724,12.724,5
2009-05-13,12.24,12.36,12.24,12.36,17
2009-05-14,12.26,12.5,12.26,12.5,167
2009-05-15,12.5,12.5,12.3,12.5,42
2009-05-18,12.82,13.0,12.8,13.0,62
2009-05-19,12.92,13.08,12.92,13.08,70
2009-05-20,12.68,12.84,12.6,12.8,107
2009-05-21,12.42,12.56,12.42,12.56,17
2009-05-22,12.48,12.48,12.48,12.48,5
2009-05-26,12.48,12.48,12.48,12.48,7
2009-05-27,12.948,12.948,12.948,12.948,7
2009-05-29,13.12,13.12,12.86,12.86,15
2009-06-01,13.54,13.54,13.54,13.54,12
2009-06-02,13.22,13.22,13.22,13.22,10
2009-06-03,13.3,13.3,13.3,13.3,12
2009-06-04,13.14,13.14,13.14,13.14,10
2009-06-05,13.484,13.52,13.484,13.52,12
2009-06-08,13.3,13.3,13.06,13.06,22
2009-06-09,12.98,12.98,12.98,12.98,2
2009-06-10,13.6,14.0,13.6,13.828,22
2009-06-11,14.02,14.272,14.02,14.272,27
2009-06-12,14.34,14.34,14.34,14.34,0
2009-06-15,14.4,14.4,14.4,14.4,0
2009-06-17,14.48,14.48,14.48,14.48,2
2009-06-18,14.42,14.42,14.42,14.42,12
2009-06-22,14.94,14.94,14.78,14.78,22
2009-06-23,14.54,14.74,14.54,14.74,5
2009-06-24,15.16,15.16,15.08,15.1,12
2009-06-25,15.5,15.5,15.5,15.5,2
2009-06-29,15.72,15.8,15.52,15.72,52
2009-06-30,15.48,15.584,15.48,15.584,7
2009-07-01,15.62,15.62,15.62,15.62,12
2009-07-02,15.36,15.36,15.264,15.264,130
2009-07-07,14.66,14.66,14.66,14.66,2
2009-07-08,14.54,14.54,14.496,14.496,25
2009-07-10,14.536,14.536,14.536,14.536,2
