交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,14.305,14.41,14.275,14.365,256704
2006-12-13,14.46,14.47,14.215,14.285,226977
2006-12-14,14.29,14.345,14.265,14.285,256557
2006-12-15,14.335,14.415,14.265,14.31,523647
2006-12-18,14.345,14.405,14.265,14.365,338091
2006-12-19,14.335,14.37,14.275,14.285,269733
2006-12-20,14.28,14.66,14.21,14.215,203265
2006-12-21,14.265,14.33,14.105,14.25,209724
2006-12-22,14.2,14.24,14.08,14.145,135279
2006-12-26,14.125,14.315,14.075,14.305,128394
2006-12-27,14.36,14.38,14.235,14.285,93957
2006-12-28,14.245,14.325,14.195,14.23,82935
2006-12-29,14.2,14.33,14.085,14.085,114210
2007-01-03,14.125,14.3,13.945,14.215,349887
2007-01-04,14.235,14.375,14.2,14.34,313866
2007-01-05,14.335,14.355,14.105,14.195,219459
2007-01-08,14.125,14.265,14.015,14.155,292206
2007-01-09,14.21,14.28,14.02,14.245,293625
2007-01-10,14.12,14.315,14.085,14.305,250041
2007-01-11,14.345,14.355,14.235,14.315,284934
2007-01-12,14.375,14.705,14.365,14.695,470817
2007-01-16,14.77,14.965,14.675,14.825,369534
2007-01-17,14.755,15.02,14.715,14.925,353277
2007-01-18,15.015,15.09,14.895,15.025,244596
2007-01-19,14.965,15.035,14.815,14.865,306330
2007-01-22,14.855,15.045,14.82,14.93,226554
2007-01-23,14.885,14.975,14.765,14.825,198888
2007-01-24,14.89,15.025,14.855,15.0,334005
2007-01-25,14.955,14.97,14.455,14.495,391605
2007-01-26,14.515,14.655,14.365,14.43,274437
2007-01-29,14.445,14.745,14.375,14.61,266346
2007-01-30,14.685,14.685,14.48,14.565,193209
2007-01-31,14.49,14.88,14.445,14.78,308958
2007-02-01,14.6,14.73,14.025,14.29,745248
2007-02-02,14.345,14.415,14.29,14.355,364158
2007-02-05,14.33,14.34,14.155,14.225,276339
2007-02-06,14.26,14.275,14.02,14.155,299040
2007-02-07,14.155,14.335,14.06,14.185,261186
2007-02-08,14.195,14.2,13.74,13.815,467973
2007-02-09,13.875,13.905,13.48,13.61,457767
2007-02-12,13.615,13.67,13.225,13.345,464796
2007-02-13,13.355,13.735,13.3,13.655,392547
2007-02-14,13.695,14.175,13.67,13.785,276408
2007-02-15,13.84,13.84,13.625,13.785,191748
2007-02-16,13.71,13.895,13.645,13.875,321759
2007-02-20,13.765,13.855,13.685,13.815,282690
2007-02-21,13.73,13.945,13.715,13.895,228762
2007-02-22,13.94,13.96,13.56,13.72,268150
2007-02-23,13.61,13.7,13.405,13.565,345084
2007-02-26,13.56,13.65,13.115,13.245,397110
2007-02-27,13.12,13.145,12.46,12.665,599786
2007-02-28,12.58,13.015,12.52,12.87,451734
2007-03-01,12.555,12.97,12.365,12.77,446360
2007-03-02,12.625,12.86,12.15,12.725,370340
2007-03-05,12.69,12.805,12.565,12.655,467710
2007-03-06,12.74,13.11,12.605,12.935,468658
2007-03-07,12.805,13.045,12.775,12.89,339812
2007-03-08,13.05,13.08,12.91,13.015,240988
2007-03-09,13.2,13.21,13.0,13.055,226766
2007-03-12,12.94,13.135,12.905,13.085,190180
2007-03-13,12.945,13.025,12.75,12.755,367236
2007-03-14,12.84,12.935,12.63,12.905,318142
2007-03-15,12.875,12.97,12.785,12.855,234466
2007-03-16,12.85,12.88,12.69,12.725,469456
2007-03-19,12.75,12.955,12.75,12.945,211422
2007-03-20,12.95,13.195,12.84,13.13,229956
2007-03-21,13.13,13.425,13.005,13.425,272690
2007-03-22,13.455,13.5,13.3,13.36,171298
2007-03-23,13.385,13.5,13.24,13.24,201628
2007-03-26,13.22,13.25,13.035,13.155,244814
2007-03-27,13.145,13.17,12.83,13.035,199070
2007-03-28,12.915,13.01,12.84,12.875,285178
2007-03-29,13.015,13.04,12.76,12.93,266500
2007-03-30,12.95,13.0,12.84,12.97,222094
2007-04-02,12.975,13.005,12.8,12.87,180908
2007-04-03,13.04,13.195,12.875,13.115,319922
2007-04-04,13.155,13.2,13.035,13.175,265092
2007-04-05,13.095,13.33,13.09,13.31,166368
2007-04-09,13.28,13.385,13.17,13.225,142170
2007-04-10,13.15,13.395,13.145,13.35,229376
2007-04-11,13.5,13.92,13.465,13.7,511942
2007-04-12,13.8,13.96,13.595,13.935,268366
2007-04-13,13.975,14.17,13.95,14.095,277136
2007-04-16,14.1,14.17,13.88,13.935,262562
2007-04-17,13.905,14.08,13.89,14.015,178446
2007-04-18,13.9,14.0,13.78,13.915,171710
2007-04-19,13.76,13.84,13.7,13.78,160378
2007-04-20,14.0,14.055,13.745,13.95,379862
2007-04-23,13.98,14.065,13.74,13.83,195678
2007-04-24,13.87,13.905,13.63,13.765,244564
2007-04-25,13.78,14.1,13.725,14.04,377144
2007-04-26,14.23,14.23,13.545,13.575,624722
2007-04-27,13.58,13.625,13.305,13.475,468024
2007-04-30,13.465,13.58,13.325,13.325,469742
2007-05-01,13.47,13.6,13.125,13.35,420876
2007-05-02,13.505,13.785,13.35,13.58,475936
2007-05-03,13.65,13.74,13.55,13.62,336746
2007-05-04,13.65,13.725,13.365,13.44,324052
2007-05-07,13.55,13.56,13.35,13.355,232406
2007-05-08,13.365,13.375,13.17,13.23,390752
2007-05-09,13.1,13.19,13.06,13.135,454444
2007-05-10,13.045,13.13,13.0,13.0,256522
2007-05-11,13.045,13.27,12.985,13.2,273332
2007-05-14,13.23,13.425,13.19,13.3,261248
2007-05-15,13.375,13.575,13.28,13.295,388594
2007-05-16,13.36,13.605,13.295,13.6,307980
2007-05-17,13.505,13.555,13.445,13.455,213726
2007-05-18,13.495,13.82,13.4,13.765,416130
2007-05-21,13.89,13.99,13.73,13.77,289828
2007-05-22,13.77,13.77,13.62,13.675,259744
2007-05-23,13.71,13.88,13.595,13.655,210202
2007-05-24,13.735,13.75,13.405,13.43,356780
2007-05-25,13.51,13.68,13.435,13.61,227948
2007-05-29,13.585,13.62,13.395,13.545,259564
2007-05-30,13.51,13.75,13.415,13.735,279940
2007-05-31,13.825,13.88,13.615,13.7,311008
2007-06-01,13.74,13.75,13.61,13.67,209760
2007-06-04,13.595,13.645,13.465,13.515,244428
