交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,53.71,54.09,52.99,53.24,33896
2006-12-13,53.51,53.93,52.71,53.15,28416
2006-12-14,54.55,55.12,53.83,54.11,92276
2006-12-15,54.4,54.57,53.64,53.76,55167
2006-12-18,53.95,54.19,53.65,53.79,34811
2006-12-19,53.59,53.7,52.95,53.29,37531
2006-12-20,53.25,53.45,52.84,52.93,20644
2006-12-21,53.09,53.3,52.16,52.33,20957
2006-12-22,52.44,52.58,51.95,52.21,16558
2006-12-26,52.51,52.89,52.2,52.71,17265
2006-12-27,53.0,53.55,52.75,53.4,29291
2006-12-28,53.17,53.41,52.98,53.09,14483
2006-12-29,52.97,53.39,52.66,52.82,12897
2007-01-03,53.35,54.09,52.43,52.82,35533
2007-01-04,53.49,54.22,53.02,54.09,36877
2007-01-05,54.15,54.24,53.11,53.41,31483
2007-01-08,53.17,53.81,53.12,53.63,27574
2007-01-09,53.63,54.16,53.6,54.03,26323
2007-01-10,53.83,54.43,53.46,54.42,35266
2007-01-11,54.41,55.42,54.22,55.36,33143
2007-01-12,54.99,56.06,54.99,55.99,32929
2007-01-16,55.9,56.23,55.7,56.23,27359
2007-01-17,55.99,56.79,55.93,56.68,43133
2007-01-18,56.67,57.25,56.46,56.89,34084
2007-01-19,56.76,56.98,56.42,56.76,28849
2007-01-22,56.77,56.77,55.89,56.34,20431
2007-01-23,56.35,57.14,56.12,56.45,26065
2007-01-24,56.45,57.18,56.45,57.06,18927
2007-01-25,56.83,56.97,55.58,55.76,23728
2007-01-26,55.75,55.85,55.14,55.36,16938
2007-01-29,55.0,55.89,54.66,55.32,27579
2007-01-30,55.5,55.83,54.98,55.29,19518
2007-01-31,55.51,56.52,55.03,56.13,26701
2007-02-01,56.25,56.88,56.09,56.37,18180
2007-02-02,56.74,56.74,55.8,56.0,19936
2007-02-05,56.0,56.7,55.86,56.22,16870
2007-02-06,56.53,57.04,56.41,56.6,15564
2007-02-07,56.62,57.45,56.62,57.12,27833
2007-02-08,56.04,57.09,55.68,56.64,50240
2007-02-09,56.78,56.88,55.85,56.0,22312
2007-02-12,56.68,56.7,55.64,55.8,21976
2007-02-13,56.16,56.62,55.85,56.46,20198
2007-02-14,56.51,57.15,56.34,57.03,20144
2007-02-15,56.89,57.9,56.76,57.89,27869
2007-02-16,57.72,58.1,57.57,57.77,38577
2007-02-20,57.97,58.7,57.6,58.28,32456
2007-02-21,58.09,58.28,57.82,58.17,16343
2007-02-22,58.34,58.34,57.55,58.09,19045
2007-02-23,58.09,58.19,57.27,57.47,19921
2007-02-26,57.92,58.07,56.97,57.43,24298
2007-02-27,56.94,57.12,55.36,55.43,44611
2007-02-28,55.8,56.25,55.05,55.87,40998
2007-03-01,55.1,56.39,54.77,56.0,40993
2007-03-02,55.57,56.74,55.5,55.75,43891
2007-03-05,55.28,56.13,55.23,55.28,34763
2007-03-06,55.71,56.09,55.16,55.7,30312
2007-03-07,55.99,56.53,55.72,56.12,28848
2007-03-08,55.5,56.46,54.05,54.26,122845
2007-03-09,54.44,54.53,53.5,54.34,57221
2007-03-12,54.21,54.37,53.28,53.63,52805
2007-03-13,53.24,53.92,52.57,52.97,57787
2007-03-14,53.16,53.29,51.52,52.52,59271
2007-03-15,52.55,53.48,52.39,53.2,34623
2007-03-16,53.02,53.55,52.77,52.98,47068
2007-03-19,53.1,53.72,52.95,53.22,28654
2007-03-20,53.38,53.38,52.71,53.14,40962
2007-03-21,53.15,54.55,53.09,54.41,38267
2007-03-22,54.52,54.66,53.97,54.24,32322
2007-03-23,54.19,55.02,54.09,54.58,22224
2007-03-26,54.44,54.53,53.69,54.52,25961
2007-03-27,54.28,54.37,53.81,54.13,26068
2007-03-28,53.8,54.29,53.17,53.71,33301
2007-03-29,54.16,54.2,53.24,53.68,32132
2007-03-30,53.7,53.92,53.03,53.84,38538
2007-04-02,53.35,54.02,53.35,53.88,41738
2007-04-03,53.99,55.0,53.84,54.56,41123
2007-04-04,54.52,54.7,54.09,54.45,31641
2007-04-05,54.47,55.12,54.27,54.9,26236
2007-04-09,55.0,55.09,54.53,54.8,21281
2007-04-10,54.72,55.08,54.34,54.67,23126
2007-04-11,54.61,54.78,53.84,54.03,35483
2007-04-12,54.68,55.04,53.75,54.67,33683
2007-04-13,54.77,54.77,53.81,54.16,24923
2007-04-16,54.33,54.46,54.0,54.38,24846
2007-04-17,55.45,56.03,55.17,55.59,53481
2007-04-18,55.25,55.7,54.8,54.99,31300
2007-04-19,54.74,55.43,54.71,55.32,29705
2007-04-20,55.8,56.07,54.85,55.1,60313
2007-04-23,55.14,55.32,54.6,54.91,22894
2007-04-24,54.58,54.6,54.03,54.25,33879
2007-04-25,54.34,54.52,53.93,54.27,31083
2007-04-26,54.01,54.36,53.96,54.05,25452
2007-04-27,54.01,54.57,53.66,54.47,40607
2007-04-30,54.36,54.68,53.57,53.57,33073
2007-05-01,53.68,53.91,53.11,53.45,33117
2007-05-02,53.42,54.28,53.29,53.38,25271
2007-05-03,53.63,53.83,53.0,53.13,36441
2007-05-04,53.42,54.01,53.14,53.79,41490
2007-05-07,53.98,54.38,53.78,54.07,20837
2007-05-08,54.38,54.64,54.29,54.6,40930
2007-05-09,54.58,55.15,54.45,54.95,47810
2007-05-10,55.45,56.21,54.61,54.93,48545
2007-05-11,54.55,55.51,54.47,55.0,31616
2007-05-14,55.01,55.39,54.54,54.74,38301
2007-05-15,54.93,55.18,54.07,54.24,32961
2007-05-16,54.37,54.82,54.05,54.81,27676
2007-05-17,54.83,55.86,54.74,55.59,34008
2007-05-18,55.92,56.41,55.58,56.4,32292
2007-05-21,56.41,56.49,55.46,55.78,31910
2007-05-22,55.59,56.1,55.44,55.91,35507
2007-05-23,56.39,56.86,55.96,56.05,36393
2007-05-24,56.1,56.82,55.99,56.32,40051
2007-05-25,56.48,56.7,56.11,56.4,25751
2007-05-29,56.3,56.98,56.23,56.58,28980
2007-05-30,56.31,56.58,55.91,56.54,28754
2007-05-31,56.12,57.45,55.05,56.48,64489
2007-06-01,56.54,56.9,55.49,56.29,44368
2007-06-04,55.96,56.69,55.91,56.08,25178
2007-06-05,55.83,55.9,55.15,55.45,26200
2007-06-06,55.3,56.03,54.85,55.82,47237
2007-06-07,56.02,56.3,55.26,55.26,65764
2007-06-08,55.15,56.24,55.15,56.01,37153
2007-06-11,55.72,55.91,55.32,55.73,27050
2007-06-12,55.18,55.73,55.11,55.17,21858
2007-06-13,55.15,55.97,55.11,55.94,26280
2007-06-14,55.81,56.1,55.6,55.79,18804
2007-06-15,56.21,56.43,55.73,56.12,28268
2007-06-18,55.91,56.44,55.91,56.01,21226
2007-06-19,55.72,56.41,55.71,56.33,25220
2007-06-20,56.41,56.82,55.9,56.35,33210
2007-06-21,56.19,57.23,55.9,57.19,45207
2007-06-22,56.89,57.58,56.7,57.25,34029
2007-06-25,57.2,57.37,56.71,57.23,37549
2007-06-26,57.25,57.49,57.06,57.36,44443
2007-06-27,57.33,58.48,57.07,58.39,41919
2007-06-28,58.43,58.73,57.92,58.22,32344
2007-06-29,58.56,59.09,58.22,58.49,45596
2007-07-02,59.5,60.31,59.43,60.25,40246
2007-07-03,59.92,60.28,59.54,60.1,27192
2007-07-05,60.01,60.2,59.61,60.12,27256
2007-07-06,60.27,61.67,60.16,61.39,38964
2007-07-09,61.63,61.63,60.78,61.36,40419
2007-07-10,61.0,61.0,59.92,60.51,41397
2007-07-11,60.35,60.86,60.24,60.72,30203
2007-07-12,60.75,61.85,60.42,61.75,48710
2007-07-13,61.63,63.07,61.26,62.98,43258
2007-07-16,62.6,62.82,61.66,61.85,27869
2007-07-17,61.79,62.47,61.66,62.13,32744
2007-07-18,62.1,62.72,62.01,62.45,35703
2007-07-19,62.74,62.75,61.85,62.16,28085
2007-07-20,62.18,62.2,60.98,61.29,33707
2007-07-23,61.62,61.73,60.77,60.9,23945
2007-07-24,60.89,62.04,59.95,60.19,43768
2007-07-25,60.6,60.62,59.51,60.28,29155
2007-07-26,59.6,60.03,58.34,59.1,57226
2007-07-27,59.11,59.82,58.47,58.57,48411
2007-07-30,58.6,59.57,58.51,59.52,56278
2007-07-31,59.75,61.06,59.62,59.82,50431
2007-08-01,59.97,61.12,59.0,60.12,61751
2007-08-02,60.02,60.97,59.95,60.82,38579
2007-08-03,60.74,61.77,60.41,60.49,55583
2007-08-06,61.02,62.96,60.54,62.93,41425
2007-08-07,62.5,64.82,62.49,64.36,67331
2007-08-08,64.96,65.12,63.92,65.08,59907
2007-08-09,64.49,65.57,63.32,63.32,60985
2007-08-10,62.99,64.04,62.5,63.34,48439
2007-08-13,63.0,63.53,61.71,61.84,36839
2007-08-14,61.76,61.76,60.72,60.82,39260
2007-08-15,60.95,60.95,58.2,58.44,65959
2007-08-16,58.03,59.55,57.24,59.27,58517
2007-08-17,59.99,60.54,57.8,58.38,89755
2007-08-20,58.39,59.29,57.33,57.93,48249
2007-08-21,58.2,60.45,58.02,60.29,50460
2007-08-22,60.68,61.64,60.41,61.22,29906
2007-08-23,61.54,61.73,60.57,60.82,31743
2007-08-24,61.01,61.7,60.67,61.64,20405
2007-08-27,61.68,61.88,61.01,61.03,20292
2007-08-28,60.66,60.86,58.83,59.01,35529
2007-08-29,59.36,61.34,59.23,61.31,28782
2007-08-30,61.0,61.49,60.57,61.0,19101
2007-08-31,61.5,62.19,61.3,61.73,21163
2007-09-04,61.91,62.18,61.4,61.61,20339
2007-09-05,58.24,59.47,57.88,59.04,125790
2007-09-06,59.44,59.61,56.09,58.27,58227
2007-09-07,57.69,57.82,56.66,57.08,53753
2007-09-10,57.09,57.98,56.5,57.24,42877
2007-09-11,57.59,58.89,57.51,58.59,39227
2007-09-12,58.31,59.08,58.06,58.48,24314
2007-09-13,58.9,60.3,58.56,59.94,38461
2007-09-14,59.66,60.28,59.18,59.91,27914
2007-09-17,59.59,60.25,59.09,59.51,22949
2007-09-18,59.92,62.54,59.92,61.8,45589
2007-09-19,62.32,62.74,61.5,61.92,36051
2007-09-20,61.53,61.8,60.65,61.18,36640
2007-09-21,61.18,61.48,60.29,60.67,46858
2007-09-24,60.63,60.78,59.72,60.31,30719
2007-09-25,58.91,59.61,58.17,59.42,46625
2007-09-26,59.61,60.9,59.5,60.69,38511
2007-09-27,60.94,61.29,60.7,61.13,26350
2007-09-28,61.25,62.02,61.21,61.43,36384
2007-10-01,61.52,62.2,61.22,61.78,36836
2007-10-02,61.92,62.0,61.16,61.66,35554
2007-10-03,61.35,62.97,61.35,61.92,28416
2007-10-04,62.25,62.68,61.95,62.05,21087
2007-10-05,62.62,64.0,62.53,63.27,34782
2007-10-08,63.6,64.24,63.38,63.7,21201
2007-10-09,63.89,63.95,62.69,63.31,35983
2007-10-10,68.32,69.95,67.22,69.14,253112
2007-10-11,68.94,70.55,68.8,69.26,66410
2007-10-12,68.15,68.49,67.55,68.0,64656
2007-10-15,67.8,67.9,65.86,66.61,49828
2007-10-16,66.44,66.52,65.39,65.97,40022
2007-10-17,66.62,66.95,65.77,66.56,41831
2007-10-18,66.2,66.94,65.7,66.53,24923
2007-10-19,66.44,66.88,65.33,65.65,48820
2007-10-22,65.13,67.5,65.12,67.05,42171
2007-10-23,67.05,67.25,65.57,66.23,32894
2007-10-24,65.94,65.94,64.3,65.25,44012
2007-10-25,65.61,66.47,64.01,64.89,57899
2007-10-26,65.29,66.07,64.66,65.52,26794
2007-10-29,65.66,69.97,65.3,67.01,30572
2007-10-30,66.99,67.6,66.75,67.17,23077
2007-10-31,67.25,67.63,65.78,67.26,33801
2007-11-01,66.7,67.05,64.77,64.86,39974
2007-11-02,65.27,66.14,63.15,65.58,57395
2007-11-05,65.4,66.29,64.83,65.92,34857
2007-11-06,65.8,67.39,65.8,67.37,41067
2007-11-07,66.85,67.19,65.9,66.18,34430
2007-11-08,67.06,68.0,64.93,66.59,54971
2007-11-09,66.16,66.71,65.0,65.3,40923
2007-11-12,65.45,67.19,65.17,65.71,41656
2007-11-13,66.25,67.5,66.03,67.4,53393
2007-11-14,68.05,68.09,65.94,66.17,42503
2007-11-15,66.14,67.31,65.71,66.44,38450
2007-11-16,66.66,67.07,65.87,66.76,41347
2007-11-19,67.09,67.09,66.09,66.48,40609
2007-11-20,66.9,67.76,65.05,66.34,43593
2007-11-21,66.45,67.27,65.94,66.07,34308
2007-11-23,66.33,67.45,66.28,66.93,19152
2007-11-26,67.38,67.38,65.36,65.5,33111
2007-11-27,65.74,67.25,65.38,65.86,33505
2007-11-28,66.81,67.46,65.91,66.9,49555
2007-11-29,67.05,67.56,66.5,67.12,31121
2007-11-30,68.0,68.33,67.05,67.32,42721
2007-12-03,67.33,67.91,66.72,67.02,33339
2007-12-04,66.67,69.42,66.66,69.17,44964
2007-12-05,69.83,70.88,68.93,69.61,58955
2007-12-06,69.03,71.19,68.98,70.87,62108
2007-12-07,71.06,72.68,71.0,71.78,49934
2007-12-10,72.47,72.56,70.8,71.25,40485
2007-12-11,71.12,72.22,69.85,69.96,43686
2007-12-12,71.28,71.36,69.41,70.19,61475
2007-12-13,65.48,69.84,65.1,68.6,155030
2007-12-14,68.2,69.1,67.6,68.54,73986
2007-12-17,68.25,69.0,68.08,68.17,25381
2007-12-18,68.65,68.88,67.5,68.48,30520
2007-12-19,68.65,68.67,67.61,68.4,25578
2007-12-20,69.02,69.09,68.0,68.87,26672
2007-12-21,69.69,70.08,69.35,70.07,44098
2007-12-24,70.29,71.0,70.08,70.67,10550
2007-12-26,70.99,71.0,69.55,70.62,19407
2007-12-27,70.59,70.9,69.75,69.86,18651
2007-12-28,70.15,70.72,69.81,70.19,17077
2007-12-31,70.22,70.45,69.73,69.8,15673
2008-01-02,69.66,69.78,68.11,68.14,34504
2008-01-03,68.52,68.88,66.91,67.12,31409
2008-01-04,66.85,66.9,65.38,65.65,45329
2008-01-07,66.09,66.64,64.8,65.98,36804
2008-01-08,66.01,66.87,64.91,64.97,53832
2008-01-09,65.32,67.35,64.9,67.27,80973
2008-01-10,66.89,70.45,66.27,69.86,97012
2008-01-11,69.38,69.49,66.0,66.43,77450
2008-01-14,66.78,66.98,63.62,64.71,96747
2008-01-15,64.09,64.61,63.71,63.98,63215
