交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,9.69,10.225,9.69,10.015,116584
2006-12-13,10.05,10.15,9.725,9.795,49852
2006-12-14,9.84,10.0,9.83,9.99,36636
2006-12-15,10.0,10.045,9.9,9.995,27572
2006-12-18,9.985,10.08,9.515,9.525,46692
2006-12-19,9.45,9.45,9.175,9.345,65320
2006-12-20,9.34,9.5,9.325,9.34,52904
2006-12-21,9.325,9.355,9.14,9.215,77464
2006-12-22,9.215,9.245,8.99,9.02,40916
2006-12-26,8.975,9.11,8.975,9.085,21980
2006-12-27,9.125,9.27,9.125,9.25,41312
2006-12-28,9.19,9.24,9.09,9.195,16212
2006-12-29,9.175,9.26,9.07,9.1,22536
2007-01-03,9.145,9.23,8.91,9.03,38452
2007-01-04,9.0,9.465,8.89,9.465,62920
2007-01-05,9.375,9.995,9.275,9.885,111472
2007-01-08,9.9,10.0,9.78,9.98,45948
2007-01-09,10.0,10.11,9.86,9.975,47436
2007-01-10,9.95,10.065,9.895,10.055,34136
2007-01-11,10.045,10.665,10.0,10.435,102376
2007-01-12,10.525,10.76,10.425,10.61,56680
2007-01-16,10.675,11.08,10.575,10.855,95040
2007-01-17,10.765,10.865,10.615,10.68,48508
2007-01-18,10.64,10.64,10.205,10.365,62112
2007-01-19,10.365,10.41,10.215,10.395,45184
2007-01-22,10.425,10.47,10.21,10.3,59160
2007-01-23,10.295,10.35,10.25,10.325,54428
2007-01-24,10.345,10.695,10.345,10.62,89084
2007-01-25,10.61,10.61,10.38,10.47,63112
2007-01-26,10.515,10.685,10.495,10.555,46084
2007-01-29,10.555,10.79,10.47,10.625,51368
2007-01-30,10.715,10.875,10.7,10.725,51352
2007-01-31,10.755,11.015,10.615,10.975,53672
2007-02-01,11.05,11.395,11.05,11.35,102628
2007-02-02,11.4,11.74,11.355,11.68,82900
2007-02-05,11.69,11.835,11.505,11.775,55044
2007-02-06,11.795,11.91,11.66,11.8,94852
2007-02-07,11.8,12.04,11.765,11.925,105476
2007-02-09,11.865,11.995,11.7,11.75,62016
2007-02-12,11.7,11.91,11.635,11.84,50136
2007-02-13,11.875,12.235,11.875,12.125,62964
2007-02-14,12.225,12.535,12.195,12.47,99800
2007-02-15,12.5,12.51,12.33,12.405,86044
2007-02-16,12.405,12.485,12.35,12.43,56716
2007-02-20,12.5,12.61,12.35,12.37,91644
2007-02-21,12.375,12.375,11.955,11.995,116188
2007-02-22,11.425,12.125,11.315,11.8,200836
2007-02-23,11.79,11.885,11.725,11.86,47888
2007-02-26,11.75,11.875,11.65,11.74,81060
2007-02-27,11.465,11.6,11.03,11.265,72100
2007-02-28,11.25,11.25,10.765,10.81,129912
2007-03-01,10.515,11.135,10.515,11.065,131496
2007-03-02,10.99,11.15,10.605,10.635,72016
2007-03-05,10.45,10.725,10.32,10.395,59432
2007-03-06,10.575,10.84,10.555,10.78,56864
2007-03-07,10.79,10.855,10.64,10.69,32584
2007-03-08,10.8,11.07,10.765,10.905,59004
2007-03-09,10.905,10.97,10.705,10.75,69568
2007-03-12,10.725,10.905,10.66,10.825,25896
2007-03-13,10.83,10.83,10.535,10.54,53196
2007-03-14,10.58,10.62,10.195,10.495,64648
2007-03-15,10.5,10.57,10.32,10.425,42772
2007-03-16,10.405,10.475,10.34,10.395,24488
2007-03-19,10.54,10.69,10.455,10.665,34332
2007-03-20,10.67,10.82,10.61,10.775,30092
2007-03-21,10.775,11.015,10.73,10.87,35472
2007-03-22,10.865,10.94,10.755,10.86,31656
2007-03-23,10.83,10.91,10.8,10.815,26416
2007-03-26,10.755,10.815,10.635,10.74,32500
2007-03-27,10.75,10.825,10.69,10.7,35820
2007-03-28,10.675,10.865,10.56,10.735,31444
2007-03-29,10.765,10.84,10.65,10.755,31128
2007-03-30,10.725,10.865,10.64,10.69,33324
2007-04-02,10.75,11.0,10.625,10.89,38496
2007-04-03,10.98,11.27,10.96,11.215,55860
2007-04-04,11.25,11.355,11.25,11.3,32280
2007-04-05,11.345,11.345,11.205,11.24,20148
2007-04-09,11.375,11.52,11.34,11.455,34960
2007-04-10,11.475,11.48,11.365,11.415,31324
2007-04-11,11.24,11.24,10.75,10.955,128228
2007-04-12,10.955,11.085,10.54,10.68,143316
2007-04-13,10.675,10.725,10.46,10.645,67368
2007-04-16,10.67,10.825,10.65,10.805,55552
2007-04-17,10.875,10.94,10.655,10.725,74348
2007-04-18,10.735,10.735,10.555,10.58,75084
2007-04-19,10.555,10.56,10.32,10.35,73096
2007-04-20,10.35,10.495,10.305,10.41,59380
2007-04-23,10.385,10.425,10.2,10.315,56556
2007-04-24,10.365,10.365,10.195,10.275,36212
2007-04-25,10.32,10.675,10.3,10.635,69384
2007-04-26,10.675,10.74,10.55,10.64,53596
2007-04-27,10.635,10.805,10.48,10.535,76544
2007-04-30,10.51,10.615,10.445,10.5,37548
2007-05-01,10.45,10.455,10.155,10.29,70168
2007-05-02,10.245,10.405,10.15,10.335,55160
2007-05-03,10.37,10.79,10.35,10.695,54504
2007-05-04,10.76,10.985,10.695,10.765,56576
2007-05-07,10.805,10.835,10.525,10.605,36584
2007-05-08,10.6,10.875,10.515,10.835,34200
2007-05-09,10.78,10.91,10.705,10.87,20452
2007-05-10,10.8,10.83,10.62,10.625,20248
2007-05-11,10.665,10.725,10.59,10.61,40556
2007-05-14,10.61,11.075,10.565,10.775,76876
2007-05-15,10.815,11.105,10.765,11.035,75892
2007-05-16,11.1,11.565,11.035,11.31,131868
2007-05-17,11.19,11.19,10.59,10.74,188164
2007-05-18,10.785,11.625,10.695,11.465,216728
2007-05-21,11.99,12.49,11.77,11.94,148932
2007-05-22,12.05,12.105,11.74,11.77,56188
2007-05-23,11.74,11.82,11.5,11.575,41888
2007-05-24,11.325,11.44,11.04,11.235,102048
2007-05-25,11.215,11.56,11.215,11.53,68588
2007-05-29,11.715,11.715,11.35,11.495,51388
