交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,74.46,74.57,73.37,73.85,82224
2006-12-13,74.53,74.72,73.87,74.4,70440
2006-12-14,74.72,76.2,74.45,75.88,89190
2006-12-15,75.99,76.11,74.98,75.28,85457
2006-12-18,75.1,75.43,73.25,73.39,88490
2006-12-19,72.98,74.79,72.5,74.53,81316
2006-12-20,74.46,74.91,73.48,73.66,74929
2006-12-21,73.66,74.16,72.54,73.2,71248
2006-12-22,73.3,73.51,72.66,72.78,43035
2006-12-26,72.64,73.4,72.53,73.13,31704
2006-12-27,73.28,74.14,73.26,74.09,47159
2006-12-28,74.26,74.51,74.01,74.28,36500
2006-12-29,73.89,74.1,73.5,73.52,42162
2007-01-03,72.77,73.25,70.55,71.0,118741
2007-01-04,70.9,70.95,69.6,70.27,104106
2007-01-05,70.28,71.12,70.12,70.55,92826
2007-01-08,71.06,71.56,70.0,71.37,87469
2007-01-09,70.98,71.34,69.85,70.63,101450
2007-01-10,69.75,70.31,68.93,69.41,114936
2007-01-11,69.32,71.14,68.48,68.67,119949
2007-01-12,69.1,70.62,69.1,70.41,88986
2007-01-16,70.08,70.7,69.23,69.68,77041
2007-01-17,69.71,70.87,69.5,70.75,95865
2007-01-18,70.83,71.84,70.02,70.9,103351
2007-01-19,71.33,72.39,70.8,72.26,91917
2007-01-22,72.51,72.6,70.95,71.21,87002
2007-01-23,71.61,73.25,71.6,72.48,85999
2007-01-24,72.49,73.25,71.7,72.84,65620
2007-01-25,72.5,72.78,71.28,71.57,78568
2007-01-26,72.14,72.37,71.23,71.55,57835
2007-01-29,71.51,72.3,71.24,71.55,56878
2007-01-30,71.95,73.07,71.85,73.02,60761
2007-01-31,72.99,73.44,72.29,72.9,87640
2007-02-01,73.25,74.96,73.1,74.41,97474
2007-02-02,73.8,74.62,73.3,74.11,68114
2007-02-05,74.05,74.29,73.46,73.8,69973
2007-02-06,74.15,74.18,72.94,73.37,78267
2007-02-07,73.87,74.09,72.54,72.7,90966
2007-02-09,73.93,74.0,73.06,73.37,62448
2007-02-12,73.1,73.17,71.89,72.35,62680
2007-02-13,72.73,72.96,72.47,72.83,76408
2007-02-14,72.64,73.04,71.78,72.2,74227
