交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,27.295,27.605,27.295,27.51,31626
2006-12-13,27.74,27.79,27.405,27.5,34796
2006-12-14,27.5,29.37,27.465,27.84,32642
2006-12-15,27.89,28.195,27.715,27.84,37725
2006-12-18,27.89,28.055,27.725,27.785,18084
2006-12-19,27.465,27.84,27.425,27.79,36743
2006-12-20,27.88,27.965,27.785,27.9,27650
2006-12-21,27.92,27.98,27.57,27.61,16374
2006-12-22,27.605,27.635,27.33,27.475,14334
2006-12-26,27.385,27.645,27.385,27.59,11436
2006-12-27,27.62,27.83,27.59,27.83,16664
2006-12-28,27.735,27.91,27.68,27.695,20548
2006-12-29,27.685,27.755,27.415,27.43,14310
2007-01-03,27.45,27.545,26.785,27.135,54381
2007-01-04,27.15,27.315,26.9,27.22,38801
2007-01-05,27.19,27.19,26.705,26.92,37833
2007-01-08,26.87,27.26,26.85,27.145,41021
2007-01-09,27.245,27.785,27.195,27.515,43214
2007-01-10,27.435,27.76,27.195,27.715,35917
2007-01-11,27.75,28.03,27.735,27.925,22021
2007-01-12,27.705,27.99,27.58,27.86,26101
2007-01-16,27.76,28.09,27.735,28.08,23227
2007-01-17,27.965,28.445,27.965,28.26,21649
2007-01-18,27.95,28.465,27.95,28.37,23554
2007-01-19,28.465,28.78,28.32,28.715,39852
2007-01-22,28.64,28.72,28.2,28.275,30748
2007-01-23,28.37,28.79,28.16,28.56,29462
2007-01-24,28.385,28.445,28.2,28.355,41488
2007-01-25,28.48,28.76,28.01,28.075,41042
2007-01-26,27.93,28.055,27.21,27.495,61984
2007-01-29,27.395,27.49,27.18,27.28,43504
2007-01-30,27.385,27.465,27.03,27.435,43108
2007-01-31,27.455,28.135,27.44,28.08,36168
2007-02-01,28.215,28.37,27.955,28.08,45676
2007-02-02,28.195,28.215,27.93,28.1,21675
2007-02-05,28.04,28.195,27.735,28.01,22282
2007-02-06,28.125,28.13,27.96,28.0,14880
2007-02-07,28.055,28.2,27.955,28.02,12687
2007-02-09,27.84,27.965,27.51,27.59,16521
2007-02-12,27.67,27.78,27.525,27.635,11468
2007-02-13,27.64,27.67,27.385,27.575,25560
2007-02-14,27.57,27.91,27.53,27.875,24422
2007-02-15,27.99,28.08,27.8,28.08,18147
2007-02-16,27.91,28.005,27.79,27.885,20253
2007-02-20,27.93,28.42,27.89,28.365,37701
2007-02-21,28.385,28.385,28.19,28.21,26723
2007-02-22,28.135,28.29,27.935,28.09,19474
2007-02-23,28.1,28.23,27.98,28.075,13270
2007-02-26,28.105,28.205,27.86,27.915,19234
2007-02-27,27.815,27.82,26.54,26.79,53545
2007-02-28,26.8,27.32,26.745,27.15,60369
2007-03-01,26.905,27.25,26.6,26.995,54545
2007-03-02,26.905,27.05,26.435,26.46,41274
2007-03-05,26.28,27.095,26.19,26.73,74094
2007-03-06,26.905,27.255,26.715,27.235,52120
2007-03-07,27.165,27.19,26.625,26.625,60042
2007-03-08,26.83,27.04,26.69,26.735,35149
2007-03-09,26.98,27.06,26.72,26.835,29312
2007-03-12,26.68,27.12,26.665,27.07,21459
2007-03-13,26.99,27.0,26.415,26.5,54437
2007-03-14,26.525,26.8,26.305,26.69,33215
2007-03-15,26.68,26.95,26.55,26.885,25612
2007-03-16,26.94,27.115,26.835,26.88,29196
2007-03-19,27.135,27.325,26.96,27.12,25665
2007-03-20,27.075,27.215,26.985,27.06,26787
2007-03-21,27.035,27.585,26.855,27.54,47787
2007-03-22,27.58,27.62,27.295,27.385,29639
2007-03-23,27.395,27.495,27.21,27.38,18651
2007-03-26,27.285,27.305,26.925,27.2,20630
2007-03-27,27.0,27.235,26.715,27.165,44586
2007-03-28,27.075,27.075,26.645,26.745,32985
2007-03-29,26.905,26.945,26.66,26.77,33830
2007-03-30,26.755,27.135,26.65,27.045,37635
2007-04-02,26.805,27.165,26.805,27.075,42966
2007-04-03,27.245,27.29,26.885,27.075,48357
2007-04-04,27.095,27.15,26.85,26.885,30827
2007-04-05,26.85,27.11,26.85,26.995,20324
2007-04-09,27.015,27.015,26.87,26.905,22966
2007-04-10,26.81,26.96,26.665,26.71,35160
2007-04-11,26.725,26.98,26.6,26.805,39894
2007-04-12,26.74,26.82,26.59,26.735,38263
2007-04-13,26.825,26.995,26.53,26.9,29272
2007-04-16,27.06,27.42,27.0,27.385,30645
2007-04-17,27.76,27.76,27.375,27.475,37741
2007-04-18,27.435,28.055,27.175,27.245,42813
2007-04-19,27.1,27.46,26.81,27.03,43871
2007-04-20,27.285,27.295,26.785,27.04,53326
2007-04-23,27.085,27.275,26.94,27.055,30075
2007-04-24,27.335,27.335,26.84,26.86,39583
2007-04-25,26.905,26.96,26.615,26.84,42976
2007-04-26,26.79,26.93,26.575,26.6,44633
2007-04-27,26.52,26.975,26.38,26.93,51510
2007-04-30,26.925,27.055,26.765,26.975,68249
2007-05-01,26.695,27.57,26.695,27.11,55630
2007-05-02,27.27,27.76,27.15,27.605,55659
2007-05-03,27.755,28.05,27.63,27.905,58741
2007-05-04,28.01,28.28,27.97,28.075,50745
2007-05-07,28.075,28.13,27.66,27.665,37661
2007-05-08,27.685,27.685,27.4,27.54,51779
2007-05-09,27.445,27.56,27.35,27.485,40984
2007-05-10,27.46,27.465,26.975,27.06,63773
2007-05-11,27.08,27.16,26.87,26.975,69338
2007-05-14,27.095,27.17,26.87,26.915,52281
2007-05-15,27.115,27.275,26.785,26.805,66079
2007-05-16,27.265,27.265,26.85,27.085,56300
2007-05-17,27.17,27.285,26.915,27.065,42340
2007-05-18,27.09,27.135,26.85,26.965,73848
2007-05-21,27.02,27.145,26.535,27.04,87230
2007-05-22,27.225,27.42,27.13,27.15,61699
2007-05-23,27.21,27.37,26.98,26.99,43462
2007-05-24,27.02,27.145,26.55,26.595,48597
2007-05-25,26.855,27.525,26.715,27.43,59910
2007-05-29,27.585,28.11,27.52,27.665,65805
2007-05-30,27.845,27.905,27.495,27.9,38187
2007-05-31,27.84,28.255,27.825,27.845,37395
2007-06-01,27.855,27.94,27.67,27.825,46689
2007-06-04,28.16,28.16,27.73,27.88,22823
2007-06-05,28.22,28.22,27.755,27.895,37102
2007-06-06,27.665,27.74,27.19,27.42,50959
2007-06-07,27.25,27.535,27.16,27.17,58994
2007-06-08,27.095,27.27,26.865,27.225,45317
2007-06-11,27.325,27.505,27.125,27.4,41166
2007-06-12,27.405,27.57,27.23,27.265,35049
2007-06-13,27.27,27.65,27.23,27.635,26940
2007-06-14,27.62,27.95,27.585,27.85,24454
2007-06-15,28.005,28.225,27.945,28.09,31721
2007-06-18,28.135,28.4,27.995,28.285,33933
2007-06-19,28.31,28.625,28.18,28.505,45063
2007-06-20,28.525,28.715,28.18,28.195,35197
2007-06-21,28.215,28.54,28.085,28.495,40335
2007-06-22,28.42,28.52,28.04,28.09,30449
2007-06-25,28.085,28.29,27.9,28.11,46108
2007-06-26,28.185,28.345,27.955,28.045,36635
2007-06-27,27.745,28.21,27.68,28.21,36556
2007-06-28,28.215,28.7,28.08,28.43,40556
2007-06-29,28.515,28.835,28.45,28.605,49185
2007-07-02,28.865,29.075,28.795,29.01,33534
2007-07-03,29.13,29.34,29.075,29.185,21973
2007-07-05,29.325,29.325,28.995,29.04,24821
2007-07-06,29.15,29.39,28.985,29.31,21575
2007-07-09,29.295,29.695,29.24,29.585,35545
2007-07-10,29.48,29.48,29.115,29.115,34244
2007-07-11,29.09,29.18,28.915,29.075,35756
2007-07-12,28.775,29.59,28.775,29.585,30320
2007-07-13,29.605,29.655,29.45,29.595,16136
2007-07-16,29.53,29.995,29.375,29.84,40124
2007-07-17,29.75,30.46,29.75,30.39,73986
2007-07-18,30.175,30.455,30.045,30.225,75297
2007-07-19,29.825,30.215,29.54,29.815,84280
2007-07-20,29.57,29.76,29.285,29.515,74566
2007-07-23,29.39,30.02,29.225,29.32,57788
2007-07-24,29.51,29.51,29.06,29.175,52099
2007-07-25,29.2,29.53,28.96,29.28,45230
2007-07-26,28.95,29.325,28.165,28.575,66803
2007-07-27,28.36,28.645,27.9,27.915,56355
2007-07-30,28.65,29.215,28.315,29.02,81744
2007-07-31,28.855,29.18,28.3,28.31,62163
2007-08-01,28.345,28.76,28.105,28.75,70980
2007-08-02,28.845,29.31,28.845,29.24,47037
2007-08-03,29.56,29.56,28.61,28.73,51864
2007-08-06,28.945,29.75,28.855,29.725,47394
2007-08-07,29.55,30.41,29.335,30.145,60329
