交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,33.98,34.22,33.825,34.07,85339
2006-12-13,33.98,34.1,33.905,33.97,78857
2006-12-14,34.04,34.28,33.925,34.25,80651
2006-12-15,34.355,34.375,33.695,33.805,118375
2006-12-18,33.645,34.23,33.645,34.03,72426
2006-12-19,33.99,34.425,33.875,34.395,79147
2006-12-20,34.3,34.335,34.06,34.19,53650
2006-12-21,34.27,34.335,33.97,34.09,59923
2006-12-22,33.645,34.15,33.4,33.685,63869
2006-12-26,33.665,34.17,33.49,34.08,64927
2006-12-27,34.03,34.24,33.865,34.08,68539
2006-12-28,34.08,34.345,34.01,34.06,67940
2006-12-29,33.96,34.15,33.815,33.885,74305
2007-01-03,33.755,34.08,33.54,33.745,125453
2007-01-04,33.745,34.09,33.715,34.0,91741
2007-01-05,33.815,33.98,33.54,33.725,101155
2007-01-08,33.735,34.17,33.615,34.05,90163
2007-01-09,34.04,34.23,33.5,33.97,109602
2007-01-10,33.695,34.09,33.53,34.02,71232
2007-01-11,34.13,34.565,33.99,34.525,116946
2007-01-12,34.525,34.82,34.385,34.73,117310
2007-01-16,34.545,34.685,34.425,34.575,98368
2007-01-17,34.535,34.83,34.435,34.78,84431
2007-01-18,34.83,35.45,34.78,35.355,167249
2007-01-19,35.45,35.49,35.01,35.01,122343
2007-01-22,34.98,35.01,34.585,34.675,83075
2007-01-23,34.555,35.165,34.535,35.095,95969
2007-01-24,35.105,35.275,34.8,34.88,92888
2007-01-25,34.88,34.95,34.415,34.505,82037
2007-01-26,34.535,34.605,34.01,34.1,94614
2007-01-29,34.04,34.605,33.98,34.23,107404
2007-01-30,34.18,34.625,34.16,34.595,62790
2007-01-31,34.675,34.79,34.545,34.73,82694
2007-02-01,34.625,34.685,34.425,34.525,78675
2007-02-02,34.555,34.91,34.535,34.71,74466
2007-02-05,34.93,35.02,34.685,34.81,83788
2007-02-06,34.94,34.99,34.615,34.73,75142
2007-02-07,34.88,35.115,34.73,35.055,108106
2007-02-09,34.73,34.83,33.47,33.905,187407
2007-02-12,34.07,34.2,33.32,33.46,164252
2007-02-13,33.615,34.16,33.48,34.13,127591
2007-02-14,34.12,34.355,34.06,34.28,114961
2007-02-15,34.24,34.27,33.715,34.18,105206
2007-02-16,34.22,34.445,33.95,34.395,90122
2007-02-20,34.355,34.665,34.21,34.605,86064
2007-02-21,34.365,34.77,34.29,34.675,80330
2007-02-22,34.605,34.77,34.495,34.685,74894
2007-02-23,34.635,34.74,34.515,34.675,69588
2007-02-26,34.675,34.82,34.465,34.655,77644
2007-02-27,34.29,34.535,32.215,33.085,134548
2007-02-28,33.055,33.925,32.885,33.785,148450
2007-03-01,33.28,34.04,33.085,33.925,131444
2007-03-02,33.655,33.785,33.41,33.46,96199
2007-03-05,33.105,33.655,32.975,33.27,101622
2007-03-06,33.4,34.09,33.3,33.915,109162
2007-03-07,33.935,34.16,33.795,33.96,91142
2007-03-08,34.16,34.365,33.94,34.21,78294
2007-03-09,34.405,34.435,33.825,33.915,112390
2007-03-12,33.725,33.915,33.47,33.735,112829
2007-03-13,33.54,33.665,33.065,33.155,135271
2007-03-14,34.0,34.0,32.835,33.29,99074
2007-03-15,33.51,33.635,33.29,33.34,92831
2007-03-16,33.45,33.645,33.055,33.155,121061
2007-03-19,33.42,33.665,33.36,33.635,74694
2007-03-20,33.595,33.97,33.52,33.925,70373
2007-03-21,33.855,34.78,33.805,34.73,116479
2007-03-22,33.99,34.95,33.99,34.88,115358
2007-03-23,34.595,34.84,34.405,34.525,68942
2007-03-26,34.425,34.78,34.335,34.74,97096
2007-03-27,34.535,34.645,34.18,34.19,117664
2007-03-28,34.13,34.14,33.595,33.745,115849
2007-03-29,34.23,34.25,33.785,33.94,72249
2007-03-30,33.96,34.29,33.585,33.98,98350
2007-04-02,33.94,34.05,33.785,34.01,68041
2007-04-03,34.11,34.7,34.06,34.405,117434
2007-04-04,34.375,34.405,33.98,34.18,96524
2007-04-05,34.16,34.545,34.09,34.445,73626
2007-04-09,34.445,34.545,34.335,34.445,79948
2007-04-10,34.505,34.565,34.3,34.515,74146
2007-04-11,34.475,34.615,33.885,34.14,116576
2007-04-12,34.14,34.27,33.97,34.23,87337
2007-04-13,34.21,34.405,34.05,34.29,82075
2007-04-16,34.335,34.675,34.31,34.555,77059
2007-04-17,34.465,34.77,34.25,34.685,84756
2007-04-18,34.585,34.635,34.29,34.435,71070
2007-04-19,34.485,34.555,34.11,34.475,79907
2007-04-20,34.72,34.85,34.25,34.82,112113
2007-04-23,34.73,34.83,34.565,34.615,67438
2007-04-24,34.73,34.77,34.425,34.465,65029
2007-04-25,34.605,34.96,34.395,34.84,87882
2007-04-26,34.7,35.0,34.505,34.685,71522
2007-04-27,34.535,34.7,34.325,34.515,59998
2007-04-30,34.555,34.675,34.24,34.505,89295
2007-05-01,34.625,35.03,34.625,35.01,109107
2007-05-02,34.98,35.52,34.93,35.245,114664
2007-05-03,35.255,35.53,35.145,35.225,76659
2007-05-04,35.275,35.68,35.235,35.385,72317
2007-05-07,35.5,35.815,35.44,35.56,85253
2007-05-08,35.69,36.085,35.54,36.075,148441
2007-05-09,35.57,35.845,35.225,35.63,134588
2007-05-10,35.365,35.51,35.075,35.225,93221
2007-05-11,35.265,35.69,35.255,35.62,71201
2007-05-14,35.59,35.77,35.405,35.52,63689
2007-05-15,35.65,35.855,35.415,35.49,76470
2007-05-16,35.65,35.7,35.305,35.52,66698
2007-05-17,35.48,35.75,35.315,35.49,59374
2007-05-18,35.63,35.71,35.355,35.53,97562
2007-05-21,35.52,36.27,35.5,35.955,85647
2007-05-22,36.21,36.21,35.62,35.79,68670
2007-05-23,35.79,36.3,35.77,35.985,73939
2007-05-24,36.075,36.085,35.325,35.385,85487
2007-05-25,35.43,35.67,35.165,35.56,56205
2007-05-29,35.57,35.66,35.0,35.115,109265
2007-05-30,34.89,35.5,34.8,35.45,116463
2007-05-31,35.425,35.47,34.8,34.94,136166
2007-06-01,34.94,35.145,34.665,34.75,93242
2007-06-04,35.105,35.305,34.7,35.235,119858
2007-06-05,35.285,35.415,34.74,34.8,95270
2007-06-06,34.79,34.89,34.29,34.445,83098
2007-06-07,34.31,34.445,33.5,33.815,126920
2007-06-08,33.56,33.825,33.34,33.765,108558
2007-06-11,33.825,33.98,33.665,33.695,72850
2007-06-12,33.645,33.725,33.075,33.115,91809
2007-06-13,33.5,33.55,33.0,33.39,150371
2007-06-14,33.41,33.97,33.4,33.81,135493
2007-06-15,34.1,34.75,34.0,34.45,186080
2007-06-18,34.5,34.89,34.48,34.54,120604
2007-06-19,34.51,34.86,34.44,34.77,109508
2007-06-20,34.76,34.76,34.16,34.16,106143
2007-06-21,34.13,34.36,33.88,34.21,99123
2007-06-22,34.01,34.44,33.91,34.15,104315
2007-06-25,34.11,34.52,33.92,34.07,97875
2007-06-26,34.2,34.29,33.86,34.05,91529
2007-06-27,33.8,34.34,33.73,34.26,74966
2007-06-28,34.25,34.25,33.72,33.84,111842
2007-06-29,33.89,34.46,33.71,34.14,109298
2007-07-02,34.15,34.72,34.15,34.53,70518
2007-07-03,34.54,34.67,34.3,34.54,46555
2007-07-05,34.5,34.64,34.24,34.63,68124
2007-07-06,34.59,34.61,34.43,34.51,64684
2007-07-09,34.54,34.61,34.38,34.47,54718
2007-07-10,34.17,34.59,33.85,33.85,104715
2007-07-11,33.76,34.01,33.67,34.01,91528
2007-07-12,34.11,34.27,33.96,34.25,99690
2007-07-13,34.1,34.57,34.0,34.33,74038
2007-07-16,34.21,34.58,34.21,34.47,56437
2007-07-17,34.44,34.87,34.35,34.7,106969
2007-07-18,34.56,34.78,34.19,34.58,93664
2007-07-19,34.66,34.83,34.4,34.47,77699
2007-07-20,34.58,34.58,34.28,34.32,96745
2007-07-23,34.45,35.23,34.43,35.02,107124
2007-07-24,34.95,35.38,34.67,34.78,95693
2007-07-25,34.91,35.19,34.75,34.92,97410
2007-07-26,34.76,34.9,33.74,34.13,142758
2007-07-27,34.14,34.38,33.74,33.77,118538
2007-07-30,33.98,34.15,33.57,33.99,108994
2007-07-31,34.01,34.07,32.99,32.99,147073
2007-08-01,32.88,33.94,32.75,33.89,139770
2007-08-02,33.98,34.53,29.38,34.39,111106
2007-08-03,34.14,34.62,33.84,33.92,114485
2007-08-06,34.0,34.39,33.83,34.28,134763
2007-08-07,33.95,34.85,33.85,34.55,130826
2007-08-08,34.6,34.93,33.85,34.3,120981
2007-08-09,33.83,34.2,33.04,33.04,135760
2007-08-10,32.57,33.42,32.07,33.13,142196
2007-08-13,33.34,33.74,33.13,33.18,79344
2007-08-14,33.24,33.5,32.13,32.31,107301
2007-08-15,32.3,32.64,31.63,31.69,122501
2007-08-16,31.35,32.63,31.25,32.61,183717
2007-08-17,33.38,33.55,32.3,32.66,145411
2007-08-20,32.78,33.11,32.52,32.9,92827
2007-08-21,32.71,33.45,32.64,33.31,91962
2007-08-22,33.58,33.68,33.11,33.54,92496
2007-08-23,33.75,33.98,32.97,33.16,94990
2007-08-24,33.27,33.89,33.12,33.85,68461
2007-08-27,33.74,34.08,33.49,33.89,68748
2007-08-28,33.75,33.79,33.07,33.18,80657
2007-08-29,33.3,33.95,33.07,33.87,77682
2007-08-30,33.57,33.74,33.33,33.48,69202
2007-08-31,33.74,33.82,33.45,33.55,55646
