交易日期,开盘价,最高价,最低价,收盘价,成交量
2012-05-18,42.05,45.0,38.0,38.18,5369670
2012-05-21,36.53,36.66,33.0,34.03,1530853
2012-05-22,32.66,33.59,30.94,31.0,948098
2012-05-23,31.37,32.5,31.36,32.0,668446
2012-05-24,32.98,33.21,31.77,33.03,440800
2012-05-25,32.9,32.95,31.11,31.91,348918
2012-05-29,31.46,31.69,28.65,28.84,735885
2012-05-30,28.73,29.55,27.86,28.19,543458
2012-05-31,28.56,29.64,26.83,29.6,818216
2012-06-01,28.92,29.15,27.39,27.72,384829
2012-06-04,27.22,27.65,26.44,26.9,332634
2012-06-05,26.7,27.76,25.75,25.87,408819
2012-06-06,26.12,27.17,25.52,26.81,593519
2012-06-07,27.0,27.35,26.15,26.31,251108
2012-06-08,26.57,27.76,26.44,27.1,362995
2012-06-11,27.18,28.07,26.84,27.005,269441
2012-06-12,27.45,27.77,26.96,27.4,147418
2012-06-13,27.66,28.1,27.1,27.27,165942
2012-06-14,27.65,28.32,27.38,28.29,160754
2012-06-15,28.52,30.1,28.35,30.015,302694
2012-06-18,29.94,32.08,29.41,31.41,413865
2012-06-19,31.54,32.18,30.7,31.91,286171
2012-06-20,31.92,31.93,31.15,31.6,148535
2012-06-21,31.67,32.5,31.51,31.84,209316
2012-06-22,32.41,33.45,32.06,33.05,471420
2012-06-25,32.88,33.02,31.55,32.06,229018
2012-06-26,32.69,33.44,32.5,33.1,237940
2012-06-27,32.46,32.9,31.9,32.23,262474
2012-06-28,31.96,32.19,30.9,31.36,165492
2012-06-29,31.92,31.99,30.76,31.095,182205
2012-07-02,31.23,31.73,30.55,30.77,134009
2012-07-03,30.92,31.44,30.8,31.2,84277
2012-07-05,31.32,31.63,31.02,31.47,92920
2012-07-06,31.44,31.9,31.26,31.73,101952
2012-07-09,32.1,32.88,31.99,32.17,167941
2012-07-10,32.45,32.48,31.16,31.47,135835
2012-07-11,31.48,31.56,30.55,30.97,110068
2012-07-12,30.7,31.4,30.6,30.81,108907
2012-07-13,31.05,31.07,30.56,30.72,76556
2012-07-16,30.5,30.5,28.21,28.245,233764
2012-07-17,28.5,28.59,27.15,28.09,292098
2012-07-18,28.39,29.29,28.15,29.11,160492
2012-07-19,29.41,29.5,28.63,29.0,129937
2012-07-20,29.0,29.47,28.72,28.76,110611
2012-07-23,28.12,29.0,28.01,28.75,117566
2012-07-24,28.82,29.45,28.1,28.45,108823
2012-07-25,28.39,29.49,28.08,29.34,141208
2012-07-26,27.73,28.23,26.73,26.845,437835
2012-07-27,23.19,24.54,22.28,23.705,1086806
