交易日期,开盘价,最高价,最低价,收盘价,成交量
2014-03-27,283.235,283.235,275.715,278.48,146
2014-03-28,279.845,282.45,278.585,279.24,599
2014-03-31,282.68,282.735,277.715,277.735,128
2014-04-01,278.605,283.46,278.605,282.815,98
2014-04-02,299.185,301.6,280.34,282.735,2007
2014-04-03,568.215,585.7,562.61,568.205,36909
2014-04-04,573.49,576.215,541.54,541.675,48797
2014-04-07,539.595,547.005,525.73,536.7,32800
2014-04-08,541.14,553.505,540.15,553.405,22244
2014-04-09,558.115,563.85,551.46,562.62,24483
2014-04-10,563.48,563.48,538.445,539.495,29719
2014-04-11,531.115,538.545,525.11,529.17,29270
2014-04-14,536.29,542.635,528.135,531.085,18729
2014-04-15,535.805,537.0,517.065,534.995,29132
2014-04-16,541.54,555.5,538.545,555.04,26455
2014-04-17,547.33,548.02,529.72,534.655,51654
2014-04-21,534.655,535.255,524.185,527.195,17561
2014-04-22,527.215,535.785,526.09,533.37,17171
2014-04-23,532.355,532.43,524.835,525.52,14294
2014-04-24,528.645,530.22,520.715,523.745,12882
2014-04-25,521.105,523.285,514.03,514.79,14140
2014-04-28,515.785,517.085,501.445,515.755,23601
2014-04-29,515.855,528.035,514.93,526.28,20094
2014-04-30,526.35,526.58,521.115,525.24,11371
2014-05-01,526.01,531.495,522.47,529.92,14044
2014-05-02,532.56,532.56,524.195,526.51,11529
2014-05-05,523.405,527.475,519.915,526.39,7054
2014-05-06,524.075,525.39,513.675,513.755,10720
2014-05-07,514.21,515.29,501.945,508.585,23941
2014-05-08,507.09,515.835,505.085,509.625,15136
2014-05-09,509.375,518.5,502.84,517.335,18751
2014-05-12,522.48,528.76,517.61,528.495,13237
2014-05-13,529.46,534.625,528.085,531.655,11258
2014-05-14,531.565,531.565,523.875,525.23,8018
2014-05-15,524.285,524.455,516.025,518.58,11861
2014-05-16,520.095,520.395,514.05,519.23,10791
2014-05-19,518.77,528.355,516.185,527.435,8141
2014-05-20,528.315,534.785,524.885,528.345,11588
2014-05-21,532.035,537.73,530.48,537.49,8039
2014-05-22,539.725,546.125,539.325,543.59,10238
2014-05-23,545.735,552.15,542.235,551.21,13777
2014-05-27,554.505,564.475,552.855,564.425,14373
2014-05-28,563.2,566.31,559.49,560.17,11551
2014-05-29,561.965,562.48,557.205,558.57,9049
2014-05-30,559.29,559.84,554.415,558.38,8882
2014-06-02,559.19,559.39,544.26,552.44,9843
2014-06-03,549.505,550.855,541.09,543.475,13604
2014-06-04,539.92,547.135,537.3,543.195,13092
2014-06-05,544.62,553.455,542.985,552.41,11765
2014-06-06,556.515,556.555,547.45,554.83,12446
2014-06-09,555.65,561.385,554.545,560.605,10490
2014-06-10,559.0,562.08,556.4,559.04,8472
2014-06-11,556.43,558.37,553.525,557.335,7328
2014-06-12,555.8,556.485,546.985,549.865,9689
2014-06-13,550.775,550.815,544.09,550.275,8279
2014-06-16,547.78,548.14,540.06,542.815,11014
2014-06-17,542.735,543.85,537.88,541.55,9465
2014-06-18,543.395,552.07,542.535,551.88,11534
2014-06-19,552.5,553.505,547.035,553.405,17726
