交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,38.7,38.73,38.18,38.66,163350
2006-12-13,38.95,39.29,38.79,39.09,176598
2006-12-14,39.1,40.1,38.87,39.97,225171
2006-12-15,40.11,40.37,36.96,39.93,239117
2006-12-18,40.07,40.3,39.68,40.02,132842
2006-12-19,39.75,39.77,39.41,39.62,134569
2006-12-20,39.55,39.86,39.14,39.15,115468
2006-12-21,39.25,39.37,38.65,38.93,133178
2006-12-22,38.65,39.07,38.65,38.93,64809
2006-12-26,38.62,39.22,38.59,39.07,47123
2006-12-27,39.19,39.68,39.18,39.61,71081
2006-12-28,39.41,39.81,39.38,39.71,73157
2006-12-29,39.66,40.29,39.65,40.13,97055
2007-01-03,41.3,41.84,40.96,41.1,460707
2007-01-04,41.0,41.18,40.38,40.55,188557
2007-01-05,40.44,40.63,39.72,39.79,193996
2007-01-08,39.94,39.95,39.25,39.49,157928
2007-01-09,39.5,39.85,39.22,39.36,166867
2007-01-10,39.84,39.93,36.5,39.81,110624
2007-01-11,39.65,40.19,39.65,40.07,103487
2007-01-12,39.95,40.37,39.85,40.11,95897
2007-01-16,40.0,40.42,39.92,40.29,104053
2007-01-17,40.19,40.47,40.09,40.32,110972
2007-01-18,40.05,40.94,40.01,40.87,167197
2007-01-19,40.97,40.98,40.45,40.54,104017
2007-01-22,40.66,40.66,39.98,40.06,121570
2007-01-23,40.03,40.61,40.0,40.41,97325
2007-01-24,40.52,40.79,40.42,40.68,68637
2007-01-25,40.53,40.67,40.01,40.07,97813
2007-01-26,40.12,40.22,39.64,39.97,83272
2007-01-29,40.3,40.52,39.84,39.92,106196
2007-01-30,40.11,40.38,40.01,40.18,74468
2007-01-31,39.97,40.95,39.95,40.74,105456
2007-02-01,40.77,41.18,40.69,41.08,109902
2007-02-02,40.9,41.14,40.61,40.88,87299
2007-02-05,40.67,41.23,40.54,41.02,81840
2007-02-06,41.09,41.38,40.91,41.27,70021
2007-02-07,41.22,41.46,41.02,41.38,73844
2007-02-09,41.22,41.42,40.91,41.03,86767
2007-02-12,41.62,42.01,41.27,41.48,159167
2007-02-13,41.29,41.84,41.18,41.76,111275
2007-02-14,41.72,41.96,41.5,41.73,155505
2007-02-15,41.57,41.85,41.32,41.67,78139
