交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,40.45,40.67,40.03,40.22,28914
2006-12-12,40.205,40.23,39.5,40.05,43270
2006-12-13,40.315,40.395,39.755,39.86,33098
2006-12-14,40.03,41.135,40.03,40.62,66041
2006-12-15,41.06,41.995,40.735,41.505,76021
2006-12-18,42.095,42.365,40.915,41.145,50544
2006-12-19,41.145,42.24,41.03,42.21,53129
2006-12-20,42.145,42.79,42.03,42.44,41947
2006-12-21,42.365,42.83,42.27,42.64,34860
2006-12-22,42.61,42.82,42.375,42.545,26938
2006-12-26,42.4,42.88,42.385,42.745,21754
2006-12-27,42.885,43.25,42.79,43.2,30614
2006-12-28,43.07,43.575,43.03,43.295,25463
2006-12-29,43.2,43.42,42.935,43.02,21349
2007-01-03,42.86,43.495,42.725,42.975,35042
2007-01-04,42.745,43.04,42.25,42.925,26401
2007-01-05,42.735,42.945,42.165,42.505,31427
2007-01-08,42.505,42.885,42.185,42.785,26412
2007-01-09,42.905,43.155,42.525,43.05,30658
2007-01-10,42.745,42.925,42.48,42.82,22933
2007-01-11,43.03,43.78,42.99,43.515,30449
2007-01-12,43.42,43.505,42.88,43.38,27133
2007-01-16,43.24,43.515,43.05,43.41,23524
2007-01-17,43.295,43.695,43.145,43.39,27355
2007-01-18,42.59,43.505,42.59,42.88,33160
2007-01-19,43.19,43.38,42.895,43.095,36904
2007-01-22,42.905,43.085,41.86,42.135,44936
2007-01-23,42.25,42.695,42.21,42.365,44934
2007-01-24,42.26,42.705,42.125,42.27,26859
2007-01-25,42.335,42.6,41.775,42.155,28728
2007-01-26,41.985,42.365,41.07,42.0,49407
2007-01-29,42.0,42.4,41.795,42.07,37257
2007-01-30,42.105,43.06,42.105,42.985,43896
2007-01-31,42.975,43.685,42.63,43.525,37360
2007-02-01,43.59,43.8,43.325,43.725,36535
2007-02-02,43.925,43.98,43.695,43.945,26163
2007-02-05,43.775,43.905,43.48,43.8,23912
2007-02-06,43.81,44.38,43.705,44.345,29245
2007-02-07,44.39,44.505,44.07,44.305,32685
2007-02-09,44.46,44.505,43.86,44.05,31882
2007-02-12,44.175,44.19,43.725,43.905,28353
2007-02-13,43.885,44.355,43.82,44.285,32864
2007-02-14,44.275,45.365,43.98,45.22,45390
2007-02-15,45.105,45.39,44.885,45.275,33675
2007-02-16,45.65,45.695,45.135,45.545,36827
2007-02-20,45.675,45.96,45.505,45.8,41054
2007-02-21,45.665,46.115,45.505,46.03,29098
2007-02-22,45.98,46.17,45.58,45.875,32229
2007-02-23,45.66,45.725,45.25,45.44,34777
2007-02-26,45.505,45.61,44.6,45.355,29983
2007-02-27,45.335,45.355,43.575,43.945,63754
2007-02-28,43.945,44.57,43.575,44.165,54571
2007-03-01,43.125,44.2,42.42,44.01,52736
2007-03-02,43.885,44.485,43.555,43.715,43774
2007-03-05,43.295,44.27,43.21,43.66,51883
2007-03-06,43.755,44.19,43.58,44.07,41242
2007-03-07,44.115,44.735,43.84,44.375,31883
2007-03-08,44.505,45.135,44.485,45.03,38874
2007-03-09,45.22,45.545,44.875,44.98,41657
2007-03-12,45.03,45.37,44.955,45.325,38750
2007-03-13,45.145,45.485,44.63,44.64,43869
2007-03-14,44.715,44.84,43.81,44.64,54083
2007-03-15,44.515,44.765,44.375,44.705,35182
2007-03-16,44.8,44.925,44.46,44.66,63546
2007-03-19,45.01,45.285,44.84,44.915,25334
2007-03-20,44.925,44.925,44.545,44.87,31903
2007-03-21,44.79,45.45,44.64,45.39,32358
2007-03-22,45.505,45.505,44.885,45.275,32916
2007-03-23,44.475,46.36,44.475,45.41,25519
2007-03-26,45.345,45.58,44.545,45.085,34031
2007-03-27,44.915,45.04,44.295,44.515,31072
2007-03-28,44.365,44.42,43.39,43.765,38952
2007-03-29,44.26,44.26,43.41,43.725,32235
2007-03-30,44.02,44.365,43.63,43.87,36268
2007-04-02,43.39,44.0,43.39,43.955,26646
2007-04-03,44.05,44.66,44.03,44.485,28339
2007-04-04,44.555,45.03,44.095,44.97,30526
2007-04-05,44.98,45.05,44.745,44.935,20760
2007-04-09,45.085,45.095,44.715,44.87,17450
2007-04-10,44.685,44.955,44.59,44.715,16608
2007-04-11,44.695,44.83,43.975,44.125,26237
