交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,20.68,20.84,20.47,20.72,418841
2006-12-13,20.88,20.89,20.66,20.7,435694
2006-12-14,20.74,21.14,20.41,20.76,462160
2006-12-15,20.99,21.2,20.86,20.94,818507
2006-12-18,21.09,21.3,20.66,20.81,470467
2006-12-19,20.63,20.72,20.46,20.63,446647
2006-12-20,20.7,20.94,20.57,20.6,293288
2006-12-21,20.6,20.67,20.21,20.37,454525
2006-12-22,20.36,20.43,20.09,20.09,330752
2006-12-26,20.04,20.29,20.03,20.15,246729
2006-12-27,20.26,20.5,20.22,20.4,298979
2006-12-28,20.4,20.48,20.33,20.41,283754
2006-12-29,20.34,20.53,20.23,20.23,329921
2007-01-03,20.45,20.9,20.14,20.35,628122
2007-01-04,20.64,21.33,20.56,21.19,787432
2007-01-05,21.09,21.15,20.76,21.08,531095
2007-01-08,21.26,21.34,20.95,20.99,502518
2007-01-09,21.19,21.21,20.86,21.02,511930
2007-01-10,21.09,21.62,21.03,21.52,732366
2007-01-11,21.62,22.05,21.03,21.92,961029
2007-01-12,21.8,22.8,20.85,22.13,857288
2007-01-16,22.11,22.3,21.78,22.28,1036036
2007-01-17,21.25,22.25,20.78,21.05,1707967
2007-01-18,20.89,20.9,20.5,20.66,963429
2007-01-19,20.64,20.87,20.6,20.83,629523
2007-01-22,20.92,21.02,20.65,20.8,544335
2007-01-23,20.85,20.88,20.46,20.54,645978
2007-01-24,20.6,20.88,20.57,20.85,539513
2007-01-25,20.88,21.04,20.6,20.6,545561
2007-01-26,20.69,20.9,20.51,20.54,582509
2007-01-29,20.81,21.14,20.7,20.89,770500
2007-01-30,21.09,21.13,20.82,20.92,563996
2007-01-31,20.96,21.02,20.69,20.95,435140
2007-02-01,20.96,21.14,20.87,21.1,463587
2007-02-02,21.14,21.25,21.03,21.25,463853
2007-02-05,21.22,21.65,21.17,21.26,473090
2007-02-06,21.36,21.49,21.08,21.3,532509
2007-02-07,21.39,21.67,21.24,21.51,556705
2007-02-08,21.3,21.42,21.18,21.35,373168
2007-02-09,21.42,22.02,20.92,21.02,770793
2007-02-12,20.97,20.98,20.75,20.79,465610
2007-02-13,20.89,20.95,20.7,20.89,512320
2007-02-14,20.97,21.3,20.94,21.17,513803
2007-02-15,21.22,21.35,21.13,21.32,419801
2007-02-16,21.26,21.4,20.89,21.25,464737
2007-02-20,21.06,21.32,20.9,21.18,454128
2007-02-21,20.97,20.99,20.73,20.88,596611
2007-02-22,20.99,21.07,20.78,20.99,485240
2007-02-23,20.8,21.0,20.75,20.75,657569
2007-02-26,20.81,21.0,20.52,20.86,644192
2007-02-27,20.49,20.6,20.01,20.03,921877
2007-02-28,20.05,20.2,19.83,19.85,957629
2007-03-01,19.5,19.8,19.34,19.58,999943
2007-03-02,19.5,19.6,19.2,19.22,916014
2007-03-05,18.98,19.46,18.9,19.1,673133
2007-03-06,19.34,19.4,19.15,19.39,608176
2007-03-07,19.36,19.45,19.08,19.11,619655
2007-03-08,19.28,19.32,19.16,19.22,433253
2007-03-09,19.36,19.42,19.05,19.11,429365
2007-03-12,19.11,19.64,19.09,19.49,651613
2007-03-13,19.3,19.49,19.12,19.12,632573
2007-03-14,19.17,19.24,18.96,19.23,666989
2007-03-15,19.22,19.3,19.01,19.13,486699
2007-03-16,19.15,19.22,19.05,19.13,616833
2007-03-19,19.19,19.28,18.95,19.11,557244
2007-03-20,19.05,19.13,18.92,18.96,595434
2007-03-21,19.04,19.36,18.91,19.34,580604
2007-03-22,19.24,19.34,19.11,19.16,466693
2007-03-23,19.22,19.36,19.16,19.26,317507
2007-03-26,19.26,19.34,19.05,19.29,361722
2007-03-27,19.25,19.27,19.04,19.05,474985
2007-03-28,18.98,19.05,18.86,18.86,472320
2007-03-29,19.01,19.1,18.75,19.09,678270
2007-03-30,19.08,19.18,18.9,19.12,546291
2007-04-02,19.15,19.24,19.03,19.13,518981
2007-04-03,19.22,19.4,19.19,19.31,509139
2007-04-04,19.36,19.44,19.23,19.38,455637
2007-04-05,19.3,19.58,19.26,19.58,351364
2007-04-09,19.88,20.24,19.85,20.11,983842
2007-04-10,20.09,20.74,20.07,20.7,915488
2007-04-11,20.59,20.73,20.42,20.47,870134
2007-04-12,20.38,20.55,20.25,20.5,611930
2007-04-13,20.41,20.48,20.25,20.45,422942
2007-04-16,20.4,20.73,20.39,20.7,539049
2007-04-17,20.68,21.0,20.66,20.99,873790
2007-04-18,21.34,21.48,20.98,21.35,1070071
2007-04-19,21.17,21.9,21.14,21.83,936720
2007-04-20,22.05,22.2,21.66,22.15,1207869
2007-04-23,22.03,22.13,21.79,21.91,510634
2007-04-24,21.95,22.09,21.74,21.95,668778
2007-04-25,21.99,22.3,21.8,22.26,616275
2007-04-26,22.14,22.26,22.0,22.09,481900
2007-04-27,21.92,22.09,21.82,21.9,462272
2007-04-30,21.8,21.85,21.48,21.5,459336
2007-05-01,21.57,21.83,21.45,21.81,468749
2007-05-02,21.78,22.07,21.75,21.94,569355
2007-05-03,22.11,22.14,21.71,21.73,680586
2007-05-04,21.95,22.02,21.81,21.91,472955
2007-05-07,21.92,22.13,21.85,21.93,344635
2007-05-08,21.98,22.2,21.8,22.16,421457
2007-05-09,22.04,22.51,21.95,22.47,690981
2007-05-10,22.37,22.7,22.05,22.21,627791
2007-05-11,22.32,22.4,22.14,22.28,442505
2007-05-14,22.36,22.44,21.99,22.14,470321
2007-05-15,22.08,22.36,21.9,21.99,553112
2007-05-16,22.05,22.24,21.91,22.17,511736
2007-05-17,22.3,22.46,22.18,22.23,543695
2007-05-18,22.69,22.75,22.23,22.7,676413
2007-05-21,22.7,22.89,22.53,22.63,474345
2007-05-22,22.89,23.08,22.69,23.0,623764
2007-05-23,22.99,23.14,22.65,22.65,546745
2007-05-24,22.72,22.75,21.82,21.96,735741
2007-05-25,22.12,22.3,22.04,22.14,353125
2007-05-29,22.17,22.43,22.12,22.31,403325
2007-05-30,22.07,22.3,21.85,22.13,540380
2007-05-31,22.14,22.19,21.0,22.18,415908
2007-06-01,22.34,22.6,22.17,22.37,456125
2007-06-04,22.24,22.54,22.12,22.15,406295
2007-06-05,22.12,22.24,21.86,21.94,517929
2007-06-06,21.88,21.97,21.46,21.48,643206
2007-06-07,21.34,21.63,21.29,21.31,617643
2007-06-08,21.5,21.88,21.31,21.83,574366
2007-06-11,21.75,22.08,21.69,21.93,380786
2007-06-12,21.89,22.5,21.22,22.2,564293
2007-06-13,22.27,22.88,22.2,22.67,716761
2007-06-14,22.64,23.53,22.63,23.25,794633
2007-06-15,23.98,24.25,23.21,24.25,1474462
2007-06-18,24.18,24.31,23.81,24.17,538525
2007-06-19,24.04,25.35,23.96,24.11,643796
2007-06-20,24.22,24.35,23.9,23.95,595564
2007-06-21,23.87,24.38,23.79,24.29,525372
2007-06-22,24.19,24.23,23.69,23.72,543798
2007-06-25,23.75,23.89,23.3,23.48,468918
2007-06-26,23.58,23.72,23.34,23.39,405842
2007-06-27,23.29,23.85,23.28,23.79,470435
2007-06-28,24.13,24.17,23.5,23.92,439163
2007-06-29,23.96,24.22,23.55,23.75,448756
2007-07-02,23.88,24.3,23.86,24.27,409734
2007-07-03,24.31,24.6,24.25,24.6,276787
2007-07-05,24.48,24.69,24.43,24.59,326659
2007-07-06,24.57,24.85,24.51,24.7,380202
2007-07-09,24.81,25.02,24.68,24.93,691940
2007-07-10,24.78,25.18,24.75,24.98,599024
2007-07-11,24.82,24.9,24.45,24.57,494943
2007-07-12,24.75,26.0,24.57,26.0,1065030
2007-07-13,25.79,26.0,25.68,25.96,594544
2007-07-16,25.93,26.04,25.83,25.94,473573
2007-07-17,26.06,26.52,25.98,26.32,1041496
2007-07-18,24.96,26.04,24.81,25.05,1264792
2007-07-19,25.13,25.32,25.09,25.26,574822
2007-07-20,25.28,25.3,24.48,24.55,882817
2007-07-23,24.63,24.97,24.57,24.71,523336
2007-07-24,24.41,24.9,24.4,24.53,558376
2007-07-25,24.68,24.72,24.37,24.49,474771
2007-07-26,24.34,24.44,23.63,24.07,761778
2007-07-27,23.9,24.05,23.53,23.53,744727
2007-07-30,23.62,24.15,23.55,23.86,640928
2007-07-31,24.1,24.18,23.59,23.61,552836
2007-08-01,23.56,23.96,23.22,23.83,847327
2007-08-02,23.77,24.43,23.59,24.3,712087
2007-08-03,24.3,24.49,23.88,23.88,689225
2007-08-06,24.06,24.2,23.78,24.12,592192
2007-08-07,24.04,24.32,23.75,24.11,515231
2007-08-08,24.29,24.77,24.18,24.68,710780
2007-08-09,24.3,24.74,23.93,23.93,668553
2007-08-10,23.91,24.34,23.5,24.0,648836
2007-08-13,24.21,24.32,23.96,24.03,419859
2007-08-14,24.06,24.38,23.78,23.8,519395
2007-08-15,23.77,23.99,23.21,23.23,548322
2007-08-16,23.23,23.59,22.09,23.12,1089465
2007-08-17,23.91,24.0,23.34,23.71,829092
2007-08-20,23.8,24.29,23.66,24.11,510696
2007-08-21,23.91,24.05,23.71,23.89,535177
2007-08-22,24.01,24.2,23.94,24.16,463471
2007-08-23,24.29,24.32,24.0,24.24,365979
2007-08-24,24.19,24.88,24.07,24.78,466082
2007-08-27,24.7,24.71,24.37,24.46,411550
2007-08-28,24.25,24.51,23.93,23.97,457888
2007-08-29,24.3,25.2,24.22,25.1,761211
2007-08-30,24.91,25.62,24.89,25.29,640108
2007-08-31,25.56,25.8,25.51,25.71,488981
2007-09-04,25.85,26.43,25.75,26.17,705287
2007-09-05,26.0,26.2,25.79,25.97,542096
2007-09-06,26.02,26.23,25.88,26.17,463070
2007-09-07,25.68,25.74,25.26,25.49,611776
2007-09-10,25.93,26.22,25.24,25.34,985337
2007-09-11,25.51,25.89,25.26,25.68,592154
2007-09-12,25.53,25.85,25.33,25.45,545551
2007-09-13,25.56,25.64,25.25,25.34,607255
2007-09-14,24.94,25.19,24.6,24.92,612221
2007-09-17,24.86,25.08,24.76,24.85,417661
2007-09-18,24.95,25.49,24.89,25.4,671790
2007-09-19,25.63,25.78,25.43,25.67,636848
2007-09-20,25.51,25.96,25.48,25.81,469923
2007-09-21,26.02,26.05,25.76,25.86,588681
2007-09-24,25.98,26.24,25.82,25.98,453627
2007-09-25,25.89,26.17,25.76,25.91,469897
2007-09-26,25.98,26.36,25.8,25.9,621830
2007-09-27,26.08,26.1,25.7,25.77,452948
2007-09-28,25.73,26.02,25.67,25.87,372640
2007-10-01,26.04,26.55,26.02,26.4,501766
2007-10-02,26.28,26.58,26.16,26.38,418317
2007-10-03,25.89,26.05,25.57,25.81,715786
2007-10-04,25.8,25.83,25.37,25.62,407889
2007-10-05,25.8,25.94,25.49,25.57,658851
2007-10-08,25.52,25.76,25.47,25.66,318520
2007-10-09,25.69,25.86,25.55,25.84,398778
2007-10-10,25.89,25.93,25.63,25.88,357602
2007-10-11,25.87,26.18,25.16,25.43,829646
