交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,30.87,30.98,30.34,30.59,20452
2006-12-13,30.65,31.09,30.55,31.04,21487
2006-12-14,31.19,31.84,31.12,31.42,22821
2006-12-15,31.72,32.11,31.37,31.48,49416
2006-12-18,31.58,31.65,30.62,30.8,26263
2006-12-19,30.63,30.77,29.9,30.69,26065
2006-12-20,30.89,30.97,30.41,30.55,19837
2006-12-21,30.53,30.78,30.42,30.62,20787
2006-12-22,30.73,30.73,30.11,30.3,15857
2006-12-26,30.17,30.36,30.02,30.32,13983
2006-12-27,30.73,30.99,30.52,30.77,12567
2006-12-28,30.71,30.75,30.3,30.44,12691
2006-12-29,30.3,30.95,30.3,30.51,12910
2007-01-03,30.69,31.06,29.1,29.5,37762
2007-01-04,29.56,30.14,29.18,29.87,29683
2007-01-05,29.99,30.03,29.49,29.86,21712
2007-01-08,29.61,29.82,28.66,28.82,62349
2007-01-09,28.91,29.36,28.64,28.93,45913
2007-01-10,28.57,29.49,28.54,29.42,34038
2007-01-11,29.56,29.92,29.46,29.67,30407
2007-01-12,29.91,30.97,29.91,30.29,45321
2007-01-16,30.3,30.38,30.0,30.24,38654
2007-01-17,30.22,30.78,30.0,30.59,48555
2007-01-18,31.22,31.34,30.72,31.16,59416
2007-01-19,30.91,31.53,30.89,31.36,52041
2007-01-22,31.25,31.45,30.57,31.03,34484
2007-01-23,31.43,32.12,31.34,31.76,37451
2007-01-24,31.98,32.23,31.83,31.97,22884
2007-01-25,31.92,32.04,31.22,31.38,31808
2007-01-26,31.29,31.53,30.88,31.11,30007
2007-01-29,30.88,31.5,30.86,31.23,25125
2007-01-30,31.16,31.3,30.61,30.91,32434
2007-01-31,30.98,31.69,30.47,31.45,21483
2007-02-01,31.4,31.68,31.05,31.31,17008
2007-02-02,31.44,31.54,30.96,31.18,18936
2007-02-05,31.22,31.69,31.22,31.57,21581
2007-02-06,31.58,31.66,31.18,31.31,25607
2007-02-07,31.54,31.74,31.21,31.67,21124
2007-02-08,31.71,32.1,31.7,31.87,37184
2007-02-09,31.84,31.99,31.26,31.44,23086
2007-02-12,31.47,31.69,30.94,31.0,23523
2007-02-13,31.11,31.3,30.89,31.05,18146
2007-02-14,31.1,31.54,30.99,31.5,15230
2007-02-15,31.43,31.63,31.17,31.28,20383
2007-02-16,31.29,31.34,30.93,30.93,29803
2007-02-20,30.95,31.14,30.76,31.06,29875
2007-02-21,31.05,31.58,30.93,31.25,25740
2007-02-22,31.23,31.82,30.79,30.87,36969
2007-02-23,30.0,31.4,29.4,31.27,56584
2007-02-26,31.47,31.47,30.78,30.89,37451
2007-02-27,30.75,30.9,29.19,29.48,50892
2007-02-28,29.0,29.71,28.93,29.51,40428
2007-03-01,28.68,29.28,28.05,29.06,48570
2007-03-02,29.33,29.83,29.05,29.12,45491
2007-03-05,29.0,29.2,28.54,28.56,34541
2007-03-06,28.53,28.91,28.22,28.69,45317
2007-03-07,28.72,28.72,28.19,28.21,45903
2007-03-08,28.27,28.37,27.91,27.97,38871
2007-03-09,28.57,28.68,28.06,28.22,37908
2007-03-12,28.02,28.18,27.95,28.12,31911
2007-03-13,27.84,28.01,27.6,27.6,34472
2007-03-14,27.66,28.16,27.6,28.14,41846
2007-03-15,28.65,28.98,28.19,28.94,52429
2007-03-16,29.0,29.01,28.54,28.71,55167
2007-03-19,28.96,29.03,28.61,29.0,25598
2007-03-20,29.13,29.41,29.02,29.29,27038
2007-03-21,29.21,30.12,29.03,30.04,43370
2007-03-22,28.17,28.8,27.37,27.51,106653
2007-03-23,27.45,27.66,27.25,27.39,51592
2007-03-26,27.32,27.42,27.01,27.36,42662
2007-03-27,27.24,27.73,27.04,27.55,37153
2007-03-28,27.4,27.52,26.98,26.98,51191
2007-03-29,27.07,27.18,26.74,27.08,31561
2007-03-30,27.1,27.38,26.89,27.36,27449
2007-04-02,27.24,27.45,26.95,27.08,26855
2007-04-03,27.21,28.15,27.05,27.42,26123
2007-04-04,27.33,27.66,27.24,27.34,29243
2007-04-05,27.29,27.67,27.18,27.67,32653
2007-04-09,27.6,28.2,27.53,28.14,44884
2007-04-10,28.05,28.37,27.95,28.35,45754
2007-04-11,28.28,28.46,28.13,28.37,56300
2007-04-12,28.4,28.59,28.26,28.57,37791
2007-04-13,28.5,28.64,28.38,28.64,39474
2007-04-16,28.75,29.28,28.73,29.21,50832
2007-04-17,29.25,29.44,29.04,29.41,37774
2007-04-18,28.88,29.53,28.88,29.48,37604
2007-04-19,29.25,29.53,29.07,29.53,32486
2007-04-20,29.11,29.67,28.82,29.59,59937
2007-04-23,29.38,29.75,29.25,29.69,35193
2007-04-24,29.57,29.7,29.11,29.14,40810
2007-04-25,29.11,29.38,28.82,29.37,31040
2007-04-26,28.99,29.25,28.96,29.16,32923
2007-04-27,29.0,29.15,28.7,29.14,55166
2007-04-30,29.14,29.15,28.43,28.45,36169
2007-05-01,28.47,28.6,28.17,28.22,32480
2007-05-02,28.29,28.55,28.22,28.45,22695
2007-05-03,28.57,28.75,28.3,28.54,21092
2007-05-04,28.72,28.74,28.14,28.28,23663
2007-05-07,28.45,28.71,28.27,28.33,15430
2007-05-08,28.21,28.37,28.02,28.25,33811
2007-05-09,28.22,28.29,27.97,28.12,26455
2007-05-10,27.96,28.19,27.73,27.98,29530
2007-05-11,27.87,27.99,27.66,27.89,25333
2007-05-14,27.96,27.98,27.66,27.8,40933
2007-05-15,27.78,28.09,27.39,27.41,30025
2007-05-16,27.64,28.03,27.41,27.97,33145
2007-05-17,27.9,28.0,27.59,27.74,29043
2007-05-18,30.52,31.83,27.72,31.56,107358
2007-05-21,31.08,31.6,30.95,31.22,55098
2007-05-22,30.79,31.04,30.75,30.97,37302
2007-05-23,30.99,31.16,30.72,30.82,23688
2007-05-24,30.88,30.96,30.28,30.38,37190
2007-05-25,30.38,30.54,30.13,30.27,25069
2007-05-29,30.25,30.81,30.23,30.34,31854
2007-05-30,30.2,30.53,29.77,30.53,29764
2007-05-31,30.42,30.59,30.26,30.5,19597
2007-06-01,30.49,30.98,30.42,30.77,22418
2007-06-04,30.53,30.56,30.2,30.24,25921
2007-06-05,30.22,30.24,29.75,29.95,27206
2007-06-06,29.97,29.97,29.56,29.78,27964
2007-06-07,29.17,29.56,29.07,29.08,28744
2007-06-08,28.95,29.51,28.9,29.49,24833
2007-06-11,29.48,30.07,29.27,29.84,31277
2007-06-12,29.43,29.89,29.04,29.43,27273
2007-06-13,29.42,29.72,29.11,29.72,27645
2007-06-14,29.67,30.0,29.65,29.91,25384
2007-06-15,30.25,30.26,29.52,29.83,49547
2007-06-18,29.62,29.82,29.17,29.37,26624
2007-06-19,29.29,29.53,29.09,29.41,23494
2007-06-20,29.42,29.56,29.17,29.33,24275
2007-06-21,29.26,29.98,29.11,29.94,32400
2007-06-22,29.95,30.0,29.49,29.87,31949
2007-06-25,29.85,30.13,29.6,29.9,34675
2007-06-26,30.12,30.5,29.97,30.08,28361
2007-06-27,29.79,30.37,29.72,30.36,24606
2007-06-28,30.16,30.66,30.11,30.38,26860
2007-06-29,30.52,30.53,29.85,30.06,23467
2007-07-02,30.25,30.25,29.51,29.62,36139
2007-07-03,29.6,29.75,29.49,29.75,18851
2007-07-05,29.67,29.97,29.66,29.83,31863
2007-07-06,29.83,29.98,29.41,29.56,26659
2007-07-09,29.56,29.63,29.17,29.46,37430
2007-07-10,29.46,29.89,29.21,29.6,37760
2007-07-11,29.6,29.77,29.4,29.74,26972
2007-07-12,29.83,30.44,29.74,30.44,28037
2007-07-13,30.31,30.52,30.07,30.18,25348
2007-07-16,30.06,30.19,29.93,30.07,21271
2007-07-17,29.94,30.14,29.67,29.92,33266
2007-07-18,29.78,30.24,29.51,29.82,25275
2007-07-19,29.96,29.98,29.55,29.84,28618
2007-07-20,30.0,30.18,29.58,30.05,41408
2007-07-23,30.09,30.59,30.03,30.26,20800
2007-07-24,30.15,30.85,29.84,29.98,36319
2007-07-25,30.02,30.37,29.9,30.05,29607
2007-07-26,29.65,30.49,29.17,29.5,38090
2007-07-27,29.52,29.88,28.99,28.99,28433
2007-07-30,28.96,29.2,28.75,29.04,28659
2007-07-31,28.99,29.42,28.64,28.64,31727
2007-08-01,28.64,29.0,28.4,28.8,38772
2007-08-02,28.52,29.17,28.37,28.77,27502
2007-08-03,28.78,29.08,28.1,28.1,34962
2007-08-06,28.55,30.27,28.51,30.27,49518
2007-08-07,30.01,30.14,29.18,29.61,39798
2007-08-08,29.72,29.83,28.06,28.39,37273
2007-08-09,28.27,28.38,26.14,26.56,67402
2007-08-10,26.4,28.51,26.15,28.28,47331
2007-08-13,28.25,28.59,27.78,28.17,31142
2007-08-14,28.29,28.44,27.79,27.81,30041
2007-08-15,27.83,28.57,27.78,28.23,35083
2007-08-16,28.12,29.47,28.03,29.16,42612
2007-08-17,29.01,29.49,28.25,28.65,34863
2007-08-20,28.52,28.6,27.51,27.98,28816
2007-08-21,27.89,28.55,27.85,28.52,23351
2007-08-22,28.75,29.0,28.2,28.92,28946
2007-08-23,28.65,29.18,27.61,28.0,42281
2007-08-24,27.87,28.12,27.69,27.89,25010
2007-08-27,27.73,27.85,27.29,27.38,32532
2007-08-28,27.14,27.26,26.62,26.63,21921
2007-08-29,26.74,27.17,26.34,27.09,33916
2007-08-30,27.0,27.36,26.9,27.17,19350
2007-08-31,27.39,27.47,27.18,27.31,21197
2007-09-04,27.25,27.94,27.16,27.79,29178
2007-09-05,27.8,27.8,27.12,27.21,22000
2007-09-06,27.37,27.65,27.13,27.23,18434
2007-09-07,26.89,27.19,26.35,26.7,20832
2007-09-10,26.87,27.1,26.59,26.75,23979
2007-09-11,26.9,27.37,26.79,27.35,19669
2007-09-12,27.21,28.16,27.21,28.02,35373
2007-09-13,28.25,28.55,28.08,28.5,45706
2007-09-14,28.43,28.56,28.13,28.44,44936
2007-09-17,28.49,28.51,28.24,28.38,30615
2007-09-18,28.5,29.4,28.42,29.4,34177
2007-09-19,29.5,29.8,29.35,29.75,35286
2007-09-20,29.66,29.97,29.56,29.89,34979
2007-09-21,30.01,30.04,29.62,29.66,41011
2007-09-24,29.61,29.79,29.29,29.35,25159
2007-09-25,29.25,29.56,29.16,29.42,33433
2007-09-26,29.51,29.59,29.11,29.38,22571
2007-09-27,29.5,29.59,29.32,29.5,18149
2007-09-28,29.57,30.34,29.47,30.31,32377
2007-10-01,30.44,31.35,30.28,31.15,40887
2007-10-02,31.27,31.27,30.81,31.06,23679
2007-10-03,31.01,31.39,30.79,31.14,19875
2007-10-04,31.18,31.44,30.94,31.23,18863
2007-10-05,31.37,31.77,30.95,31.76,21013
2007-10-08,31.52,31.94,31.43,31.93,14624
2007-10-09,31.94,32.28,31.58,32.23,25552
2007-10-10,32.26,32.54,32.12,32.51,20064
2007-10-11,32.45,32.94,32.34,32.38,28247
2007-10-12,32.53,33.0,32.39,32.7,22124
2007-10-15,32.48,33.6,31.57,31.85,29191
2007-10-16,31.97,31.99,31.59,31.91,23691
2007-10-17,31.86,32.29,31.53,32.07,22128
