交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,65.78,65.9,65.29,65.57,75249
2006-12-13,65.8,66.0,64.65,65.5,73817
2006-12-14,65.78,66.62,65.52,66.24,83816
2006-12-15,66.4,66.57,65.5,66.25,109503
2006-12-18,66.22,66.84,66.22,66.57,72875
2006-12-19,66.65,67.25,66.63,66.87,92207
2006-12-20,66.65,66.89,66.34,66.45,86130
2006-12-21,66.23,66.38,65.88,66.01,75991
2006-12-22,65.78,65.95,65.45,65.66,54474
2006-12-26,65.6,65.78,65.48,65.66,29671
2006-12-27,65.94,66.15,65.78,66.05,45958
2006-12-28,65.86,66.6,65.86,66.37,50753
2006-12-29,66.17,66.57,63.92,65.92,46340
2007-01-03,66.13,67.1,66.11,66.41,108688
2007-01-04,65.9,67.62,65.9,67.23,107289
2007-01-05,66.8,67.25,66.5,66.64,78880
2007-01-08,66.51,66.75,66.05,66.52,57927
2007-01-09,66.6,66.85,66.13,66.3,67259
2007-01-10,66.56,66.56,66.07,66.16,60245
2007-01-11,66.4,66.84,66.28,66.72,59849
2007-01-12,66.45,66.8,66.3,66.63,59987
2007-01-16,66.65,66.75,66.3,66.52,71277
2007-01-17,66.6,67.38,66.42,66.87,87594
2007-01-18,66.46,67.99,66.3,67.71,97752
2007-01-19,68.0,68.22,67.53,67.8,119441
2007-01-22,68.0,68.11,67.17,67.24,92026
2007-01-23,66.99,67.24,66.13,66.46,91732
2007-01-24,66.41,67.09,66.3,66.96,74725
2007-01-25,66.81,67.04,66.5,66.66,71366
2007-01-26,66.68,66.87,65.99,66.09,86686
2007-01-29,66.25,66.4,66.0,66.13,74536
2007-01-30,66.15,66.6,66.1,66.39,66935
2007-01-31,66.39,67.02,66.15,66.8,67644
2007-02-01,66.8,67.07,66.5,67.06,78368
2007-02-02,67.0,67.15,66.49,66.61,61593
2007-02-05,66.38,66.6,66.1,66.29,66168
2007-02-06,66.39,66.43,65.79,66.03,72620
2007-02-07,66.0,66.1,65.65,65.8,74477
2007-02-09,65.86,66.1,65.53,65.65,64556
2007-02-12,65.72,65.87,65.36,65.52,44044
2007-02-13,65.41,65.52,65.28,65.38,65770
2007-02-14,65.56,65.9,65.4,65.82,69714
2007-02-15,65.75,65.93,65.59,65.79,60322
2007-02-16,65.65,65.74,65.24,65.54,102230
2007-02-20,65.4,65.83,65.26,65.4,86084
2007-02-21,65.26,65.4,64.96,64.97,94817
2007-02-22,64.97,65.07,64.65,64.78,91566
2007-02-23,64.61,64.61,63.99,64.16,110579
2007-02-26,64.25,64.49,64.01,64.27,101351
2007-02-27,64.0,64.24,62.72,62.98,160772
2007-02-28,63.27,63.72,62.82,62.92,146685
2007-03-01,62.35,62.93,61.75,62.45,132874
2007-03-02,62.3,62.45,61.73,61.84,127426
2007-03-05,61.45,62.35,61.45,61.81,120210
2007-03-06,62.15,62.22,61.37,61.71,144245
2007-03-07,61.65,62.53,61.59,61.84,122742
2007-03-08,62.0,62.25,61.65,61.7,131295
