交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,47.56,47.97,47.35,47.64,128337
2006-12-13,47.78,47.9,47.5,47.6,94879
2006-12-14,47.61,48.04,47.3,47.94,93485
2006-12-15,48.2,48.65,48.0,48.26,137462
2006-12-18,48.3,48.6,48.03,48.27,78164
2006-12-19,48.03,48.48,47.95,48.27,82014
2006-12-20,48.33,48.37,48.14,48.24,54282
2006-12-21,48.42,48.97,48.33,48.66,103168
2006-12-22,48.64,48.8,47.62,47.9,76919
2006-12-26,47.98,48.37,47.95,48.35,36313
2006-12-27,48.54,49.0,47.82,48.97,69530
2006-12-28,48.8,49.0,48.64,48.92,50103
2006-12-29,48.75,48.91,48.27,48.28,75762
2007-01-03,48.0,48.37,47.59,48.06,132509
2007-01-04,48.05,48.55,47.75,48.21,85642
2007-01-05,48.17,48.25,47.63,47.78,96599
2007-01-08,47.57,48.06,47.32,47.92,77220
2007-01-09,47.9,48.11,47.36,47.75,88169
2007-01-10,47.47,48.12,47.44,48.12,82499
2007-01-11,48.0,48.42,47.94,48.31,77421
2007-01-12,48.1,48.26,47.9,48.0,102805
2007-01-16,48.16,48.46,48.1,48.46,81311
2007-01-17,48.65,48.89,48.12,48.47,153548
2007-01-18,48.05,48.58,47.92,48.15,120940
2007-01-19,48.3,48.83,48.14,48.75,136036
2007-01-22,48.87,49.95,48.7,49.69,170878
2007-01-23,49.57,49.86,49.28,49.8,122764
2007-01-24,49.68,50.4,49.51,50.35,128250
2007-01-25,50.24,50.68,49.93,50.21,139285
2007-01-26,50.0,50.25,49.5,49.7,133390
2007-01-29,49.57,49.65,48.28,49.47,115849
2007-01-30,49.7,50.25,49.37,50.18,110556
2007-01-31,50.07,51.16,49.85,50.98,156564
2007-02-01,50.96,51.24,50.86,51.21,125925
2007-02-02,51.22,51.33,50.73,50.95,141443
2007-02-05,50.81,51.15,50.54,50.98,77297
2007-02-06,50.85,51.32,50.76,51.0,88992
2007-02-07,50.84,51.22,50.8,51.21,71008
2007-02-09,51.02,51.19,50.08,50.42,90515
2007-02-12,50.59,50.65,50.25,50.5,69794
2007-02-13,50.35,51.02,50.33,50.95,78117
