交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,24.38,24.58,24.35,24.445,144178
2006-12-13,24.57,24.57,24.33,24.425,122330
2006-12-14,24.445,24.585,24.365,24.485,138232
2006-12-15,24.5,24.675,24.19,24.455,205524
2006-12-18,24.425,24.55,24.41,24.46,93658
2006-12-19,24.335,24.43,24.2,24.375,127542
2006-12-20,24.365,24.41,24.32,24.375,112434
2006-12-21,24.375,24.435,24.315,24.345,124206
2006-12-22,24.365,24.4,24.125,24.195,72096
2006-12-26,24.205,24.3,24.155,24.28,48584
2006-12-27,24.345,24.39,24.145,24.37,87028
2006-12-28,24.325,24.405,24.25,24.28,73816
2006-12-29,24.215,24.325,24.095,24.1,106414
2007-01-03,24.18,24.44,24.14,24.315,146590
2007-01-04,24.21,24.35,24.125,24.295,108336
2007-01-05,24.25,24.285,24.085,24.105,108928
2007-01-08,24.005,24.335,24.005,24.275,134580
2007-01-09,24.27,24.415,24.23,24.31,120308
2007-01-10,24.245,24.395,24.185,24.34,84136
2007-01-11,24.375,24.435,24.3,24.37,105160
2007-01-12,24.3,24.335,24.125,24.275,125652
2007-01-16,24.24,24.345,24.17,24.245,108020
2007-01-17,24.265,24.43,24.24,24.315,127124
2007-01-18,24.21,24.5,24.1,24.175,141732
2007-01-19,24.205,24.215,24.035,24.13,122496
2007-01-22,24.055,24.175,23.995,24.035,114044
2007-01-23,24.075,24.115,23.97,24.07,113966
2007-01-24,24.095,24.1,23.97,24.045,81656
2007-01-25,24.035,24.11,23.95,23.98,106128
2007-01-26,24.0,24.05,23.9,23.92,93478
2007-01-29,23.88,23.96,23.78,23.86,93016
2007-01-30,23.915,23.975,23.82,23.9,83508
2007-01-31,23.9,23.985,23.745,23.945,87756
2007-02-01,23.995,24.135,23.925,24.04,96096
2007-02-02,24.05,24.205,24.02,24.11,103188
2007-02-05,24.055,24.12,23.92,23.95,83826
2007-02-06,24.0,24.08,23.93,24.015,81754
2007-02-07,24.015,24.065,23.93,24.005,65680
2007-02-09,23.86,23.995,23.82,23.885,94710
2007-02-12,23.925,24.185,23.9,23.98,110536
2007-02-13,24.05,24.21,24.045,24.095,157608
2007-02-14,24.25,24.275,23.865,23.925,300732
2007-02-15,23.995,24.05,23.79,23.93,146244
2007-02-16,24.0,24.05,23.88,23.935,163150
2007-02-20,23.76,23.94,23.75,23.87,164952
2007-02-21,23.775,23.89,23.76,23.795,112566
2007-02-22,23.845,23.87,23.61,23.655,145452
2007-02-23,23.835,23.965,23.59,23.635,251474
2007-02-26,23.85,23.95,23.79,23.875,168600
2007-02-27,23.735,23.92,22.78,23.235,233810
2007-02-28,23.375,23.45,23.16,23.33,201944
2007-03-01,23.21,23.465,23.135,23.24,212648
2007-03-02,23.225,23.465,22.905,22.925,295546
2007-03-05,22.95,23.355,22.885,23.13,268742
2007-03-06,23.345,23.53,23.275,23.465,218510
2007-03-07,23.38,23.5,23.33,23.38,204786
2007-03-08,23.45,23.68,23.445,23.565,160030
2007-03-09,23.615,23.835,23.575,23.785,210612
2007-03-12,23.785,23.995,23.735,23.96,190688
2007-03-13,23.675,23.98,23.48,23.515,273604
2007-03-14,23.625,23.67,23.295,23.51,306060
2007-03-15,23.475,23.565,23.34,23.535,178372
2007-03-16,23.625,23.655,23.41,23.59,238516
2007-03-19,23.67,23.75,23.52,23.675,133736
2007-03-20,23.71,23.875,23.62,23.81,134792
2007-03-21,23.85,24.175,23.685,24.125,209792
2007-03-22,23.955,24.22,23.955,24.125,148870
2007-03-23,24.065,24.135,23.985,24.03,149458
2007-03-26,23.975,24.095,23.84,24.095,136246
2007-03-27,24.0,24.085,23.925,24.015,127210
2007-03-28,23.895,24.15,23.795,23.945,146094
2007-03-29,23.805,24.2,23.425,24.045,167072
2007-03-30,24.13,24.25,23.8,24.0,149916
2007-04-02,24.1,24.33,24.025,24.25,180438
2007-04-03,24.265,24.575,24.265,24.495,179716
2007-04-04,24.505,24.82,24.47,24.73,214558
2007-04-05,24.67,24.885,24.65,24.755,157606
2007-04-09,24.8,24.975,24.715,24.83,142496
2007-04-10,24.89,25.155,24.825,25.05,221138
2007-04-11,25.04,25.1,24.8,24.805,216590
2007-04-12,24.825,24.975,24.705,24.825,151782
2007-04-13,25.145,25.145,24.745,24.945,132382
2007-04-16,25.005,25.22,24.965,25.11,193234
2007-04-17,25.525,26.09,24.675,25.8,450194
2007-04-18,25.795,25.87,25.675,25.825,197724
2007-04-19,25.68,25.95,25.655,25.885,179530
2007-04-20,26.025,26.075,25.81,26.065,189542
2007-04-23,25.975,26.045,25.795,25.83,133090
2007-04-24,25.99,25.99,25.685,25.845,150618
2007-04-25,25.995,26.03,25.745,25.87,131296
