交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,54.08,54.13,53.55,53.86,32196
2006-12-13,54.19,54.2,53.48,53.71,37561
2006-12-14,53.59,54.18,53.59,53.99,28179
2006-12-15,53.99,54.57,53.76,54.54,49519
2006-12-18,53.58,54.1,52.93,53.27,95707
2006-12-19,52.88,53.0,52.34,52.64,82782
2006-12-20,52.5,52.86,52.28,52.38,54872
2006-12-21,52.12,52.4,51.69,51.79,71285
2006-12-22,51.89,51.9,51.13,51.38,82636
2006-12-26,51.4,52.8,51.25,51.87,114270
2006-12-27,51.99,52.3,51.4,51.99,58054
2006-12-28,51.78,52.08,51.71,52.0,31706
2006-12-29,51.73,52.22,51.71,52.06,39267
2007-01-03,52.45,52.88,51.92,52.21,98282
2007-01-04,51.99,52.51,51.9,52.35,66123
2007-01-05,52.52,52.58,51.87,51.98,38750
2007-01-08,52.21,52.21,51.75,51.79,35590
2007-01-09,52.04,52.1,51.75,51.82,58495
2007-01-10,51.59,51.83,51.57,51.7,31118
2007-01-11,51.76,52.33,51.66,52.25,42652
2007-01-12,52.4,52.92,52.27,52.63,52970
2007-01-16,52.8,52.9,52.51,52.85,40432
2007-01-17,52.88,53.17,52.54,52.84,40634
2007-01-18,52.6,53.21,52.6,53.01,38896
2007-01-19,53.3,53.45,52.83,52.97,36771
2007-01-22,52.57,53.12,52.52,52.74,53034
2007-01-23,52.85,52.95,52.47,52.65,42141
2007-01-24,52.74,53.4,52.68,53.35,37350
2007-01-25,53.2,53.3,52.85,53.13,48186
2007-01-26,53.05,53.45,52.6,52.83,32803
2007-01-29,52.9,53.0,52.55,52.86,33194
2007-01-30,52.87,53.0,52.6,52.72,25340
2007-01-31,52.7,54.37,52.55,54.17,91556
2007-02-01,54.65,55.04,54.5,54.74,64569
2007-02-02,54.68,54.78,54.37,54.58,47540
2007-02-05,54.43,54.72,54.03,54.66,38204
2007-02-06,54.6,54.82,54.39,54.62,39701
2007-02-07,54.7,54.78,54.34,54.39,37362
2007-02-09,54.2,54.7,54.11,54.23,33310
2007-02-12,54.75,54.75,54.23,54.41,29040
2007-02-13,54.39,54.5,54.05,54.33,29813
2007-02-14,54.37,54.89,54.23,54.85,33375
2007-02-15,54.85,55.11,54.75,54.95,28859
2007-02-16,54.76,55.04,54.57,55.0,34303
2007-02-20,55.03,55.2,54.76,54.95,28267
2007-02-21,54.65,54.8,54.37,54.52,31159
2007-02-22,54.6,54.6,54.01,54.13,29363
2007-02-23,54.0,54.36,53.75,54.22,31286
2007-02-26,54.46,54.66,54.25,54.43,32747
2007-02-27,53.71,54.52,52.58,53.0,68551
2007-02-28,53.52,53.52,52.3,52.63,63745
2007-03-01,52.01,52.52,51.9,52.22,58940
2007-03-02,52.14,52.19,51.71,51.71,57567
2007-03-05,51.48,52.1,51.21,51.6,70550
2007-03-06,51.75,52.28,51.56,52.24,45969
2007-03-07,52.07,52.44,51.65,51.85,41864
2007-03-08,52.11,52.39,52.0,52.33,31167
2007-03-09,52.55,52.92,52.38,52.61,39279
2007-03-12,52.39,53.04,52.25,52.83,33276
2007-03-13,52.37,52.88,52.0,52.06,50211
2007-03-14,52.26,52.3,51.35,51.92,49975
2007-03-15,51.75,52.09,51.53,52.03,33558
2007-03-16,52.15,52.42,51.79,52.19,48398
2007-03-19,52.23,52.72,52.12,52.67,30206
2007-03-20,52.6,52.88,52.38,52.76,32133
2007-03-21,52.65,53.91,52.65,53.79,59384
2007-03-22,53.0,54.28,53.0,54.18,38488
2007-03-23,53.99,54.22,53.39,53.82,35730
2007-03-26,53.49,53.96,53.2,53.7,50435
2007-03-27,53.4,53.6,53.06,53.28,42475
2007-03-28,53.28,53.35,52.62,53.0,50674
2007-03-29,53.2,53.54,52.73,53.38,50362
2007-03-30,53.5,54.08,53.2,53.71,33724
2007-04-02,53.96,54.49,53.9,54.38,47851
2007-04-03,54.15,54.92,54.11,54.72,38967
2007-04-04,54.65,55.24,54.5,55.17,40848
2007-04-05,55.15,55.62,55.06,55.44,27576
2007-04-09,55.43,55.73,55.27,55.57,22364
2007-04-10,55.42,55.73,55.34,55.66,27083
2007-04-11,55.72,55.74,55.29,55.61,36032
2007-04-12,55.6,56.09,55.5,55.97,38674
2007-04-13,56.24,57.0,56.2,56.84,60447
2007-04-16,57.7,58.48,57.01,58.41,100805
2007-04-17,58.4,59.09,58.34,58.84,83989
2007-04-18,58.56,59.36,58.45,59.15,64136
2007-04-19,59.1,60.28,58.65,60.05,89142
2007-04-20,60.34,61.0,60.05,60.58,84389
2007-04-23,60.21,60.28,59.27,59.61,67459
2007-04-24,59.02,59.5,58.9,59.24,47028
2007-04-25,59.6,59.63,59.11,59.48,44153
2007-04-26,58.88,59.88,58.88,59.73,52250
2007-04-27,59.01,59.7,58.99,59.58,27235
2007-04-30,59.98,59.98,58.93,59.1,43004
2007-05-01,59.12,59.39,58.76,58.89,65769
2007-05-02,59.0,59.49,58.77,59.19,41872
2007-05-03,59.45,59.6,58.97,59.13,36549
2007-05-04,59.09,59.74,58.92,59.53,37003
2007-05-07,59.55,59.96,59.54,59.75,43997
2007-05-08,59.64,59.97,59.45,59.89,67533
2007-05-09,59.58,59.78,59.39,59.71,43605
2007-05-10,59.47,59.58,58.64,58.68,53691
2007-05-11,58.71,58.71,57.9,58.48,72693
2007-05-14,58.44,59.35,58.44,59.22,43504
2007-05-15,59.17,59.6,59.08,59.22,38382
2007-05-16,59.26,59.47,58.88,59.11,29682
2007-05-17,58.7,59.17,58.67,59.03,26471
2007-05-18,59.11,59.59,59.0,59.38,27931
2007-05-21,59.4,59.89,59.19,59.61,38119
2007-05-22,59.99,60.0,59.4,59.53,30016
2007-05-23,59.52,59.75,59.29,59.45,26339
2007-05-24,59.9,59.9,59.08,59.19,36595
2007-05-25,58.6,59.5,58.6,59.3,16576
2007-05-29,59.3,59.54,58.8,59.47,31083
2007-05-30,59.01,59.27,58.52,59.25,40191
2007-05-31,59.25,59.39,58.38,58.58,45807
2007-06-01,58.73,58.96,58.42,58.9,33449
2007-06-04,58.94,59.23,58.74,59.15,40199
2007-06-05,59.18,59.21,58.73,58.96,32398
2007-06-06,58.75,59.19,58.15,58.33,56024
2007-06-07,58.09,58.16,56.71,56.94,118609
2007-06-08,56.81,57.15,56.4,57.0,66287
2007-06-11,57.07,57.68,56.79,57.27,48226
2007-06-12,56.88,57.28,56.59,56.74,39894
2007-06-13,56.94,57.32,56.38,56.95,54322
2007-06-14,57.05,57.77,56.8,57.42,46562
2007-06-15,58.0,58.27,57.51,57.7,42800
2007-06-18,57.72,58.0,57.22,57.41,28618
2007-06-19,57.51,57.9,57.4,57.76,38635
2007-06-20,57.58,57.93,56.7,56.7,44750
2007-06-21,56.94,56.94,56.1,56.87,37935
2007-06-22,56.66,56.77,55.58,55.85,46403
2007-06-25,56.24,56.35,55.3,55.46,56934
2007-06-26,55.84,56.08,55.38,55.89,47822
2007-06-27,55.41,56.4,55.4,56.3,48789
2007-06-28,56.37,56.7,56.1,56.2,31591
2007-06-29,56.02,56.41,55.52,55.86,37903
2007-07-02,56.24,56.73,56.04,56.73,33636
2007-07-03,56.97,57.0,56.55,56.77,14103
2007-07-05,56.82,56.96,56.41,56.57,24307
2007-07-06,56.66,56.76,56.2,56.63,30956
2007-07-09,56.78,56.88,55.99,55.99,45562
2007-07-10,55.7,56.05,55.42,55.45,38207
2007-07-11,55.29,55.82,55.15,55.76,32605
2007-07-12,55.8,56.91,55.64,56.81,38825
2007-07-13,57.1,57.15,56.53,56.92,27709
2007-07-16,56.64,57.31,56.64,56.92,29663
2007-07-17,56.66,56.8,56.2,56.41,33345
2007-07-18,56.2,56.25,55.76,56.0,50314
2007-07-19,56.21,56.49,55.81,56.39,44730
2007-07-20,55.76,56.54,55.76,56.01,56179
2007-07-23,56.42,57.27,56.3,57.14,55317
2007-07-24,58.11,58.94,57.15,57.23,101205
2007-07-25,57.0,58.74,57.0,58.44,70936
2007-07-26,57.9,58.19,56.44,56.8,76298
2007-07-27,56.49,56.6,55.01,55.02,57871
2007-07-30,54.94,55.06,54.25,54.73,53441
2007-07-31,55.2,55.25,53.97,54.03,60291
2007-08-01,53.6,54.73,53.53,54.22,57285
2007-08-02,54.23,54.92,54.07,54.6,47006
2007-08-03,54.64,55.29,54.09,54.14,49828
2007-08-06,54.27,56.27,54.13,56.23,66101
2007-08-07,55.84,57.33,55.82,56.53,61132
2007-08-08,56.79,58.43,56.6,58.34,51317
2007-08-09,58.22,59.02,57.55,58.21,77134
2007-08-10,58.37,58.6,56.81,57.18,77792
2007-08-13,56.7,57.2,56.3,56.92,34155
2007-08-14,57.05,57.05,55.21,55.35,47629
2007-08-15,55.45,56.04,54.9,55.25,46544
2007-08-16,54.57,55.14,53.68,54.96,67476
2007-08-17,55.4,56.06,54.87,55.74,58976
2007-08-20,55.79,56.0,54.91,55.68,46907
2007-08-21,55.49,55.63,54.8,55.3,30973
2007-08-22,55.79,55.84,55.02,55.74,43436
2007-08-23,55.98,56.0,55.55,55.92,25517
2007-08-24,55.92,56.61,55.5,56.59,49592
2007-08-27,56.42,56.63,56.31,56.45,29457
2007-08-28,56.27,56.5,55.83,56.11,47812
2007-08-29,56.14,56.37,55.64,56.37,39593
2007-08-30,56.05,56.93,55.93,56.69,44455
2007-08-31,56.93,57.48,56.83,57.26,43287
2007-09-04,57.33,58.22,57.09,58.12,50453
2007-09-05,57.89,57.89,57.11,57.32,43352
2007-09-06,57.6,57.72,57.12,57.39,38205
