交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,30.85,30.95,30.54,30.65,71137
2006-12-13,30.79,31.05,30.47,30.57,68863
2006-12-14,30.6,31.6,30.5,31.46,105693
2006-12-15,31.78,31.98,31.34,31.41,101569
2006-12-18,31.45,31.69,30.96,31.1,78107
2006-12-19,30.81,31.0,30.36,30.94,73815
2006-12-20,30.83,31.05,30.37,30.49,51825
2006-12-21,30.51,30.6,30.15,30.26,54045
2006-12-22,30.3,30.59,30.21,30.47,35115
2006-12-26,30.36,30.67,30.3,30.62,26574
2006-12-27,30.62,31.34,30.62,31.24,64744
2006-12-28,31.1,31.27,30.91,31.24,41672
2006-12-29,31.1,31.48,30.94,31.12,63419
2007-01-03,31.21,32.31,31.15,32.04,135716
2007-01-04,32.4,32.5,31.61,32.18,76517
2007-01-05,32.16,32.41,31.59,31.77,80446
2007-01-08,31.62,31.82,31.13,31.71,60948
2007-01-09,31.76,32.05,31.69,31.88,48988
2007-01-10,31.71,32.59,31.7,32.49,78550
2007-01-11,32.47,33.14,32.42,33.03,85374
2007-01-12,33.07,33.17,32.58,33.06,65472
2007-01-16,33.0,33.43,32.92,33.37,56547
2007-01-17,33.39,33.52,33.15,33.2,53968
2007-01-18,33.55,33.84,33.13,33.58,61755
2007-01-19,33.9,33.95,33.51,33.71,60312
2007-01-22,33.85,33.85,33.16,33.39,57954
2007-01-23,33.51,33.81,33.25,33.67,71988
2007-01-24,33.72,33.81,33.5,33.59,52207
2007-01-25,33.52,33.59,32.9,33.08,65068
2007-01-26,33.05,33.2,32.43,32.59,69649
2007-01-29,32.79,32.96,32.54,32.67,56533
2007-01-30,32.67,32.91,32.36,32.5,55496
2007-01-31,32.57,33.95,32.5,33.72,107646
2007-02-01,33.9,34.5,33.86,34.23,112563
2007-02-02,34.39,34.65,34.02,34.17,49967
2007-02-05,34.05,34.32,33.96,34.11,38770
2007-02-06,34.27,34.45,33.95,34.13,37221
2007-02-07,33.56,34.39,33.56,34.06,29934
2007-02-09,33.78,34.06,33.36,33.45,60399
2007-02-12,33.51,33.88,33.47,33.52,42952
2007-02-13,33.52,33.81,33.42,33.58,42747
2007-02-14,33.56,33.63,33.17,33.41,76112
2007-02-15,33.4,33.95,33.32,33.91,50112
2007-02-16,33.77,33.8,33.13,33.28,66727
2007-02-20,33.13,33.99,32.88,33.72,59821
2007-02-21,33.5,33.85,33.42,33.71,41648
2007-02-22,33.56,33.74,33.31,33.6,37861
2007-02-23,34.96,35.74,34.72,34.93,195387
2007-02-26,34.84,35.25,34.16,34.34,68476
2007-02-27,34.03,34.03,32.78,33.26,114030
2007-02-28,33.09,33.13,32.44,32.55,132480
2007-03-01,32.15,32.49,31.82,32.2,112533
2007-03-02,32.1,32.53,31.92,31.95,101255
2007-03-05,31.75,32.36,31.74,31.75,88281
2007-03-06,32.05,32.67,32.03,32.51,73921
2007-03-07,32.37,32.79,32.18,32.61,61375
2007-03-08,32.62,33.26,32.46,32.53,70611
2007-03-09,32.75,32.91,32.11,32.34,71988
2007-03-12,32.25,32.5,32.1,32.35,66337
2007-03-13,32.08,32.2,30.65,30.74,195705
2007-03-14,30.74,31.09,29.87,31.02,180746
2007-03-15,30.97,31.34,30.87,31.21,75070
2007-03-16,31.09,31.24,30.8,30.91,85637
2007-03-19,31.0,31.24,30.91,31.13,76442
2007-03-20,31.05,31.41,30.94,31.29,69515
2007-03-21,31.35,32.47,31.25,32.26,106288
2007-03-22,32.35,33.0,31.79,32.23,76979
2007-03-23,32.17,32.65,32.13,32.4,78340
2007-03-26,32.5,32.61,31.8,32.13,60619
2007-03-27,31.96,32.0,31.41,31.74,83210
2007-03-28,31.5,31.6,30.61,31.01,108712
2007-03-29,31.35,31.44,30.85,31.13,92158
2007-03-30,31.14,31.63,30.94,31.49,75128
2007-04-02,31.43,31.47,31.01,31.07,51304
2007-04-03,31.28,32.07,31.2,31.7,83722
2007-04-04,31.55,31.67,31.23,31.37,55926
2007-04-05,31.41,31.49,31.26,31.39,30711
2007-04-09,31.52,31.66,31.33,31.48,34160
2007-04-10,31.55,31.81,31.44,31.61,64237
2007-04-11,31.68,31.75,31.09,31.2,64573
2007-04-12,31.1,31.41,30.69,31.3,51778
2007-04-13,31.89,31.89,30.9,31.15,50480
2007-04-16,31.33,31.56,31.15,31.34,57293
2007-04-17,31.5,32.07,31.46,31.82,70839
2007-04-18,31.65,31.74,31.43,31.5,51594
2007-04-19,31.98,31.98,31.2,31.5,45810
2007-04-20,31.79,32.23,31.75,32.05,73747
2007-04-23,32.03,32.08,31.55,31.57,41833
2007-04-24,31.5,31.59,30.89,31.08,76688
2007-04-25,31.34,31.6,31.09,31.14,49223
2007-04-26,31.25,31.35,30.91,30.97,56176
2007-04-27,30.9,31.18,30.76,30.84,57703
2007-04-30,31.06,31.1,30.55,30.55,79241
2007-05-01,30.65,30.85,30.39,30.7,112794
2007-05-02,30.46,31.02,30.37,30.7,50889
2007-05-03,30.7,30.92,30.44,30.51,64698
2007-05-04,30.7,30.72,30.35,30.45,75668
2007-05-07,30.73,30.75,30.4,30.68,76165
2007-05-08,30.55,30.8,30.42,30.69,87652
2007-05-09,30.66,31.76,30.66,31.71,105450
2007-05-10,31.52,31.94,31.0,31.07,121848
2007-05-11,31.23,31.43,30.71,30.88,103914
2007-05-14,30.93,31.39,30.9,31.01,71192
2007-05-15,30.9,31.57,30.71,30.9,92323
2007-05-16,31.0,31.44,30.95,31.3,82658
2007-05-17,31.29,31.56,31.15,31.3,56766
2007-05-18,31.51,32.74,31.41,32.72,151854
2007-05-21,32.01,34.5,31.34,31.87,151082
2007-05-22,31.58,32.1,31.58,31.71,70090
2007-05-23,31.84,32.31,31.6,31.81,69305
2007-05-24,31.68,32.95,31.63,32.05,97332
2007-05-25,32.1,32.36,31.81,32.13,65834
2007-05-29,32.35,32.42,31.9,32.03,84808
2007-05-30,31.97,32.32,31.85,32.32,68162
2007-05-31,32.33,32.95,32.21,32.79,85992
2007-06-01,32.82,33.19,32.59,32.63,83185
2007-06-04,32.5,33.06,32.5,32.96,62242
2007-06-05,32.7,32.81,32.31,32.43,67024
2007-06-06,32.25,32.36,31.9,32.1,71115
2007-06-07,32.01,41.9,31.66,31.69,103723
2007-06-08,31.72,32.17,31.43,32.02,74524
2007-06-11,31.85,32.05,31.64,31.79,55477
2007-06-12,31.65,31.77,31.34,31.35,73557
2007-06-13,31.54,31.62,31.14,31.56,87805
2007-06-14,31.51,31.61,31.3,31.52,73429
2007-06-15,31.65,31.87,31.5,31.59,75768
2007-06-18,31.61,31.72,31.51,31.64,57342
2007-06-19,31.59,31.63,31.25,31.58,57060
2007-06-20,32.15,32.23,31.62,31.64,107778
