交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,21.0,21.0,20.95,21.0,3
2006-12-13,21.2,21.2,21.2,21.2,1
2006-12-14,21.2,21.2,20.8,21.2,4
2006-12-15,21.25,21.25,21.25,21.25,2
2006-12-18,21.1,21.1,20.9,21.1,22
2006-12-20,21.4,21.4,21.0,21.4,6
2006-12-21,20.6,21.2,20.6,20.6,4
2006-12-22,20.2,20.5,20.2,20.2,19
2006-12-27,20.35,20.35,20.35,20.35,2
2006-12-29,20.75,20.75,20.75,20.75,2
2007-01-04,20.5,20.5,20.5,20.5,14
2007-01-05,20.2,20.4,20.2,20.2,4
2007-01-08,20.7,20.7,20.7,20.7,1
2007-01-09,20.5,20.5,20.5,20.5,5
2007-01-10,20.6,20.6,20.1,20.6,2
2007-01-11,20.5,20.5,20.5,20.5,20
2007-01-12,20.75,20.75,20.75,20.75,15
2007-01-16,20.3,20.6,20.1,20.3,12
2007-01-17,19.5,20.0,19.5,19.5,2
2007-01-18,20.15,20.65,20.15,20.15,5
2007-01-22,20.65,20.75,20.35,20.65,63
2007-01-23,20.6,20.6,20.6,20.6,3
2007-01-29,20.25,20.25,20.25,20.25,1
2007-01-30,20.9,20.9,20.9,20.9,6
2007-01-31,21.5,21.5,20.8,21.5,6
2007-02-01,21.4,21.5,21.0,21.4,8
2007-02-02,20.8,20.8,20.8,20.8,1
2007-02-05,21.1,21.1,20.6,21.1,19
2007-02-06,21.2,21.2,21.2,21.2,2
2007-02-09,21.3,21.3,21.3,21.3,4
2007-02-13,21.55,21.55,21.1,21.55,7
2007-02-14,22.0,22.0,21.5,22.0,21
2007-02-15,23.0,23.5,22.5,23.0,109
2007-02-23,23.0,23.0,23.0,23.0,102
2007-02-26,23.3,23.4,23.3,23.3,9
2007-02-27,22.15,22.65,22.15,22.15,20
2007-02-28,21.9,22.4,21.9,21.9,37
2007-03-01,21.9,21.9,21.9,21.9,24
2007-03-06,21.8,21.8,21.8,21.8,1
2007-03-07,22.05,22.05,22.05,22.05,1
2007-03-08,21.7,21.7,21.7,21.7,3
2007-03-09,21.8,21.8,21.8,21.8,40
2007-03-12,22.2,22.2,22.2,22.2,3
2007-03-13,21.65,22.0,21.6,21.65,4
2007-03-15,21.55,21.6,21.5,21.55,4
2007-03-19,21.5,21.5,21.5,21.5,1
2007-03-21,22.25,22.25,22.25,22.25,5
2007-03-22,22.65,22.65,22.65,22.65,11
2007-03-23,22.0,22.4,22.0,22.0,4
2007-03-26,22.25,22.5,22.0,22.25,29
2007-03-27,22.5,22.5,22.5,22.5,14
2007-03-28,21.25,22.15,21.25,21.25,9
2007-03-29,22.4,22.4,22.4,22.4,2
2007-03-30,22.5,22.5,22.5,22.5,1
2007-04-02,22.4,22.4,22.4,22.4,1
2007-04-03,22.7,22.7,22.7,22.7,3
2007-04-05,22.9,22.9,22.9,22.9,3
2007-04-12,23.0,23.0,23.0,23.0,1
2007-04-13,23.35,23.35,23.0,23.35,19
2007-04-16,23.5,23.5,23.5,23.5,1
2007-04-17,23.7,23.7,23.5,23.7,102
2007-04-18,23.0,23.0,23.0,23.0,1
2007-04-19,23.15,23.15,23.15,23.15,5
2007-04-20,23.6,23.7,23.6,23.6,7
2007-04-23,23.51,23.51,23.51,23.51,10
2007-04-25,24.0,24.0,23.5,24.0,21
2007-04-26,23.9,23.9,23.9,23.9,1
2007-04-27,23.9,23.9,23.7,23.9,5
2007-04-30,23.45,23.45,23.45,23.45,2
2007-05-02,23.44,23.44,23.44,23.44,45
2007-05-03,23.85,23.9,23.75,23.85,3
2007-05-07,24.25,24.25,23.75,24.25,3
2007-05-08,23.85,24.0,23.85,23.85,28
2007-05-09,23.95,23.95,23.95,23.95,2
2007-05-10,23.4,23.5,23.4,23.4,10
2007-05-11,23.45,23.45,23.45,23.45,12
2007-05-14,23.15,24.5,23.15,23.15,9
2007-05-15,23.15,23.15,23.15,23.15,1
2007-05-16,25.25,25.25,25.25,25.25,3
2007-05-17,23.0,25.55,23.0,23.0,12
2007-05-18,25.35,25.35,25.35,25.35,7
2007-05-21,23.25,25.25,23.25,23.25,30
2007-05-22,25.0,25.0,25.0,25.0,1
2007-05-23,26.0,26.5,24.0,26.0,37
2007-05-24,24.0,26.0,24.0,24.0,16
2007-05-25,27.0,27.0,27.0,27.0,3
2007-05-29,23.65,26.65,23.65,23.65,7
2007-05-30,27.0,27.0,27.0,27.0,5
2007-05-31,27.0,27.0,24.0,27.0,15
2007-06-04,27.5,27.5,23.5,27.5,11
2007-06-06,27.25,27.25,27.25,27.25,2
2007-06-07,23.0,27.0,23.0,23.0,25
2007-06-11,23.0,23.0,23.0,23.0,2
2007-06-12,22.65,22.75,22.65,22.65,58
2007-06-13,25.0,25.0,22.6,25.0,8
2007-06-14,35.0,35.0,27.0,35.0,18
2007-06-15,36.0,36.0,36.0,36.0,1
2007-06-18,24.0,24.0,24.0,24.0,8
2007-06-19,24.0,24.0,24.0,24.0,2
2007-06-21,24.0,24.0,24.0,24.0,3
2007-06-25,24.0,24.0,24.0,24.0,1
2007-06-27,25.0,25.0,24.1,25.0,12
2007-07-02,24.0,25.0,24.0,24.0,78
2007-07-03,24.25,24.25,24.25,24.25,2
2007-07-05,26.42,26.42,26.4,26.42,21
2007-07-06,24.15,24.15,24.15,24.15,2
2007-07-09,24.2,24.2,24.2,24.2,1
2007-07-11,30.0,30.0,25.0,30.0,141
2007-07-12,35.0,35.0,29.15,35.0,32
2007-07-13,33.5,33.5,26.0,33.5,7
2007-07-16,26.0,35.0,25.2,26.0,20
2007-07-17,30.0,35.0,30.0,30.0,4
2007-07-19,25.5,25.5,25.5,25.5,2
2007-07-20,24.75,27.0,23.0,24.75,418
2007-07-23,24.75,24.75,24.75,24.75,4
2007-07-24,24.75,24.75,24.75,24.75,86
2007-07-25,24.75,24.75,24.7,24.75,16
2007-07-26,24.5,24.5,24.2,24.5,19
2007-07-27,26.0,26.0,26.0,26.0,2
2007-07-30,26.0,26.0,26.0,26.0,25
2007-07-31,26.5,26.5,26.5,26.5,5
2007-08-01,26.0,26.0,26.0,26.0,8
