交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,9.87,9.91,9.425,9.575,462230
2006-12-13,9.7,9.765,9.505,9.575,182960
2006-12-14,9.575,9.65,9.48,9.56,239930
2006-12-15,9.63,9.635,9.535,9.6,142540
2006-12-18,9.6,9.6,9.255,9.3,252690
2006-12-19,9.245,9.75,9.05,9.73,311430
2006-12-20,9.74,9.945,9.625,9.745,281340
2006-12-21,9.58,9.635,9.39,9.57,300780
2006-12-22,9.57,9.7,9.52,9.635,117270
2006-12-26,9.65,9.675,9.44,9.5,101210
2006-12-27,9.49,9.95,9.45,9.94,194000
2006-12-28,9.98,9.98,9.755,9.9,242710
2006-12-29,9.88,9.96,9.825,9.85,124930
2007-01-03,9.955,9.97,9.565,9.64,243640
2007-01-04,9.69,10.185,9.53,10.115,267490
2007-01-05,10.1,10.22,9.9,10.105,292410
2007-01-08,9.9,10.225,9.9,10.11,158110
2007-01-09,10.11,10.575,10.06,10.575,357340
2007-01-10,10.56,10.65,10.3,10.46,261850
2007-01-11,10.52,10.805,10.355,10.545,339820
2007-01-12,10.575,10.725,10.485,10.515,179730
2007-01-16,10.53,10.745,10.465,10.595,175600
2007-01-17,10.7,11.02,10.575,10.875,433620
2007-01-18,10.995,11.0,10.18,10.25,424550
2007-01-19,10.25,10.535,10.2,10.505,294870
2007-01-22,10.6,10.8,10.45,10.75,207150
2007-01-23,10.87,10.915,10.7,10.85,206570
2007-01-24,10.89,11.31,10.87,11.145,314400
2007-01-25,11.225,11.23,10.695,10.775,210400
2007-01-26,10.92,10.99,10.65,10.835,165050
2007-01-29,10.9,11.1,10.87,10.96,117810
2007-01-30,10.965,11.16,10.925,11.075,111330
2007-01-31,11.105,11.215,11.0,11.145,132380
2007-02-01,11.215,11.3,11.16,11.19,159180
2007-02-02,11.25,11.27,11.06,11.08,112060
2007-02-05,11.05,11.095,10.99,11.02,92070
2007-02-06,11.075,11.155,10.99,11.055,84950
2007-02-07,11.05,11.265,11.035,11.19,151040
2007-02-08,11.2,11.545,11.105,11.445,331380
2007-02-09,11.805,11.805,9.965,10.37,2678190
2007-02-12,10.195,10.275,9.86,10.21,779260
2007-02-13,10.4,10.505,10.285,10.47,521730
2007-02-14,10.42,10.88,10.41,10.8,460160
2007-02-15,10.8,10.88,10.71,10.8,204980
2007-02-16,10.8,10.91,10.605,10.83,202990
2007-02-20,10.83,10.85,10.655,10.775,180280
2007-02-21,10.765,10.925,10.565,10.72,205250
2007-02-22,10.79,10.9,10.51,10.59,211230
2007-02-23,10.59,10.655,10.37,10.455,301720
2007-02-26,10.48,10.6,10.35,10.405,115540
2007-02-27,10.175,10.59,10.0,10.3,498910
2007-02-28,10.3,10.73,10.2,10.68,331030
