交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,43.49,43.58,42.81,43.04,47784
2006-12-13,43.2,43.68,43.15,43.6,43451
2006-12-14,43.18,43.94,43.18,43.69,41538
2006-12-15,43.69,43.95,43.24,43.41,59029
2006-12-18,43.34,43.75,43.25,43.43,37417
2006-12-19,43.48,44.0,43.24,43.98,42085
2006-12-20,44.0,44.24,43.74,43.87,43633
2006-12-21,44.0,44.2,43.73,43.87,40218
2006-12-22,43.87,43.98,43.52,43.63,33517
2006-12-26,43.66,43.92,43.5,43.82,21120
2006-12-27,43.95,44.36,43.82,44.34,36270
2006-12-28,44.34,44.63,44.02,44.35,32279
2006-12-29,44.17,44.68,44.1,44.28,29077
2007-01-03,43.65,44.38,43.5,43.86,70997
2007-01-04,43.75,43.86,42.87,43.53,95131
2007-01-05,43.4,43.82,43.34,43.55,53408
2007-01-08,43.5,43.85,43.25,43.7,43471
2007-01-09,43.86,44.15,43.59,43.76,62346
2007-01-10,43.78,44.29,43.46,44.26,60845
2007-01-11,44.22,44.6,44.11,44.5,54226
2007-01-12,44.67,44.68,44.09,44.16,69260
2007-01-16,44.36,44.65,44.17,44.55,46080
2007-01-17,44.57,45.06,44.39,44.89,89961
2007-01-18,44.87,44.99,44.52,44.61,43646
2007-01-19,44.67,44.9,44.3,44.81,45127
2007-01-22,44.8,44.8,44.2,44.36,45741
2007-01-23,44.55,45.0,44.4,44.84,55324
2007-01-24,44.45,44.48,44.04,44.14,108035
2007-01-25,43.98,44.14,42.86,43.0,98299
2007-01-26,43.02,43.09,42.54,42.96,75636
2007-01-29,42.78,43.65,42.75,43.23,78317
2007-01-30,43.48,43.85,43.48,43.77,55188
2007-01-31,43.77,44.44,43.65,44.35,64516
2007-02-01,44.26,44.52,44.2,44.47,57512
2007-02-02,44.48,44.74,44.4,44.56,45313
2007-02-05,44.46,44.71,44.3,44.54,32760
2007-02-06,44.7,44.86,44.43,44.77,36609
2007-02-07,44.75,44.88,44.46,44.72,28619
2007-02-08,44.73,44.84,44.14,44.32,57943
2007-02-09,44.47,44.9,44.42,44.57,47617
2007-02-12,44.5,44.9,44.4,44.77,51786
2007-02-13,44.85,44.97,44.71,44.93,45660
2007-02-14,44.95,45.05,44.71,45.01,52008
2007-02-15,44.9,45.24,44.84,45.01,36955
2007-02-16,45.0,45.38,44.86,45.32,65331
2007-02-20,45.17,45.9,45.05,45.8,68555
2007-02-21,45.74,46.12,45.74,46.0,49254
2007-02-22,45.85,46.09,45.81,46.07,43592
2007-02-23,46.05,46.21,45.83,46.05,37227
2007-02-26,46.0,46.15,45.76,45.84,56656
2007-02-27,45.54,45.75,44.0,44.45,85701
2007-02-28,44.56,44.56,42.54,43.72,108395
2007-03-01,43.49,44.44,42.94,44.12,100223
2007-03-02,44.1,44.47,43.63,43.63,60646
2007-03-05,43.46,43.73,42.18,42.91,65622
2007-03-06,43.17,43.25,42.31,43.08,67246
2007-03-07,42.92,43.26,42.65,43.08,57960
2007-03-08,44.0,44.16,43.4,43.63,66425
2007-03-09,43.8,44.49,43.78,44.16,55799
2007-03-12,44.1,44.89,44.09,44.66,69168
2007-03-13,44.62,44.63,43.43,43.46,82287
2007-03-14,43.57,43.87,43.06,43.64,62722
2007-03-15,43.5,43.75,43.4,43.44,49745
2007-03-16,42.5,43.72,42.5,43.46,75661
2007-03-19,43.65,44.24,43.65,43.87,47450
2007-03-20,43.95,44.35,43.74,44.3,34113
2007-03-21,44.27,44.7,43.82,44.61,44182
2007-03-22,44.55,44.67,44.37,44.49,50813
2007-03-23,45.0,45.14,44.34,45.05,58355
2007-03-26,45.49,45.49,44.65,45.13,47534
2007-03-27,44.87,45.19,44.82,45.03,45418
2007-03-28,44.85,45.04,44.46,44.81,56954
2007-03-29,45.29,45.3,44.66,44.87,43751
2007-03-30,44.95,45.27,44.71,45.03,41679
2007-04-02,44.28,45.14,44.26,44.84,44241
2007-04-03,45.0,45.35,44.94,45.26,52070
2007-04-04,45.04,45.49,45.04,45.27,30202
2007-04-05,45.24,45.81,45.13,45.77,47050
2007-04-09,45.95,46.63,45.81,46.47,71897
2007-04-10,46.27,46.42,46.06,46.29,53903
2007-04-11,46.31,46.74,46.24,46.44,83273
2007-04-12,46.49,47.0,46.15,46.66,53355
2007-04-13,47.2,47.92,46.87,47.68,91967
2007-04-16,47.66,48.09,47.42,48.08,65568
2007-04-17,48.05,49.13,48.05,48.99,137824
2007-04-18,48.73,48.96,48.57,48.85,63121
2007-04-19,49.0,49.0,48.32,48.74,62879
2007-04-20,49.63,49.7,47.67,48.35,116741
2007-04-23,48.4,48.8,48.23,48.67,64970
2007-04-24,48.44,48.66,48.13,48.49,62214
2007-04-25,48.71,48.95,48.32,48.62,50702
2007-04-26,48.78,49.41,48.73,49.2,64537
2007-04-27,48.8,49.23,48.7,48.96,38541
2007-04-30,48.85,48.9,48.26,48.26,70354
2007-05-01,48.21,49.2,48.21,49.13,62589
2007-05-02,49.33,50.06,49.25,50.0,88274
2007-05-03,50.0,50.02,49.58,49.91,76972
2007-05-04,49.97,50.01,49.55,49.92,45478
2007-05-07,49.92,50.0,49.42,49.46,64727
2007-05-08,49.45,49.85,49.3,49.35,45060
2007-05-09,49.39,49.95,49.25,49.84,60250
2007-05-10,49.71,50.12,49.63,50.01,97672
2007-05-11,49.8,50.76,49.58,50.7,94945
2007-05-14,50.6,50.85,50.48,50.64,70340
2007-05-15,50.76,51.88,50.63,51.31,92918
2007-05-16,51.29,52.09,50.74,51.95,107546
2007-05-17,51.6,52.27,51.51,52.25,131207
2007-05-18,52.42,52.42,51.82,52.33,129521
2007-05-21,52.33,52.33,51.99,52.3,90712
2007-05-22,52.13,52.58,51.95,52.49,95299
2007-05-23,52.35,52.5,51.35,51.53,69291
2007-05-24,51.79,52.07,50.74,50.94,73973
2007-05-25,50.94,51.29,50.73,50.86,45862
2007-05-29,50.92,50.92,50.14,50.61,62082
2007-05-30,50.43,50.52,49.79,50.22,74714
2007-05-31,50.65,50.83,50.3,50.55,68734
2007-06-01,50.56,51.23,50.55,50.91,34004
2007-06-04,50.95,51.21,50.45,51.08,45742
2007-06-05,51.1,51.2,50.43,50.85,55611
2007-06-06,50.85,50.88,50.47,50.63,70094
2007-06-07,50.68,51.48,50.21,50.21,74011
2007-06-08,50.99,51.48,50.56,51.38,115282
2007-06-11,51.47,51.62,50.98,51.26,56920
2007-06-12,51.42,52.1,51.35,51.48,83828
2007-06-13,51.4,52.22,51.25,52.19,72313
2007-06-14,52.1,53.47,51.77,52.23,47942
2007-06-15,52.49,52.6,52.13,52.19,56848
2007-06-18,52.07,52.51,51.69,52.38,54279
2007-06-19,52.25,52.88,52.19,52.49,57852
2007-06-20,52.41,52.47,51.3,51.34,72756
2007-06-21,51.32,51.37,50.64,51.06,47035
2007-06-22,50.96,51.09,50.02,50.42,77160
2007-06-25,50.6,51.85,50.19,51.33,106324
2007-06-26,51.5,51.94,51.2,51.75,80695
2007-06-27,51.55,52.51,51.19,51.29,83712
2007-06-28,51.36,51.47,50.79,50.86,52186
2007-06-29,51.22,51.37,50.47,50.76,58417
2007-07-03,51.44,52.06,51.34,51.4,42330
2007-07-05,51.4,51.87,51.1,51.21,59579
2007-07-06,51.35,51.62,51.0,51.47,57165
2007-07-09,51.44,51.45,50.81,51.1,46923
2007-07-10,50.88,51.11,50.25,50.34,59333
2007-07-11,50.23,50.88,50.23,50.7,40815
2007-07-12,51.0,51.66,50.5,51.64,59444
2007-07-13,51.73,52.5,51.4,51.89,61997
2007-07-16,52.57,52.57,51.82,52.1,56691
2007-07-17,52.02,52.4,52.0,52.17,51533
2007-07-18,52.23,52.84,51.92,52.23,47871
2007-07-19,52.69,52.73,52.16,52.68,31426
2007-07-20,52.73,53.22,51.95,52.07,64578
2007-07-23,52.65,52.87,51.89,52.52,50245
2007-07-24,51.7,52.78,51.49,51.59,68662
2007-07-25,51.61,52.0,50.79,50.94,84760
2007-07-26,50.65,51.04,48.86,49.56,158377
2007-07-27,49.17,49.53,48.47,48.75,103464
2007-07-30,48.81,48.92,48.05,48.42,78893
2007-07-31,48.45,48.9,47.86,47.86,77169
2007-08-01,47.68,48.37,47.5,48.27,117580
2007-08-02,48.08,49.28,48.07,49.0,118644
2007-08-03,49.04,49.41,48.46,48.5,68397
2007-08-06,48.27,49.53,48.26,49.44,95109
2007-08-07,49.0,50.3,49.0,49.66,64002
2007-08-08,49.76,51.0,48.32,50.35,95661
2007-08-09,49.5,51.88,49.01,50.07,126010
2007-08-10,49.65,49.93,48.59,49.35,81104
2007-08-13,49.69,49.99,48.6,48.73,61447
2007-08-14,48.61,48.71,47.38,48.0,91921
2007-08-15,48.2,48.75,47.5,47.58,76990
2007-08-16,46.85,48.35,46.64,48.24,102030
2007-08-17,49.16,49.2,47.33,47.52,114349
2007-08-20,47.73,48.72,47.66,48.28,49311
2007-08-21,48.52,48.84,48.06,48.5,49706
2007-08-22,48.62,49.45,48.56,49.36,56656
2007-08-23,49.67,50.03,49.5,49.87,63012
2007-08-24,49.89,50.46,49.63,50.1,53654
2007-08-27,50.0,50.56,49.39,49.41,42572
2007-08-28,49.59,49.59,48.5,48.65,47976
2007-08-29,48.7,49.31,48.17,49.18,60720
2007-08-30,48.77,49.21,48.63,48.85,39264
2007-08-31,49.28,49.54,49.12,49.21,28318
2007-09-04,49.13,49.79,49.07,49.69,46118
2007-09-05,49.37,50.0,48.98,49.2,35557
2007-09-06,49.2,49.87,48.81,49.78,55631
2007-09-07,49.5,49.58,49.0,49.25,52968
2007-09-10,49.49,50.62,49.49,50.08,83467
2007-09-11,51.01,53.55,50.93,51.8,137496
2007-09-12,51.88,51.95,51.16,51.24,70453
2007-09-13,52.69,54.68,52.66,54.27,193232
2007-09-14,53.9,55.51,53.56,55.44,150727
2007-09-17,55.3,55.44,54.14,54.57,109963
2007-09-18,54.97,55.19,54.61,55.0,104083
2007-09-19,54.85,55.73,54.75,55.45,114487
2007-09-20,55.4,55.63,54.79,54.85,78162
2007-09-21,55.48,55.48,54.7,54.79,94189
2007-09-24,54.88,55.4,54.71,55.0,43773
2007-09-25,54.8,54.9,53.89,54.17,103873
2007-09-26,54.35,54.92,54.2,54.82,69937
2007-09-27,54.83,54.95,54.06,54.51,61808
2007-09-28,54.46,54.9,54.11,54.47,57425
2007-10-01,54.75,56.22,54.67,56.02,78638
2007-10-02,56.36,56.44,55.68,55.91,73294
2007-10-03,55.95,56.24,55.54,56.15,55248
2007-10-04,56.22,56.39,55.85,56.05,46330
2007-10-05,56.07,56.56,55.93,56.36,56881
2007-10-08,56.11,56.95,56.02,56.9,40589
2007-10-09,57.02,57.46,56.7,57.41,59485
2007-10-10,57.17,57.53,56.28,57.01,55678
2007-10-11,57.31,57.42,55.95,56.21,62329
2007-10-12,56.85,57.36,56.18,56.97,118883
2007-10-15,57.29,57.35,55.93,56.16,90445
2007-10-16,56.25,57.05,56.04,56.76,90301
2007-10-17,57.22,57.29,56.45,56.94,48896
2007-10-18,56.89,57.1,56.67,56.85,35260
2007-10-19,56.35,57.07,56.32,56.41,72143
2007-10-22,56.03,56.26,55.61,55.96,111717
2007-10-23,56.2,56.95,55.69,56.95,74929
2007-10-24,56.88,57.25,56.23,57.19,63610
2007-10-25,57.15,58.28,56.94,58.08,74517
2007-10-26,58.13,58.56,57.6,58.51,54572
