交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,53.49,54.22,53.45,53.89,42210
2006-12-12,53.75,54.39,53.31,54.19,35788
2006-12-13,54.28,54.48,53.9,54.12,38371
2006-12-14,54.1,54.4,53.84,53.92,34744
2006-12-15,53.45,54.49,53.45,54.34,35610
2006-12-18,54.0,54.35,53.75,54.14,28193
2006-12-19,54.14,54.66,53.96,54.42,30352
2006-12-20,53.69,54.53,53.69,54.31,26456
2006-12-21,54.26,54.53,53.65,53.78,23901
2006-12-22,53.73,53.79,53.22,53.26,19970
2006-12-26,53.17,53.51,53.05,53.49,14333
2006-12-27,53.81,54.41,53.25,53.39,26933
2006-12-28,53.32,53.46,52.82,53.18,23332
2006-12-29,53.25,53.75,52.7,53.46,27870
2007-01-03,53.08,53.57,52.4,52.61,52687
2007-01-04,52.57,53.32,52.21,53.22,59297
2007-01-05,52.91,53.6,52.76,53.29,43055
2007-01-08,53.36,54.19,53.36,53.69,43472
2007-01-09,53.96,54.4,53.79,53.81,73432
2007-01-10,53.85,54.5,53.38,54.24,40557
2007-01-11,54.22,54.35,53.51,53.9,65734
2007-01-12,54.12,54.27,53.64,53.68,25744
2007-01-16,53.42,54.54,53.41,54.5,39295
2007-01-17,54.51,54.6,53.96,54.31,57145
2007-01-18,54.5,54.86,54.0,54.12,48378
2007-01-19,54.14,54.14,53.15,53.76,69758
2007-01-22,53.65,53.9,53.06,53.18,47446
2007-01-23,53.06,53.37,52.71,52.85,48432
2007-01-24,53.0,53.46,52.85,53.41,33350
2007-01-25,53.37,53.82,52.93,53.44,35989
2007-01-26,53.5,53.56,52.97,53.15,38213
2007-01-29,53.98,53.98,52.52,52.69,41228
2007-01-30,52.85,53.21,52.71,53.1,31876
2007-01-31,52.9,53.6,52.67,53.42,37224
2007-02-01,53.45,53.58,53.0,53.34,45518
2007-02-02,53.33,53.8,53.22,53.7,52154
2007-02-05,53.7,53.76,53.29,53.31,43484
2007-02-06,53.32,53.67,52.98,53.18,32187
2007-02-07,53.14,53.32,52.87,53.22,30545
2007-02-08,53.4,54.02,53.3,53.87,40314
2007-02-09,53.84,54.1,53.57,53.81,37933
2007-02-12,53.79,54.0,53.58,53.62,23693
2007-02-13,53.59,54.45,53.53,54.42,43096
2007-02-14,54.42,54.67,54.19,54.58,37745
2007-02-15,54.49,54.62,53.96,54.08,42036
2007-02-16,53.84,54.69,53.73,54.09,54728
2007-02-20,53.52,54.63,53.5,54.49,55741
2007-02-21,52.45,52.57,51.48,51.99,203484
2007-02-22,51.9,52.04,50.99,51.24,104778
2007-02-23,51.07,51.5,50.84,51.36,55160
2007-02-26,51.5,51.5,50.75,50.92,45994
2007-02-27,50.41,50.99,49.69,50.0,93615
2007-02-28,50.87,51.08,49.94,50.35,128964
2007-03-01,50.38,50.97,49.9,50.15,102401
2007-03-02,50.05,50.08,48.98,49.11,102335
2007-03-05,48.61,49.6,48.5,49.1,101734
2007-03-06,49.5,49.77,49.3,49.49,64132
2007-03-07,49.51,50.0,49.39,49.57,57946
2007-03-08,49.83,50.38,49.79,49.9,56719
2007-03-09,49.88,50.07,49.67,49.95,42826
2007-03-12,50.41,50.43,49.58,49.64,46224
2007-03-13,49.13,50.13,49.11,49.24,65281
2007-03-14,49.29,49.77,49.08,49.63,38559
2007-03-15,49.48,49.51,49.03,49.33,38973
2007-03-16,49.5,49.5,48.57,48.87,64873
2007-03-19,48.89,49.2,48.71,49.18,39516
2007-03-20,49.15,49.49,48.7,49.38,40764
2007-03-21,49.7,49.81,49.13,49.75,51313
2007-03-22,49.77,49.97,49.2,49.79,41755
2007-03-23,49.82,50.04,49.54,49.92,45023
2007-03-26,49.69,49.89,48.98,49.84,67030
2007-03-27,49.56,49.79,48.63,48.7,76570
2007-03-28,48.12,48.93,48.12,48.61,65143
2007-03-29,48.68,49.17,48.55,49.0,54160
2007-03-30,48.96,49.39,48.55,49.06,38326
2007-04-02,48.16,49.1,48.16,48.83,37551
2007-04-03,48.56,49.39,48.54,49.37,68959
2007-04-04,49.4,49.58,49.13,49.23,40709
2007-04-05,49.03,49.34,49.0,49.14,29595
2007-04-09,48.88,49.13,48.62,48.95,39297
2007-04-10,48.96,49.72,48.7,49.5,48246
2007-04-11,49.52,50.1,49.35,50.05,73685
2007-04-12,50.26,51.43,50.06,50.96,104832
2007-04-13,50.96,51.13,50.5,50.81,54174
2007-04-16,50.82,51.74,50.67,51.44,68635
2007-04-17,52.03,52.17,51.69,52.02,53172
2007-04-18,51.98,52.06,51.39,51.91,42083
2007-04-19,51.92,52.25,51.61,51.7,45825
2007-04-20,52.27,52.7,51.77,52.39,64388
2007-04-23,52.21,52.91,52.19,52.55,43424
2007-04-24,52.81,53.48,52.65,53.28,77339
2007-04-25,53.1,53.95,53.04,53.53,67972
2007-04-26,53.58,54.32,53.57,54.03,66135
2007-04-27,53.75,53.99,53.37,53.64,46525
2007-04-30,53.5,53.7,52.9,52.92,56820
2007-05-01,53.11,54.17,53.08,53.79,74056
2007-05-02,53.76,54.19,53.49,54.05,63641
2007-05-03,53.99,54.2,53.47,54.02,29917
2007-05-04,53.92,54.0,53.38,53.66,33241
2007-05-07,53.94,54.03,53.55,53.63,32752
2007-05-08,53.66,53.66,53.19,53.41,31039
2007-05-09,53.43,53.99,53.28,53.6,30682
2007-05-10,53.2,53.48,52.66,52.77,43638
2007-05-11,52.73,53.57,52.71,53.45,52477
2007-05-14,53.42,53.78,53.3,53.51,36211
2007-05-15,53.6,53.71,52.9,52.93,79234
2007-05-16,52.85,53.0,51.95,52.24,84996
2007-05-17,51.9,52.05,51.2,51.44,94696
2007-05-18,51.5,51.53,51.21,51.25,60886
2007-05-21,50.8,50.89,50.05,50.54,103528
2007-05-22,50.64,54.01,50.01,50.84,78991
2007-05-23,53.5,54.18,52.9,52.97,186154
2007-05-24,52.52,53.43,52.5,53.1,69750
2007-05-25,52.9,53.4,52.7,53.12,39927
2007-05-29,52.74,53.19,52.51,53.01,44931
2007-05-30,52.86,53.18,52.45,52.99,39636
2007-05-31,52.99,53.29,52.95,53.17,43805
2007-06-01,53.21,53.62,53.07,53.35,41837
2007-06-04,53.0,53.4,52.68,53.26,34292
2007-06-05,52.64,53.22,52.52,52.58,53481
2007-06-06,52.5,52.68,52.42,52.53,41164
2007-06-07,52.26,52.51,51.6,51.66,59555
2007-06-08,51.57,52.35,51.18,52.1,52006
2007-06-11,52.07,52.07,51.67,51.7,49771
2007-06-12,51.5,52.18,51.5,51.76,53518
2007-06-13,52.07,52.22,51.52,51.92,42907
2007-06-14,51.41,52.2,51.41,51.95,46737
2007-06-15,51.7,52.8,51.7,52.4,57214
2007-06-18,52.63,52.69,52.3,52.43,34291
2007-06-19,52.18,52.97,52.15,52.67,58163
2007-06-20,52.45,52.73,51.45,51.48,72982
2007-06-21,51.74,52.0,51.39,51.78,66396
2007-06-22,51.4,52.03,51.28,51.7,87871
2007-06-25,51.54,52.0,51.11,51.15,66330
2007-06-26,51.18,52.15,51.14,51.66,64542
2007-06-27,51.69,51.75,50.92,51.68,71468
2007-06-28,52.19,52.19,51.3,51.8,40170
2007-06-29,51.83,51.95,51.36,51.85,38607
2007-07-03,53.37,53.57,52.69,52.8,31188
2007-07-05,52.83,53.05,52.64,52.96,39151
2007-07-06,53.09,53.53,52.76,53.37,39847
2007-07-09,54.24,54.25,52.84,53.19,31666
2007-07-10,53.0,53.27,52.46,52.65,63617
2007-07-11,52.36,53.01,52.36,52.89,47590
2007-07-12,52.88,53.22,52.53,53.19,42253
2007-07-13,52.84,52.98,52.39,52.71,33888
2007-07-16,52.42,52.74,52.42,52.5,45796
2007-07-17,52.0,52.57,51.92,52.1,54126
2007-07-18,53.24,53.24,51.75,51.94,95530
2007-07-19,51.99,52.89,51.87,52.05,48980
2007-07-20,52.0,52.19,51.85,51.91,73548
2007-07-23,52.04,52.7,51.95,52.16,55955
2007-07-24,51.52,53.09,51.51,51.73,67357
2007-07-25,51.5,52.17,50.84,51.6,85985
2007-07-26,51.57,51.81,50.65,51.0,101354
2007-07-27,50.31,52.14,50.05,50.79,132462
2007-07-30,50.98,51.89,50.5,51.08,49263
2007-07-31,52.76,52.76,50.66,50.67,78209
2007-08-01,50.74,52.64,50.43,52.42,78449
2007-08-02,52.1,52.98,50.7,52.91,66946
2007-08-03,52.99,53.0,51.55,51.65,77478
2007-08-06,51.88,53.34,51.62,53.3,75932
2007-08-07,53.46,54.0,52.63,53.65,66471
2007-08-08,53.72,54.18,53.29,53.99,68003
2007-08-09,53.14,54.05,53.1,53.53,65096
2007-08-10,53.65,53.65,52.11,53.11,64535
2007-08-13,53.0,53.4,52.43,52.8,48133
2007-08-14,52.88,53.4,52.6,52.76,38731
2007-08-15,52.66,53.43,52.5,52.67,58995
2007-08-16,52.45,53.48,51.83,52.51,93042
2007-08-17,52.0,53.22,52.0,53.0,71785
2007-08-20,52.45,53.15,52.45,52.96,42185
2007-08-21,53.29,53.5,52.8,52.91,45627
2007-08-22,52.1,53.23,52.01,52.58,99018
2007-08-23,53.24,53.69,52.25,53.59,62732
2007-08-24,53.0,54.02,53.0,53.88,48230
2007-08-27,53.03,54.7,53.03,53.74,44358
2007-08-28,53.57,53.57,52.94,53.01,40044
2007-08-29,53.0,53.2,52.35,53.14,39587
2007-08-30,52.66,52.97,52.38,52.58,33401
2007-08-31,52.72,53.0,52.29,52.76,35519
2007-09-04,52.65,53.48,52.5,53.37,35740
2007-09-05,53.39,53.85,53.0,53.61,41840
2007-09-06,53.02,54.27,53.02,54.08,51570
2007-09-07,53.42,54.15,53.42,53.84,51366
2007-09-10,53.9,54.16,53.73,53.94,35339
2007-09-11,54.08,54.5,53.88,54.47,40467
2007-09-12,54.55,54.74,54.14,54.38,48716
2007-09-13,54.17,55.12,53.88,54.43,53284
2007-09-14,54.45,54.89,53.25,54.53,31973
2007-09-17,54.62,54.63,53.43,54.16,41461
2007-09-18,54.27,55.76,54.0,55.34,85186
2007-09-19,55.55,56.32,55.26,56.2,88248
2007-09-20,56.01,57.0,55.99,56.63,75360
2007-09-21,57.14,57.17,56.21,56.51,67070
2007-09-24,56.44,57.16,56.24,56.97,55616
2007-09-25,56.85,56.88,56.13,56.27,56762
2007-09-26,56.52,57.1,56.01,56.96,51723
2007-09-27,56.51,57.29,56.51,57.05,48186
2007-09-28,57.35,57.35,56.15,56.4,40941
2007-10-01,56.71,57.98,56.17,57.86,63472
2007-10-02,57.64,57.99,57.16,57.31,31519
2007-10-03,57.05,57.22,56.37,56.89,57149
2007-10-04,56.65,57.26,56.65,56.97,50090
2007-10-05,55.5,56.2,54.82,55.93,144570
2007-10-08,55.92,56.65,55.91,56.43,36834
2007-10-09,56.71,56.87,56.14,56.72,38370
2007-10-10,56.6,57.07,56.01,56.81,48029
2007-10-11,57.3,57.5,56.35,56.44,52198
2007-10-12,56.77,57.06,56.05,56.31,33743
2007-10-15,50.51,51.32,48.69,49.98,546925
2007-10-16,49.99,50.62,49.27,50.29,199145
2007-10-17,50.48,50.87,49.35,49.73,128506
2007-10-18,49.89,50.0,48.52,48.94,126089
2007-10-19,49.0,49.73,47.44,47.47,123261
2007-10-22,47.7,47.7,46.4,46.97,135843
2007-10-23,47.5,48.12,47.05,48.06,160658
