交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,29.57,29.63,29.22,29.43,584349
2006-12-13,29.59,29.6,29.32,29.54,379266
2006-12-14,29.53,30.08,29.52,30.07,762727
2006-12-15,30.14,30.23,30.03,30.19,919549
2006-12-18,30.2,30.26,29.78,29.87,420200
2006-12-19,29.68,30.17,29.53,29.99,412526
2006-12-20,30.01,31.01,29.97,30.1,289042
2006-12-21,30.14,30.45,29.89,29.98,285811
2006-12-22,29.82,29.86,29.62,29.65,316381
2006-12-26,29.5,30.0,29.4,30.0,290849
2006-12-27,29.99,30.13,29.91,30.02,279717
2006-12-28,29.86,30.03,29.81,29.98,212007
2006-12-29,29.85,30.15,29.83,29.85,279118
2007-01-03,29.91,30.25,29.4,29.87,692136
2007-01-04,29.7,29.97,29.44,29.81,397489
2007-01-05,29.63,29.75,29.45,29.64,396738
2007-01-08,29.64,30.1,29.53,29.95,449897
2007-01-09,30.0,30.18,29.73,29.96,416585
2007-01-10,29.79,29.89,29.43,29.67,467758
2007-01-11,29.77,30.75,29.65,30.7,934591
2007-01-12,30.65,31.39,30.64,31.2,964523
2007-01-16,31.26,31.45,31.03,31.16,583062
2007-01-17,31.27,31.44,31.01,31.1,508513
2007-01-18,31.15,31.37,30.8,30.99,517099
2007-01-19,30.73,31.11,30.69,31.08,740500
2007-01-22,31.07,31.12,30.51,30.73,481794
2007-01-23,30.63,30.96,30.52,30.77,441361
2007-01-24,30.78,31.3,30.65,31.08,561571
2007-01-25,31.06,31.48,30.0,30.52,795405
2007-01-26,31.22,31.23,30.6,30.62,909721
2007-01-29,30.65,30.78,30.34,30.53,534873
2007-01-30,30.57,30.64,30.14,30.5,578701
2007-01-31,30.41,31.1,30.35,30.86,681904
2007-02-01,30.84,30.94,30.37,30.53,485981
2007-02-02,30.82,30.84,30.13,30.19,530945
2007-02-05,29.97,30.02,29.41,29.59,773036
2007-02-06,29.6,29.75,29.22,29.51,760162
2007-02-07,29.64,29.7,29.25,29.37,626933
2007-02-08,29.24,29.8,29.2,29.26,462576
2007-02-09,29.35,29.4,28.94,28.94,665843
2007-02-12,28.89,29.89,28.83,28.94,459642
2007-02-13,29.05,29.2,28.96,29.04,475107
2007-02-14,29.18,29.69,29.15,29.42,491894
2007-02-15,29.58,29.7,29.22,29.53,497851
2007-02-16,28.89,28.94,28.65,28.71,1044047
2007-02-20,28.64,28.86,28.47,28.83,507396
2007-02-21,28.75,29.94,28.74,29.33,603777
2007-02-22,29.3,29.54,29.16,29.38,501189
2007-02-23,29.22,29.28,28.89,28.91,598836
2007-02-26,28.95,29.09,28.88,29.05,547190
2007-02-27,28.71,28.97,27.79,27.93,816286
2007-02-28,27.95,28.25,27.92,28.16,737058
2007-03-01,27.81,28.33,27.73,28.08,727117
2007-03-02,28.03,28.16,27.76,27.77,591804
2007-03-05,27.49,27.91,27.41,27.54,416847
2007-03-06,27.83,27.94,27.65,27.81,438633
2007-03-07,27.76,27.9,27.55,27.6,456250
