交易日期,开盘价,最高价,最低价,收盘价,成交量
2010-06-04,12.155,12.155,12.155,12.155,0
2010-06-07,12.26,12.26,12.26,12.26,0
2010-06-08,12.24,12.24,12.24,12.24,0
2010-06-09,12.1,12.1,12.1,12.1,0
2010-06-10,12.575,12.575,12.575,12.575,0
2010-06-11,12.5,12.5,12.5,12.5,0
2010-06-14,12.625,12.625,12.625,12.625,0
2010-06-15,12.83,12.83,12.83,12.83,0
2010-06-16,12.92,12.92,12.92,12.92,0
2010-06-17,13.09,13.09,13.09,13.09,0
2010-06-18,13.125,13.125,13.125,13.125,0
2010-06-21,12.985,12.985,12.985,12.985,0
2010-06-22,12.68,12.68,12.68,12.68,0
2010-06-23,12.55,12.55,12.55,12.55,0
2010-06-24,12.5,12.68,12.37,12.395,55184
2010-06-25,12.455,12.455,12.26,12.305,62508
2010-06-28,12.32,12.365,12.23,12.3,65644
2010-06-29,12.1,12.25,11.99,12.09,89648
2010-06-30,12.14,12.41,12.135,12.19,100848
2010-07-01,12.255,12.255,12.11,12.24,86380
2010-07-02,12.285,12.34,12.21,12.24,54192
2010-07-06,12.355,12.475,12.245,12.35,38936
2010-07-07,12.425,12.71,12.33,12.7,67776
2010-07-08,12.75,12.75,12.665,12.75,51052
2010-07-09,12.735,12.875,12.69,12.86,32140
2010-07-12,12.8,12.98,12.79,12.98,33896
2010-07-13,13.005,13.11,12.975,13.07,36604
2010-07-14,13.0,13.09,12.94,13.025,34744
2010-07-15,12.995,13.25,12.93,13.235,74364
2010-07-16,13.2,13.245,13.075,13.16,92512
2010-07-19,13.14,13.235,13.075,13.195,37660
2010-07-20,13.15,13.205,12.995,13.175,54584
2010-07-21,13.125,13.2,12.965,13.03,58100
2010-07-22,13.07,13.28,13.07,13.21,84472
2010-07-23,13.24,13.315,13.03,13.205,67008
2010-07-26,13.155,13.415,13.125,13.21,42220
2010-07-27,13.105,13.5,13.105,13.45,83492
2010-07-28,13.385,13.425,13.24,13.27,58660
2010-07-29,13.32,13.375,13.085,13.125,76812
2010-07-30,13.105,13.155,13.0,13.075,49620
2010-08-02,13.15,13.5,13.15,13.5,69972
2010-08-03,13.44,13.515,13.375,13.435,37752
2010-08-04,13.465,13.465,13.225,13.4,43228
2010-08-05,13.295,13.32,13.175,13.315,74044
2010-08-06,13.26,13.43,13.165,13.43,35300
2010-08-09,13.42,13.465,13.33,13.37,47868
2010-08-10,13.28,13.485,13.24,13.44,60816
2010-08-11,13.245,13.355,13.14,13.17,47992
2010-08-12,13.085,13.105,12.91,13.015,52108
2010-08-13,13.0,13.125,12.93,13.005,35944
2010-08-16,12.875,13.09,12.835,13.04,44388
2010-08-17,13.09,13.245,13.07,13.12,40792
2010-08-18,13.085,13.18,12.98,13.14,49660
2010-08-19,13.05,13.09,12.875,12.96,45260
2010-08-20,12.965,13.36,12.83,13.325,136208
2010-08-23,13.35,13.5,13.35,13.43,64780
2010-08-24,13.335,13.815,13.325,13.575,237260
2010-08-25,13.3,13.565,13.23,13.32,84244
2010-08-26,13.285,13.375,13.21,13.265,48976
2010-08-27,13.315,13.48,13.23,13.475,40800
2010-08-30,13.4,13.5,13.315,13.315,44148
2010-08-31,13.265,13.46,13.205,13.43,64256
2010-09-01,13.495,13.655,13.375,13.655,72428
2010-09-02,13.69,13.7,13.55,13.66,40276
2010-09-03,13.705,13.75,13.605,13.66,44244
2010-09-07,13.545,13.665,13.545,13.575,50808
2010-09-08,13.615,13.665,13.44,13.57,63280
2010-09-09,13.68,13.73,13.635,13.655,59608
2010-09-10,13.715,13.8,13.585,13.79,74028
2010-09-13,13.895,13.995,13.815,13.865,81640
2010-09-14,13.74,13.875,13.73,13.755,42668
2010-09-15,13.45,13.525,13.34,13.44,171416
2010-09-16,13.49,13.49,13.365,13.465,69660
2010-09-17,13.46,13.53,13.415,13.44,54280
2010-09-20,13.48,13.625,13.405,13.625,41260
2010-09-21,13.715,13.715,13.485,13.525,55668
2010-09-22,13.555,13.64,13.5,13.58,62172
2010-09-23,13.51,13.55,13.375,13.39,43328
2010-09-24,13.55,13.76,13.49,13.625,74536
2010-09-27,13.65,13.725,13.605,13.67,40712
2010-09-28,13.715,13.77,13.575,13.75,46648
2010-09-29,13.69,13.715,13.555,13.67,38396
2010-09-30,13.785,13.86,13.585,13.6,53332
2010-10-01,13.52,13.625,13.485,13.605,80056
2010-10-04,13.605,13.645,13.43,13.5,69104
2010-10-05,13.55,13.64,13.5,13.6,86068
2010-10-06,13.575,13.725,13.52,13.695,97524
2010-10-07,13.71,13.76,13.69,13.725,48700
2010-10-08,13.765,13.765,13.68,13.73,38216
2010-10-11,13.705,13.76,13.63,13.75,25956
2010-10-12,13.73,13.84,13.65,13.81,84956
2010-10-13,13.875,13.925,13.84,13.87,90960
2010-10-14,13.87,13.89,13.77,13.835,77080
2010-10-15,13.92,13.92,13.74,13.83,73260
2010-10-18,13.83,13.965,13.79,13.955,35416
2010-10-19,13.855,13.95,13.83,13.875,63548
2010-10-20,13.935,14.055,13.835,14.01,52180
2010-10-21,14.045,14.065,13.82,13.9,65952
2010-10-22,13.925,13.96,13.795,13.865,55672
2010-10-25,13.955,13.96,13.7,13.715,69604
2010-10-26,13.625,13.815,13.625,13.81,72668
2010-10-27,13.745,13.745,13.515,13.675,78524
2010-10-28,13.75,13.84,13.645,13.765,79872
2010-10-29,13.56,13.775,13.25,13.76,153980
2010-11-01,13.805,13.805,13.335,13.48,96384
2010-11-02,13.55,13.62,13.495,13.6,42372
2010-11-03,13.645,13.705,13.515,13.66,55692
2010-11-04,13.775,13.785,13.655,13.75,47116
2010-11-05,13.68,13.76,13.59,13.68,46244
2010-11-08,13.645,13.68,13.585,13.615,44136
2010-11-09,13.62,13.67,13.545,13.61,49988
2010-11-10,13.575,13.59,13.43,13.535,42476
2010-11-11,13.48,13.61,13.435,13.475,57728
2010-11-12,13.46,13.49,13.33,13.41,55932
2010-11-15,13.455,13.46,13.325,13.395,47140
2010-11-16,13.335,13.365,13.08,13.14,85388
2010-11-17,13.175,13.215,13.03,13.055,65244
2010-11-18,13.1,13.195,12.985,13.085,82236
2010-11-19,13.025,13.1,12.955,12.995,70440
2010-11-22,12.93,13.045,12.84,13.025,81024
2010-11-23,12.835,12.835,12.75,12.795,86084
2010-11-24,12.805,12.91,12.77,12.875,52196
2010-11-26,12.79,12.815,12.675,12.695,38800
2010-11-29,12.675,12.715,12.555,12.675,76676
2010-11-30,12.64,12.705,12.5,12.655,79236
2010-12-01,12.805,12.835,12.675,12.735,99092
2010-12-02,12.73,12.805,12.655,12.805,60472
2010-12-03,12.745,12.795,12.665,12.775,73740
2010-12-06,12.75,12.8,12.695,12.73,57956
2010-12-07,12.815,12.85,12.68,12.71,65972
2010-12-08,12.68,12.74,12.565,12.72,89476
2010-12-09,12.77,12.79,12.66,12.77,71088
2010-12-10,12.78,13.115,12.78,13.0,90224
2010-12-13,13.055,13.115,12.99,13.025,68968
2010-12-14,13.05,13.09,12.8,12.86,122272
2010-12-15,12.865,12.88,12.7,12.71,86780
2010-12-16,12.735,12.815,12.65,12.805,98408
2010-12-17,12.7,12.925,12.695,12.92,112140
2010-12-20,12.9,12.965,12.805,12.885,64288
2010-12-21,12.89,12.945,12.78,12.78,76236
2010-12-22,12.81,13.055,12.75,13.02,90300
2010-12-23,13.015,13.125,13.0,13.045,48472
2010-12-27,13.005,13.1,12.94,13.04,32568
2010-12-28,13.03,13.095,12.96,13.075,29412
2010-12-29,13.015,13.095,12.94,13.02,49184
2010-12-30,13.025,13.075,12.97,12.995,31384
2010-12-31,12.965,13.075,12.95,13.0,27372
2011-01-03,13.045,13.1,12.955,13.055,50972
2011-01-04,13.07,13.235,12.985,13.19,59160
2011-01-05,13.125,13.19,13.025,13.085,87696
2011-01-06,13.085,13.12,12.95,13.03,63668
2011-01-07,13.05,13.065,12.885,13.055,49236
2011-01-10,13.015,13.275,12.96,13.23,104744
2011-01-11,13.34,13.34,13.15,13.19,64964
2011-01-12,13.275,13.495,13.275,13.41,77664
2011-01-13,13.42,13.48,13.35,13.44,56384
2011-01-14,13.415,13.565,13.355,13.54,58236
2011-01-18,13.555,13.61,13.52,13.575,43440
2011-01-19,13.565,13.625,13.49,13.515,46448
2011-01-20,13.54,13.68,13.515,13.565,84760
2011-01-21,13.62,13.64,13.53,13.605,88396
2011-01-24,13.575,13.66,13.525,13.535,95604
2011-01-25,13.48,13.645,13.36,13.645,116924
2011-01-26,13.65,13.68,13.42,13.555,79152
2011-01-27,13.5,13.675,13.455,13.605,52460
2011-01-28,13.585,13.67,13.49,13.51,74648
2011-01-31,13.5,13.61,13.365,13.365,73068
2011-02-01,13.45,13.66,13.425,13.635,59156
2011-02-02,13.635,13.86,13.59,13.715,65716
2011-02-03,13.67,13.79,13.56,13.75,64004
2011-02-04,13.705,13.745,13.555,13.685,39852
2011-02-07,13.68,13.815,13.64,13.8,49344
2011-02-08,13.77,13.86,13.735,13.86,39284
2011-02-09,13.74,13.83,13.74,13.81,30108
2011-02-10,13.77,13.825,13.715,13.805,43328
2011-02-11,13.785,13.825,13.71,13.765,43076
2011-02-14,13.75,13.765,13.605,13.675,37172
2011-02-15,13.605,13.71,13.575,13.695,49564
2011-02-16,13.695,13.72,13.465,13.59,65100
2011-02-17,13.545,13.66,13.54,13.56,51844
2011-02-18,13.59,13.655,13.54,13.65,67080
2011-02-22,13.53,13.685,13.53,13.665,65352
2011-02-23,13.465,13.71,13.465,13.59,68820
2011-02-24,13.56,13.7,13.545,13.605,62640
2011-02-25,13.605,13.71,13.605,13.675,37316
2011-02-28,13.72,13.89,13.66,13.87,62828
2011-03-01,13.835,13.89,13.535,13.535,112600
2011-03-02,13.415,13.46,13.33,13.45,71568
2011-03-03,13.52,13.69,13.515,13.61,82096
2011-03-04,13.61,13.69,13.475,13.69,81084
2011-03-07,13.69,13.75,13.59,13.655,57832
2011-03-08,13.68,13.865,13.675,13.825,53856
2011-03-09,13.835,13.955,13.7,13.945,62672
2011-03-10,13.84,13.965,13.75,13.84,76108
2011-03-11,13.775,13.965,13.775,13.925,72280
2011-03-14,13.8,13.84,13.66,13.77,89464
2011-03-15,13.755,13.755,13.445,13.445,116332
2011-03-16,13.445,13.46,13.01,13.15,116932
2011-03-17,13.28,13.33,13.1,13.205,72432
2011-03-18,13.3,13.4,13.145,13.19,76628
2011-03-21,13.31,13.58,13.295,13.44,54132
2011-03-22,13.48,13.52,13.385,13.475,43592
2011-03-23,13.43,13.48,13.36,13.425,31212
2011-03-24,13.5,13.53,13.39,13.505,67384
2011-03-25,13.555,13.575,13.475,13.525,43208
2011-03-28,13.565,13.625,13.44,13.445,48600
2011-03-29,13.46,13.68,13.415,13.67,48392
2011-03-30,13.73,13.765,13.66,13.745,72016
2011-03-31,13.715,13.805,13.695,13.78,53396
2011-04-01,13.815,13.985,13.8,13.985,76156
2011-04-04,13.955,14.05,13.945,14.05,76372
2011-04-05,13.975,14.085,13.96,14.08,68160
2011-04-06,14.09,14.155,14.025,14.145,56012
