交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,4.075,4.085,4.025,4.055,57512
2006-12-13,4.085,4.095,4.02,4.06,24997
2006-12-14,3.855,4.025,3.825,3.965,67914
2006-12-15,3.915,4.01,3.915,3.945,45850
2006-12-18,3.945,3.955,3.795,3.8,63854
2006-12-19,3.79,3.89,3.745,3.865,69195
2006-12-20,3.855,3.94,3.855,3.91,38115
2006-12-21,3.9,3.96,3.815,3.825,49273
2006-12-22,3.815,3.82,3.735,3.74,49665
2006-12-26,3.735,3.89,3.735,3.835,38409
2006-12-27,3.855,3.86,3.78,3.785,38290
2006-12-28,3.76,3.805,3.725,3.735,73822
2006-12-29,3.725,3.83,3.695,3.695,64078
2007-01-03,3.705,3.825,3.675,3.8,152579
2007-01-04,3.775,3.83,3.585,3.615,141645
2007-01-05,3.61,3.62,3.495,3.545,132734
2007-01-08,3.545,3.555,3.365,3.405,173131
2007-01-09,3.425,3.44,3.36,3.43,100737
2007-01-10,3.425,3.465,3.41,3.44,111076
2007-01-11,3.43,3.505,3.41,3.465,86926
2007-01-12,3.41,3.41,3.24,3.245,210938
2007-01-16,3.465,3.485,3.245,3.245,279552
2007-01-17,3.26,3.295,3.235,3.26,141666
2007-01-18,3.25,3.285,3.165,3.175,103103
2007-01-19,3.175,3.26,3.17,3.225,117054
2007-01-22,3.265,3.28,3.115,3.125,178339
2007-01-23,3.115,3.19,3.1,3.105,199185
2007-01-24,3.13,3.285,3.045,3.245,296898
2007-01-25,3.415,3.465,3.245,3.32,607390
2007-01-26,3.365,3.37,3.25,3.3,136206
2007-01-29,3.18,3.25,3.15,3.225,200200
2007-01-30,3.235,3.28,3.22,3.275,79702
2007-01-31,3.255,3.305,3.245,3.265,87367
2007-02-01,3.24,3.3,3.235,3.25,72891
2007-02-02,3.25,3.295,3.245,3.265,87451
2007-02-05,3.285,3.285,3.22,3.23,54124
2007-02-06,3.215,3.24,3.165,3.185,153041
2007-02-07,3.18,3.295,3.175,3.265,95452
2007-02-08,3.355,3.405,3.3,3.395,179620
2007-02-09,3.395,3.395,3.295,3.3,75271
2007-02-12,3.29,3.355,3.285,3.305,66542
2007-02-13,3.32,3.32,3.26,3.27,41314
2007-02-14,3.27,3.315,3.17,3.225,261513
2007-02-15,3.21,3.245,3.2,3.215,75488
2007-02-16,3.215,3.275,3.195,3.27,96796
2007-02-20,3.275,3.37,3.275,3.355,117845
2007-02-21,3.36,3.365,3.315,3.345,173068
2007-02-22,3.345,3.41,3.345,3.395,82866
2007-02-23,3.395,3.405,3.355,3.355,76923
