交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,12.16,12.17,12.045,12.075,130512
2006-12-13,12.04,12.07,11.895,11.985,142632
2006-12-14,12.005,12.155,11.99,12.125,110792
2006-12-15,12.145,12.155,12.0,12.015,92856
2006-12-18,12.11,12.165,12.01,12.03,77288
2006-12-19,12.025,12.045,11.85,12.03,122376
2006-12-20,12.125,12.51,12.085,12.47,261216
2006-12-21,12.4,12.65,12.345,12.54,283392
2006-12-22,12.465,12.525,12.38,12.5,76328
2006-12-26,12.495,12.56,12.435,12.52,63096
2006-12-27,12.53,12.53,12.415,12.445,64128
2006-12-28,12.45,12.485,12.4,12.405,56688
2006-12-29,12.4,12.49,12.35,12.38,60592
2007-01-03,12.25,12.465,12.1,12.205,164448
2007-01-04,12.21,12.37,12.11,12.33,142680
2007-01-05,12.265,12.425,12.215,12.365,134792
2007-01-08,12.315,12.375,12.205,12.315,98824
2007-01-09,12.315,12.495,12.295,12.47,148104
2007-01-10,12.405,12.48,12.365,12.47,127728
2007-01-11,12.49,12.545,12.43,12.49,140312
2007-01-12,12.445,12.5,12.415,12.46,89600
2007-01-16,12.44,12.5,12.4,12.49,89872
2007-01-17,12.475,12.49,12.38,12.48,96504
2007-01-18,12.48,12.53,12.375,12.46,146000
2007-01-19,12.5,12.525,12.435,12.49,108848
2007-01-22,12.52,12.52,12.18,12.21,142800
2007-01-23,12.215,12.29,12.025,12.09,124792
2007-01-24,12.1,12.16,12.075,12.1,84720
2007-01-25,12.115,12.21,11.98,11.985,95224
2007-01-26,12.0,12.085,11.865,11.905,104888
2007-01-29,11.92,12.08,11.92,12.04,143176
2007-01-30,12.065,12.225,12.065,12.22,191544
2007-01-31,12.22,12.405,12.19,12.355,162392
2007-02-01,12.33,12.63,12.305,12.57,231056
2007-02-02,12.625,12.68,12.475,12.515,94992
2007-02-05,12.45,12.54,12.305,12.43,109072
2007-02-06,12.43,12.66,12.43,12.655,109984
2007-02-07,12.735,12.875,12.68,12.86,164240
2007-02-08,12.84,12.965,12.78,12.93,143288
2007-02-09,12.885,13.015,12.885,12.955,163584
2007-02-12,12.95,13.055,12.905,13.055,128920
2007-02-13,12.93,13.195,12.93,13.15,179664
2007-02-14,13.15,13.225,13.12,13.175,130608
2007-02-15,13.155,13.215,13.1,13.195,106968
2007-02-16,13.315,13.44,13.21,13.295,146872
2007-02-20,13.29,13.39,13.205,13.345,142072
2007-02-21,13.35,13.42,13.315,13.39,94672
2007-02-22,13.365,13.54,13.33,13.52,109264
2007-02-23,13.53,13.53,13.4,13.505,69288
2007-02-26,13.615,13.615,13.4,13.48,100088
2007-02-27,13.43,13.48,12.905,13.0,170944
2007-02-28,13.095,13.14,12.91,13.07,153312
2007-03-01,12.89,13.245,12.77,13.16,153368
2007-03-02,13.15,13.235,12.985,12.99,96888
2007-03-05,12.985,13.035,12.805,12.805,114080
2007-03-06,12.87,13.19,12.85,13.145,118320
2007-03-07,13.115,13.19,12.945,13.075,160568
2007-03-08,13.15,13.3,13.065,13.075,122744
2007-03-09,13.17,13.285,13.115,13.24,98672
2007-03-12,13.215,13.265,13.15,13.205,79136
2007-03-13,13.125,13.175,12.865,13.085,107240
2007-03-14,13.075,13.145,12.845,13.105,133408
2007-03-15,13.095,13.285,13.095,13.205,113688
2007-03-16,13.225,13.465,13.21,13.43,177056
2007-03-19,13.475,13.575,13.43,13.54,80144
2007-03-20,13.54,13.67,13.5,13.655,76520
2007-03-21,13.655,13.765,13.52,13.605,147056
2007-03-22,13.6,13.625,13.355,13.58,190680
2007-03-23,13.375,13.66,13.125,13.625,329072
2007-03-26,13.63,13.675,13.43,13.6,102608
2007-03-27,13.565,13.565,13.295,13.31,159936
2007-03-28,13.3,13.3,13.11,13.14,153496
2007-03-29,13.14,13.22,13.065,13.125,108080
2007-03-30,13.15,13.335,13.095,13.28,106752
2007-04-02,13.35,13.4,13.24,13.3,79168
2007-04-03,13.315,13.73,13.265,13.3,93792
2007-04-04,13.365,13.5,13.3,13.395,113952
2007-04-05,13.4,13.46,13.31,13.355,75104
2007-04-09,13.355,13.525,13.355,13.475,112516
2007-04-10,13.43,13.515,13.335,13.49,103112
2007-04-11,13.58,13.705,13.455,13.51,103356
2007-04-12,13.46,13.58,13.35,13.555,77360
2007-04-13,13.775,13.775,13.35,13.415,80364
2007-04-16,13.5,13.625,13.415,13.59,90272
2007-04-17,13.6,13.6,13.395,13.525,82204
2007-04-18,13.52,13.525,13.41,13.465,79228
2007-04-19,13.625,13.625,13.335,13.365,78584
2007-04-20,13.37,13.43,13.27,13.395,130528
2007-04-23,13.36,13.56,13.36,13.4,76160
2007-04-24,13.465,13.47,13.2,13.385,82940
2007-04-25,13.465,13.5,13.35,13.395,78796
