交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,35.74,35.8,35.4,35.74,3960
2006-12-13,35.6,35.86,35.6,35.6,7270
2006-12-14,36.28,36.34,36.06,36.28,4232
2006-12-15,36.04,36.42,35.74,36.04,2502
2006-12-18,35.62,35.98,35.6,35.62,2635
2006-12-19,35.86,35.94,35.72,35.86,2140
2006-12-20,35.4,35.76,35.4,35.4,4337
2006-12-21,35.42,35.66,35.42,35.42,2887
2006-12-22,35.5,35.78,35.34,35.5,3332
2006-12-26,35.5,35.68,35.4,35.5,1715
2006-12-27,35.74,35.74,35.34,35.74,1820
2006-12-28,35.6,35.92,35.56,35.6,3560
2006-12-29,35.6,35.60845,35.22,35.6,3855
2007-01-03,35.26,35.66,35.26,35.26,7805
2007-01-04,35.22,35.36,35.096,35.22,5437
2007-01-05,34.7,34.92,34.54,34.7,6330
2007-01-08,34.62,34.7,34.52,34.62,5325
2007-01-09,34.58,34.72,34.46,34.58,8942
2007-01-10,34.7,34.74,34.42,34.7,3902
2007-01-11,34.9,34.9,34.5,34.9,5100
2007-01-12,35.22,35.3,34.94,35.22,11325
2007-01-16,35.08,35.34,35.02,35.08,2492
2007-01-17,35.18,35.28,34.82,35.18,3835
2007-01-18,35.26,35.44,35.22,35.26,5212
2007-01-19,35.62,35.74,35.26,35.62,3165
2007-01-22,35.62,35.8,35.52,35.62,2682
2007-01-23,35.8,35.96,35.68,35.8,2910
2007-01-24,35.6,35.62,35.1,35.6,2405
2007-01-25,35.26,35.44,35.14,35.26,13497
2007-01-26,35.26,35.58,35.04,35.26,3840
2007-01-29,35.64,35.8,35.56,35.64,4825
2007-01-30,36.1,36.12,35.64,36.1,8105
2007-01-31,36.96,36.98,36.34,36.96,4730
2007-02-01,37.08,37.1,36.78,37.08,5200
2007-02-02,36.94,37.02,36.08,36.94,6587
2007-02-05,37.02,37.02,36.76,37.02,2982
2007-02-06,37.02,37.1,36.7,37.02,2242
2007-02-07,37.12,37.12,36.68,37.12,2790
2007-02-08,36.6,37.16,36.08,36.6,2290
2007-02-09,37.48,37.56,37.34,37.48,2967
2007-02-12,37.36,37.46,37.16,37.36,9755
2007-02-13,37.56,37.78,37.3,37.56,4482
2007-02-14,38.06,38.14,37.56,38.06,5315
2007-02-15,38.32,38.38,37.96,38.32,2757
2007-02-16,38.14,38.28,37.876,38.14,2735
2007-02-20,38.16,39.6,37.86,38.16,5337
2007-02-21,37.62,38.4,37.42,37.62,2800
2007-02-22,38.76,38.78,38.4303,38.76,16480
2007-02-23,38.92,39.0,38.7,38.92,2345
2007-02-26,39.08,39.26,39.0,39.08,3195
2007-02-27,38.0,38.92,37.9,38.0,10350
2007-02-28,37.34,37.84,37.26,37.34,3502
2007-03-01,37.56,37.82,37.2,37.56,2562
2007-03-02,38.34,38.56,38.18,38.34,3580
2007-03-05,37.58,37.84,37.58,37.58,2277
2007-03-06,37.7,37.76,37.28,37.7,3220
2007-03-07,38.32,38.56,38.0,38.32,8010
2007-03-08,38.28,38.4,38.02,38.28,5905
2007-03-09,38.24,38.46,38.24,38.24,2740
2007-03-12,38.6,38.62,38.3,38.6,1695
2007-03-13,38.4,38.74,38.38,38.4,2410
2007-03-14,38.06,38.54,37.86,38.06,2392
2007-03-15,38.1,38.16,37.78,38.1,2957
2007-03-16,38.7,38.7,38.3,38.7,3277
2007-03-19,38.74,38.96,38.5876,38.74,4132
2007-03-20,38.86,38.9,38.612,38.86,2195
2007-03-21,39.24,39.38,38.72,39.24,4210
2007-03-22,39.2,39.44,39.08,39.2,3085
2007-03-23,39.08,39.4,39.06,39.08,2740
2007-03-26,38.9,39.12,38.808,38.9,3447
2007-03-27,38.94,39.12,38.9,38.94,2270
2007-03-28,38.5,38.66,38.4,38.5,2745
2007-03-29,38.6,38.62,38.4,38.6,2735
2007-03-30,38.86,39.12,38.64,38.86,9065
2007-04-02,38.98,39.26,38.88,38.98,4597
2007-04-03,39.36,39.5,39.28,39.36,2207
2007-04-04,39.38,39.46,39.24,39.38,2497
2007-04-05,39.8,39.86,39.44,39.8,2027
2007-04-09,39.52,39.8,39.36,39.52,2247
2007-04-10,40.12,40.2,36.08,40.12,2617
2007-04-11,40.0,40.24,39.56,40.0,3857
2007-04-12,39.88,40.0,39.2,39.88,3242
2007-04-13,39.92,40.2,39.52,39.92,4010
2007-04-16,39.8,40.12,39.56,39.8,18145
2007-04-17,39.72,39.86,35.0,39.72,1835
2007-04-18,40.18,40.2,40.0,40.18,2705
2007-04-19,39.7,40.02,39.66,39.7,2705
2007-04-20,39.34,40.1,39.26,39.34,2802
2007-04-23,39.62,40.02,36.2,39.62,3105
2007-04-24,40.06,40.18,37.616,40.06,7577
2007-04-25,40.18,40.358,40.04,40.18,7505
2007-04-26,39.68,40.0,39.64,39.68,6550
2007-04-27,39.7,39.96,39.62,39.7,3160
2007-04-30,39.74,39.98,36.0,39.74,21397
2007-05-01,39.44,39.86,39.44,39.44,2560
2007-05-02,39.94,40.0,39.68,39.94,4492
2007-05-03,40.08,40.22,40.0,40.08,2832
2007-05-04,39.98,40.02,39.76,39.98,1845
2007-05-07,40.0,40.08,39.84,40.0,1457
2007-05-08,39.7,39.8,39.48,39.7,2747
