交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,5.98,6.0,5.885,5.965,484224
2006-12-13,6.015,6.085,6.015,6.04,435666
2006-12-14,6.085,6.22,6.08,6.14,580662
2006-12-15,6.18,6.25,6.145,6.245,628488
2006-12-18,6.255,6.435,6.255,6.36,631734
2006-12-19,6.275,6.485,6.27,6.445,473184
2006-12-20,6.425,6.495,6.37,6.375,289602
2006-12-21,6.41,6.43,6.25,6.32,348582
2006-12-22,6.31,6.335,6.14,6.18,354402
2006-12-26,6.205,6.26,6.145,6.17,210876
2006-12-27,6.22,6.275,6.195,6.255,244368
2006-12-28,6.255,6.265,6.18,6.205,200034
2006-12-29,6.21,6.335,6.16,6.17,362250
2007-01-03,6.18,6.255,5.8,6.01,1048968
2007-01-04,6.0,6.015,5.84,5.98,723816
2007-01-05,5.85,5.865,5.57,5.605,1133406
2007-01-08,5.635,5.805,5.535,5.66,616644
2007-01-09,5.66,5.7,5.535,5.54,719214
2007-01-10,5.485,5.865,5.4,5.81,1023840
2007-01-11,5.815,5.86,5.7,5.8,811944
2007-01-12,5.71,5.895,5.68,5.875,649056
2007-01-16,5.915,5.92,5.815,5.88,625488
2007-01-17,5.8,5.835,5.735,5.76,626922
2007-01-18,5.71,5.71,5.21,5.28,1426320
2007-01-19,5.225,5.425,5.19,5.32,883998
2007-01-22,5.365,5.45,5.295,5.315,637014
2007-01-23,5.29,5.4,5.19,5.31,599850
2007-01-24,5.4,5.55,5.36,5.48,550590
2007-01-25,5.53,5.55,5.26,5.29,561690
2007-01-26,5.335,5.385,5.15,5.24,757782
2007-01-29,5.235,5.235,4.985,5.03,1192344
2007-01-30,5.065,5.16,5.02,5.13,612546
2007-01-31,5.1,5.155,5.04,5.115,400614
2007-02-01,5.055,5.2,5.05,5.17,597996
2007-02-02,5.21,5.335,5.16,5.305,543258
2007-02-05,5.33,5.44,5.325,5.395,503712
2007-02-06,5.52,5.655,5.435,5.585,707682
2007-02-07,5.635,5.82,5.6,5.805,718392
2007-02-08,5.735,5.81,5.665,5.725,671076
2007-02-09,5.76,5.805,5.42,5.435,899040
2007-02-12,5.49,5.68,5.425,5.575,738198
2007-02-13,5.65,5.71,5.595,5.665,674208
2007-02-14,5.715,5.75,5.58,5.595,992220
2007-02-15,5.59,5.655,5.535,5.635,425160
2007-02-16,5.6,5.61,5.435,5.45,890466
2007-02-20,5.46,5.53,5.425,5.5,580632
2007-02-21,5.455,5.515,5.365,5.415,610146
2007-02-22,5.505,5.595,5.44,5.455,587298
2007-02-23,5.505,5.51,5.44,5.44,377976
2007-02-26,5.455,5.5,5.35,5.36,453900
2007-02-27,5.295,5.425,5.19,5.2,670776
2007-02-28,5.235,5.28,4.055,5.17,742722
2007-03-01,5.055,5.2,4.99,5.105,770658
2007-03-02,5.06,5.12,4.95,4.96,651618
