交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,8.14,8.19,8.095,8.18,2430
2006-12-13,8.11,8.135,8.1,8.12,2150
2006-12-14,8.2,8.31,8.185,8.285,7910
2006-12-15,8.335,8.425,8.25,8.365,5390
2006-12-18,8.41,8.44,8.395,8.43,1780
2006-12-19,8.36,8.43,8.31,8.385,3820
2006-12-20,8.32,8.345,8.29,8.315,2960
2006-12-21,8.275,8.305,8.22,8.285,3590
2006-12-22,8.43,8.455,8.39,8.44,4310
2006-12-26,8.46,8.465,8.4,8.43,2640
2006-12-27,8.325,8.345,8.31,8.34,3850
2006-12-28,8.325,8.33,8.275,8.31,3680
2006-12-29,8.29,8.4,8.29,8.365,2710
2007-01-03,8.44,8.465,8.34,8.345,5700
2007-01-04,8.245,8.245,8.17,8.225,6000
2007-01-05,8.31,8.35,8.295,8.345,5920
2007-01-08,8.29,8.345,7.765,8.335,2890
2007-01-09,8.54,8.555,8.475,8.48,4380
2007-01-10,8.335,8.39,8.305,8.365,3860
2007-01-11,8.3,8.35,8.27,8.335,5050
2007-01-12,8.265,8.39,8.265,8.34,5790
2007-01-16,8.35,8.385,8.3,8.355,4530
2007-01-17,8.29,8.365,8.29,8.315,15220
2007-01-18,8.27,8.39,8.27,8.385,3150
2007-01-19,8.345,8.425,8.345,8.4,3150
2007-01-22,8.625,8.625,8.515,8.545,5790
2007-01-23,8.56,8.62,8.545,8.585,3210
2007-01-24,8.45,8.49,8.435,8.49,3010
2007-01-25,8.38,8.395,8.31,8.34,4580
2007-01-26,8.35,8.35,8.25,8.32,3530
2007-01-29,8.215,8.3,8.205,8.285,7090
2007-01-30,8.22,8.255,8.16,8.225,4860
2007-01-31,8.505,8.645,8.49,8.6,8980
2007-02-01,8.755,8.795,8.7,8.785,8410
2007-02-02,8.8,9.07,8.8,9.06,14840
2007-02-05,8.935,8.96,8.865,8.945,4240
2007-02-06,8.975,9.025,8.935,8.975,5900
2007-02-07,9.08,9.165,9.07,9.14,7290
2007-02-08,9.0,9.11,8.985,9.09,3890
2007-02-09,9.055,9.08,9.015,9.045,3230
2007-02-12,9.02,9.06,8.995,9.06,7190
2007-02-13,9.095,9.175,9.095,9.17,4570
2007-02-14,9.19,9.28,9.175,9.27,4450
2007-02-15,9.26,9.33,9.23,9.295,4600
2007-02-16,9.275,9.275,9.22,9.23,4420
2007-02-20,9.14,9.19,9.085,9.155,6470
