交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,51.245,51.435,51.145,51.32,15226
2006-12-13,51.25,51.315,51.03,51.11,8559
2006-12-14,51.285,51.71,51.235,51.595,13606
2006-12-15,52.035,52.035,51.435,51.55,10816
2006-12-18,51.78,51.815,51.295,51.41,11068
2006-12-19,51.505,51.865,51.375,51.71,15243
2006-12-20,51.42,51.5,51.11,51.305,10123
2006-12-21,50.83,51.085,50.67,50.88,13260
2006-12-22,50.765,50.875,50.44,50.82,7850
2006-12-26,50.89,50.98,50.6,50.67,6285
2006-12-27,50.67,51.065,50.61,50.785,10330
2006-12-28,50.91,50.95,50.62,50.75,17748
2006-12-29,50.505,50.69,50.475,50.51,9224
2007-01-03,51.26,51.41,51.03,51.11,16466
2007-01-04,51.655,51.98,51.57,51.84,14611
2007-01-05,52.12,52.325,51.83,52.12,16021
2007-01-08,51.355,51.46,51.04,51.205,12880
2007-01-09,51.015,51.095,50.51,50.62,41713
2007-01-10,50.75,50.91,50.585,50.84,12805
2007-01-11,50.82,51.215,50.75,51.06,7360
2007-01-12,50.95,51.32,50.725,51.165,13824
2007-01-16,51.9,52.0,51.655,51.825,14362
2007-01-17,51.9,52.545,51.665,52.36,17068
2007-01-18,51.28,51.455,51.025,51.075,28610
2007-01-19,51.06,51.665,51.03,51.55,16362
2007-01-22,51.18,51.225,50.475,50.495,28882
2007-01-23,51.095,51.245,50.82,51.2,24109
2007-01-24,51.135,51.35,51.1,51.34,10757
2007-01-25,51.42,51.49,51.11,51.215,19841
2007-01-26,50.81,50.875,50.415,50.625,21572
2007-01-29,50.9,51.12,50.61,50.705,28941
2007-01-30,50.785,50.805,50.575,50.61,20981
2007-01-31,50.415,50.91,50.365,50.75,12359
2007-02-01,51.155,51.55,51.155,51.445,17706
2007-02-02,51.245,51.55,51.065,51.515,16819
2007-02-05,51.4,51.515,51.25,51.355,14152
2007-02-06,51.935,52.155,51.805,51.975,25313
2007-02-07,52.22,52.29,51.865,51.99,13611
2007-02-08,51.62,51.77,51.42,51.64,13758
2007-02-09,51.5,51.68,51.32,51.375,7446
2007-02-12,51.64,51.665,51.245,51.355,12130
2007-02-13,51.795,51.795,51.46,51.575,19836
2007-02-14,51.93,52.465,51.93,52.385,14412
2007-02-15,52.59,52.695,52.325,52.525,13435
2007-02-16,52.71,53.1,51.12,52.165,50392
2007-02-20,51.525,51.79,51.315,51.645,17854
2007-02-21,51.2,51.33,50.855,51.19,30720
2007-02-22,50.76,51.05,50.715,50.935,22690
2007-02-23,51.375,51.745,51.205,51.595,18351
2007-02-26,50.575,51.015,50.065,50.25,88907
2007-02-27,49.64,49.66,48.56,48.665,59799
2007-02-28,49.2,49.265,48.655,48.76,34127
2007-03-01,48.12,48.605,47.84,48.465,26847
2007-03-02,48.385,48.86,48.135,48.315,18910
2007-03-05,48.025,48.455,47.945,48.1,18335
2007-03-06,49.44,50.205,49.385,50.02,51688
2007-03-07,49.51,50.22,49.485,49.73,19333
2007-03-08,49.71,50.045,49.405,49.905,14914
2007-03-09,49.405,49.685,49.36,49.49,14496
2007-03-12,49.51,49.745,49.44,49.67,7351
2007-03-13,49.66,50.045,49.305,49.37,17726
2007-03-14,49.65,49.78,49.35,49.695,13429
2007-03-15,49.37,49.81,49.35,49.615,18198
2007-03-16,50.23,50.55,49.985,50.23,13203
2007-03-19,49.925,50.055,49.65,49.915,9515
2007-03-20,49.685,50.115,49.685,50.035,13367
2007-03-21,49.925,50.97,49.855,50.88,11361
2007-03-22,50.39,50.39,50.1,50.22,10576
2007-03-23,50.425,50.425,49.995,50.22,14494
2007-03-26,50.1,50.52,50.02,50.435,11538
2007-03-27,49.965,50.075,49.81,49.815,11975
2007-03-28,49.89,49.965,49.455,49.51,10492
2007-03-29,49.835,50.145,49.755,50.03,6135
2007-03-30,50.15,50.715,47.795,48.12,75565
2007-04-02,48.465,48.755,47.74,48.7,49186
2007-04-03,48.63,48.825,48.385,48.49,33055
2007-04-04,48.375,48.7,48.34,48.7,22995
2007-04-05,48.955,49.15,48.78,49.07,10625
2007-04-09,48.865,48.98,48.525,48.645,8824
2007-04-10,49.015,49.88,48.79,48.815,29415
2007-04-11,48.56,49.525,48.215,48.47,40084
2007-04-12,48.56,48.94,48.375,48.825,44287
2007-04-13,49.66,49.835,49.29,49.59,13220
2007-04-16,49.94,49.96,49.65,49.835,10035
2007-04-17,49.87,51.77,49.8,50.03,20551
2007-04-18,50.23,50.46,49.845,50.01,16854
2007-04-19,50.09,50.485,50.0,50.355,11905
2007-04-20,50.62,50.82,50.51,50.82,9344
2007-04-23,51.13,51.215,50.475,50.575,15138
2007-04-24,51.205,51.365,51.06,51.315,14352
2007-04-25,51.05,51.375,50.995,51.33,12496
2007-04-26,51.42,51.83,51.32,51.69,16073
2007-04-27,51.93,52.035,51.505,51.935,18934
2007-04-30,51.54,51.68,51.06,51.13,16780
2007-05-01,50.98,51.12,50.74,50.88,13387
2007-05-02,50.95,51.54,50.925,51.47,19382
2007-05-03,51.165,51.19,50.9,51.03,9456
2007-05-04,51.735,51.805,51.49,51.595,8306
2007-05-07,51.425,51.62,51.39,51.505,8349
2007-05-08,51.065,51.2,50.91,51.155,13157
2007-05-09,51.285,51.34,50.945,51.165,14412
2007-05-10,50.59,50.715,50.125,50.135,10128
2007-05-11,50.485,50.53,50.24,50.475,22469
2007-05-14,50.55,50.61,50.4,50.51,9130
2007-05-15,50.66,50.845,50.505,50.6,17850
2007-05-16,50.47,50.54,50.08,50.485,10682
2007-05-17,49.28,50.55,49.28,50.29,10570
2007-05-18,50.08,51.77,49.78,49.905,34888
2007-05-21,49.51,49.64,48.69,48.805,39626
2007-05-22,48.655,48.975,47.82,48.83,48355
2007-05-23,49.245,49.35,49.085,49.175,50684
2007-05-24,49.29,49.44,49.175,49.265,30544
2007-05-25,49.415,49.455,49.27,49.335,14036
2007-05-29,49.485,49.56,49.35,49.385,18258
2007-05-30,49.265,49.65,49.235,49.555,24977
2007-05-31,49.38,49.675,49.305,49.45,20794
2007-06-01,49.43,49.59,49.37,49.555,16307
2007-06-04,49.66,49.66,49.415,49.555,30352
2007-06-05,49.57,49.625,49.405,49.44,27156
2007-06-06,49.895,49.925,49.07,49.34,31997
2007-06-07,49.21,49.305,48.605,48.69,39593
2007-06-08,48.48,48.57,48.235,48.465,43262
2007-06-11,48.245,48.645,48.225,48.355,45941
2007-06-12,48.005,48.18,47.795,47.865,30434
2007-06-13,48.015,48.27,47.91,48.215,23675
2007-06-14,48.065,48.435,48.005,48.375,24872
2007-06-15,49.56,49.595,49.175,49.175,36835
2007-06-18,49.025,49.13,48.78,49.0,20583
2007-06-19,48.885,48.955,48.71,48.865,16806
2007-06-20,49.115,49.115,48.78,48.805,33235
2007-06-21,48.575,48.595,48.385,48.55,41907
2007-06-22,48.78,48.91,48.735,48.745,36235
2007-06-25,48.865,49.115,48.795,48.795,38324
2007-06-26,48.885,48.945,48.605,48.675,42122
2007-06-27,49.22,49.23,48.61,48.85,18091
2007-06-28,49.165,49.37,49.115,49.23,19960
2007-06-29,49.415,49.66,49.175,49.37,13818
2007-07-03,49.38,49.525,49.13,49.23,9535
2007-07-05,49.095,49.165,48.645,48.77,35900
2007-07-06,48.505,48.865,48.47,48.675,16732
2007-07-09,48.61,48.685,48.48,48.535,15065
2007-07-10,48.62,48.865,48.315,48.425,18682
2007-07-11,49.13,49.14,48.515,48.665,30109
2007-07-12,48.645,49.13,48.55,49.06,16822
2007-07-13,48.54,48.56,47.98,48.33,21490
2007-07-16,48.71,48.865,48.575,48.825,19337
2007-07-17,47.55,47.945,47.39,47.645,67229
2007-07-18,47.04,47.15,46.685,46.925,79574
2007-07-19,48.12,48.385,47.635,47.785,63996
2007-07-20,48.425,48.515,48.245,48.35,27416
2007-07-23,48.235,48.355,48.1,48.165,34524
2007-07-24,48.285,48.505,47.995,48.04,43252
2007-07-25,47.925,47.96,47.585,47.77,26919
2007-07-26,47.6,47.68,46.985,47.03,34511
2007-07-27,47.335,47.365,46.765,46.775,26767
2007-07-30,47.54,47.575,46.775,46.985,25282
2007-07-31,47.355,47.785,47.31,47.425,17168
2007-08-01,47.55,47.75,46.995,47.425,20594
2007-08-02,47.345,47.505,47.055,47.285,14935
2007-08-03,47.25,47.625,46.975,47.0,14321
2007-08-06,48.39,48.56,47.55,48.215,20208
2007-08-07,47.715,48.645,47.69,48.385,21918
2007-08-08,49.0,49.37,48.98,49.23,22719
2007-08-09,48.575,48.945,48.26,48.285,22343
2007-08-10,48.225,48.305,47.645,48.015,19097
2007-08-13,47.495,47.67,47.15,47.185,16582
2007-08-14,47.045,47.1,46.265,46.535,19257
2007-08-15,46.05,46.415,45.87,45.945,21819
2007-08-16,45.505,45.745,45.03,45.64,23080
2007-08-17,46.105,46.405,45.79,46.325,17467
2007-08-20,45.85,46.27,45.795,46.01,29939
2007-08-21,46.165,46.21,45.76,45.93,18947
2007-08-22,45.93,46.16,45.91,46.025,25636
2007-08-23,46.235,46.345,46.045,46.27,11244
2007-08-24,46.3,46.545,46.14,46.405,25550
2007-08-27,46.775,46.93,46.605,46.675,17743
2007-08-28,46.465,46.535,45.875,45.885,16779
2007-08-29,46.15,46.485,46.01,46.45,14411
2007-08-30,45.515,46.28,45.515,46.015,18458
2007-08-31,46.71,46.755,46.195,46.35,11605
2007-09-04,46.345,46.88,46.27,46.825,9954
2007-09-05,46.73,46.825,46.535,46.775,11099
2007-09-06,46.96,47.11,46.79,46.93,9196
2007-09-07,47.115,47.195,46.81,46.915,13426
2007-09-10,46.82,46.89,46.52,46.71,11800
2007-09-11,47.61,47.655,47.25,47.4,14604
2007-09-12,48.04,48.12,47.66,47.81,13712
2007-09-13,48.35,48.385,48.135,48.21,12150
2007-09-14,47.76,47.89,47.655,47.76,10050
2007-09-17,48.215,48.235,47.565,47.805,14373
2007-09-18,47.845,48.465,47.565,48.355,28511
2007-09-19,48.78,49.12,48.62,48.735,10378
2007-09-20,48.91,49.21,48.79,48.93,10104
2007-09-21,48.465,48.685,48.26,48.455,13247
2007-09-24,48.61,48.69,48.305,48.41,6632
2007-09-25,48.32,48.47,48.21,48.4,7536
2007-09-26,48.49,48.63,48.35,48.48,12453
2007-09-27,48.11,48.18,47.69,48.04,23593
2007-09-28,48.575,48.685,48.165,48.355,19046
2007-10-01,48.13,48.56,48.065,48.535,28970
2007-10-02,48.135,48.47,48.04,48.425,19679
2007-10-03,47.84,48.015,47.805,47.97,9636
2007-10-04,48.015,48.13,47.75,47.95,8336
2007-10-05,47.415,47.95,47.37,47.74,11847
2007-10-08,47.405,47.555,47.31,47.405,9760
2007-10-09,47.205,47.575,47.15,47.565,12550
2007-10-10,47.55,47.67,47.495,47.515,14728
2007-10-11,47.655,47.875,47.31,47.37,13425
2007-10-12,46.72,47.265,46.625,47.075,12672
2007-10-15,47.075,47.16,46.87,47.125,10583
2007-10-16,46.525,46.745,46.325,46.705,27433
2007-10-17,46.79,46.845,46.13,46.545,23309
2007-10-18,46.835,47.065,46.675,46.835,17653
2007-10-19,46.545,46.555,46.095,46.23,20185
2007-10-22,45.955,46.0,45.655,45.86,21029
2007-10-23,45.875,45.945,45.685,45.83,29897
2007-10-24,45.795,45.795,45.32,45.735,30204
2007-10-25,45.795,45.795,45.215,45.465,27824
2007-10-26,45.885,45.955,45.675,45.91,14361
2007-10-29,45.735,45.98,45.48,45.965,15721
2007-10-30,46.045,46.43,46.015,46.415,21455
2007-10-31,46.52,46.845,46.385,46.79,15445
2007-11-01,47.1,47.185,46.455,46.475,19711
2007-11-02,46.93,46.94,45.805,46.235,34757
2007-11-05,46.335,46.43,46.01,46.21,15775
2007-11-06,46.64,46.745,46.28,46.58,20245
2007-11-07,47.08,47.16,46.245,46.27,17935
2007-11-08,46.255,46.415,46.01,46.305,20006
2007-11-09,46.165,46.265,45.77,45.815,18112
2007-11-12,45.47,45.91,45.33,45.42,25725
2007-11-13,46.37,46.535,45.93,46.345,26919
2007-11-14,47.04,47.23,46.49,46.545,19165
2007-11-15,46.415,46.71,46.3,46.45,13855
2007-11-16,46.975,46.975,46.3,46.555,9191
2007-11-19,46.37,46.465,45.64,45.83,11750
2007-11-20,45.885,46.235,45.69,46.015,13143
2007-11-21,46.89,47.33,45.895,46.16,23500
2007-11-23,49.755,50.02,49.01,49.27,34282
2007-11-26,49.305,49.305,48.575,48.585,40844
