交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,17.8,18.25,17.71,18.07,411097
2006-12-12,18.21,18.22,17.83,18.0,375709
2006-12-13,18.22,18.25,17.88,18.02,308328
2006-12-14,18.07,18.25,17.94,18.0,247621
2006-12-15,18.01,18.04,17.59,17.71,640415
2006-12-18,17.87,18.17,17.65,17.93,499186
2006-12-19,17.15,17.26,16.93,17.12,950939
2006-12-20,17.09,17.22,17.03,17.1,462673
2006-12-21,17.14,17.2,17.09,17.11,244733
2006-12-22,17.11,17.25,17.05,17.11,188530
2006-12-26,17.01,17.25,16.99,17.14,138326
2006-12-27,17.29,17.29,17.07,17.09,150596
2006-12-28,17.16,17.25,17.0,17.21,184287
2006-12-29,17.11,17.38,17.08,17.12,214356
2007-01-03,17.22,17.78,17.1,17.52,454084
2007-01-04,17.55,17.87,17.3,17.68,290305
2007-01-05,17.62,17.76,17.44,17.68,270389
2007-01-08,17.64,17.93,17.45,17.85,274255
2007-01-09,17.94,17.98,17.65,17.82,291960
2007-01-10,17.71,17.8,17.55,17.77,253476
2007-01-11,17.79,17.81,17.35,17.4,498086
2007-01-12,17.35,17.55,17.28,17.52,386569
2007-01-16,17.38,17.48,17.26,17.29,332434
2007-01-17,17.27,17.71,17.27,17.53,285118
2007-01-18,17.48,17.52,17.1,17.11,590576
2007-01-19,17.06,18.28,17.01,17.26,295676
2007-01-22,17.25,17.81,16.77,17.01,423923
2007-01-23,17.01,17.31,17.01,17.11,313412
2007-01-24,17.12,17.29,17.09,17.13,297265
2007-01-25,17.12,17.22,16.93,16.98,339868
2007-01-26,17.04,17.3,17.03,17.15,340437
2007-01-29,17.1,17.3,17.03,17.27,307381
2007-01-30,17.31,17.5,17.09,17.15,407197
2007-01-31,17.12,17.2,16.8,17.16,369788
2007-02-01,17.22,17.34,17.03,17.04,278901
2007-02-02,17.14,17.43,17.11,17.43,369538
2007-02-05,17.35,17.43,17.08,17.14,263388
2007-02-06,17.18,17.19,16.86,17.03,292210
2007-02-07,17.11,17.12,16.85,16.93,437348
2007-02-08,16.87,16.92,16.66,16.72,440665
2007-02-09,16.8,16.94,16.54,16.65,393693
2007-02-12,16.65,16.71,16.51,16.66,307653
2007-02-13,16.68,16.71,16.53,16.62,253465
2007-02-14,16.74,16.94,16.68,16.78,403667
2007-02-15,16.83,16.92,16.68,16.9,298314
2007-02-16,16.89,16.98,16.7,16.7,349360
2007-02-20,16.7,16.98,16.57,16.98,292845
2007-02-21,16.95,17.28,16.95,17.21,485679
2007-02-22,17.26,17.3,17.01,17.27,317172
2007-02-23,17.24,17.26,16.71,16.8,536922
2007-02-26,16.91,17.02,16.8,16.83,242010
2007-02-27,16.65,16.8,16.3,16.3,354310
2007-02-28,16.37,16.84,16.31,16.44,441794
2007-03-01,16.11,17.04,15.97,16.76,745507
2007-03-02,16.62,16.89,16.53,16.72,350003
2007-03-05,16.52,17.0,16.34,16.37,312688
2007-03-06,16.5,16.92,16.49,16.88,358429
2007-03-07,16.77,16.85,16.46,16.49,282068
2007-03-08,16.7,16.92,16.63,16.69,286557
2007-03-09,16.89,16.95,16.57,16.62,228288
2007-03-12,16.61,17.09,16.6,17.08,291430
2007-03-13,16.94,17.21,16.65,16.65,293543
2007-03-14,16.79,16.94,16.66,16.88,317149
2007-03-15,16.9,16.94,16.65,16.72,213848
2007-03-16,16.71,16.85,16.62,16.69,360472
2007-03-19,16.83,17.23,16.83,17.19,272048
2007-03-20,17.26,17.7,17.14,17.54,543478
2007-03-21,18.3,18.39,17.78,18.2,892170
2007-03-22,18.02,18.55,17.95,18.5,455772
2007-03-23,18.43,18.59,18.18,18.22,320115
2007-03-26,18.22,18.43,18.02,18.39,294922
2007-03-27,18.35,18.5,18.35,18.49,316582
2007-03-28,18.35,18.5,18.16,18.16,307863
2007-03-29,18.32,18.33,17.95,18.19,271450
2007-03-30,18.15,18.27,17.89,18.11,170283
2007-04-02,18.09,18.18,17.99,18.14,198732
2007-04-03,18.22,18.47,18.17,18.36,303146
2007-04-04,18.35,18.57,18.33,18.56,212365
2007-04-05,18.5,18.67,18.39,18.62,205544
2007-04-09,18.64,18.7,18.54,18.57,190849
2007-04-10,18.76,18.88,18.68,18.84,234744
2007-04-11,18.9,18.91,18.46,18.58,284982
2007-04-12,18.57,18.71,18.44,18.69,201310
2007-04-13,18.8,18.85,18.46,18.62,305041
2007-04-16,18.7,18.95,18.66,18.92,250479
2007-04-17,18.82,19.0,18.8,18.9,244196
2007-04-18,18.8,18.88,18.7,18.72,303903
2007-04-19,18.56,18.85,18.55,18.76,299189
2007-04-20,18.99,19.06,18.82,18.99,393561
2007-04-23,18.98,19.09,18.9,18.94,231478
2007-04-24,19.03,19.05,18.75,18.83,202975
2007-04-25,18.91,18.99,18.7,18.89,231558
2007-04-26,18.78,19.0,18.76,18.96,159333
2007-04-27,18.92,19.29,18.88,19.11,240801
2007-04-30,19.11,19.15,18.8,18.8,241822
2007-05-01,18.75,18.82,18.55,18.61,321889
2007-05-02,18.71,19.83,18.59,18.87,189926
2007-05-03,18.91,19.04,18.8,19.02,170739
2007-05-04,19.04,19.05,18.77,19.03,225939
2007-05-07,19.02,19.15,18.99,19.04,151127
2007-05-08,18.95,19.04,18.88,18.94,159063
2007-05-09,18.91,18.91,18.57,18.82,216162
2007-05-10,18.69,18.91,18.48,18.49,288230
2007-05-11,18.6,19.04,18.52,19.0,289766
2007-05-14,18.94,19.08,18.77,18.95,159740
2007-05-15,18.96,19.17,18.83,18.84,225176
2007-05-16,18.86,18.99,18.65,18.99,219633
2007-05-17,18.86,19.11,18.81,19.07,196439
2007-05-18,19.07,19.25,19.01,19.25,269207
2007-05-21,19.2,19.32,19.11,19.32,163029
2007-05-22,19.39,19.46,19.2,19.36,202177
2007-05-23,19.38,19.47,19.15,19.17,205847
2007-05-24,19.14,19.29,18.67,18.76,298919
2007-05-25,18.89,19.3,18.84,19.24,224214
2007-05-29,19.29,19.49,19.19,19.32,249651
2007-05-30,19.25,19.42,19.11,19.41,251592
2007-05-31,19.39,19.6,19.26,19.39,277859
2007-06-01,19.38,19.7,19.38,19.66,242337
2007-06-04,19.55,19.69,19.39,19.65,201423
2007-06-05,19.6,19.64,19.33,19.5,241461
2007-06-06,19.34,19.4,19.11,19.35,297472
2007-06-07,19.15,19.35,18.73,18.73,365138
2007-06-08,18.73,19.1,18.73,19.06,334850
2007-06-11,18.93,19.32,18.9,19.22,235052
2007-06-12,19.21,19.37,18.81,18.84,317709
2007-06-13,18.87,19.3,18.72,19.3,276826
2007-06-14,19.55,19.69,19.3,19.65,377119
2007-06-15,19.91,19.95,19.64,19.87,439882
2007-06-18,19.92,19.94,19.62,19.8,345004
2007-06-19,19.79,19.94,19.63,19.88,230470
2007-06-20,19.96,19.96,19.52,19.53,332816
2007-06-21,19.57,19.73,19.46,19.68,265642
2007-06-22,19.6,19.65,19.39,19.4,259818
2007-06-25,19.45,19.66,19.21,19.48,270175
2007-06-26,19.62,19.68,19.02,19.17,400335
2007-06-27,19.32,19.77,19.27,19.68,695341
2007-06-28,19.61,20.06,19.61,19.85,425611
2007-06-29,19.95,20.02,19.54,19.71,283112
2007-07-02,19.88,19.99,19.72,19.93,202105
2007-07-03,19.97,20.07,19.9,20.06,178351
2007-07-05,20.05,20.5,19.96,20.48,332676
2007-07-06,20.45,20.49,20.25,20.4,250968
2007-07-09,20.24,20.24,20.07,20.15,241678
2007-07-10,20.01,20.15,19.7,19.73,261564
2007-07-11,19.77,20.0,19.72,19.98,260795
2007-07-12,20.05,20.5,19.97,20.5,335622
