交易日期,开盘价,最高价,最低价,收盘价,成交量
2017-12-20,118.66,119.12,117.56,119.02,23992
2017-12-21,119.45,119.57,117.84,118.26,15709
2017-12-22,118.6,118.75,118.17,118.6,12411
2017-12-26,118.41,119.24,118.41,118.89,15039
2017-12-27,118.87,119.4,118.8,119.3,15555
2017-12-28,119.42,119.53,119.05,119.35,14119
2017-12-29,119.46,120.57,119.42,119.92,16468
2018-01-02,119.93,120.18,117.92,118.06,28883
2018-01-03,117.91,118.47,117.64,117.75,30266
2018-01-04,117.73,119.11,117.6,118.33,20632
2018-01-05,118.41,119.09,118.24,118.67,16356
2018-01-08,118.21,118.74,117.67,117.99,34400
2018-01-09,118.26,118.98,117.95,118.08,34855
2018-01-10,118.13,118.36,116.7,117.48,20309
2018-01-11,117.46,117.85,116.38,116.88,24991
2018-01-12,116.95,118.01,116.85,117.38,30078
2018-01-16,117.2,118.35,117.03,117.86,33424
2018-01-17,118.33,120.17,118.21,119.18,31754
2018-01-18,119.06,119.62,118.65,119.05,20746
2018-01-19,119.48,120.68,118.64,120.17,36436
2018-01-22,120.1,121.85,120.0,121.51,27326
2018-01-23,121.01,122.51,120.85,121.3,25399
2018-01-24,121.24,121.48,120.82,121.14,19915
2018-01-25,120.61,121.46,120.36,120.9,18338
2018-01-26,120.61,121.84,120.61,121.76,20346
2018-01-29,121.38,122.16,119.65,119.67,24341
2018-01-30,119.68,121.2,119.5,119.89,28042
2018-01-31,119.84,120.75,119.51,120.3,20876
2018-02-01,119.92,121.01,119.28,120.3,21210
2018-02-02,119.91,120.28,118.4,118.67,21907
2018-02-05,118.57,119.66,114.41,114.46,35268
2018-02-06,112.44,113.95,110.15,113.56,46589
2018-02-07,113.25,115.77,112.75,113.5,33562
2018-02-08,113.65,113.72,110.09,110.15,30913
2018-02-09,110.81,111.99,108.88,111.18,38012
2018-02-12,111.9,112.75,111.06,111.93,31385
2018-02-13,112.0,112.67,110.68,112.14,42158
2018-02-14,111.67,111.9,108.76,109.11,58396
2018-02-15,109.53,111.04,108.72,110.97,40499
2018-02-16,111.06,111.7,109.76,111.06,34902
2018-02-20,110.96,110.96,109.34,109.48,24580
2018-02-21,109.35,109.85,107.94,108.0,29523
2018-02-22,108.33,109.97,108.02,109.26,34036
