交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,25.05,25.23,20.15,25.18,367179
2006-12-13,25.22,25.45,25.19,25.38,382190
2006-12-14,25.49,25.67,25.4,25.56,341196
2006-12-15,25.56,25.8,25.54,25.62,439190
2006-12-18,25.65,25.95,25.57,25.82,346035
2006-12-19,25.85,26.24,25.75,26.2,459296
2006-12-20,26.16,26.55,26.13,26.23,395964
2006-12-21,26.24,28.08,26.0,26.06,307989
2006-12-22,26.0,26.12,25.91,25.97,189873
2006-12-26,25.8,25.99,25.8,25.95,137670
2006-12-27,25.95,26.23,25.82,26.14,227405
2006-12-28,26.02,26.2,25.85,26.08,229014
2006-12-29,26.08,26.17,25.82,25.89,249392
2007-01-03,26.15,26.42,25.98,26.29,381177
2007-01-04,26.38,26.57,26.29,26.38,302817
2007-01-05,26.55,26.63,25.45,26.3,291186
2007-01-08,26.29,26.42,25.89,26.17,406723
2007-01-09,26.24,26.34,26.04,26.16,277463
2007-01-10,26.1,26.26,26.0,26.2,291547
2007-01-11,25.78,26.51,25.78,26.45,295086
2007-01-12,26.38,26.81,26.38,26.66,283966
2007-01-16,26.64,26.82,26.51,26.76,248762
2007-01-17,26.7,27.02,26.67,26.93,300636
2007-01-18,26.84,27.27,26.84,27.2,345009
2007-01-19,27.22,27.41,27.12,27.19,308900
2007-01-22,27.23,27.3,26.66,26.94,410859
2007-01-23,26.62,26.67,26.02,26.35,492966
2007-01-24,26.34,26.84,26.27,26.83,344990
2007-01-25,26.82,26.89,26.29,26.35,323185
2007-01-26,26.33,26.35,26.0,26.29,272896
2007-01-29,26.24,26.4,26.0,26.05,294260
2007-01-30,26.02,26.16,26.0,26.11,230580
2007-01-31,26.01,26.31,26.0,26.25,244889
2007-02-01,26.39,26.69,26.31,26.61,282110
2007-02-02,26.67,26.87,26.61,26.8,301981
2007-02-05,26.73,27.0,26.66,26.91,242693
2007-02-06,26.77,26.94,26.72,26.85,210492
2007-02-07,26.56,26.68,26.31,26.51,246983
2007-02-08,26.35,26.52,26.33,26.45,199203
2007-02-09,26.41,26.55,26.34,26.41,220587
2007-02-12,26.42,26.47,26.14,26.23,196341
2007-02-13,26.22,26.41,26.21,26.38,225459
2007-02-14,26.32,26.68,26.29,26.59,266322
2007-02-15,26.58,26.58,26.35,26.53,210782
2007-02-16,26.42,26.5,26.16,26.3,269146
2007-02-20,26.19,26.36,26.11,26.29,237234
2007-02-21,26.2,28.18,26.04,26.06,227965
2007-02-22,26.09,26.09,25.81,25.86,319796
2007-02-23,25.9,25.92,25.56,25.61,317865
2007-02-26,25.71,25.92,25.62,25.86,276309
2007-02-27,25.55,25.9,25.0,25.14,408117
2007-02-28,25.33,25.48,24.94,24.94,484572
2007-03-01,24.85,25.22,24.55,25.04,483906
2007-03-02,24.98,25.16,24.72,24.76,319776
2007-03-05,24.78,25.05,24.61,24.71,325032
2007-03-06,24.97,25.26,24.79,25.2,354345
2007-03-07,25.35,25.49,23.31,25.27,361981
2007-03-08,25.43,25.52,25.31,25.41,274347
2007-03-09,25.38,25.55,25.38,25.41,210460
2007-03-12,25.41,25.5,25.2,25.38,231793
2007-03-13,25.34,25.4,24.86,24.92,313369
2007-03-14,24.92,25.08,24.65,24.84,473098
2007-03-15,24.78,25.03,24.73,25.01,341390
2007-03-16,25.07,25.1,24.9,25.01,400113
2007-03-19,25.05,25.36,24.95,25.36,243509
2007-03-20,25.23,29.53,25.2,25.54,237734
2007-03-21,25.47,25.86,25.26,25.83,282359
2007-03-22,25.67,25.96,25.57,25.77,364988
2007-03-23,25.62,25.79,25.5,25.62,281387
2007-03-26,25.53,25.74,25.35,25.66,270319
2007-03-27,25.5,25.7,25.39,25.48,318793
2007-03-28,25.45,25.51,25.12,25.18,325485
2007-03-29,25.18,26.34,25.16,25.38,266562
2007-03-30,25.35,25.44,25.02,25.25,252664
2007-04-02,25.23,25.61,25.23,25.34,285629
2007-04-03,25.45,25.77,25.4,25.68,291300
2007-04-04,25.55,25.89,25.53,25.81,248305
2007-04-05,25.74,25.92,25.69,25.83,210010
2007-04-09,25.93,26.01,25.86,25.99,208966
2007-04-10,25.96,26.16,25.89,25.99,257542
2007-04-11,25.94,26.09,25.77,26.02,327162
2007-04-12,25.97,26.51,25.94,26.45,421942
2007-04-13,26.8,26.98,26.63,26.65,424504
2007-04-16,26.85,26.97,26.7,26.93,319511
2007-04-17,26.94,26.95,26.82,26.9,250078
2007-04-18,26.81,26.85,26.53,26.77,273399
2007-04-19,26.62,27.24,26.56,27.08,437676
2007-04-20,27.05,27.14,26.67,27.01,531679
2007-04-23,26.61,26.75,26.26,26.33,451304
2007-04-24,26.47,26.47,26.06,26.16,321323
2007-04-25,26.18,26.45,25.98,26.31,480392
2007-04-26,26.42,26.75,26.34,26.73,398044
2007-04-27,26.61,26.75,26.43,26.63,233774
2007-04-30,26.55,26.78,26.43,26.46,300199
2007-05-01,26.36,26.7,26.28,26.59,321387
2007-05-02,26.6,26.76,26.36,26.6,314948
2007-05-03,26.59,26.97,26.59,26.87,362503
2007-05-04,26.81,27.24,26.81,27.08,339220
2007-05-07,27.05,27.4,26.94,27.35,447076
2007-05-08,27.28,27.4,27.19,27.36,322533
2007-05-09,27.12,27.27,27.01,27.17,319462
2007-05-10,27.09,27.1,26.76,26.81,286521
2007-05-11,26.79,27.09,26.75,27.07,219327
2007-05-14,27.0,27.36,27.0,27.24,223960
2007-05-15,27.19,27.32,27.07,27.11,332662
2007-05-16,27.15,27.38,27.11,27.32,250604
2007-05-17,27.3,27.38,27.22,27.35,224548
2007-05-18,27.35,27.48,27.31,27.43,303176
2007-05-21,27.42,27.52,27.4,27.41,249905
2007-05-22,27.33,27.6,27.23,27.39,307021
2007-05-23,27.37,27.54,27.26,27.36,294811
2007-05-24,27.29,27.48,27.18,27.31,288469
2007-05-25,27.28,27.55,27.24,27.53,250785
2007-05-29,27.52,28.6,27.43,27.54,247220
2007-05-30,27.43,27.56,27.1,27.45,326189
2007-05-31,27.35,27.63,27.34,27.49,309791
2007-06-01,27.53,27.7,27.44,27.7,289666
2007-06-04,27.55,27.73,27.45,27.52,239729
2007-06-05,27.46,27.54,27.13,27.28,349898
2007-06-06,27.19,27.33,26.68,26.81,487917
2007-06-07,26.75,26.79,26.24,26.24,493476
2007-06-08,26.21,26.55,26.15,26.52,277721
2007-06-11,26.5,26.54,26.31,26.35,261573
2007-06-12,26.22,26.42,26.08,26.09,329389
2007-06-13,26.2,26.38,25.95,26.37,411180
2007-06-14,26.26,26.64,26.25,26.4,334543
2007-06-15,26.51,26.67,26.37,26.48,497422
2007-06-18,26.5,26.53,26.13,26.28,336238
2007-06-19,26.25,26.47,26.1,26.23,430551
2007-06-20,26.38,26.38,25.68,25.69,520242
2007-06-21,25.74,26.95,25.46,25.96,456917
2007-06-22,25.77,25.88,25.38,25.46,445559
2007-06-25,25.5,25.75,25.31,25.42,334886
2007-06-26,25.48,25.74,25.36,25.57,367133
2007-06-27,25.52,25.75,25.38,25.63,310809
2007-06-28,25.53,25.83,25.5,25.63,314543
2007-06-29,25.77,25.78,25.36,25.56,383566
2007-07-03,25.79,25.96,25.77,25.83,166795
2007-07-05,25.81,26.1,25.73,25.92,266071
2007-07-06,25.87,25.95,25.7,25.91,210720
2007-07-09,25.91,25.98,25.77,25.87,227505
2007-07-10,25.77,25.89,25.53,25.55,323588
2007-07-11,25.51,25.72,25.38,25.48,381207
2007-07-12,25.55,26.0,25.38,26.0,377666
2007-07-13,25.97,26.09,25.78,25.91,288441
2007-07-16,25.81,26.1,25.81,26.06,216142
2007-07-17,26.04,26.15,25.92,25.98,316543
2007-07-18,25.18,25.95,24.72,25.13,1064721
2007-07-19,25.22,25.24,24.93,24.98,499458
2007-07-20,25.07,25.14,24.88,24.9,451553
2007-07-23,24.96,25.3,24.9,25.02,368009
2007-07-24,24.96,25.14,24.88,24.88,374620
2007-07-25,24.93,25.1,24.72,24.78,436578
2007-07-26,24.74,24.75,24.1,24.21,572617
2007-07-27,24.22,24.3,23.8,23.81,489469
2007-07-30,24.05,24.05,23.54,23.73,455198
2007-07-31,23.87,23.92,23.5,23.5,482082
2007-08-01,23.51,23.71,23.37,23.63,518436
2007-08-02,23.7,23.95,23.55,23.85,374446
2007-08-03,23.94,23.95,23.49,23.5,373304
2007-08-06,23.69,24.14,23.55,24.11,482975
2007-08-07,24.13,24.63,23.95,24.35,489256
2007-08-08,24.32,24.62,24.18,24.61,479863
2007-08-09,24.25,24.6,24.18,24.18,508082
2007-08-10,24.0,24.09,23.75,24.0,467754
2007-08-13,24.2,24.2,23.79,23.93,325111
2007-08-14,23.83,23.99,23.53,23.54,336840
2007-08-15,23.64,23.95,23.48,23.56,480391
2007-08-16,23.36,23.57,23.13,23.51,605985
2007-08-17,23.77,24.0,23.58,23.9,445686
2007-08-20,23.92,24.35,23.86,24.18,399063
2007-08-21,24.14,24.5,24.02,24.22,346957
2007-08-22,24.35,24.67,24.35,24.66,378178
2007-08-23,24.74,24.88,24.46,24.61,302765
2007-08-24,24.52,24.83,24.5,24.77,276522
2007-08-27,24.73,24.85,24.66,24.74,244165
2007-08-28,24.66,24.79,24.35,24.48,398543
2007-08-29,24.55,24.75,24.27,24.67,245863
2007-08-30,24.41,24.73,24.4,24.57,260946
2007-08-31,24.68,25.0,24.65,24.79,266293
2007-09-04,24.78,25.17,24.69,25.09,243457
2007-09-05,24.9,24.94,24.52,24.68,374849
2007-09-06,24.8,24.84,24.52,24.63,289372
2007-09-07,24.59,24.61,24.11,24.26,326468
2007-09-10,24.35,24.45,23.9,23.95,346809
2007-09-11,24.05,24.33,23.93,24.2,293898
2007-09-12,24.11,24.29,24.06,24.2,255861
2007-09-13,24.31,24.64,24.1,24.2,286354
2007-09-14,24.2,24.35,23.98,24.28,322759
2007-09-17,24.16,24.23,23.85,24.14,384721
2007-09-18,24.17,24.63,23.96,24.54,365296
2007-09-19,24.65,25.07,24.56,24.9,414871
2007-09-20,24.92,24.95,24.45,24.52,365916
2007-09-21,24.81,24.83,24.52,24.59,461066
2007-09-24,24.66,24.72,24.31,24.41,379340
2007-09-25,24.35,24.54,24.15,24.27,371236
2007-09-26,24.39,24.68,24.31,24.57,278886
2007-09-27,24.67,24.81,24.6,24.75,255196
2007-09-28,24.76,24.78,24.35,24.44,368300
2007-10-01,24.45,24.92,24.45,24.86,290123
2007-10-02,24.89,25.05,24.69,24.94,335588
2007-10-03,24.86,25.22,24.79,25.1,301633
2007-10-04,25.13,25.52,25.12,25.33,292274
2007-10-05,25.5,25.65,25.42,25.58,267268
2007-10-08,25.56,25.67,25.36,25.46,218553
2007-10-09,25.42,25.69,25.34,25.55,297899
2007-10-10,25.55,25.71,25.31,25.53,284124
2007-10-11,25.57,25.64,25.35,25.44,300348
2007-10-12,25.43,25.45,25.16,25.26,318960
2007-10-15,25.25,25.34,24.86,24.99,348887
2007-10-16,24.91,24.98,24.53,24.62,390287
2007-10-17,24.75,24.86,24.43,24.55,293175
2007-10-18,24.55,24.91,24.53,24.54,413597
2007-10-19,24.53,24.55,23.36,24.05,410412
2007-10-22,24.0,24.15,23.87,24.02,352421
2007-10-23,24.13,24.21,23.92,24.06,286352
2007-10-24,24.03,24.05,23.61,24.0,356693
2007-10-25,24.19,24.35,23.99,24.29,446990
2007-10-26,24.31,24.32,24.12,24.3,251258
2007-10-29,24.29,24.57,24.22,24.49,303912
2007-10-30,24.49,24.75,24.35,24.44,256989
2007-10-31,24.56,24.63,24.42,24.61,258035
2007-11-01,24.58,24.6,23.91,23.94,407387
2007-11-02,24.03,24.13,23.6,23.68,376646
2007-11-05,23.6,23.92,23.52,23.67,278069
2007-11-06,23.69,23.99,23.65,23.95,313312
2007-11-07,23.63,23.83,23.29,23.3,355596
2007-11-08,23.42,23.42,22.99,23.11,557468
2007-11-09,23.11,23.18,22.8,22.81,436296
2007-11-12,22.83,23.25,22.8,22.99,309067
2007-11-13,23.17,23.56,23.13,23.53,339371
