交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,63.92,64.06,63.45,63.68,56329
2006-12-13,63.73,63.95,63.25,63.4,56224
2006-12-14,63.3,63.78,63.28,63.4,50355
2006-12-15,63.49,64.24,63.37,64.11,106251
2006-12-18,64.02,64.27,63.65,64.17,50167
2006-12-19,63.72,64.45,63.7,64.38,53762
2006-12-20,64.3,64.48,64.02,64.48,40930
2006-12-21,64.3,64.5,63.92,64.1,53915
2006-12-22,64.23,64.25,63.75,63.83,40878
2006-12-26,63.67,64.27,63.6,64.23,38296
2006-12-27,64.4,64.58,64.25,64.46,45868
2006-12-28,64.17,64.62,64.12,64.44,36081
2006-12-29,64.36,64.73,64.1,64.21,35252
2007-01-03,63.72,64.66,63.7,64.54,90011
2007-01-04,64.34,64.5,63.75,64.05,72923
2007-01-05,63.87,64.0,63.34,63.51,75624
2007-01-08,63.59,63.78,63.23,63.68,66759
2007-01-09,63.39,63.8,63.11,63.48,73702
2007-01-10,63.27,64.33,63.25,64.24,69844
2007-01-11,64.16,65.65,64.1,64.62,61451
2007-01-12,64.4,65.0,64.4,65.0,74436
2007-01-16,64.91,65.0,64.72,64.99,65474
2007-01-17,65.21,66.45,64.85,65.38,107643
2007-01-18,65.25,65.65,63.68,65.54,76056
2007-01-19,65.69,66.3,65.54,66.08,87622
2007-01-22,65.95,66.03,65.16,65.73,72451
2007-01-23,66.0,66.0,65.29,65.62,54382
2007-01-24,65.55,65.74,65.1,65.49,59749
2007-01-25,65.36,65.49,64.68,64.92,61364
2007-01-26,65.0,65.14,64.5,64.89,61595
2007-01-29,65.23,65.55,64.83,64.89,88578
2007-01-30,64.41,67.57,63.68,64.67,114745
2007-01-31,64.5,65.16,64.1,64.92,80505
2007-02-01,64.9,65.49,64.68,65.3,71837
2007-02-02,65.58,65.64,65.09,65.31,61469
2007-02-05,65.12,65.42,64.93,65.13,56618
2007-02-06,65.15,65.26,64.48,64.59,79527
2007-02-07,64.82,64.95,64.35,64.5,64536
2007-02-08,64.11,64.75,64.1,64.65,54053
2007-02-09,64.59,64.82,64.22,64.43,44902
2007-02-12,64.36,64.59,64.06,64.16,52272
2007-02-13,64.16,64.74,64.06,64.67,75652
2007-02-14,64.85,65.07,64.62,64.87,55351
2007-02-15,64.8,65.4,64.8,65.01,49449
2007-02-16,64.89,65.5,64.8,65.05,68659
2007-02-20,64.75,65.07,64.36,64.83,62760
2007-02-21,64.75,64.99,64.32,64.67,52250
2007-02-22,64.48,64.73,64.31,64.71,58943
2007-02-23,64.78,64.93,64.46,64.84,53291
2007-02-26,64.66,64.99,64.32,64.46,61374
2007-02-27,64.31,64.73,61.44,62.52,141025
2007-02-28,62.45,63.77,62.25,63.45,159170
2007-03-01,62.75,64.12,62.75,63.69,100611
2007-03-02,63.35,63.71,62.7,63.09,83375
2007-03-05,62.84,63.6,62.66,62.77,92357
2007-03-06,63.0,63.07,62.45,62.91,111867
2007-03-07,62.8,63.05,62.02,62.03,99518
2007-03-08,62.29,62.48,61.87,62.3,84049
2007-03-09,62.4,62.7,62.0,62.15,76962
2007-03-12,62.09,62.4,61.98,62.09,56509
2007-03-13,61.75,62.12,61.14,61.18,108560
2007-03-14,61.35,61.59,60.42,61.36,101344
2007-03-15,61.56,62.05,61.25,61.9,100542
2007-03-16,62.14,62.16,61.48,61.6,106589
2007-03-19,61.72,62.15,61.71,61.97,51740
2007-03-20,61.98,62.34,61.8,62.28,61082
2007-03-21,62.34,63.0,62.15,62.93,74454
2007-03-22,63.5,63.9,63.2,63.86,134640
2007-03-23,63.53,63.98,63.45,63.81,61901
2007-03-26,63.6,63.92,63.27,63.9,70998
2007-03-27,63.55,63.76,63.16,63.29,73357
2007-03-28,63.48,63.48,62.66,62.97,67090
2007-03-29,63.49,63.5,62.9,63.26,48783
2007-03-30,63.11,63.4,62.0,63.15,67431
2007-04-02,63.22,63.35,62.65,63.0,58213
2007-04-03,63.22,63.44,62.74,62.88,89790
2007-04-04,63.1,63.25,62.85,63.05,62041
2007-04-05,62.81,63.18,62.81,62.99,58697
2007-04-09,63.03,63.4,62.82,63.27,51541
2007-04-10,63.24,63.54,63.11,63.2,53590
2007-04-11,63.21,63.22,62.75,63.03,81895
2007-04-12,63.03,63.59,62.9,63.53,70021
2007-04-13,63.52,63.52,63.14,63.37,61821
2007-04-16,63.5,63.8,63.29,63.76,79338
2007-04-17,63.58,64.08,63.53,63.9,71780
2007-04-18,63.65,63.9,63.39,63.75,73245
2007-04-19,63.77,64.19,63.5,63.63,84017
2007-04-20,63.99,64.0,63.49,63.88,169802
2007-04-23,63.8,64.0,63.55,63.63,55935
2007-04-24,63.48,63.74,62.77,63.7,93663
