交易日期,开盘价,最高价,最低价,收盘价,成交量
2008-03-17,50.0,52.65,49.24,49.39,19880
2008-03-18,49.85,52.0,47.75,49.6,80676
2008-03-19,49.6,51.0,46.9,49.67,30077
2008-03-20,50.2,50.2,48.87,49.15,17156
2008-03-24,49.81,51.0,49.81,51.0,14370
2008-03-25,51.4,51.75,50.6,51.75,11008
2008-03-26,51.7,52.47,50.3,50.3,20232
2008-03-27,50.95,52.03,50.0,50.68,86533
2008-03-28,50.95,52.5,50.56,51.06,99612
2008-03-31,52.4,54.7,50.0,50.58,194141
2008-04-01,51.1,52.19,49.01,50.58,233228
2008-04-02,51.16,52.07,50.15,51.21,129446
2008-04-03,51.0,51.5,50.4,51.05,124390
2008-04-04,51.48,51.48,50.8,51.37,66512
2008-04-07,51.6,51.6,50.5,50.67,70993
2008-04-08,50.41,51.01,50.21,50.6,82833
2008-04-09,50.5,50.59,49.15,49.38,89166
2008-04-10,49.49,49.91,48.5,48.66,143229
2008-04-11,48.49,48.89,48.08,48.33,114060
2008-04-14,48.3,48.35,47.43,48.0,115327
2008-04-15,47.78,48.35,47.78,48.2,96033
2008-04-16,48.41,49.61,48.35,49.46,148376
2008-04-17,49.72,50.0,49.42,49.85,66606
2008-04-18,50.49,50.94,49.38,49.96,96308
2008-04-21,50.2,50.89,49.13,50.63,65299
2008-04-22,50.6,50.9,49.92,50.07,55055
2008-04-23,51.0,52.34,50.9,52.0,135332
2008-04-24,52.0,52.43,51.5,52.0,58476
2008-04-25,52.14,52.18,50.75,51.3,113996
2008-04-28,50.94,51.3,50.75,51.07,83824
2008-04-29,51.44,52.2,50.26,52.01,123264
2008-04-30,51.7,52.01,50.91,51.03,87364
2008-05-01,50.83,51.17,50.62,50.75,71226
2008-05-02,50.9,51.1,50.4,51.02,92917
2008-05-05,50.87,51.63,50.63,50.81,83986
2008-05-06,50.9,51.95,50.85,51.88,75886
2008-05-07,51.97,52.2,51.31,51.69,63913
2008-05-08,51.65,52.21,51.5,52.2,66696
2008-05-09,51.9,52.46,51.53,51.83,54917
2008-05-12,51.98,52.54,51.3,52.47,58513
2008-05-13,52.42,52.84,52.04,52.46,59865
2008-05-14,52.51,52.85,52.4,52.67,53814
2008-05-15,52.51,53.31,52.1,53.25,83764
2008-05-16,53.23,53.5,52.35,53.38,71728
2008-05-19,53.49,53.95,52.93,53.63,65804
2008-05-20,53.3,53.94,52.82,52.91,68873
2008-05-21,53.04,53.18,51.83,51.98,67856
2008-05-22,51.82,52.77,51.78,52.28,51351
2008-05-23,52.1,52.98,51.75,51.8,51973
2008-05-27,51.92,51.94,51.12,51.63,65054
2008-05-28,51.7,51.9,50.83,51.16,135242
2008-05-29,50.96,52.16,50.93,52.02,73869
2008-05-30,52.07,52.99,51.81,52.66,70477
2008-06-02,52.15,52.7,51.92,52.11,86681
2008-06-03,52.1,52.62,51.67,51.67,65525
2008-06-04,51.69,52.27,51.5,51.95,64073
2008-06-05,52.03,52.24,51.54,51.81,64073
2008-06-06,51.5,51.51,50.4,50.5,101999
2008-06-09,50.8,50.95,49.18,49.49,99372
2008-06-10,49.01,49.65,48.53,49.49,88471
2008-06-11,49.49,50.6,49.12,49.86,123671
2008-06-12,49.87,51.38,49.87,51.29,117828
2008-06-13,51.28,51.88,50.7,51.61,73658
2008-06-16,51.17,51.17,50.24,50.73,82510
2008-06-17,50.55,50.97,50.12,50.63,56340
2008-06-18,50.22,50.56,49.82,49.9,99677
2008-06-19,49.8,50.58,49.7,50.4,95913
2008-06-20,50.07,50.59,49.77,50.22,114489
2008-06-23,50.33,50.7,49.9,50.64,66268
