交易日期,开盘价,最高价,最低价,收盘价,成交量
2009-11-05,9.195,9.325,9.19,9.19,16
2009-11-06,9.2,9.315,9.08,9.315,22
2009-11-09,9.35,9.35,9.325,9.325,12
2009-11-10,9.46,9.46,9.46,9.46,46
2009-11-11,9.47,9.475,9.47,9.475,10
2009-11-12,9.385,9.385,9.185,9.185,8
2009-11-13,9.375,9.5,9.375,9.43,24
2009-11-16,9.625,9.625,9.56,9.625,56
2009-11-17,9.5,9.5,9.5,9.5,10
2009-11-18,9.46,9.46,9.375,9.425,18
2009-11-19,9.095,9.125,9.095,9.115,20
2009-11-20,9.08,9.08,9.08,9.08,12
2009-11-23,9.51,9.6,9.49,9.49,30
2009-11-24,9.575,9.585,9.5,9.58,96
2009-11-25,9.715,9.87,9.715,9.87,10
2009-11-27,9.075,9.25,9.075,9.205,98
2009-11-30,9.355,9.36,9.345,9.36,48
2009-12-01,9.575,9.65,9.55,9.65,50
2009-12-02,9.495,9.525,9.495,9.52,16
2009-12-03,9.425,9.425,9.425,9.425,26
2009-12-04,9.45,9.45,9.45,9.45,2
2009-12-07,9.495,9.675,9.495,9.675,100
2009-12-08,9.395,9.425,9.25,9.25,18
2009-12-09,9.23,9.23,9.05,9.225,20
2009-12-10,9.125,9.225,9.125,9.225,40
2009-12-11,9.125,9.125,9.125,9.125,6
2009-12-14,8.99,9.04,8.96,8.96,78
2009-12-15,8.87,8.945,8.87,8.945,22
2009-12-16,8.82,8.975,8.81,8.81,12
2009-12-17,8.5,8.665,8.5,8.5,14
2009-12-18,8.575,8.575,8.5,8.5,10
2009-12-21,8.625,8.675,8.625,8.67,20
2009-12-22,8.5,8.64,8.5,8.64,32
2009-12-23,8.65,8.69,8.53,8.69,54
2009-12-24,8.6,8.775,8.6,8.775,94
2009-12-28,8.725,8.725,8.57,8.64,26
2009-12-29,8.62,8.65,8.62,8.65,34
2009-12-30,8.55,8.565,8.5,8.56,42
2009-12-31,8.815,8.815,8.785,8.795,48
2010-01-04,8.815,8.91,8.815,8.89,86
2010-01-05,9.115,9.14,9.035,9.115,106
2010-01-06,9.24,9.25,9.24,9.245,58
2010-01-07,9.105,9.225,9.1,9.225,48
2010-01-08,9.05,9.125,9.025,9.125,100
2010-01-11,9.325,9.325,9.15,9.215,34
2010-01-12,9.25,9.25,9.175,9.175,10
2010-01-13,8.78,8.92,8.78,8.92,110
2010-01-14,8.63,8.73,8.625,8.71,60
2010-01-15,8.64,8.655,8.505,8.515,52
2010-01-19,8.875,9.25,8.875,9.25,88
2010-01-20,8.55,8.55,8.54,8.55,116
2010-01-21,8.29,8.29,8.065,8.065,158
2010-01-22,8.06,8.115,7.875,7.875,106
2010-01-25,7.98,7.98,7.98,7.98,6
2010-01-26,7.75,7.775,7.75,7.775,10
2010-01-27,7.675,7.685,7.55,7.65,86
2010-01-28,7.65,7.685,7.55,7.685,182
2010-01-29,7.95,8.01,7.755,7.755,228
2010-02-01,8.0,8.0,7.975,7.975,162
2010-02-02,7.935,8.04,7.92,8.0,62
2010-02-03,8.0,8.0,8.0,8.0,10
2010-02-04,7.9,7.9,7.74,7.74,40
2010-02-05,7.525,7.645,7.49,7.645,112
2010-02-08,7.6,7.6,7.505,7.575,36
2010-02-09,7.6,7.8,7.6,7.77,26
2010-02-10,7.815,7.88,7.725,7.855,16
2010-02-11,7.985,8.115,7.9,8.115,60
2010-02-12,7.69,7.975,7.69,7.915,22
2010-02-16,7.985,8.12,7.985,8.12,26
2010-02-17,8.04,8.075,7.95,8.03,20
2010-02-18,7.975,7.975,7.975,7.975,2
2010-02-19,7.775,7.8,7.75,7.75,18
2010-02-22,7.78,7.905,7.775,7.905,16
2010-02-23,7.555,7.82,7.555,7.63,48
2010-02-24,7.54,7.725,7.54,7.725,28
2010-02-25,7.6,7.6,7.55,7.57,48
2010-02-26,7.53,7.69,7.53,7.69,28
2010-03-01,7.725,7.925,7.725,7.89,12
2010-03-02,7.975,7.975,7.975,7.975,14
2010-03-03,7.97,7.975,7.97,7.975,44
2010-03-05,7.8,7.925,7.735,7.925,110
2010-03-08,7.92,8.035,7.92,8.02,12
2010-03-09,8.195,8.31,8.195,8.31,76
2010-03-10,8.265,8.375,8.265,8.375,24
2010-03-11,8.255,8.625,4.1405,8.5,434
2010-03-12,8.45,8.45,8.36,8.415,506
2010-03-15,8.315,8.315,8.155,8.25,38
2010-03-16,8.25,8.25,8.21,8.21,12
2010-03-17,8.415,8.575,8.415,8.575,88
2010-03-18,8.53,8.53,8.53,8.53,32
2010-03-19,8.4,8.47,8.4,8.47,10
2010-03-22,8.25,8.35,8.25,8.35,46
2010-03-23,8.275,8.275,8.225,8.275,18
2010-03-24,8.205,8.255,8.205,8.24,52
2010-03-25,8.335,8.35,8.3,8.345,850
2010-03-26,8.065,8.375,8.065,8.375,14
2010-03-29,8.61,8.61,8.45,8.61,110
2010-03-30,8.615,8.8,8.59,8.775,42
