交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,132.6,132.63,129.85,131.1,3877
2006-12-13,129.1,130.22,128.59,129.53,4370
2006-12-14,131.65,134.09,131.65,133.99,4664
2006-12-15,134.1,134.5,133.5,134.09,3741
2006-12-18,134.08,134.38,132.33,132.5,4176
2006-12-19,131.19,132.45,130.5,132.36,3861
2006-12-20,132.75,133.98,132.5,133.0,3962
2006-12-21,133.7,133.7,132.0,132.85,1721
2006-12-22,133.44,133.48,132.51,132.92,1782
2006-12-26,133.01,136.6,133.01,135.06,2647
2006-12-27,139.05,140.49,137.59,140.26,4312
2006-12-28,142.0,142.6,140.88,141.95,4224
2006-12-29,142.12,142.4,140.24,140.7,5054
2007-01-03,141.0,141.4,137.18,138.01,8736
2007-01-04,135.5,135.6,131.78,132.42,9132
2007-01-05,131.01,132.2,129.65,130.7,9159
2007-01-08,130.75,131.78,129.25,131.1,6148
2007-01-09,129.78,129.78,127.27,127.69,10462
2007-01-10,126.85,126.86,122.4,123.85,15889
2007-01-11,124.8,128.25,124.15,124.92,10097
2007-01-12,125.0,127.82,125.0,127.4,6090
2007-01-16,126.4,126.8,123.8,124.38,9828
2007-01-17,120.82,122.75,120.57,122.19,10676
2007-01-18,123.25,123.39,120.22,120.78,9341
2007-01-19,122.0,124.72,121.61,124.54,5974
2007-01-22,124.9,124.9,122.9,123.2,8504
2007-01-23,124.0,127.83,124.0,127.18,7345
2007-01-24,126.55,128.0,125.21,127.9,6366
2007-01-25,127.0,127.28,123.51,123.87,5764
2007-01-26,123.5,124.65,122.55,123.77,4940
2007-01-29,122.6,123.34,121.18,121.42,6280
2007-01-30,123.0,125.07,122.6,124.69,6434
2007-01-31,122.89,124.28,120.86,123.31,10199
2007-02-01,122.7,124.0,122.6,123.25,8296
2007-02-02,124.44,124.44,122.61,124.04,6834
2007-02-05,124.18,124.99,123.28,124.1,7662
2007-02-06,123.45,124.95,123.2,124.61,7068
2007-02-07,124.6,124.99,123.15,123.77,5560
2007-02-08,123.75,124.75,122.75,124.26,5351
2007-02-09,124.45,124.8,121.78,122.51,7363
2007-02-12,122.67,122.68,121.25,122.41,5620
2007-02-13,121.95,123.06,121.66,122.65,6172
2007-02-14,121.95,123.65,121.75,122.75,6565
2007-02-15,122.25,122.63,121.13,121.85,4015
2007-02-16,121.7,123.0,121.43,122.89,3645
2007-02-20,122.33,122.33,120.6,121.0,4318
2007-02-21,121.0,121.65,119.6,121.42,10096
2007-02-22,121.35,121.64,120.16,121.14,5543
2007-02-23,121.5,121.75,120.15,120.52,4302
