交易日期,开盘价,最高价,最低价,收盘价,成交量
2015-07-06,38.0,39.75,36.0,36.71,47848
2015-07-07,37.72,37.81,36.0,36.62,70116
2015-07-08,36.34,36.36,34.53,34.7,47333
2015-07-09,35.1,35.52,33.99,34.5,37156
2015-07-10,34.66,35.19,33.98,34.69,44298
2015-07-13,35.59,37.5,35.5,36.78,68581
2015-07-14,36.57,37.74,36.57,36.93,42644
2015-07-15,37.98,38.2,37.03,37.51,116173
2015-07-16,38.82,39.97,38.08,38.63,187213
2015-07-17,39.42,40.2,38.18,38.39,180430
2015-07-20,41.46,42.55,39.8,40.47,464298
2015-07-21,41.08,41.11,39.12,39.35,268527
2015-07-22,39.35,39.72,38.1,38.39,230895
2015-07-23,38.74,38.75,36.93,37.01,179359
2015-07-24,37.72,38.0,36.91,37.0,120987
2015-07-27,36.78,37.38,36.22,36.39,142497
2015-07-28,37.19,38.0,36.82,37.6,175940
2015-07-29,38.03,38.1,37.62,37.95,110207
2015-07-30,38.04,39.01,37.71,38.45,130271
2015-07-31,39.14,39.2,38.21,38.7,110626
2015-08-03,39.25,39.88,38.9,39.39,142367
2015-08-04,39.91,39.91,38.43,38.95,96826
2015-08-05,39.7,39.88,39.17,39.27,77217
2015-08-06,39.63,39.74,38.55,38.85,66144
2015-08-07,39.04,39.23,38.6,39.13,77463
2015-08-10,39.43,39.69,38.77,39.05,74169
2015-08-11,38.93,39.28,38.72,38.85,69389
2015-08-12,38.55,38.58,37.01,38.19,201004
2015-08-13,38.4,38.49,37.44,37.62,73129
2015-08-14,37.49,38.18,37.38,38.14,57480
2015-08-17,38.3,38.75,37.7,38.73,42951
2015-08-18,39.0,39.0,37.87,37.99,41143
2015-08-19,37.85,38.1,37.03,37.19,62267
2015-08-20,36.85,37.34,35.88,35.98,95375
2015-08-21,35.6,36.11,33.83,34.25,138609
2015-08-24,31.17,34.85,30.0,33.75,180585
2015-08-25,35.44,35.46,32.7,32.7,136646
2015-08-26,33.7,33.84,31.71,33.17,238145
2015-08-27,33.87,34.77,33.16,34.62,170236
2015-08-28,34.51,35.26,34.37,35.04,70540
2015-08-31,35.42,35.51,34.77,35.0,100550
2015-09-01,34.15,34.68,33.41,33.77,119563
2015-09-02,34.6,35.08,33.83,35.07,65458
2015-09-03,35.01,35.46,34.77,35.31,56501
2015-09-04,34.71,34.72,33.78,34.29,66171
2015-09-08,34.81,34.89,34.25,34.7,49441
2015-09-09,34.92,34.95,33.88,34.37,96625
2015-09-10,34.23,34.29,32.95,33.46,109070
2015-09-11,33.27,33.59,32.61,33.55,78649
2015-09-14,33.7,33.95,33.2,33.77,64246
2015-09-15,33.72,33.95,32.67,33.8,107552
2015-09-16,33.46,34.06,33.36,33.77,65914
2015-09-17,33.72,33.99,33.08,33.32,71768
2015-09-18,32.9,33.78,32.55,32.92,90845
2015-09-21,33.66,34.62,33.43,34.25,114107
2015-09-22,33.94,34.1,33.18,33.35,77787
2015-09-23,33.49,34.34,33.26,34.16,48954
2015-09-24,34.0,34.07,33.38,33.91,56938
2015-09-25,34.6,34.69,33.5,33.77,59723
2015-09-28,33.68,33.68,32.15,32.25,61101
2015-09-29,32.27,32.67,30.3,30.63,110252
2015-09-30,31.2,31.28,30.64,31.04,119251
2015-10-01,30.82,31.59,30.75,31.48,85199
2015-10-02,30.82,32.86,30.75,32.83,66437
2015-10-05,32.95,33.02,32.38,32.67,52692
2015-10-06,32.91,32.91,31.78,31.86,65399
2015-10-07,32.31,32.48,31.52,32.38,59108
2015-10-08,32.44,32.45,31.09,31.67,84536
2015-10-09,31.69,32.45,31.41,32.06,52293
2015-10-12,32.19,32.67,32.1,32.63,34868
2015-10-13,32.6,33.48,32.33,33.22,75102
2015-10-14,33.4,34.46,33.4,34.05,71464
2015-10-15,34.45,34.72,34.16,34.62,73715
2015-10-16,34.75,35.05,33.95,34.29,46711
2015-10-19,34.43,34.91,33.79,34.84,50728
2015-10-20,34.8,34.99,34.59,34.87,52428
2015-10-21,34.75,34.8,32.88,33.83,83284
2015-10-22,34.43,35.25,34.26,34.79,77424
2015-10-23,35.73,35.75,34.8,34.99,78765
2015-10-26,36.06,36.59,35.51,36.44,101735
2015-10-27,36.31,36.4,35.31,35.94,74549
2015-10-28,36.21,36.65,35.81,36.52,90832
2015-10-29,34.84,36.5,34.5,35.91,238673
2015-10-30,35.64,36.49,35.24,36.01,121705
2015-11-02,35.58,37.41,35.45,36.99,101085
2015-11-03,37.05,38.44,37.0,37.9,105223
2015-11-04,38.46,38.52,37.33,37.6,104562
2015-11-05,37.82,37.98,36.66,36.71,71838
2015-11-06,36.59,36.7,35.8,36.24,91050
2015-11-09,36.11,36.74,35.65,36.6,96604
2015-11-10,36.58,37.2,36.5,37.0,124192
2015-11-11,37.19,37.32,35.75,36.33,118356
2015-11-12,35.95,36.05,34.83,35.57,106489
2015-11-13,35.18,35.5,34.5,34.53,63765
2015-11-16,34.55,35.66,34.53,35.61,58135
2015-11-17,35.89,36.45,35.71,36.21,63926
2015-11-18,36.32,36.95,35.78,36.22,73210
2015-11-19,36.45,36.5,35.91,36.19,40592
2015-11-20,36.45,36.45,35.92,36.36,39109
2015-11-23,36.5,36.65,35.41,35.56,54565
2015-11-24,35.25,35.3,34.88,35.12,76940
2015-11-25,35.2,35.86,35.13,35.36,32500
2015-11-27,35.52,35.7,35.06,35.18,22445
2015-11-30,35.38,35.44,34.69,35.26,63346
2015-12-01,35.41,35.41,33.85,35.17,106214
2015-12-02,35.21,36.17,34.93,35.15,47734
2015-12-03,35.2,35.23,33.85,34.23,58519
2015-12-04,34.38,35.82,34.22,35.62,84956
2015-12-07,35.67,35.8,34.85,35.16,41880
2015-12-08,34.63,35.7,34.52,35.6,63145
2015-12-09,35.39,35.6,34.83,35.07,64458
2015-12-10,35.16,35.91,35.16,35.49,60923
2015-12-11,35.15,35.33,34.42,34.69,66842
2015-12-14,34.61,35.23,34.33,35.01,46587
2015-12-15,35.19,36.51,35.18,36.32,103096
2015-12-16,36.12,36.25,35.19,35.98,60952
2015-12-17,36.0,36.58,35.51,35.54,56056
2015-12-18,35.35,35.76,34.73,34.98,90348
2015-12-21,35.21,36.15,35.11,36.08,49830
2015-12-22,36.12,36.89,35.78,36.805,49460
2015-12-23,36.79,37.68,36.77,37.11,63937
2015-12-24,37.01,37.23,36.82,37.07,17889
2015-12-28,36.7,37.0,36.25,36.61,29330
2015-12-29,36.92,37.45,36.75,37.08,28328
2015-12-30,37.07,37.25,36.46,36.48,33425
2015-12-31,36.3,36.5,36.05,36.2,33241
2016-01-04,35.13,35.56,34.28,34.75,100404
2016-01-05,34.98,34.98,33.86,34.31,99123
2016-01-06,33.7,34.01,33.21,33.98,66715
2016-01-07,33.15,34.17,33.02,33.13,93816
2016-01-08,33.49,33.88,32.63,32.69,63497
2016-01-11,33.02,33.43,32.47,33.04,77193
2016-01-12,33.35,33.57,32.66,33.08,65037
2016-01-13,33.28,33.57,31.97,32.12,68486
2016-01-14,32.36,33.04,31.7,32.87,64446
2016-01-15,31.62,32.54,31.62,32.31,102291
2016-01-19,32.76,33.18,31.93,32.2,52395
2016-01-20,31.43,31.7,30.52,31.2,118716
2016-01-21,31.61,31.74,30.9,31.2,89020
2016-01-22,31.65,31.97,31.54,31.69,73854
2016-01-25,31.98,31.98,31.35,31.47,62385
2016-01-26,31.49,31.98,31.39,31.97,77344
2016-01-27,31.96,32.63,31.38,31.59,108774
2016-01-28,33.64,34.75,33.35,34.24,185206
2016-01-29,34.48,36.26,34.36,36.14,178984
2016-02-01,35.65,37.32,35.59,37.08,128835
2016-02-02,36.53,37.77,36.44,36.83,159750
2016-02-03,36.87,37.55,36.07,37.01,131171
2016-02-04,36.66,37.29,36.54,37.17,85569
2016-02-05,37.16,37.16,34.82,35.07,144808
2016-02-08,34.0,34.16,31.98,33.61,182904
2016-02-09,32.8,33.86,31.64,32.7,148558
2016-02-10,33.59,33.94,32.82,32.9,77042
2016-02-11,32.12,33.64,32.01,33.52,119362
2016-02-12,33.97,34.44,33.81,34.3,72144
2016-02-16,34.65,35.52,34.48,35.46,76264
2016-02-17,35.95,36.91,35.81,36.36,105681
2016-02-18,36.41,36.53,35.66,36.31,79902
2016-02-19,35.94,36.24,35.61,35.76,79117
2016-02-22,36.45,36.5,35.82,36.0,93501
2016-02-23,35.72,35.94,35.02,35.48,72938
2016-02-24,35.22,36.75,34.86,36.47,73046
2016-02-25,36.65,36.83,36.18,36.74,44819
2016-02-26,36.73,37.54,36.37,37.49,77020
2016-02-29,37.47,38.93,37.45,38.14,208731
2016-03-01,38.52,39.55,38.02,39.25,125600
2016-03-02,39.25,39.93,38.7,39.16,117058
2016-03-03,38.96,39.24,38.62,39.02,62198
2016-03-04,38.77,39.7,38.75,39.04,64997
2016-03-07,38.78,39.4,38.72,38.98,45516
2016-03-08,38.69,38.88,38.11,38.16,47024
2016-03-09,38.48,38.62,37.82,38.57,40869
2016-03-10,38.66,39.3,37.48,38.49,63411
2016-03-11,39.0,39.53,38.85,39.49,82763
2016-03-14,39.4,39.8,39.04,39.38,45237
2016-03-15,39.05,39.64,39.05,39.27,41930
2016-03-16,39.09,39.89,38.57,39.84,55835
2016-03-17,39.85,40.12,39.17,39.93,85368
2016-03-18,39.86,39.86,38.69,39.41,113533
2016-03-21,39.41,41.17,39.2,41.14,115685
2016-03-22,40.68,41.75,40.63,41.32,93568
2016-03-23,41.06,41.31,40.04,40.52,64381
2016-03-24,39.4,39.51,37.0,38.92,132367
2016-03-28,38.81,39.17,38.62,38.74,53751
2016-03-29,38.74,39.72,38.3,39.53,49523
2016-03-30,39.94,40.04,38.99,39.04,43382
2016-03-31,38.74,39.0,38.43,38.6,66825
2016-04-01,38.51,39.46,38.4,39.4,54582
2016-04-04,39.36,39.38,38.41,38.79,43330
2016-04-05,38.35,38.81,37.7,38.55,45431
2016-04-06,38.45,39.19,38.25,39.16,47245
2016-04-07,38.85,38.94,38.12,38.28,63220
2016-04-08,38.61,38.7,38.1,38.41,55693
2016-04-11,38.33,38.82,38.03,38.06,46520
2016-04-12,38.32,38.32,37.34,37.8,70079
2016-04-13,38.23,39.12,38.19,38.79,57322
2016-04-14,38.94,39.02,38.41,38.64,39242
2016-04-15,38.69,38.95,38.29,38.58,38263
2016-04-18,38.56,39.69,38.43,39.64,52763
2016-04-19,39.75,40.07,38.97,39.24,50779
2016-04-20,39.24,40.24,39.17,40.08,69558
2016-04-21,40.2,40.55,40.01,40.1,49450
2016-04-22,39.72,40.64,39.68,40.31,54955
2016-04-25,40.27,40.84,39.54,39.82,71027
2016-04-26,39.57,40.13,39.33,39.73,44269
2016-04-27,39.68,40.18,39.2,40.01,109283
2016-04-28,41.04,41.49,39.91,40.07,156344
2016-04-29,39.71,39.87,38.59,39.18,84598
2016-05-02,39.07,39.27,38.73,39.02,60948
2016-05-03,38.63,38.97,38.14,38.36,77814
2016-05-04,38.07,38.46,37.87,38.31,71466
2016-05-05,38.38,39.12,38.32,38.95,64293
2016-05-06,38.71,39.7,38.61,39.48,58874
2016-05-09,39.42,40.18,39.33,39.62,45624
2016-05-10,39.62,40.15,39.24,40.11,55956
2016-05-11,39.57,40.32,39.57,39.71,47328
2016-05-12,39.85,40.0,39.17,39.51,55575
2016-05-13,39.54,39.8,39.31,39.48,48156
2016-05-16,39.36,39.53,39.13,39.3,89573
2016-05-17,39.1,39.66,38.75,39.065,94282
2016-05-18,39.18,39.36,38.5,38.98,94255
2016-05-19,38.81,38.88,37.31,37.65,145487
2016-05-20,37.79,37.95,37.49,37.53,112128
2016-05-23,37.67,38.23,37.39,38.07,77790
2016-05-24,38.28,39.01,38.28,38.92,65198
2016-05-25,38.87,39.06,38.51,38.76,57035
2016-05-26,38.71,38.74,38.0,38.07,50550
2016-05-27,38.0,38.35,37.92,38.09,47595
2016-05-31,37.96,38.03,37.5,37.79,67482
