交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,38.82,39.07,38.13,38.87,139303
2006-12-13,39.3,39.38,38.11,38.43,172736
2006-12-14,38.58,39.6,38.38,39.41,144462
2006-12-15,39.6,40.0,39.29,39.49,226681
2006-12-18,39.59,40.5,38.83,39.07,126293
2006-12-19,38.72,38.91,38.37,38.51,133154
2006-12-20,38.5,39.1,38.25,38.31,91264
2006-12-21,38.53,38.61,38.0,38.55,108867
2006-12-22,37.54,38.29,37.5,37.82,199930
2006-12-26,37.54,38.17,37.42,37.67,102415
2006-12-27,37.82,38.15,37.57,37.57,79692
2006-12-28,37.52,38.01,37.45,37.68,104007
2006-12-29,37.8,38.37,37.57,37.79,94747
2007-01-03,37.77,38.77,36.79,37.49,225845
2007-01-04,37.79,39.4,37.4,39.16,239422
2007-01-05,38.9,38.94,37.87,38.73,160285
2007-01-08,38.66,38.75,38.0,38.25,123325
2007-01-09,38.5,38.65,37.84,37.84,150215
2007-01-10,37.65,38.56,37.59,38.54,136258
2007-01-11,38.66,39.64,38.1,39.48,186255
2007-01-12,39.25,39.94,39.12,39.62,133293
2007-01-16,39.87,39.95,39.04,39.51,126153
2007-01-17,39.19,39.96,39.0,39.22,157098
2007-01-18,39.01,39.35,38.33,38.46,152292
2007-01-19,38.23,39.18,38.13,38.89,164060
2007-01-22,39.04,39.25,38.12,38.5,173820
2007-01-23,38.55,39.07,38.05,38.13,160765
2007-01-24,38.46,39.3,38.31,38.62,207337
2007-01-25,39.89,39.91,38.15,38.15,260486
2007-01-26,38.27,38.39,37.35,37.51,183351
2007-01-29,36.99,37.56,36.8,37.15,165655
2007-01-30,37.29,37.41,36.94,37.15,125878
2007-01-31,37.09,37.9,36.81,37.66,141862
2007-02-01,37.82,37.82,37.05,37.4,149489
2007-02-02,37.44,37.52,37.0,37.2,135219
2007-02-05,37.2,38.12,37.0,37.92,172737
2007-02-06,37.86,38.14,37.23,37.69,174935
2007-02-07,37.99,37.99,37.34,37.59,151547
2007-02-08,37.56,38.69,37.12,38.29,190136
2007-02-09,38.73,39.14,37.89,38.31,199093
2007-02-12,38.73,38.8,37.91,38.05,150273
2007-02-13,38.13,38.68,38.0,38.08,146780
2007-02-14,38.25,39.95,38.25,39.65,295883
2007-02-15,40.26,41.44,40.15,41.37,336615
2007-02-16,41.1,43.38,40.85,42.47,525617
2007-02-20,41.97,42.78,41.86,42.68,206907
2007-02-21,42.25,42.58,41.84,42.04,198106
2007-02-22,42.22,42.8,42.03,42.8,170073
2007-02-23,43.2,43.61,42.21,43.36,219754
2007-02-26,43.23,43.3,42.25,42.66,205540
2007-02-27,41.04,41.67,40.0,40.26,355345
2007-02-28,40.3,41.08,40.0,40.3,247102
2007-03-01,39.56,40.78,39.35,40.07,249561
2007-03-02,40.05,40.32,39.41,39.5,212993
2007-03-05,39.22,40.06,39.04,39.15,169222
2007-03-06,39.56,39.78,32.55,39.51,186514
2007-03-07,39.69,40.21,39.56,39.67,160111
2007-03-08,40.24,40.64,39.95,40.21,148332
2007-03-09,40.64,40.9,39.96,40.14,127850
2007-03-12,40.03,40.3,39.81,40.12,137470
2007-03-13,41.6,42.28,39.37,41.85,444416
2007-03-14,42.47,43.54,42.42,43.21,377981
2007-03-15,43.04,43.93,42.44,43.66,270244
2007-03-16,43.48,43.74,43.03,43.64,275152
2007-03-19,44.01,44.12,42.01,42.91,220831
2007-03-20,42.42,43.23,42.38,43.01,170644
2007-03-21,43.1,43.75,42.36,43.73,220052
2007-03-22,43.5,43.79,43.27,43.35,142312
2007-03-23,43.13,43.39,42.51,42.56,152055
2007-03-26,42.33,42.56,41.57,42.41,148568
2007-03-27,42.28,42.85,42.03,42.63,109715
2007-03-28,42.4,43.0,41.75,42.49,141911
2007-03-29,42.8,43.02,41.63,42.28,123812
2007-03-30,42.26,42.91,42.15,42.63,149906
2007-04-02,42.75,43.13,42.3,43.08,146787
2007-04-03,43.4,43.75,43.17,43.71,167395
2007-04-04,43.95,43.96,43.32,43.64,139443
2007-04-05,43.0,43.44,42.29,43.29,196909
2007-04-09,43.34,43.46,42.48,42.66,131164
2007-04-10,42.52,43.04,42.51,43.0,112222
2007-04-11,42.91,42.99,42.05,42.1,128219
2007-04-12,41.7,42.82,41.6,42.59,131221
2007-04-13,42.65,42.71,41.83,42.55,118352
2007-04-16,42.77,43.4,42.71,43.39,137896
2007-04-17,43.18,45.36,43.01,43.38,119279
2007-04-18,43.14,43.42,42.8,42.94,97660
2007-04-19,42.71,43.43,42.62,43.36,100780
2007-04-20,43.9,44.2,43.07,43.4,206335
2007-04-23,43.62,43.71,42.69,42.91,120539
2007-04-24,43.2,44.92,43.03,44.37,257739
