交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,43.83,44.37,43.75,44.05,658612
2006-12-12,44.03,44.13,43.56,43.81,1028222
2006-12-13,44.1,44.11,43.62,43.88,706217
2006-12-14,43.97,44.57,43.94,44.37,984217
2006-12-15,44.67,44.76,44.35,44.43,786378
2006-12-18,44.58,44.75,43.8,43.98,1068118
2006-12-19,43.66,44.63,43.38,43.85,1105784
2006-12-20,43.9,44.11,43.67,43.69,617649
2006-12-21,43.75,43.79,43.21,43.38,971293
2006-12-22,43.38,43.98,42.95,42.95,868790
2006-12-26,42.93,43.12,42.88,43.12,434493
2006-12-27,43.19,43.4,43.1,43.34,499337
2006-12-28,43.2,43.38,43.05,43.2,623331
2006-12-29,43.2,43.61,43.12,43.14,708567
2007-01-03,43.46,45.6,42.52,43.23,1519039
2007-01-04,43.29,44.21,43.15,44.07,1233482
2007-01-05,43.93,43.97,43.48,43.84,1068215
2007-01-08,43.88,44.12,43.64,43.9,882019
2007-01-09,44.0,44.29,43.63,44.12,1102437
2007-01-10,43.96,44.66,43.82,44.64,969734
2007-01-11,44.71,45.24,44.65,45.07,1568546
2007-01-12,45.02,45.35,44.97,45.32,956830
2007-01-16,45.33,45.4,45.13,45.27,781556
2007-01-17,45.09,45.29,44.83,44.9,1013329
2007-01-18,44.79,44.84,41.4,44.07,1633876
2007-01-19,43.98,44.28,43.91,44.16,1159651
2007-01-22,44.22,44.23,43.51,43.69,1160079
2007-01-23,43.64,43.98,43.5,43.58,1216099
2007-01-24,43.85,44.32,43.77,44.29,972856
2007-01-25,44.37,44.47,43.58,43.69,1419717
2007-01-26,43.81,43.83,43.29,43.57,1403495
2007-01-29,43.45,43.91,43.4,43.61,958752
2007-01-30,43.68,43.79,43.52,43.68,629405
2007-01-31,43.6,44.19,43.33,44.06,1322104
2007-02-01,44.27,44.4,43.85,44.0,1390396
2007-02-02,44.11,44.25,43.94,44.17,874454
2007-02-05,44.14,44.36,43.96,44.13,878644
2007-02-06,44.22,44.23,43.64,44.06,1031462
2007-02-07,44.28,44.65,44.12,44.49,1090779
2007-02-08,44.39,44.6,44.23,44.51,845113
2007-02-09,44.57,44.72,43.73,43.89,1272690
2007-02-12,43.88,43.89,43.59,43.71,1219294
2007-02-13,43.79,44.0,43.7,43.85,855881
2007-02-14,44.05,44.71,44.04,44.57,1250381
2007-02-15,44.63,44.85,44.55,44.81,866433
2007-02-16,44.67,44.83,44.57,44.78,634658
2007-02-20,44.65,45.12,44.43,45.05,782023
2007-02-21,44.92,45.21,44.83,45.19,882656
2007-02-22,45.36,45.55,45.07,45.42,1021455
2007-02-23,45.41,45.46,45.06,45.26,980605
2007-02-26,45.49,45.5,44.76,45.07,908920
