交易日期,开盘价,最高价,最低价,收盘价,成交量
2008-01-03,21.525,21.525,21.525,21.525,0
2008-01-04,21.4,21.4,21.4,21.4,0
2008-01-07,21.575,21.575,21.575,21.575,0
2008-01-08,22.725,22.725,22.725,22.725,0
2008-01-09,23.275,23.275,23.275,23.275,0
2008-01-10,23.675,23.675,23.675,23.675,0
2008-01-11,23.35,23.35,23.35,23.35,0
2008-01-14,23.175,23.175,23.175,23.175,0
2008-01-15,22.7,22.7,22.7,22.7,0
2008-01-16,22.4125,22.4125,22.4125,22.4125,0
2008-01-17,22.6875,22.6875,22.6875,22.6875,0
2008-01-18,23.025,23.025,23.025,23.025,0
2008-01-22,22.4,22.4,22.4,22.4,0
2008-01-23,22.0375,22.0375,22.0375,22.0375,0
2008-01-24,22.425,22.425,22.425,22.425,0
2008-01-25,22.075,22.075,22.075,22.075,0
2008-01-28,22.125,22.125,22.125,22.125,0
2008-01-29,21.725,21.725,21.725,21.725,0
2008-01-30,22.2875,22.2875,22.2875,22.2875,0
2008-01-31,22.865,22.865,22.865,22.865,0
2008-02-01,23.1625,23.1625,23.1625,23.1625,0
2008-02-04,22.905,22.905,22.905,22.905,0
2008-02-05,22.0625,22.0625,22.0625,22.0625,0
2008-02-06,22.225,22.225,22.225,22.225,0
2008-02-07,21.9875,21.9875,21.9875,21.9875,0
2008-02-08,21.8125,21.8125,21.8125,21.8125,0
2008-02-11,21.8125,21.8125,21.8125,21.8125,0
2008-02-12,21.9625,21.9625,21.9625,21.9625,0
2008-02-13,22.3375,22.3375,22.3375,22.3375,0
2008-02-14,22.2,22.2,22.2,22.2,0
2008-02-15,22.125,22.125,22.125,22.125,0
2008-02-19,22.1125,22.1125,22.1125,22.1125,0
2008-02-20,21.8625,21.8625,21.8625,21.8625,0
2008-02-21,22.1875,22.1875,22.1875,22.1875,0
2008-02-22,22.675,22.675,22.675,22.675,0
2008-02-25,23.5875,23.5875,23.5875,23.5875,0
2008-02-26,24.0,24.0,24.0,24.0,0
2008-02-27,24.35,24.35,24.35,24.35,0
2008-02-28,24.6125,24.6125,24.6125,24.6125,0
2008-02-29,24.55,24.55,24.55,24.55,0
2008-03-03,24.55,24.55,24.55,24.55,0
2008-03-04,23.7,23.7,23.7,23.7,0
2008-03-05,23.7,23.7,23.7,23.7,0
2008-03-06,23.55,23.55,23.55,23.55,0
2008-03-07,23.5,23.5,23.5,23.5,0
2008-03-10,23.325,23.325,23.325,23.325,0
2008-03-11,23.3,23.3,23.3,23.3,0
