交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,47.49,47.71,47.36,47.68,924
2006-12-13,47.52,47.69,47.0,47.2,2387
2006-12-14,47.11,47.85,46.93,47.58,1344
2006-12-15,47.73,47.8,47.13,47.23,1613
2006-12-18,47.58,47.84,47.12,47.3,1423
2006-12-19,47.32,47.65,47.1,47.37,1164
2006-12-20,47.45,48.19,47.45,47.93,981
2006-12-21,47.75,47.75,47.42,47.56,732
2006-12-22,47.35,47.54,47.12,47.26,1223
2006-12-26,47.3,47.38,47.09,47.37,363
2006-12-27,47.22,47.65,47.12,47.45,792
2006-12-28,47.71,47.82,47.52,47.79,840
2006-12-29,47.6,47.89,47.58,47.65,674
2007-01-03,47.48,47.86,47.16,47.41,1994
2007-01-04,47.38,47.46,46.69,46.8,1700
2007-01-05,46.74,46.8,46.23,46.48,1972
2007-01-08,46.34,46.62,46.19,46.32,1104
2007-01-09,46.12,46.37,45.49,45.89,2034
2007-01-10,45.79,45.81,45.19,45.48,1741
2007-01-11,45.46,46.05,45.46,45.86,1305
2007-01-12,46.11,46.77,46.11,46.43,1635
2007-01-16,46.58,46.69,46.14,46.2,3005
2007-01-17,46.28,46.54,46.07,46.44,1457
2007-01-18,46.38,46.66,46.11,46.28,1245
2007-01-19,46.29,46.66,46.22,46.61,1463
2007-01-22,46.7,46.79,46.26,46.28,1321
2007-01-23,45.79,46.05,45.6,46.0,1733
2007-01-24,46.07,46.51,46.03,46.42,3016
2007-01-25,46.43,46.59,46.19,46.25,1003
2007-01-26,46.34,46.81,46.34,46.69,1555
2007-01-29,46.63,46.67,46.1,46.17,1610
2007-01-30,46.08,46.26,45.76,46.24,2552
2007-01-31,46.05,46.57,46.05,46.32,1899
2007-02-01,46.46,46.72,46.26,46.31,1304
2007-02-02,46.06,46.1,45.73,45.76,1456
2007-02-05,45.69,46.1,45.69,46.05,1017
2007-02-06,46.12,46.27,46.03,46.24,1262
2007-02-07,46.35,46.4,45.98,46.08,988
2007-02-08,45.97,46.19,45.75,46.1,1551
2007-02-09,46.18,46.71,46.18,46.36,1274
2007-02-12,46.55,46.63,46.0,46.18,1278
2007-02-13,46.33,46.88,46.33,46.74,1699
2007-02-14,46.97,47.07,46.82,47.02,1313
2007-02-15,47.02,47.28,47.02,47.24,1624
2007-02-16,47.18,47.2,46.82,47.03,1333
2007-02-20,46.78,47.56,46.53,47.5,2892
2007-02-21,47.42,47.7,47.34,47.39,1469
2007-02-22,47.7,47.82,47.2,47.49,1493
2007-02-23,47.7,47.82,47.5,47.6,1159
2007-02-26,47.73,48.1,47.68,47.96,2632
2007-02-27,47.83,47.83,46.15,46.65,3698
2007-02-28,46.75,46.82,46.03,46.41,4871
2007-03-01,44.83,46.15,44.8,45.97,4371
2007-03-02,46.37,46.96,46.35,46.52,2612
2007-03-05,46.5,46.84,46.1,46.52,2832
2007-03-06,47.0,47.33,46.79,47.3,2964
2007-03-07,47.08,47.75,47.08,47.71,2767
2007-03-08,47.72,48.26,47.72,48.19,3119
2007-03-09,48.5,49.19,48.45,48.91,5950
2007-03-12,48.93,49.53,48.93,49.5,1984
2007-03-13,49.42,49.54,48.52,48.52,3714
2007-03-14,48.26,48.59,47.77,48.44,4189
2007-03-15,48.44,48.58,48.16,48.38,2479
2007-03-16,48.5,48.79,48.27,48.41,2086
2007-03-19,48.54,48.8,48.36,48.7,2222
2007-03-20,48.87,49.51,48.87,49.33,4158
2007-03-21,49.32,50.52,49.32,50.36,3489
2007-03-22,50.39,50.9,49.74,49.95,5706
2007-03-23,50.08,50.64,50.0,50.33,2745
2007-03-26,50.51,50.55,50.18,50.44,2126
2007-03-27,50.79,50.79,50.35,50.48,1991
2007-03-28,50.45,50.55,50.2,50.22,1829
2007-03-29,50.49,50.59,50.06,50.23,1822
2007-03-30,50.23,50.41,49.88,49.9,2015
2007-04-02,49.9,50.0,49.76,49.91,1915
2007-04-03,50.19,50.66,49.96,50.33,2337
2007-04-04,50.4,50.67,50.25,50.53,1456
2007-04-05,50.93,51.42,50.89,51.09,3522
2007-04-09,51.17,51.48,51.07,51.09,1348
2007-04-10,51.2,51.23,50.6,50.74,2062
2007-04-11,50.97,51.12,50.67,51.08,1919
2007-04-12,51.04,51.6,50.95,51.43,2776
2007-04-13,51.42,51.52,51.01,51.45,1558
2007-04-16,51.83,52.19,51.61,52.13,3314
2007-04-17,52.29,52.61,52.12,52.22,2220
2007-04-18,52.18,52.92,52.18,52.67,2785
2007-04-19,52.48,52.92,52.45,52.53,2316
2007-04-20,53.03,53.4,52.92,53.31,1984
2007-04-23,53.02,53.1,52.6,52.73,2353
2007-04-24,52.58,52.97,52.34,52.49,1706
2007-04-25,52.6,52.86,52.49,52.82,1342
2007-04-26,52.47,52.85,52.34,52.4,1453
2007-04-27,52.26,52.76,52.25,52.71,1572
2007-04-30,52.9,52.99,52.07,52.12,1703
2007-05-01,52.42,52.54,51.16,51.66,3253
2007-05-02,51.39,52.13,51.31,51.91,2025
2007-05-03,52.39,52.58,52.04,52.1,2103
2007-05-04,52.35,53.0,52.3,52.76,1852
2007-05-07,53.36,53.58,52.51,53.44,2950
2007-05-08,53.41,53.65,53.34,53.53,1205
2007-05-09,53.35,53.36,52.89,53.18,2056
2007-05-10,52.73,52.97,52.43,52.82,1996
2007-05-11,52.48,53.34,52.43,53.25,1678
2007-05-14,53.63,53.97,53.55,53.72,1903
2007-05-15,54.13,54.53,54.05,54.19,2054
2007-05-16,54.23,54.38,54.05,54.3,1614
2007-05-17,54.48,54.73,54.23,54.71,1448
2007-05-18,54.92,55.32,54.81,55.11,1934
2007-05-21,55.39,55.4,54.9,54.99,1110
2007-05-22,55.34,55.56,55.33,55.46,1531
2007-05-23,55.98,56.06,55.58,55.68,2017
2007-05-24,56.3,56.45,55.63,55.84,2897
2007-05-25,54.52,55.15,54.27,54.6,4457
2007-05-29,55.05,55.05,54.39,54.48,2997
2007-05-30,54.43,54.85,54.25,54.84,3048
2007-05-31,55.16,55.4,54.43,54.57,2637
2007-06-01,54.55,55.35,54.49,55.08,2393
2007-06-04,54.81,55.07,54.2,54.45,2970
2007-06-05,54.38,54.59,54.06,54.1,2163
2007-06-06,54.22,54.22,53.19,53.29,2886
2007-06-07,53.4,53.62,52.34,52.62,3556
2007-06-08,52.94,53.69,52.76,53.59,2767
2007-06-11,53.53,54.09,53.53,53.6,1850
2007-06-12,53.32,53.68,52.81,52.88,2371
2007-06-13,53.05,53.6,52.69,53.54,2288
2007-06-14,53.62,53.74,53.1,53.47,2107
2007-06-15,53.86,53.86,53.28,53.5,2392
2007-06-18,53.22,53.39,52.95,53.08,1936
2007-06-19,52.9,53.25,52.81,52.93,1821
2007-06-20,52.88,53.05,52.37,52.43,2837
2007-06-21,52.11,52.56,51.4,51.88,3864
2007-06-22,52.01,52.42,51.85,52.08,2669
2007-06-25,52.03,52.57,51.66,51.7,2874
2007-06-26,52.06,52.47,51.63,51.87,2130
2007-06-27,51.71,52.14,51.3,52.11,2415
2007-06-28,52.74,52.94,52.38,52.44,2581
2007-06-29,52.38,53.22,52.34,53.08,2569
2007-07-03,53.73,53.73,53.29,53.43,1792
2007-07-05,53.64,53.64,52.98,53.5,2656
2007-07-06,53.51,54.06,53.42,53.79,2495
2007-07-09,54.15,54.41,53.64,53.64,1825
2007-07-10,53.31,53.81,53.19,53.32,2811
2007-07-11,53.09,53.15,52.53,53.08,2771
2007-07-12,53.31,54.78,53.28,54.78,2791
2007-07-13,54.86,55.28,54.79,55.07,4157
2007-07-16,55.23,55.48,55.13,55.18,2005
2007-07-17,55.15,55.62,55.13,55.46,2280
2007-07-18,55.24,55.46,54.96,55.4,3286
2007-07-19,55.6,55.87,55.38,55.53,2796
2007-07-20,55.66,56.0,55.38,55.4,3578
2007-07-23,55.78,55.79,54.95,55.08,3373
2007-07-24,54.72,54.99,53.98,53.98,2901
2007-07-25,54.3,54.77,53.5,53.81,3041
2007-07-26,52.96,53.18,51.62,52.21,7306
2007-07-27,51.9,52.58,51.21,51.26,5514
2007-07-30,51.29,51.31,50.45,50.51,5671
2007-07-31,51.08,51.24,50.66,50.77,5374
