交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-12,51.64,51.91,51.38,51.71,13538
2006-12-13,51.88,52.07,51.74,52.0,5464
2006-12-14,51.42,51.6,51.18,51.38,16215
2006-12-15,51.7,51.98,51.58,51.65,8863
2006-12-18,52.36,52.4,51.77,51.87,6803
2006-12-19,51.76,52.34,51.65,52.25,9184
2006-12-20,52.23,52.34,51.89,51.94,6248
2006-12-21,52.65,53.15,52.55,52.65,12911
2006-12-22,52.82,52.82,51.94,52.16,8088
2006-12-26,52.2,52.47,52.12,52.43,4045
2006-12-27,52.68,52.92,52.67,52.82,4491
2006-12-28,53.14,53.24,52.74,53.14,9322
2006-12-29,53.01,53.38,52.9,53.03,5416
2007-01-03,53.7,53.93,52.9,53.2,12822
2007-01-04,53.05,53.74,52.91,53.6,16319
2007-01-05,53.66,53.68,52.83,53.4,22422
2007-01-08,54.47,55.96,54.37,55.72,34178
2007-01-09,54.49,59.7,54.17,54.6,32263
2007-01-10,53.93,54.2,53.62,54.11,13651
2007-01-11,54.19,54.75,48.45,48.95,111335
2007-01-12,50.18,50.47,49.63,50.06,84470
2007-01-16,50.46,50.52,50.06,50.26,26229
2007-01-17,49.7,50.02,49.64,49.85,18759
2007-01-18,49.57,49.8,48.45,48.91,37410
2007-01-19,48.54,49.16,48.54,49.07,15576
2007-01-22,49.44,49.54,48.51,48.75,26057
2007-01-23,50.12,50.22,49.72,50.09,30070
2007-01-24,47.75,48.7,46.0,46.41,102110
2007-01-25,47.14,47.16,46.21,46.3,49031
2007-01-26,46.54,46.54,45.91,46.17,25656
2007-01-29,46.5,46.82,46.39,46.63,27280
2007-01-30,46.97,46.97,46.46,46.72,17988
2007-01-31,46.08,46.51,45.91,46.31,21526
2007-02-01,46.7,47.0,46.46,46.8,19591
2007-02-02,45.94,46.25,45.83,46.12,16317
2007-02-05,46.03,46.09,45.55,45.69,17420
2007-02-06,45.56,45.83,45.44,45.76,10100
2007-02-07,45.43,46.31,45.3,46.05,20247
2007-02-08,46.3,46.57,46.16,46.46,12113
2007-02-09,47.0,47.04,46.15,46.3,12806
2007-02-12,46.58,46.58,46.16,46.33,10626
2007-02-13,46.81,46.97,46.59,46.96,11568
2007-02-14,47.41,47.85,47.38,47.63,14659
2007-02-15,47.42,47.49,47.13,47.32,12936
2007-02-16,47.0,47.13,46.93,47.11,7772
2007-02-20,46.57,46.9,46.42,46.8,10412
2007-02-21,46.32,46.48,46.16,46.43,13056
2007-02-22,46.13,46.31,45.93,46.27,11841
2007-02-23,45.73,45.98,45.33,45.9,11806
2007-02-26,46.12,46.41,45.94,46.32,14062
2007-02-27,45.85,46.26,44.95,45.15,36404
2007-02-28,46.21,46.4,45.7,46.01,27320
2007-03-01,45.09,48.95,44.7,47.53,87298
2007-03-02,47.06,47.08,46.04,46.2,24222
2007-03-05,45.59,46.15,45.41,45.53,15445
2007-03-06,45.88,46.42,45.7,46.26,10607
2007-03-07,45.88,46.11,45.73,45.81,12195
2007-03-08,46.29,46.52,46.02,46.11,11945
2007-03-09,45.93,46.25,45.77,46.03,10804
2007-03-12,45.85,46.43,45.82,46.4,10120
2007-03-13,45.92,46.04,44.82,44.99,16632
2007-03-14,44.86,45.35,44.53,45.28,29284
2007-03-15,45.27,45.44,44.99,45.18,12457
2007-03-16,45.22,45.54,45.03,45.35,9692
2007-03-19,45.31,45.37,44.86,45.17,11334
2007-03-20,44.44,45.19,44.36,45.01,31042
2007-03-21,45.85,46.59,45.25,46.41,27077
2007-03-22,46.57,46.7,45.87,46.28,18691
2007-03-23,45.59,45.79,45.3,45.56,15243
2007-03-26,45.47,45.77,45.07,45.67,8041
2007-03-27,45.16,45.4,45.11,45.26,13070
2007-03-28,44.66,45.11,44.33,44.45,25283
2007-03-29,44.49,44.72,44.17,44.62,14674
2007-03-30,44.47,44.78,44.31,44.61,11534
2007-04-02,45.0,45.17,44.72,45.08,12706
2007-04-03,45.3,45.86,45.3,45.55,16099
2007-04-04,46.35,46.44,46.15,46.28,19401
2007-04-05,46.72,46.82,46.54,46.75,10832
2007-04-09,46.62,46.9,46.34,46.36,6960
2007-04-10,46.4,46.74,46.25,46.71,14716
2007-04-11,46.21,46.28,45.65,45.81,21998
2007-04-12,46.5,46.69,46.16,46.61,21348
2007-04-13,48.36,48.4,47.67,48.01,25341
2007-04-16,48.76,49.19,48.7,49.12,19668
2007-04-17,49.32,49.41,49.03,49.4,14723
2007-04-18,49.07,49.51,48.8,49.32,13790
2007-04-19,48.5,49.37,48.46,49.18,15818
2007-04-20,50.44,50.6,50.08,50.38,39467
2007-04-23,49.83,50.28,49.52,49.66,13583
2007-04-24,49.61,49.67,48.87,49.43,23874
2007-04-25,49.54,49.93,49.47,49.89,8798
2007-04-26,49.15,49.27,48.76,48.9,10631
2007-04-27,48.5,48.84,48.15,48.56,10908
2007-04-30,48.51,48.69,47.98,47.99,12765
2007-05-01,48.13,48.29,47.73,48.16,6816
2007-05-02,48.0,48.23,47.78,48.01,10367
2007-05-03,47.55,47.63,47.29,47.63,14611
2007-05-04,48.28,48.42,47.78,47.94,8357
2007-05-07,48.32,48.38,48.04,48.15,7085
2007-05-08,46.94,47.33,46.44,47.1,11070
2007-05-09,46.32,48.07,46.32,47.79,20504
2007-05-10,46.99,47.22,46.19,46.27,18804
2007-05-11,46.17,46.8,46.11,46.78,7953
2007-05-14,47.33,47.37,46.71,46.92,7129
2007-05-15,46.44,47.02,46.32,46.46,10589
2007-05-16,46.33,46.57,45.96,46.57,12289
2007-05-17,45.88,46.14,45.81,45.9,9135
2007-05-18,45.89,46.61,45.78,46.32,13391
2007-05-21,46.07,46.27,45.95,46.05,9858
2007-05-22,47.21,47.49,46.95,47.25,23032
2007-05-23,48.24,48.3,47.7,47.81,13607
2007-05-24,47.65,48.17,46.95,47.06,15987
2007-05-25,47.42,47.62,47.2,47.41,11176
2007-05-29,47.75,47.89,47.23,47.41,5307
2007-05-30,46.72,47.45,46.72,47.4,10495
2007-05-31,47.65,48.09,47.63,47.8,15238
2007-06-01,49.04,49.19,48.56,49.06,25847
2007-06-04,49.12,49.57,49.12,49.37,14861
2007-06-05,49.44,49.53,48.69,49.05,21163
2007-06-06,49.63,49.7,48.7,48.83,21244
2007-06-07,48.26,48.65,47.75,47.81,18243
2007-06-08,48.74,48.96,48.26,48.96,14553
2007-06-11,48.82,49.3,48.55,49.05,8211
2007-06-12,48.27,48.69,48.0,48.12,21988
2007-06-13,48.06,48.55,47.96,48.52,7931
2007-06-14,48.46,48.86,48.44,48.77,7478
2007-06-15,48.67,49.19,48.61,48.88,9170
2007-06-18,50.24,50.24,49.85,50.0,15223
2007-06-19,50.6,51.11,50.53,51.04,20323
2007-06-20,51.31,51.4,50.4,50.45,11893
2007-06-21,50.7,51.15,50.56,51.07,15357
2007-06-22,50.98,51.13,50.2,50.44,9489
2007-06-25,50.51,51.06,50.14,50.2,11804
2007-06-26,50.64,50.82,50.25,50.45,15827
2007-06-27,50.75,51.34,50.61,51.34,14688
2007-06-28,51.46,51.57,50.84,51.01,16484
2007-06-29,51.24,51.49,50.69,51.07,12603
2007-07-03,50.79,51.08,50.45,50.98,17623
2007-07-05,50.71,50.84,50.21,50.58,14022
2007-07-06,50.45,50.69,50.14,50.5,7833
2007-07-09,50.33,50.57,50.19,50.19,9338
2007-07-10,50.39,50.54,49.77,49.85,15203
2007-07-11,50.12,50.46,50.12,50.45,15173
2007-07-12,51.27,52.4,51.08,52.35,18433
2007-07-13,52.35,52.48,51.95,52.16,15586
2007-07-16,52.48,52.79,52.35,52.44,16756
2007-07-17,52.26,53.14,52.2,52.79,25465
2007-07-18,52.01,52.23,51.5,51.86,25356
2007-07-19,55.52,56.2,55.24,55.54,75209
2007-07-20,55.2,55.54,55.09,55.22,17090
2007-07-23,56.66,57.28,56.49,57.22,23942
2007-07-24,56.18,56.53,55.08,55.27,20491
2007-07-25,55.9,55.97,55.0,55.66,20804
2007-07-26,54.08,54.85,52.96,53.7,24440
2007-07-27,53.93,54.14,52.96,52.96,19851
2007-07-30,54.23,55.13,53.95,54.79,19236
2007-07-31,54.76,54.99,53.72,53.8,21162
2007-08-01,53.95,54.55,53.16,54.4,19353
2007-08-02,54.6,55.1,54.33,55.08,18861
2007-08-03,54.54,54.69,53.68,53.69,18022
2007-08-06,54.51,55.42,54.22,55.25,26391
2007-08-07,54.24,55.19,53.98,54.82,17700
2007-08-08,55.2,55.5,54.68,55.15,15433
2007-08-09,54.62,55.38,54.26,54.5,27935
2007-08-10,54.58,55.09,53.95,54.63,25752
2007-08-13,53.47,53.74,53.07,53.2,20723
2007-08-14,53.12,53.32,52.53,52.53,16641
2007-08-15,51.96,53.3,51.78,52.0,28602
2007-08-16,50.97,51.81,49.99,51.58,34903
2007-08-17,52.16,52.64,51.67,52.5,22920
2007-08-20,52.24,52.63,51.73,52.29,15337
2007-08-21,52.23,52.57,52.05,52.16,7168
2007-08-22,52.39,52.62,51.92,52.47,10309
2007-08-23,52.96,53.02,52.06,52.22,17596
2007-08-24,52.67,53.6,52.61,53.51,15373
2007-08-27,52.7,53.0,52.37,52.6,13232
2007-08-28,52.56,52.64,51.49,51.57,9766
2007-08-29,52.41,53.28,52.1,53.28,9484
2007-08-30,52.59,53.35,52.53,52.78,9735
2007-08-31,54.01,54.32,53.67,54.08,11065
2007-09-04,53.47,54.33,53.42,54.1,10164
2007-09-05,54.09,54.18,53.52,53.77,12388
2007-09-06,54.95,55.69,54.44,55.51,22356
2007-09-07,55.69,56.21,55.1,55.39,26376
2007-09-10,55.65,56.07,55.03,55.71,14590
2007-09-11,56.05,56.59,55.92,56.37,10131
2007-09-12,56.72,57.13,56.63,56.76,12089
2007-09-13,57.6,57.86,57.31,57.62,18287
2007-09-14,57.23,57.62,57.11,57.5,9744
2007-09-17,57.12,57.55,56.98,57.21,8321
2007-09-18,57.08,58.76,56.77,58.59,15474
2007-09-19,58.3,58.48,57.7,57.9,24379
2007-09-20,58.52,58.78,57.9,58.07,23756
2007-09-21,58.95,59.05,58.56,58.62,12255
2007-09-24,58.41,58.73,58.12,58.31,7943
2007-09-25,58.05,58.42,57.91,58.39,16333
2007-09-26,57.84,58.21,57.77,58.11,11007
2007-09-27,57.38,57.87,57.27,57.8,9582
2007-09-28,58.33,58.67,57.75,58.67,11319
2007-10-01,58.43,59.86,58.26,59.85,19187
2007-10-02,58.85,59.19,58.71,58.8,23020
2007-10-03,59.01,59.05,58.52,58.69,13347
2007-10-04,58.01,58.18,57.56,57.95,17034
2007-10-05,58.75,59.57,58.63,59.23,24381
2007-10-08,55.87,56.44,55.8,56.4,43052
2007-10-09,56.26,57.08,56.02,56.78,16232
2007-10-10,56.3,56.47,55.85,56.22,16057
2007-10-11,55.91,55.91,54.72,54.85,18668
2007-10-12,56.04,56.25,55.64,55.84,18499
2007-10-15,55.64,55.79,55.18,55.32,17004
2007-10-16,55.05,55.3,54.64,54.85,11323
2007-10-17,56.34,56.47,55.31,56.3,28642
2007-10-18,54.76,54.94,54.32,54.68,28117
2007-10-19,54.26,54.4,53.48,53.63,24221
2007-10-22,53.06,53.87,53.02,53.7,18751
2007-10-23,53.82,54.04,53.17,53.89,16344
2007-10-24,52.72,53.68,52.47,53.52,21230
2007-10-25,53.29,53.51,52.93,53.35,16649
2007-10-26,53.27,53.81,53.22,53.66,10399
2007-10-29,53.66,54.6,53.61,54.39,13699
2007-10-30,53.93,54.18,53.82,53.86,8532
2007-10-31,53.51,54.5,53.39,54.29,12054
2007-11-01,53.08,53.58,52.7,52.87,17617
2007-11-02,52.87,53.45,52.58,53.27,10062
2007-11-05,52.48,52.91,52.28,52.72,11385
2007-11-06,53.39,53.59,53.02,53.56,9863
2007-11-07,54.18,54.31,53.17,53.21,14901
2007-11-08,53.08,53.39,51.35,52.4,34622
2007-11-09,52.46,52.46,51.45,51.63,19768
2007-11-12,50.86,51.15,49.94,50.07,22469
2007-11-13,50.97,51.42,50.57,51.34,13659
2007-11-14,51.9,52.13,51.12,51.25,10899
2007-11-15,50.8,51.07,50.21,50.66,16864
2007-11-16,51.44,51.59,50.67,51.27,16613
2007-11-19,51.26,51.6,50.47,50.74,18007
2007-11-20,52.12,52.25,51.0,51.66,24202
2007-11-21,51.67,51.9,51.23,51.46,12137
2007-11-23,51.13,51.69,51.01,51.6,5970
2007-11-26,51.84,51.93,50.56,50.59,13428
2007-11-27,50.75,51.01,50.44,50.93,26389
2007-11-28,50.47,51.69,50.46,51.47,29413
2007-11-29,51.5,51.74,51.37,51.37,17570
2007-11-30,51.72,51.87,50.87,51.22,11516
2007-12-03,52.32,52.44,51.74,51.78,20268
2007-12-04,52.35,52.43,51.61,51.9,21788
2007-12-05,52.39,52.47,51.97,52.01,15907
2007-12-06,51.92,52.58,51.78,52.55,15122
2007-12-07,52.59,52.6,52.08,52.33,11527
2007-12-10,52.64,53.09,52.64,52.91,7916
2007-12-11,53.72,53.9,52.39,52.66,15592
2007-12-12,53.23,53.47,52.25,52.75,28814
2007-12-13,52.85,52.98,52.03,52.59,13526
2007-12-14,51.53,51.85,51.0,51.11,12781
2007-12-17,50.66,50.76,49.88,50.11,19703
2007-12-18,51.14,51.43,50.37,51.0,18151
2007-12-19,51.24,51.28,50.63,50.82,13454
2007-12-20,51.25,51.44,50.81,51.27,13784
2007-12-21,51.51,51.73,51.15,51.42,11712
2007-12-24,51.43,52.0,51.4,51.94,1810
2007-12-26,51.36,52.24,51.36,51.96,2605
2007-12-27,52.18,52.21,51.25,51.51,9387
2007-12-28,51.85,52.0,51.54,51.67,2754
2007-12-31,51.41,51.49,50.75,51.15,9132
2008-01-02,51.79,51.93,50.36,50.82,30393
2008-01-03,50.47,50.93,50.31,50.59,16074
2008-01-04,50.12,50.57,49.35,49.52,35034
2008-01-07,48.35,48.58,47.82,48.25,34518
2008-01-08,48.19,48.95,47.75,47.78,26499
2008-01-09,48.01,48.16,47.26,48.1,35848
2008-01-10,48.12,49.32,47.92,49.01,29767
2008-01-11,48.24,48.58,47.81,48.01,19786
2008-01-14,49.65,51.75,48.89,50.03,78725
2008-01-15,49.49,49.55,48.45,48.85,27605
2008-01-16,49.57,50.0,48.79,49.5,38279
2008-01-17,49.67,50.08,48.8,48.88,32941
2008-01-18,50.07,50.24,48.75,49.1,30178
2008-01-22,44.4,49.33,44.32,46.36,52975
2008-01-23,43.3,46.19,43.0,46.05,73186
2008-01-24,45.44,46.5,45.3,46.26,33166
2008-01-25,46.82,46.82,45.48,45.77,16965
2008-01-28,45.96,46.33,45.13,46.2,11879
2008-01-29,46.45,47.99,46.01,47.58,35006
2008-01-30,46.89,47.8,46.52,46.85,31652
2008-01-31,46.17,48.2,46.17,47.8,23225
2008-02-01,48.33,48.56,47.48,48.15,19584
2008-02-04,48.09,48.24,47.71,47.9,16954
2008-02-05,46.64,47.15,46.23,46.35,31688
2008-02-06,47.59,47.71,46.73,46.8,28361
2008-02-07,46.36,47.33,46.2,46.89,27899
2008-02-08,47.1,47.67,46.89,47.4,20313
2008-02-11,47.71,48.29,47.33,47.97,15821
2008-02-12,48.7,49.0,47.99,48.25,26925
2008-02-13,48.39,49.15,48.23,48.93,17698
2008-02-14,48.91,49.05,48.21,48.37,18460
2008-02-15,47.96,48.07,47.38,47.81,18109
2008-02-19,49.01,49.15,48.19,48.28,20849
2008-02-20,47.98,48.72,47.78,48.52,14087
2008-02-21,49.32,49.32,48.36,48.46,15927
2008-02-22,48.46,48.47,47.3,48.05,29369
2008-02-25,47.53,48.15,47.28,47.97,14869
2008-02-26,48.05,49.18,47.89,49.0,19654
2008-02-27,48.73,49.4,48.6,49.23,15741
2008-02-28,49.23,49.58,48.8,49.44,14474
2008-02-29,48.42,48.45,47.25,47.41,16737
2008-03-03,47.94,48.32,47.55,48.07,24326
2008-03-04,47.58,48.08,47.21,47.87,24761
2008-03-05,47.85,48.55,47.67,48.13,19161
2008-03-06,48.38,48.55,47.76,47.94,16107
2008-03-07,48.61,49.04,47.93,48.35,17772
2008-03-10,49.33,49.47,48.52,48.71,27887
2008-03-11,49.46,49.99,48.82,49.96,22335
2008-03-12,49.19,49.64,49.0,49.05,21081
2008-03-13,49.11,50.5,48.76,50.2,28473
2008-03-14,49.76,49.89,48.0,48.8,26081
2008-03-17,48.26,49.41,47.92,49.06,30452
2008-03-18,49.21,50.06,49.12,49.96,30886
2008-03-19,49.52,49.98,48.2,48.23,18863
2008-03-20,48.58,49.35,48.21,49.3,17949
2008-03-24,49.57,51.17,49.3,50.71,22213
2008-03-25,50.95,51.6,50.72,51.42,20684
2008-03-26,51.63,52.08,51.01,51.93,25579
2008-03-27,49.5,49.58,48.61,48.8,42944
2008-03-28,49.98,50.07,48.83,49.12,34161
2008-03-31,49.73,49.8,49.3,49.57,20418
2008-04-01,49.49,49.91,48.72,49.65,34278
2008-04-02,49.33,49.79,49.08,49.33,24746
2008-04-03,49.08,53.0,49.07,52.04,88668
2008-04-04,52.23,52.58,51.78,52.43,31280
2008-04-07,52.91,53.36,52.48,52.92,30791
2008-04-08,52.49,52.76,52.35,52.63,17647
2008-04-09,53.14,53.14,52.35,52.81,48316
2008-04-10,52.77,53.0,52.39,52.8,21966
2008-04-11,52.5,52.58,50.72,50.95,58179
2008-04-14,51.13,51.18,50.18,50.43,46365
2008-04-15,50.65,51.13,50.19,51.08,32227
2008-04-16,51.48,52.09,51.22,52.05,25815
2008-04-17,51.25,51.34,50.85,51.12,33525
2008-04-18,51.76,51.99,51.44,51.95,15364
2008-04-21,51.73,52.0,51.38,51.82,12263
2008-04-22,51.3,51.51,50.88,51.07,18743
2008-04-23,50.97,52.04,50.9,51.65,16648
2008-04-24,51.2,52.17,50.9,51.71,24628
2008-04-25,51.53,52.01,51.24,51.85,17425
2008-04-28,51.12,51.47,50.91,51.2,21765
2008-04-29,51.19,53.5,51.08,52.45,41791
2008-04-30,49.92,52.22,49.73,50.23,84599
2008-05-01,50.46,50.88,50.0,50.71,17615
2008-05-02,50.45,50.67,49.7,50.01,26234
2008-05-05,50.25,50.52,50.06,50.31,14789
2008-05-06,49.72,50.5,49.55,50.34,22137
2008-05-07,49.7,50.12,48.68,48.97,35652
2008-05-08,49.07,49.39,48.93,49.03,14987
2008-05-09,48.73,48.92,48.43,48.72,11023
2008-05-12,49.21,50.04,48.97,49.89,18266
2008-05-13,50.25,50.43,49.99,50.22,11470
2008-05-14,50.13,50.75,50.1,50.11,14789
2008-05-15,50.19,50.96,50.13,50.75,15850
2008-05-16,51.39,51.66,50.96,51.61,15894
2008-05-19,51.71,52.26,51.7,51.85,32736
2008-05-20,52.61,52.8,52.13,52.79,26591
2008-05-21,52.72,52.92,52.1,52.23,22943
2008-05-22,52.53,52.88,52.46,52.73,15689
2008-05-23,53.21,53.21,52.36,52.52,14632
2008-05-27,52.49,52.8,52.25,52.64,14947
2008-05-28,54.56,54.95,54.3,54.82,27260
2008-05-29,54.49,55.51,54.49,55.2,27380
2008-05-30,54.53,54.84,54.5,54.6,13769
2008-06-02,54.07,54.18,53.52,53.8,16756
2008-06-03,54.33,54.6,53.52,53.84,25227
2008-06-04,54.42,54.42,53.8,54.03,13816
2008-06-05,54.08,54.39,53.74,54.3,15336
2008-06-06,53.63,54.05,53.43,53.55,14087
2008-06-09,53.78,53.84,52.73,53.3,22813
2008-06-10,53.0,53.66,52.91,53.42,13403
2008-06-11,53.43,53.52,52.75,52.89,30364
2008-06-12,52.63,53.04,52.45,52.8,21699
2008-06-13,52.42,53.38,52.42,53.2,19833
2008-06-16,52.97,53.4,52.76,53.23,13051
2008-06-17,53.45,53.53,53.05,53.15,10187
2008-06-18,52.91,53.0,52.63,52.85,13462
2008-06-19,52.96,53.05,52.31,52.64,30018
2008-06-20,52.23,52.28,51.49,51.7,17462
2008-06-23,51.62,52.04,51.3,51.81,17815
2008-06-24,51.7,52.31,51.39,51.82,16175
2008-06-25,52.36,53.21,52.36,53.05,23726
2008-06-26,52.71,52.95,52.1,52.14,30633
2008-06-27,52.81,53.49,52.06,52.8,33737
2008-06-30,52.68,52.83,52.02,52.11,16882
2008-07-01,51.64,51.92,50.62,51.89,39724
2008-07-02,51.84,52.35,51.28,51.4,28532
2008-07-03,51.58,52.05,51.36,52.04,14483
2008-07-07,52.24,53.45,52.22,52.4,49272
2008-07-08,52.13,52.37,51.25,52.29,31685
2008-07-09,52.45,52.56,51.28,51.48,21736
2008-07-10,51.98,52.22,51.43,52.21,22137
2008-07-11,51.67,52.0,50.78,51.88,37396
2008-07-14,52.06,52.16,51.34,51.41,16255
2008-07-15,51.95,52.35,51.35,51.71,28396
2008-07-16,53.49,54.21,52.85,54.1,37503
2008-07-17,54.62,55.59,54.48,55.4,25443
2008-07-18,55.45,55.57,55.25,55.44,19267
2008-07-21,56.11,56.11,55.47,55.95,17637
2008-07-22,55.75,56.29,55.62,55.99,29885
2008-07-23,55.13,55.54,54.89,55.1,25811
2008-07-24,54.67,54.73,54.25,54.42,25417
2008-07-25,53.67,54.16,53.41,54.01,19160
2008-07-28,53.56,54.14,53.28,53.72,48771
2008-07-29,57.14,59.42,57.07,58.98,89323
2008-07-30,58.2,58.46,57.58,58.02,31364
2008-07-31,58.14,58.36,57.56,57.81,25923
2008-08-01,58.03,58.18,57.56,57.88,22639
2008-08-04,57.76,58.1,57.62,57.86,16513
2008-08-05,57.94,58.57,57.58,58.36,19380
2008-08-06,57.99,58.83,57.87,58.56,22729
2008-08-07,58.52,58.62,58.04,58.29,17606
2008-08-08,56.68,58.04,56.65,57.76,29968
2008-08-11,57.65,57.96,57.14,57.38,17182
2008-08-12,57.16,57.52,56.94,57.28,13863
2008-08-13,56.92,57.51,56.79,57.3,9063
2008-08-14,57.23,57.87,57.18,57.34,14273
2008-08-15,56.53,56.87,56.41,56.75,20764
2008-08-18,56.52,56.73,56.05,56.19,14144
2008-08-19,55.86,56.11,55.52,56.03,10745
2008-08-20,55.41,56.03,55.32,55.74,11929
2008-08-21,55.5,56.14,55.43,56.01,12087
2008-08-22,55.88,56.43,55.79,56.12,21808
2008-08-25,56.19,56.3,55.47,55.71,10256
2008-08-26,55.58,56.17,55.38,55.77,12530
2008-08-27,55.79,56.06,55.68,55.83,14899
2008-08-28,56.37,56.77,56.29,56.44,12083
2008-08-29,56.08,56.35,55.79,56.08,7186
2008-09-02,55.94,56.23,55.23,55.33,14286
2008-09-03,55.65,56.04,55.52,55.93,14569
2008-09-04,55.33,55.66,54.54,54.9,32010
2008-09-05,53.83,54.27,53.41,54.2,26656
2008-09-08,54.49,54.5,53.29,53.88,20018
2008-09-09,52.68,53.21,52.3,52.3,28023
2008-09-10,52.79,52.82,52.05,52.19,14733
2008-09-11,51.11,52.94,50.89,52.86,41236
2008-09-12,52.64,53.4,52.33,53.19,29312
2008-09-15,53.86,54.5,53.07,54.02,46980
2008-09-16,55.2,56.54,55.09,56.39,62245
2008-09-17,55.28,55.66,54.01,54.67,38118
2008-09-18,54.94,56.45,54.12,56.18,44391
2008-09-19,57.45,59.19,50.75,58.13,44098
2008-09-22,57.81,57.95,56.9,57.38,19822
2008-09-23,57.41,57.82,56.61,57.11,20431
2008-09-24,58.35,58.38,56.73,57.17,16968
2008-09-25,58.17,58.37,57.35,57.58,11989
2008-09-26,57.0,57.5,56.83,57.48,15690
2008-09-29,56.23,56.54,53.43,54.3,32849
2008-09-30,52.56,53.58,52.37,53.43,40817
2008-10-01,51.87,52.85,51.13,51.85,44167
2008-10-02,50.04,50.15,48.5,48.85,50128
2008-10-03,46.91,48.26,45.65,45.65,46480
2008-10-06,43.89,44.25,37.6,39.68,94257
2008-10-07,37.32,39.31,36.3,36.57,68993
2008-10-08,37.8,39.07,36.09,36.31,44443
2008-10-09,36.15,37.05,34.65,34.76,25112
2008-10-10,32.26,35.5,31.78,33.87,48932
2008-10-13,36.33,38.9,36.11,38.9,36755
2008-10-14,39.43,39.72,37.74,38.55,42498
2008-10-15,36.02,36.23,33.49,33.73,27819
2008-10-16,35.07,35.97,33.62,35.97,39791
2008-10-17,36.34,37.25,35.52,35.84,20159
2008-10-20,37.06,37.63,36.49,37.63,16167
2008-10-21,34.96,36.5,34.94,35.44,13912
2008-10-22,34.87,35.14,33.43,34.27,22221
2008-10-23,33.98,35.27,33.59,35.03,25958
2008-10-24,30.54,33.39,30.42,32.57,19906
2008-10-27,30.09,31.19,29.65,30.22,27077
2008-10-28,30.43,32.16,29.31,32.04,38011
2008-10-29,33.7,34.95,33.35,33.9,22972
2008-10-30,35.0,35.18,34.07,35.07,22705
2008-10-31,34.55,35.83,34.24,35.33,15738
2008-11-03,35.33,36.4,35.32,35.73,28365
2008-11-04,37.75,38.54,37.32,38.38,21527
2008-11-05,38.39,38.87,36.51,36.57,25753
2008-11-06,36.16,36.39,33.84,34.16,29065
2008-11-07,35.23,36.26,34.86,35.81,27475
2008-11-10,37.0,37.12,35.44,36.01,13819
2008-11-11,35.18,35.24,33.82,34.35,17271
2008-11-12,34.61,34.78,33.65,33.9,35200
2008-11-13,33.73,36.49,32.89,36.3,38225
2008-11-14,35.52,36.59,35.1,35.24,34583
2008-11-17,34.28,34.71,33.47,33.72,23816
2008-11-18,33.54,33.82,32.28,33.23,26409
2008-11-19,33.24,33.68,31.44,31.49,23942
2008-11-20,30.94,31.78,29.49,29.7,34569
2008-11-21,31.48,31.48,29.37,31.15,41431
2008-11-24,32.98,34.75,32.75,34.42,29188
2008-11-25,36.85,36.85,34.77,35.53,40614
2008-11-26,34.28,35.92,34.27,35.64,22755
2008-11-28,33.8,34.25,33.47,34.14,10210
2008-12-01,33.29,33.34,32.07,32.21,19046
2008-12-02,32.71,33.32,32.14,33.05,14595
2008-12-03,31.98,34.46,31.98,34.23,24611
2008-12-04,33.03,33.91,32.42,32.96,18344
2008-12-05,32.67,34.24,31.63,33.91,23738
2008-12-08,34.87,36.06,34.72,35.17,30806
2008-12-09,34.55,36.29,34.29,35.41,34095
2008-12-10,35.59,35.59,34.08,34.79,46791
2008-12-11,33.91,34.29,33.21,33.38,21408
2008-12-12,32.96,33.97,32.7,33.82,26275
2008-12-15,34.41,34.48,33.28,33.78,22137
2008-12-16,34.88,36.46,34.66,36.27,37678
2008-12-17,34.8,35.49,34.55,34.96,29301
2008-12-18,35.76,35.8,34.33,34.54,34288
2008-12-19,35.0,35.14,34.26,34.5,23568
2008-12-22,34.72,34.73,33.51,34.02,17629
2008-12-23,34.08,34.3,33.3,33.54,9318
2008-12-24,33.89,34.03,33.44,33.66,4783
2008-12-26,33.55,34.05,33.55,33.83,4758
2008-12-29,34.65,34.66,33.98,34.21,15470
2008-12-30,35.08,35.8,34.75,35.78,14112
2008-12-31,35.63,36.55,35.17,36.22,20548
2009-01-02,35.65,36.72,35.61,36.62,22249
2009-01-05,35.39,36.04,35.35,35.69,17955
2009-01-06,35.64,36.59,35.29,36.22,28594
2009-01-07,36.68,36.84,36.17,36.53,32744
2009-01-08,36.74,37.66,36.2,37.62,30587
2009-01-09,37.04,37.35,36.62,36.88,27942
2009-01-12,36.67,36.77,35.1,35.32,39598
2009-01-13,35.82,36.65,35.6,36.29,31327
2009-01-14,34.92,35.23,33.71,34.29,33238
2009-01-15,34.09,35.0,33.5,34.6,29610
2009-01-16,36.08,36.23,35.12,35.59,46120
2009-01-20,33.51,34.16,33.18,33.3,34472
