交易日期,开盘价,最高价,最低价,收盘价,成交量
2010-03-05,18.48,18.96,18.48,18.96,73445
2010-03-08,18.93,19.11,18.83,19.04,68484
2010-03-09,19.01,19.12,18.78,18.97,59182
2010-03-10,19.02,19.17,18.9,19.06,78552
2010-03-11,19.0,19.13,18.75,19.1,70310
2010-03-12,18.89,18.95,18.33,18.43,191427
2010-03-15,18.33,18.5,18.15,18.24,157734
2010-03-16,18.31,18.53,18.21,18.47,149247
2010-03-17,18.27,18.6,18.27,18.49,126540
2010-03-18,18.39,18.82,18.39,18.79,86455
2010-03-19,18.83,18.96,18.58,18.58,106430
2010-03-22,18.51,18.66,18.4,18.54,71952
2010-03-23,18.58,18.69,18.43,18.52,88848
2010-03-24,18.49,18.56,18.2,18.45,82777
2010-03-25,18.48,18.88,18.38,18.72,113344
2010-03-26,18.77,18.91,18.59,18.76,121604
2010-03-29,18.76,18.94,18.68,18.73,112641
2010-03-30,18.7,18.81,18.55,18.75,80863
2010-03-31,18.69,18.78,18.52,18.69,93569
2010-04-01,18.76,18.97,18.39,18.62,86555
2010-04-05,18.63,18.89,18.51,18.88,113073
2010-04-06,18.9,19.34,18.75,19.24,175049
2010-04-07,19.27,19.53,19.26,19.27,148598
2010-04-08,19.16,19.29,19.06,19.12,90768
2010-04-09,19.13,19.28,19.06,19.23,63021
2010-04-12,19.24,19.63,19.2,19.55,74262
2010-04-13,19.51,19.68,19.34,19.61,67313
2010-04-14,19.7,19.74,19.17,19.35,158985
2010-04-15,19.0,19.39,18.99,19.3,131239
2010-04-16,19.21,19.27,18.67,18.96,191791
2010-04-19,18.77,19.12,18.71,19.06,101735
2010-04-20,19.28,19.43,19.17,19.29,124532
2010-04-21,19.33,19.55,19.3,19.49,104952
2010-04-22,19.35,19.62,19.13,19.6,81635
2010-04-23,19.59,19.91,19.38,19.88,97158
2010-04-26,19.82,19.95,19.51,19.54,82829
2010-04-27,19.4,19.43,18.84,18.88,131219
2010-04-28,19.09,19.25,18.87,18.98,99129
2010-04-29,19.07,19.52,18.95,19.27,68753
2010-04-30,19.3,19.45,19.05,19.29,91273
2010-05-03,19.38,19.72,19.31,19.56,68181
2010-05-04,19.28,19.39,18.8,18.91,116620
2010-05-05,18.82,19.04,18.62,18.81,83293
2010-05-06,18.75,18.96,17.06,18.22,191028
2010-05-07,18.15,18.15,17.19,17.22,306738
2010-05-10,18.0,19.1,17.86,18.14,193044
2010-05-11,17.85,18.09,17.63,17.64,148924
2010-05-12,17.69,17.93,17.6,17.68,105846
2010-05-13,17.66,17.81,17.5,17.5,77578
2010-05-14,17.4,17.44,16.66,16.87,207575
2010-05-17,16.95,17.45,16.81,17.38,169208
2010-05-18,17.49,17.59,16.64,16.93,190168
2010-05-19,16.95,17.19,16.71,17.1,206093
2010-05-20,16.79,16.94,16.19,16.22,223360
2010-05-21,16.04,16.7,15.89,16.67,154908
2010-05-24,16.65,16.65,16.2,16.22,92728
2010-05-25,15.93,16.4,15.7,16.39,145758
2010-05-26,16.38,16.56,16.13,16.2,124303
2010-05-27,16.48,16.79,16.37,16.76,85694
2010-05-28,16.75,16.75,16.26,16.34,100258
2010-06-01,16.22,16.39,15.96,15.96,143142
2010-06-02,16.08,16.46,15.91,16.45,105800
2010-06-03,16.56,16.99,16.39,16.7,218840
2010-06-04,16.39,16.59,16.26,16.31,149041
2010-06-07,16.41,16.49,15.84,15.87,116897
2010-06-08,15.94,16.14,15.59,16.01,104620
2010-06-09,16.06,16.18,15.65,15.74,98537
2010-06-10,15.9,16.14,15.81,16.12,120991
2010-06-11,15.95,16.33,15.89,16.32,75828
2010-06-14,16.42,16.44,15.81,15.85,100883
2010-06-15,15.91,16.03,15.78,15.95,95549
2010-06-16,15.85,15.95,15.72,15.78,101118
2010-06-17,15.84,15.91,14.96,15.4,300561
2010-06-18,15.4,15.58,15.36,15.45,105253
2010-06-21,15.67,15.67,15.24,15.29,92566
2010-06-22,15.28,15.36,14.87,14.89,138045
2010-06-23,14.93,15.01,14.75,14.89,97290
2010-06-24,14.8,14.96,14.6,14.62,111912
2010-06-25,14.79,14.97,14.6,14.94,122547
2010-06-28,14.86,15.13,14.82,14.98,106290
2010-06-29,14.81,14.9,14.13,14.18,147132
2010-06-30,14.12,14.45,14.1,14.18,127836
2010-07-01,14.17,14.34,13.75,13.94,138799
2010-07-02,14.01,14.11,13.81,13.94,91203
2010-07-06,14.06,14.32,13.95,14.13,139899
2010-07-07,14.18,14.32,14.04,14.25,143654
2010-07-08,14.28,14.46,13.99,14.11,151739
2010-07-09,14.11,14.33,13.98,14.24,192663
2010-07-12,14.2,14.45,14.13,14.42,113391
2010-07-13,14.49,14.73,14.47,14.59,118554
2010-07-14,14.43,14.62,14.33,14.5,106299
2010-07-15,14.5,14.73,14.28,14.55,116152
2010-07-16,14.99,15.72,14.92,15.14,371597
2010-07-19,15.22,15.38,15.05,15.17,123159
2010-07-20,15.0,15.1,14.71,15.08,114746
2010-07-21,15.24,15.24,14.68,14.7,124408
2010-07-22,14.87,15.16,14.79,15.12,99728
2010-07-23,15.07,15.24,14.93,15.22,78193
2010-07-26,15.27,15.4,15.08,15.33,64309
2010-07-27,15.33,15.44,15.1,15.24,80142
2010-07-28,15.23,15.32,14.93,15.0,94127
2010-07-29,15.11,15.29,14.91,15.04,65643
