交易日期,开盘价,最高价,最低价,收盘价,成交量
2017-10-20,16.25,16.99,14.0,16.08,370251
2017-10-23,16.1,16.4,15.12,15.26,55960
2017-10-24,15.4,15.86,14.77,15.24,36823
2017-10-25,15.1,15.43,13.62,13.73,43007
2017-10-26,13.82,14.16,13.81,14.02,17746
2017-10-27,14.05,14.13,13.8,14.01,23793
2017-10-30,13.98,14.21,13.98,14.1,12043
2017-10-31,14.11,15.11,14.09,15.08,15977
2017-11-01,15.33,15.49,15.19,15.43,12157
2017-11-02,15.27,15.5,14.9,15.24,11541
2017-11-03,15.28,15.39,14.9,14.99,4770
2017-11-06,15.01,15.01,14.89,15.01,6047
2017-11-07,15.0,15.09,14.91,15.0,9527
2017-11-08,15.0,15.0,14.72,14.84,6428
2017-11-09,14.86,14.95,14.47,14.5,10776
2017-11-10,14.52,14.84,14.5,14.72,6088
2017-11-13,14.57,14.75,14.48,14.73,9378
2017-11-14,14.85,15.05,14.82,15.01,10882
2017-11-15,15.0,15.0,14.6,14.71,6967
2017-11-16,15.23,15.25,14.96,15.03,7055
2017-11-17,15.0,15.62,15.0,15.0,12179
2017-11-20,15.45,15.59,15.15,15.49,7497
2017-11-21,15.7,15.73,14.78,14.78,13046
2017-11-22,14.78,14.99,13.72,13.85,37062
2017-11-24,13.88,13.96,12.88,13.33,22075
2017-11-27,13.31,13.56,12.52,12.67,28880
2017-11-28,12.61,12.71,10.81,11.45,46249
2017-11-29,11.5,12.14,10.78,10.97,35553
2017-11-30,11.32,11.94,11.22,11.6,21782
2017-12-01,11.73,12.59,11.65,12.43,13376
2017-12-04,12.32,12.32,11.86,11.98,14361
2017-12-05,11.89,13.02,11.78,12.73,20156
2017-12-06,12.98,13.21,12.03,12.13,17303
2017-12-07,12.2,13.0,12.2,12.92,17310
2017-12-08,12.98,13.32,12.83,13.29,7843
2017-12-11,13.33,13.6,12.7,13.41,11415
2017-12-12,13.34,13.45,12.93,13.19,9929
2017-12-13,13.16,13.18,12.69,12.72,4458
2017-12-14,12.77,13.0,11.72,11.77,10866
2017-12-15,11.73,12.08,11.58,12.0,14258
2017-12-18,11.95,12.23,11.9,11.92,15644
2017-12-19,11.95,12.05,11.76,11.87,6516
2017-12-20,11.9,12.28,11.89,12.22,6783
2017-12-21,12.38,13.24,12.36,12.77,5156
2017-12-22,12.51,13.64,12.51,13.24,7143
2017-12-26,13.17,13.26,12.8,13.0,3144
2017-12-27,13.0,13.45,13.0,13.38,3788
2017-12-28,13.54,13.95,13.32,13.5,5411
2017-12-29,13.52,13.91,13.31,13.33,4607
2018-01-02,13.3,13.62,12.97,13.01,6457
2018-01-03,13.05,13.61,12.91,13.5,6326
2018-01-04,13.5,13.6,13.0,13.0,6562
2018-01-05,13.1,13.92,13.02,13.89,6461
2018-01-08,13.9,14.2,13.57,13.87,11992
2018-01-09,13.89,14.2,13.5,13.82,8008
2018-01-10,13.79,14.06,13.5,13.59,6269
2018-01-11,13.71,14.68,13.52,14.23,7983
2018-01-12,14.27,14.57,12.96,12.97,11103
2018-01-16,13.22,13.53,12.68,12.78,15588
2018-01-17,13.16,13.32,12.58,12.63,6883
2018-01-18,12.63,12.95,12.5,12.58,5950
2018-01-19,12.21,12.58,12.01,12.31,6119
2018-01-22,12.49,12.61,12.3,12.59,10021
2018-01-23,12.6,13.57,12.48,12.9,20722
2018-01-24,13.0,13.09,12.41,12.76,13446
2018-01-25,12.82,12.95,12.54,12.75,11254
2018-01-26,12.85,13.36,12.55,13.29,14681
2018-01-29,13.28,13.28,12.2,12.22,8680
2018-01-30,12.22,12.38,11.97,12.03,6655
2018-01-31,12.17,12.59,12.01,12.26,7416
2018-02-01,12.26,12.43,11.83,11.92,5647
2018-02-02,11.88,12.15,11.75,11.93,8866
2018-02-05,11.88,11.88,11.31,11.5,4474
2018-02-06,11.0,11.54,11.0,11.18,6217
2018-02-07,11.2,11.33,11.03,11.2,3610
2018-02-08,11.2,11.35,10.85,10.88,5736
2018-02-09,11.16,11.42,11.02,11.33,5931
2018-02-12,11.45,11.61,11.17,11.49,8408
2018-02-13,11.4,11.74,11.4,11.6,10351
2018-02-14,11.6,11.84,11.55,11.73,7122
2018-02-15,11.75,12.71,11.73,12.38,13524
2018-02-16,12.4,12.5,12.19,12.33,7177
2018-02-20,12.42,12.46,12.19,12.33,7282
2018-02-21,12.44,12.72,12.36,12.52,7993
2018-02-22,12.54,12.72,11.93,11.96,2475
2018-02-23,12.19,12.22,12.02,12.16,1916
2018-02-26,12.25,13.0,12.08,12.15,6888
2018-02-27,12.29,12.57,12.13,12.26,7967
2018-02-28,12.16,12.16,10.56,10.96,45639
2018-03-01,11.0,11.56,10.86,11.03,28860
2018-03-02,11.0,11.1,10.66,10.67,9160
2018-03-05,10.61,10.98,10.61,10.78,4033
2018-03-06,10.8,10.99,10.71,10.93,5860
2018-03-07,10.95,11.61,10.87,11.59,6281
2018-03-08,11.64,12.0,11.13,11.19,6687
2018-03-09,11.74,11.74,11.0,11.08,3897
2018-03-12,11.22,11.6,11.15,11.46,6054
2018-03-13,11.4,11.4,11.1,11.3,4217
2018-03-14,11.32,11.35,11.01,11.15,14881
2018-03-15,11.15,11.35,11.12,11.15,5239
2018-03-16,11.15,11.65,11.14,11.19,11447
2018-03-19,11.21,11.31,10.73,10.76,8994
2018-03-20,10.8,10.86,10.6,10.72,9532
2018-03-21,10.7,10.95,10.66,10.83,10009
2018-03-22,10.7,10.88,10.7,10.81,8790
2018-03-23,10.68,10.96,10.63,10.78,8927
2018-03-26,10.92,11.05,10.73,11.0,4433
2018-03-27,11.11,11.11,10.74,10.87,7142
2018-03-28,10.8,11.02,10.67,10.93,9881
2018-03-29,11.06,11.36,10.98,11.27,5647
2018-04-02,11.1,11.59,11.09,11.25,7507
2018-04-03,11.25,11.49,10.92,11.11,9044
2018-04-04,11.0,11.13,10.73,11.09,3550
2018-04-05,11.13,11.26,10.88,11.01,2482
2018-04-06,10.92,10.95,10.6,10.66,4873
2018-04-09,10.78,11.29,10.71,10.79,3462
2018-04-10,10.99,10.99,10.6,10.7,3116
2018-04-11,10.69,10.94,10.48,10.5,10948
2018-04-12,10.5,10.68,10.42,10.47,6259
2018-04-13,10.64,10.64,10.22,10.35,6442
2018-04-16,10.38,10.56,10.27,10.53,5905
2018-04-17,10.58,10.93,10.43,10.87,10097
2018-04-18,10.89,11.91,10.87,11.91,12010
2018-04-19,11.7,11.82,11.44,11.59,7676
2018-04-20,11.59,11.71,11.38,11.38,5575
2018-04-23,11.33,11.56,10.7,10.79,9634
2018-04-24,10.73,11.2,10.73,10.97,9943
2018-04-25,10.95,10.95,10.5,10.62,6617
2018-04-26,10.65,10.76,10.46,10.49,6272
2018-04-27,10.58,11.0,10.58,10.61,4460
2018-04-30,10.7,10.78,10.46,10.49,2210
2018-05-01,10.57,10.57,10.36,10.48,5487
2018-05-02,10.58,10.95,10.42,10.9,6047
2018-05-03,10.92,11.0,10.74,10.89,3520
2018-05-04,10.9,10.91,10.6,10.82,4992
2018-05-07,10.76,10.93,10.42,10.48,8345
2018-05-08,10.5,10.64,10.33,10.39,5078
2018-05-09,10.5,10.6,10.06,10.34,11753
2018-05-10,10.3,10.98,10.3,10.96,5095
2018-05-11,10.99,11.01,10.46,10.52,5672
2018-05-14,10.55,10.55,10.3,10.45,2884
2018-05-15,10.4,10.71,10.15,10.64,5733
2018-05-16,11.56,12.0,11.2,11.98,44210
2018-05-17,11.93,12.17,11.66,11.74,17379
2018-05-18,11.84,13.44,11.65,13.07,27421
2018-05-21,13.26,13.72,12.64,13.61,18387
2018-05-22,13.73,13.84,13.2,13.37,9430
2018-05-23,13.34,14.73,13.34,14.26,28695
2018-05-24,14.48,15.04,14.43,14.61,29288
2018-05-25,14.61,14.73,14.49,14.56,22324
2018-05-29,14.54,14.93,13.73,14.9,15824
2018-05-30,14.9,14.9,14.43,14.61,10784
2018-05-31,14.51,15.0,14.5,14.79,11864
2018-06-01,14.8,16.47,14.67,16.31,34850
2018-06-04,16.12,16.5,15.12,15.31,13254
2018-06-05,15.35,16.83,14.86,16.4,35712
2018-06-06,16.51,16.57,15.94,16.0,10047
2018-06-07,16.1,16.21,15.66,15.92,7662
2018-06-08,15.85,16.38,15.66,16.0,6798
2018-06-11,16.0,16.15,15.44,15.87,7746
2018-06-12,15.8,17.19,15.68,16.4,27501
2018-06-13,15.88,16.0,14.53,14.94,80078
2018-06-14,14.94,16.11,14.63,15.96,88411
2018-06-15,15.87,15.87,15.36,15.51,24653
2018-06-18,15.51,15.75,15.31,15.56,13259
2018-06-19,15.18,15.34,14.82,15.1,18283
2018-06-20,15.26,15.32,15.02,15.13,14480
2018-06-21,15.15,15.15,14.65,14.82,21405
2018-06-22,15.25,15.8,15.09,15.39,26847
2018-06-25,15.2,15.2,14.65,14.85,13059
2018-06-26,14.93,15.31,14.7,15.22,22237
2018-06-27,15.36,15.39,14.78,14.82,20494
2018-06-28,14.78,14.81,14.37,14.65,12447
2018-06-29,14.69,15.04,14.55,15.0,10668
2018-07-02,14.78,14.8,14.34,14.51,10284
2018-07-03,14.52,14.95,14.51,14.87,5238
2018-07-05,15.0,15.62,14.82,15.6,32733
2018-07-06,15.37,16.65,15.31,16.53,52299
2018-07-09,16.69,16.74,16.04,16.25,14016
2018-07-10,16.47,16.5,15.43,15.68,15976
2018-07-11,15.51,15.56,14.88,15.49,16779
2018-07-12,15.2,16.1,15.15,16.08,25849
2018-07-13,16.0,16.1,15.51,15.91,8184
2018-07-16,16.0,16.0,15.46,15.62,11817
2018-07-17,15.62,15.79,15.26,15.66,8378
2018-07-18,15.67,15.76,15.49,15.56,10149
2018-07-19,15.58,16.1,15.46,15.75,25995
2018-07-20,15.82,15.82,14.95,15.31,24646
2018-07-23,15.34,15.42,14.41,15.25,17816
2018-07-24,14.99,15.12,14.17,14.3,36338
2018-07-25,14.47,14.86,14.17,14.46,9323
2018-07-26,14.23,14.5,14.23,14.35,4391
2018-07-27,14.4,14.4,13.25,13.46,22061
2018-07-30,13.5,13.77,13.25,13.55,8402
2018-07-31,13.62,14.48,13.62,14.1,13200
2018-08-01,14.05,14.8,14.05,14.62,17672
2018-08-02,14.53,15.21,14.53,14.87,20643
2018-08-03,15.0,15.03,14.34,14.51,9552
2018-08-06,14.59,14.88,14.52,14.75,7552
2018-08-07,14.67,14.74,14.41,14.46,6145
2018-08-08,14.46,14.61,14.33,14.34,7511
2018-08-09,14.43,14.61,14.26,14.3,4139
2018-08-10,14.15,14.22,13.72,13.84,7012
2018-08-13,13.85,14.28,13.77,14.19,8891
2018-08-14,14.23,14.31,13.79,13.95,9410
2018-08-15,13.65,13.71,13.04,13.42,22827
2018-08-16,13.85,13.85,13.14,13.47,9742
2018-08-17,13.31,13.67,13.23,13.58,6435
2018-08-20,13.47,13.91,13.42,13.84,10058
2018-08-21,13.82,14.5,13.82,14.26,14146
2018-08-22,14.83,14.83,13.34,13.57,26672
2018-08-23,13.74,14.38,13.65,14.35,11382
2018-08-24,14.39,14.75,14.39,14.74,14887
2018-08-27,14.85,15.2,14.75,15.16,15931
2018-08-28,15.19,15.25,14.77,15.1,14073
2018-08-29,15.23,15.25,14.84,14.91,9017
2018-08-30,14.78,14.84,13.65,13.88,12524
2018-08-31,13.81,14.27,13.8,14.25,6248
2018-09-04,14.31,14.38,13.52,13.84,10347
2018-09-05,13.8,13.93,13.29,13.49,19483
2018-09-06,13.48,13.82,13.29,13.65,10729
2018-09-07,13.67,13.73,13.32,13.49,8421
2018-09-10,13.68,13.68,12.74,12.77,11854
2018-09-11,12.7,13.02,12.17,12.41,17022
2018-09-12,12.4,13.3,12.13,13.24,20725
2018-09-13,13.42,14.2,13.32,13.92,25640
2018-09-14,13.9,14.0,13.45,13.63,8011
2018-09-17,13.55,13.8,13.41,13.66,5341
2018-09-18,13.58,13.92,13.23,13.66,11226
2018-09-19,13.5,13.61,13.1,13.44,6488
2018-09-20,13.44,13.98,13.26,13.92,14333
2018-09-21,13.98,14.69,13.93,14.6,20136
2018-09-24,14.39,14.5,13.93,14.24,6475
2018-09-25,14.26,14.57,13.89,14.47,3912
2018-09-26,14.0,14.52,13.98,14.22,5140
2018-09-27,14.11,14.35,13.96,14.16,7131
2018-09-28,14.02,14.24,13.63,13.83,9772
2018-10-01,14.0,14.82,13.79,14.49,12752
2018-10-02,14.28,14.28,13.8,13.9,8010
2018-10-03,14.0,14.03,13.75,13.89,6264
2018-10-04,13.76,13.96,12.73,12.82,15629
2018-10-05,12.9,13.05,12.46,12.92,11536
2018-10-08,12.83,12.94,12.31,12.67,7881
2018-10-09,12.55,12.82,12.5,12.69,7237
2018-10-10,12.62,12.74,11.9,11.91,10247
2018-10-11,11.8,12.17,11.66,11.9,19292
2018-10-12,12.6,13.0,12.2,12.77,8414
2018-10-15,12.53,13.19,12.25,13.09,7572
2018-10-16,13.15,13.75,13.01,13.67,13322
2018-10-17,13.51,13.7,13.24,13.69,4649
2018-10-18,13.43,13.5,12.87,13.19,12241
2018-10-19,13.21,13.51,12.92,12.94,12662
2018-10-22,13.08,13.24,12.89,13.1,5439
2018-10-23,12.83,13.12,12.56,13.04,6842
2018-10-24,12.93,13.04,12.51,12.51,3856
2018-10-25,12.6,12.89,12.34,12.75,4655
2018-10-26,12.34,12.98,12.26,12.62,3868
2018-10-29,12.67,12.93,11.9,12.1,4071
2018-10-30,12.1,12.83,12.06,12.39,9795
2018-10-31,12.58,13.23,12.28,13.05,17463
2018-11-01,13.13,13.19,12.91,13.02,8324
2018-11-02,13.0,13.0,12.43,12.86,8003
2018-11-05,12.82,12.92,12.01,12.21,13939
2018-11-06,12.16,12.92,12.12,12.65,24357
2018-11-07,12.78,13.39,12.58,13.19,35298
2018-11-08,12.94,13.21,12.72,13.05,6716
2018-11-09,12.85,12.9,12.23,12.33,9052
2018-11-12,12.24,12.94,12.14,12.78,13628
2018-11-13,12.76,12.78,12.27,12.44,9576
2018-11-14,12.54,12.78,12.13,12.24,4577
2018-11-15,12.21,12.5,12.21,12.46,8811
2018-11-16,12.18,12.79,12.18,12.51,10256
2018-11-19,12.85,13.12,12.57,12.7,17336
2018-11-20,12.38,12.52,11.6,12.11,23801
2018-11-21,11.76,13.04,11.68,12.8,30054
2018-11-23,12.71,12.9,12.49,12.9,8438
2018-11-26,12.97,13.13,12.29,12.63,20967
2018-11-27,12.63,13.59,12.61,13.33,46445
2018-11-28,13.39,13.47,12.45,13.25,25751
2018-11-29,13.19,13.4,12.85,12.9,12171
2018-11-30,12.88,13.81,12.78,13.34,29679
2018-12-03,13.6,13.66,12.91,13.29,16936
2018-12-04,13.22,13.3,12.38,12.45,11273
2018-12-06,12.25,12.5,11.9,12.44,16761
2018-12-07,12.46,12.56,11.85,12.1,11200
2018-12-10,12.09,12.11,11.45,11.81,12888
2018-12-11,11.99,12.26,11.89,12.0,6511
2018-12-12,12.27,12.89,12.23,12.23,14245
2018-12-13,12.4,12.61,12.04,12.16,3579
2018-12-14,12.04,12.32,11.76,11.87,5892
2018-12-17,11.91,11.91,11.5,11.71,9011
2018-12-18,11.73,11.97,11.52,11.66,6282
2018-12-19,11.77,11.9,11.33,11.41,4925
2018-12-20,11.32,11.73,10.71,10.99,10864
2018-12-21,11.06,11.17,10.51,10.74,8907
2018-12-24,10.75,10.99,10.6,10.74,1925
2018-12-26,10.86,11.41,10.8,11.39,5249
2018-12-27,11.26,11.42,10.98,11.4,4127
2018-12-28,11.32,11.44,11.1,11.15,6869
2018-12-31,11.31,11.45,11.13,11.32,5063
2019-01-02,11.12,11.24,10.98,11.05,5002
2019-01-03,10.96,11.18,10.68,10.72,8193
2019-01-04,10.87,11.66,10.87,11.56,8468
2019-01-07,11.53,11.99,11.43,11.95,4345
2019-01-08,12.0,12.47,11.98,12.3,12695
2019-01-09,12.3,12.56,11.93,12.5,19263
2019-01-10,12.46,12.67,12.18,12.57,5125
2019-01-11,12.57,13.09,12.46,12.57,21788
2019-01-14,12.44,12.46,12.01,12.05,8368
2019-01-15,12.09,12.34,11.92,12.18,16648
2019-01-16,12.18,12.71,11.95,12.38,16385
2019-01-17,12.42,12.61,12.22,12.39,15296
2019-01-18,12.6,12.95,12.46,12.6,14513
2019-01-22,12.5,13.32,12.31,13.05,25485
2019-01-23,13.17,13.22,12.69,12.71,10473
2019-01-24,12.66,13.17,12.56,13.12,11191
2019-01-25,13.19,13.87,13.06,13.63,30551
2019-01-28,13.5,13.61,13.0,13.51,7675
2019-01-29,13.59,13.6,13.26,13.45,3359
2019-01-30,13.56,13.56,13.35,13.56,6317
2019-01-31,13.33,14.24,13.27,14.01,30791
2019-02-01,14.0,15.38,13.96,15.33,39045
2019-02-04,15.17,15.26,14.77,14.96,17879
2019-02-05,15.07,15.12,14.85,15.02,11251
2019-02-06,15.02,15.04,14.66,14.8,7003
2019-02-07,14.7,14.87,14.38,14.75,9540
2019-02-08,14.75,15.2,14.51,15.1,20472
2019-02-11,15.19,15.76,15.05,15.51,44109
2019-02-12,15.66,16.17,15.56,16.0,62980
2019-02-13,16.05,16.14,15.68,15.88,26355
2019-02-14,15.78,16.01,15.51,16.0,18951
2019-02-15,15.95,16.0,15.54,16.0,13605
2019-02-19,16.0,16.06,15.91,16.0,17599
2019-02-20,16.0,16.02,15.76,15.84,32683
2019-02-21,15.71,15.96,15.35,15.71,17631
2019-02-22,15.85,16.22,15.82,15.99,35884
2019-02-25,16.3,16.39,15.79,15.9,36233
2019-02-26,15.81,16.59,15.76,16.2,46791
2019-02-27,18.61,22.12,18.48,21.86,236347
2019-02-28,21.45,21.69,20.82,21.5,64573
2019-03-01,21.61,23.6,21.2,23.2,70246
2019-03-04,21.4,23.22,21.0,23.01,88266
2019-03-05,23.21,25.14,22.59,24.06,93710
2019-03-06,23.35,23.4,22.53,22.88,245954
2019-03-07,22.72,23.59,22.14,23.44,111545
2019-03-08,22.92,23.72,22.72,23.7,48431
2019-03-11,23.96,24.04,23.11,23.32,67422
2019-03-12,23.4,23.61,22.63,23.1,55995
2019-03-13,23.06,23.28,22.77,22.88,41142
2019-03-14,22.82,23.48,22.82,22.9,44094
2019-03-15,22.95,23.74,22.88,23.51,79082
2019-03-18,23.56,24.55,23.53,24.22,55773
2019-03-19,24.45,24.66,23.68,24.04,46036
2019-03-20,23.98,24.61,23.73,24.37,41136
2019-03-21,24.22,24.86,23.88,24.65,40033
2019-03-22,24.34,25.0,23.92,24.15,25922
2019-03-25,24.13,24.13,22.95,23.97,22519
2019-03-26,24.05,24.51,24.01,24.36,22624
2019-03-27,24.4,24.76,23.45,23.8,44968
2019-03-28,23.73,23.79,23.23,23.53,33191
2019-03-29,23.71,23.78,22.75,23.52,36594
2019-04-01,23.6,23.99,23.09,23.35,44219
2019-04-02,23.4,23.49,22.81,23.3,21102
2019-04-03,23.33,23.63,23.02,23.31,24820
2019-04-04,23.39,23.39,21.83,22.0,51280
2019-04-05,22.23,23.29,22.19,23.0,39367
2019-04-08,22.85,22.85,22.01,22.35,33152
2019-04-09,22.57,22.64,21.9,22.1,25133
2019-04-10,22.16,22.52,22.06,22.52,33803
2019-04-11,22.52,23.5,22.52,23.41,50914
2019-04-12,23.53,23.95,23.17,23.63,35110
2019-04-15,23.7,23.84,23.27,23.65,18450
2019-04-16,23.72,24.06,23.19,23.45,23553
2019-04-17,23.54,23.83,22.77,22.85,35913
2019-04-18,22.94,23.16,22.49,22.97,34195
2019-04-22,22.78,23.85,22.6,23.68,38384
2019-04-23,23.94,24.82,23.94,24.42,57964
2019-04-24,24.42,24.86,24.21,24.5,25650
2019-04-25,24.45,24.6,24.07,24.35,21865
2019-04-26,24.53,25.79,24.28,25.55,43379
2019-04-29,25.56,26.3,25.2,25.36,65035
2019-04-30,25.3,25.43,24.66,24.89,17271
2019-05-01,25.13,25.79,24.89,24.97,36245
2019-05-02,25.0,25.2,23.06,24.7,32065
2019-05-03,25.0,25.57,24.73,25.2,23415
2019-05-06,24.26,25.29,24.06,25.19,23233
2019-05-07,24.98,25.08,23.94,24.3,41522
2019-05-08,24.32,25.19,24.0,24.59,36567
2019-05-09,24.3,24.83,23.92,24.74,15813
2019-05-10,24.61,25.86,24.56,25.69,32995
2019-05-13,25.02,25.18,23.4,24.38,45785
2019-05-14,24.9,25.0,24.45,24.92,52625
2019-05-15,24.76,25.74,24.65,25.6,29853
2019-05-16,25.75,27.2,25.6,26.93,51166
2019-05-17,26.94,26.94,26.33,26.67,44548
2019-05-20,26.41,26.41,24.59,25.8,53033
2019-05-21,26.25,26.75,25.26,25.39,50485
2019-05-22,30.87,32.0,28.8,31.5,214302
2019-05-23,31.1,31.1,29.95,30.59,55177
2019-05-24,30.61,31.4,29.72,29.99,30832
2019-05-28,29.98,30.62,29.13,29.19,28049
2019-05-29,29.1,29.13,27.95,28.33,27168
2019-05-30,28.42,29.04,27.94,28.37,28479
2019-05-31,28.02,28.79,27.7,28.44,17782
2019-06-03,28.44,28.99,27.52,27.97,24815
2019-06-04,28.19,28.76,27.38,28.73,35501
2019-06-05,28.95,29.47,28.11,29.23,18666
2019-06-06,29.25,29.89,29.0,29.74,22757
2019-06-07,29.94,30.99,29.87,30.85,21661
2019-06-10,31.08,31.1,30.56,30.8,15785
2019-06-11,31.0,31.1,29.44,30.49,24581
2019-06-12,30.01,31.41,29.78,31.22,23879
2019-06-13,32.44,32.44,30.59,30.76,19486
2019-06-14,30.61,30.74,29.77,29.96,19378
2019-06-17,29.98,30.3,29.62,29.95,19721
2019-06-18,30.45,31.89,30.4,31.26,36043
2019-06-19,31.58,31.59,30.54,31.49,39627
2019-06-20,32.01,32.35,31.08,32.3,49210
2019-06-21,32.31,34.75,32.3,34.45,65210
2019-06-24,34.5,34.6,33.94,34.19,21696
