交易日期,开盘价,最高价,最低价,收盘价,成交量
2015-05-20,17.0,17.0,17.0,17.0,0
2015-05-21,28.0,28.74,24.11,25.68,119344
2015-05-22,26.17,31.1,26.0,28.31,25915
2015-05-26,29.8,30.34,29.08,29.65,7128
2015-05-27,30.82,30.82,27.0,27.5,7251
2015-05-28,27.55,27.74,26.48,27.45,3658
2015-05-29,27.25,27.38,26.87,27.2,2421
2015-06-01,27.2,27.44,26.6,27.33,2470
2015-06-02,27.47,27.47,26.65,26.95,3552
2015-06-03,26.76,27.5,26.5,27.44,2920
2015-06-04,27.42,27.49,25.51,26.78,3113
2015-06-05,26.66,27.39,26.1,27.39,1216
2015-06-08,26.9,27.48,26.82,26.98,2709
2015-06-09,26.64,28.46,26.64,28.34,3242
2015-06-10,28.45,28.88,27.95,28.1,2649
2015-06-11,28.49,30.73,28.49,30.73,4342
2015-06-12,31.32,33.7,31.25,33.63,8023
2015-06-15,33.97,38.12,32.92,35.5,16158
2015-06-16,36.06,38.38,35.84,38.11,10615
2015-06-17,39.63,42.13,38.01,38.63,15208
2015-06-18,38.42,38.89,34.32,35.55,10994
2015-06-19,36.42,36.74,32.55,35.52,8882
2015-06-22,36.76,38.5,36.09,36.94,7439
2015-06-23,37.75,38.17,35.17,35.43,2743
2015-06-24,35.12,37.43,34.14,35.96,5460
2015-06-25,36.34,36.5,34.8,34.84,1968
2015-06-26,34.87,35.32,32.63,33.52,3323
2015-06-29,32.52,33.51,31.2,31.32,2986
2015-06-30,31.5,34.44,31.5,33.95,4543
2015-07-01,34.03,34.97,29.88,31.11,9722
2015-07-02,31.51,31.73,30.62,31.31,2850
2015-07-06,31.07,31.74,30.38,30.53,1378
2015-07-07,30.47,30.83,28.5,30.76,3365
2015-07-08,30.02,30.36,29.03,29.19,1773
2015-07-09,29.73,30.38,28.8,29.06,2254
2015-07-10,29.32,30.29,29.1,29.6,2712
2015-07-13,29.85,30.99,29.76,30.42,2069
2015-07-14,30.78,31.33,30.5,30.86,1374
2015-07-15,30.89,31.01,28.91,29.34,3439
2015-07-16,29.06,29.87,28.93,29.39,1397
2015-07-17,29.32,32.35,29.15,32.27,15943
2015-07-20,32.37,33.93,31.64,33.75,3905
2015-07-21,33.93,34.66,32.09,33.22,3919
2015-07-22,32.99,33.49,31.36,32.14,2468
2015-07-23,32.59,34.43,32.58,33.11,2549
2015-07-24,33.45,34.75,33.24,33.57,3434
2015-07-27,33.4,33.95,32.05,32.87,1931
2015-07-28,33.5,34.48,32.83,34.06,1666
2015-07-29,34.1,34.85,33.2,34.16,1916
2015-07-30,38.66,40.25,37.01,38.13,10714
2015-07-31,38.13,38.25,36.35,37.39,5032
2015-08-03,37.49,40.49,36.6,40.36,4975
2015-08-04,38.95,41.11,38.13,38.41,5255
2015-08-05,39.02,39.97,38.16,38.45,2673
2015-08-06,38.4,38.75,35.2,36.28,3618
2015-08-07,36.27,36.27,34.25,35.16,3048
2015-08-10,35.3,36.14,32.87,33.47,4623
2015-08-11,33.66,35.59,32.96,35.14,2468
2015-08-12,34.85,35.21,33.75,34.73,2040
2015-08-13,34.79,36.49,34.51,35.31,1983
2015-08-14,35.0,35.75,34.09,34.56,1184
2015-08-17,34.77,35.0,33.3,34.41,1404
2015-08-18,34.18,34.18,32.48,32.6,1723
2015-08-19,32.37,32.47,30.6,31.1,4246
2015-08-20,30.76,31.1,29.15,29.22,2489
2015-08-21,28.74,29.97,27.31,27.77,3830
2015-08-24,25.51,28.49,22.7,26.28,3958
2015-08-25,28.29,29.78,26.85,26.93,2864
2015-08-26,28.5,28.57,26.3,28.22,3435
2015-08-27,28.94,29.6,27.8,28.51,2484
2015-08-28,28.36,29.01,27.72,28.0,1241
2015-08-31,28.14,28.77,27.09,27.54,1211
2015-09-01,27.29,27.29,26.39,26.6,1169
2015-09-02,26.73,27.55,26.06,26.7,1566
2015-09-03,26.56,28.0,26.51,27.15,1221
2015-09-04,26.98,27.23,26.37,26.81,1166
2015-09-08,27.03,27.65,26.74,27.14,907
2015-09-09,27.9,28.51,25.89,26.01,2942
2015-09-10,26.05,26.48,25.58,25.77,1181
2015-09-11,25.55,26.47,25.55,26.36,1782
2015-09-14,26.27,27.26,26.01,27.21,2113
2015-09-15,27.14,28.46,27.1,28.11,2371
2015-09-16,28.13,29.26,28.04,28.91,1229
2015-09-17,29.89,37.95,29.85,35.55,20045
2015-09-18,35.53,37.47,34.52,35.66,7255
2015-09-21,35.7,37.0,34.75,34.83,3612
2015-09-22,34.5,34.5,32.81,33.66,3030
2015-09-23,33.53,34.67,32.83,33.5,3186
2015-09-24,32.98,34.09,32.09,33.47,2122
2015-09-25,33.85,35.64,33.12,33.91,3349
2015-09-28,33.64,33.97,32.5,33.05,1792
2015-09-29,32.41,33.99,32.41,33.64,2003
2015-09-30,35.49,35.77,33.66,35.2,2767
2015-10-01,35.37,35.75,33.73,35.07,2269
2015-10-02,34.65,36.1,34.19,35.81,2163
2015-10-05,36.05,39.29,36.05,36.76,6038
2015-10-06,36.72,37.42,35.01,36.21,2548
2015-10-07,36.01,37.37,35.9,37.33,2167
2015-10-08,37.21,39.0,36.45,38.24,4443
2015-10-09,38.4,38.88,36.6,37.02,1481
2015-10-12,37.04,37.35,30.5,34.31,7674
2015-10-13,34.97,35.6,33.06,33.12,1776
2015-10-14,33.49,34.5,32.23,33.64,2786
2015-10-15,33.64,34.42,33.2,34.14,2410
2015-10-16,34.51,34.59,33.4,34.33,2464
2015-10-19,34.28,34.89,33.11,33.36,2716
2015-10-20,33.44,33.53,31.19,31.5,2491
2015-10-21,31.54,32.54,31.32,31.95,1380
2015-10-22,32.27,32.45,31.71,32.01,2126
2015-10-23,31.98,32.44,31.09,31.66,1862
2015-10-26,31.66,31.75,30.76,31.07,972
2015-10-27,30.68,31.04,29.72,31.04,1889
2015-10-28,30.62,31.24,30.26,31.12,996
2015-10-29,30.82,32.02,30.11,31.59,1433
2015-10-30,31.49,32.49,31.0,32.22,2419
2015-11-02,32.36,33.62,30.91,30.96,2211
2015-11-03,31.05,31.75,29.64,31.44,5091
2015-11-04,33.73,33.93,29.63,31.75,8794
2015-11-05,32.77,33.54,31.35,31.62,5193
2015-11-06,31.6,32.41,31.49,31.54,3755
2015-11-09,31.63,31.64,29.74,30.23,2711
2015-11-10,30.1,30.45,28.2,28.59,3130
2015-11-11,28.83,29.0,27.7,28.18,2848
2015-11-12,28.0,29.89,27.58,28.86,4990
2015-11-13,28.93,30.0,28.17,28.33,3310
2015-11-16,28.26,28.63,26.38,27.35,6715
2015-11-17,26.35,27.0,25.53,26.39,24611
2015-11-18,26.87,28.0,26.5,28.0,18028
2015-11-19,28.0,29.72,27.84,29.45,11471
2015-11-20,29.5,29.6,27.72,28.23,6562
2015-11-23,28.15,29.0,27.86,28.87,3658
2015-11-24,28.46,28.46,26.81,26.95,11356
2015-11-25,27.25,27.68,26.26,26.44,8920
2015-11-27,26.8,26.98,26.3,26.71,2927
2015-11-30,26.9,26.96,26.22,26.34,4766
2015-12-01,26.18,26.7,26.18,26.28,3972
