交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,48.205,48.64,48.125,48.49,3668
2006-12-12,48.69,48.875,48.35,48.76,7708
2006-12-13,48.54,48.74,48.445,48.67,4022
2006-12-14,48.565,48.86,48.305,48.305,3260
2006-12-15,49.01,49.11,48.46,48.56,6544
2006-12-18,48.485,48.51,47.765,47.93,7726
2006-12-19,47.75,48.315,47.635,48.285,8670
2006-12-20,48.505,48.61,47.9,48.0,7044
2006-12-21,48.5,48.605,48.23,48.53,6950
2006-12-22,48.375,48.385,47.625,47.95,4196
2006-12-26,48.055,48.155,47.97,48.125,1188
2006-12-27,48.775,48.805,48.455,48.79,3070
2006-12-28,49.375,49.495,49.12,49.295,12234
2006-12-29,49.495,49.6,49.25,49.275,2700
2007-01-03,50.005,50.045,49.275,49.34,10264
2007-01-04,49.34,49.685,49.23,49.6,9080
2007-01-05,49.6,49.64,48.88,49.105,5020
2007-01-08,49.53,49.53,48.875,49.15,5136
2007-01-09,50.655,50.655,49.73,50.025,9024
2007-01-10,49.41,49.52,49.08,49.5,7550
2007-01-11,49.035,49.725,48.85,49.425,9308
2007-01-12,49.86,50.2,49.81,50.075,16316
2007-01-16,50.41,50.555,50.075,50.145,6770
2007-01-17,50.625,50.835,50.49,50.715,8316
2007-01-18,50.87,51.0,50.505,50.575,7304
2007-01-19,50.25,50.76,50.165,50.705,5116
2007-01-22,50.575,50.575,49.68,49.92,6334
2007-01-23,49.02,49.24,48.6,49.21,9592
2007-01-24,48.895,50.1,48.795,50.095,17262
2007-01-25,53.185,53.325,52.47,52.545,23622
2007-01-26,52.825,52.855,52.325,52.525,11708
2007-01-29,52.645,52.945,52.58,52.765,10426
2007-01-30,54.955,55.775,54.835,55.31,20758
2007-01-31,55.34,55.595,54.845,55.365,14048
2007-02-01,55.22,55.685,55.22,55.585,11212
2007-02-02,55.125,55.325,54.635,54.825,8832
2007-02-05,54.195,54.475,54.05,54.29,9986
2007-02-06,54.06,54.06,53.19,53.575,13134
2007-02-07,53.895,54.73,53.895,54.5,9218
2007-02-08,54.02,54.29,53.66,53.965,8496
2007-02-09,54.105,54.255,53.605,53.725,5954
2007-02-12,53.825,54.405,53.515,54.405,21130
2007-02-13,54.41,54.8,54.41,54.73,6528
2007-02-14,54.9,55.45,54.9,55.405,12864
2007-02-15,55.055,55.225,54.83,54.93,10292
2007-02-16,55.36,55.485,55.085,55.42,9414
2007-02-20,55.645,55.645,55.135,55.47,8158
2007-02-21,55.565,55.585,55.085,55.555,9914
2007-02-22,55.715,56.195,55.715,56.125,9804
2007-02-23,55.55,55.875,55.495,55.81,9032
2007-02-26,55.43,55.67,55.175,55.495,9410
2007-02-27,54.41,54.695,51.93,52.875,17410
2007-02-28,52.97,53.15,52.25,52.82,14512
2007-03-01,51.95,52.41,51.475,52.03,10016
2007-03-02,51.78,52.115,51.305,51.35,7828
2007-03-05,49.995,50.9,49.995,50.265,12370
2007-03-06,50.885,51.54,50.885,51.445,13202
2007-03-07,51.09,51.85,50.97,51.455,7636
2007-03-08,52.53,52.7,52.25,52.305,6636
2007-03-09,52.865,53.33,52.295,52.48,10428
2007-03-12,52.895,53.41,52.83,53.3,5934
2007-03-13,52.72,53.1,51.755,51.76,8316
2007-03-14,51.53,51.77,50.705,51.69,12756
2007-03-15,51.85,52.245,51.295,52.135,6956
2007-03-16,52.155,52.845,52.11,52.675,6860
2007-03-19,52.84,53.065,52.775,52.835,6118
2007-03-20,52.49,53.09,52.34,53.09,5420
2007-03-21,52.89,54.345,52.81,54.295,10026
2007-03-22,55.115,55.375,54.6,54.76,13532
2007-03-23,54.67,55.05,54.43,54.565,6352
2007-03-26,55.075,55.075,54.095,54.75,8532
2007-03-27,54.55,54.55,54.06,54.305,5888
2007-03-28,53.405,53.405,52.75,52.89,10722
2007-03-29,53.08,53.505,52.845,53.32,8194
2007-03-30,53.315,53.7,53.095,53.6,10040
2007-04-02,53.505,53.65,53.32,53.63,5980
2007-04-03,53.4,54.265,53.375,54.1,6420
2007-04-04,54.475,54.95,54.275,54.75,5658
2007-04-05,55.565,56.12,55.485,55.995,8076
2007-04-09,56.1,56.145,55.505,55.615,3914
2007-04-10,56.5,57.75,56.5,57.55,10096
2007-04-11,57.53,57.655,57.07,57.155,11406
2007-04-12,56.6,57.165,56.275,57.07,9300
2007-04-13,57.345,58.15,57.32,58.13,9000
2007-04-16,59.455,59.71,59.38,59.55,9778
2007-04-17,59.19,60.08,59.19,59.75,11568
