交易日期,开盘价,最高价,最低价,收盘价,成交量
2006-12-11,40.1,40.72,40.1,40.38,10023
2006-12-12,40.82,41.08,40.41,41.02,11384
2006-12-13,41.54,41.92,41.49,41.76,10679
2006-12-14,42.22,42.81,42.22,42.8,15596
2006-12-15,43.15,43.41,43.08,43.4,18088
2006-12-18,43.73,43.78,42.94,43.13,11769
2006-12-19,42.83,43.01,42.42,42.82,9250
2006-12-20,42.95,43.16,42.88,43.01,8439
2006-12-21,42.9,43.1,42.68,42.92,10416
2006-12-22,42.89,42.98,42.25,42.7,8908
2006-12-26,42.69,43.05,42.67,42.95,3049
2006-12-27,43.14,43.42,43.14,43.35,5171
2006-12-28,43.15,43.3,42.97,43.19,5275
2006-12-29,43.0,43.25,42.84,42.86,7186
2007-01-03,42.9,43.37,42.73,42.91,11396
2007-01-04,43.18,43.88,43.12,43.76,11805
2007-01-05,43.98,45.6,43.96,44.83,30709
2007-01-08,44.81,45.33,44.43,44.8,20944
2007-01-09,46.25,47.0,45.8,46.41,16917
2007-01-10,45.65,45.95,45.38,45.78,8217
2007-01-11,45.27,45.99,45.26,45.68,9457
2007-01-12,46.5,47.85,46.4,47.68,41156
2007-01-16,47.22,47.31,46.78,47.01,14804
2007-01-17,47.12,47.9,47.0,47.54,16385
2007-01-18,46.75,46.75,46.22,46.38,18799
2007-01-19,46.46,47.2,46.46,47.08,15080
2007-01-22,47.0,47.04,46.0,46.3,12784
2007-01-23,46.45,46.95,46.44,46.6,9932
2007-01-24,46.6,46.92,46.43,46.86,5518
2007-01-25,47.34,47.68,47.0,47.12,16315
2007-01-26,47.9,48.01,47.31,47.75,11761
2007-01-29,47.25,47.31,46.76,46.94,20851
2007-01-30,46.95,47.09,46.21,46.3,21580
2007-01-31,45.88,46.4,45.63,46.3,11580
2007-02-01,47.14,47.63,47.13,47.47,12713
2007-02-02,47.71,47.85,47.45,47.6,6418
2007-02-05,47.5,47.72,47.32,47.64,7429
2007-02-06,48.5,48.91,48.43,48.81,14423
2007-02-07,48.7,48.81,48.46,48.71,9970
2007-02-08,48.19,48.49,48.13,48.4,13066
2007-02-09,49.22,49.5,48.82,49.1,8656
2007-02-12,49.1,49.15,48.51,48.84,6081
2007-02-13,49.4,49.8,49.4,49.72,7900
2007-02-14,51.45,52.04,51.4,51.95,16215
2007-02-15,51.5,51.88,50.66,51.79,17326
2007-02-16,52.06,52.73,52.06,52.55,14799
2007-02-20,52.0,52.61,51.97,52.58,13117
2007-02-21,52.55,53.26,52.5,52.9,13673
2007-02-22,52.7,52.78,52.3,52.53,9897
2007-02-23,52.85,53.0,52.04,52.35,21821
2007-02-26,52.99,52.99,52.48,52.95,10695
2007-02-27,53.2,53.34,51.11,51.66,27198
2007-02-28,51.8,52.19,51.14,51.75,15397
2007-03-01,51.6,52.03,50.05,51.9,25798
2007-03-02,49.03,50.41,48.28,49.42,32097
2007-03-05,49.07,49.64,48.8,49.0,12945
2007-03-06,50.75,50.98,50.09,50.69,10662
2007-03-07,49.97,50.46,49.92,50.1,5908
2007-03-08,51.23,51.64,51.23,51.42,8899
2007-03-09,52.27,52.57,51.67,52.49,18027
2007-03-12,52.63,53.01,52.62,52.88,8480
2007-03-13,51.92,52.15,51.26,51.27,7839
2007-03-14,50.35,50.98,49.64,50.56,12231
2007-03-15,50.55,51.27,50.51,51.08,8226
2007-03-16,51.21,51.64,51.08,51.28,11669
2007-03-19,52.31,52.54,51.82,52.35,11056
2007-03-20,51.55,52.26,51.55,51.85,6525
2007-03-21,51.7,52.96,51.3,52.77,12956
2007-03-22,52.01,52.99,52.01,52.86,6005
2007-03-23,53.22,53.24,52.8,53.08,4697
2007-03-26,53.14,53.14,52.2,52.47,14522
2007-03-27,52.49,52.49,51.81,52.31,6134
2007-03-28,51.81,51.9,51.13,51.18,9653
2007-03-29,51.04,51.3,50.68,51.06,8073
2007-03-30,50.73,51.08,50.4,50.53,8941
2007-04-02,50.27,50.31,49.77,49.85,11782
2007-04-03,50.85,51.25,50.59,51.03,9259
2007-04-04,51.8,51.82,51.51,51.8,5686
2007-04-05,52.0,52.25,51.91,52.18,6345
2007-04-09,53.62,53.76,53.14,53.25,12130
2007-04-10,53.74,54.18,53.68,54.04,8682
2007-04-11,53.82,53.88,53.13,53.38,6222
2007-04-12,53.2,54.8,53.05,54.52,17353
2007-04-13,54.9,54.94,54.43,54.94,8057
2007-04-16,54.75,55.54,54.75,55.46,8198
2007-04-17,55.05,55.26,54.9,55.22,4368
2007-04-18,55.2,55.35,55.01,55.19,7461
2007-04-19,54.3,54.81,54.2,54.4,5168
2007-04-20,54.76,54.86,54.4,54.71,6092
2007-04-23,54.5,54.79,54.32,54.75,8433
2007-04-24,54.86,54.88,54.41,54.5,7805
2007-04-25,54.19,55.37,54.09,55.21,14443
2007-04-26,54.21,54.4,54.08,54.2,8289
2007-04-27,53.56,53.9,53.17,53.53,5249
2007-04-30,53.37,53.83,53.25,53.27,3720
2007-05-01,52.94,53.03,52.52,52.86,5042
2007-05-02,53.38,53.87,53.17,53.7,3663
2007-05-03,53.55,53.75,53.12,53.69,2831
2007-05-04,53.88,54.16,53.75,53.95,6429
2007-05-07,54.53,54.54,53.79,54.44,4366
2007-05-08,54.36,54.51,54.09,54.51,3603
2007-05-09,55.42,55.73,55.23,55.63,5192
2007-05-10,54.39,54.58,53.6,53.81,6473
2007-05-11,53.82,54.19,53.54,54.06,3738
2007-05-14,54.19,54.39,53.87,54.1,2904
2007-05-15,53.09,53.17,52.51,52.74,9616
2007-05-16,54.91,56.09,54.6,55.87,19552
2007-05-17,54.9,55.19,54.52,55.12,10067
2007-05-18,55.27,55.82,55.27,55.57,7219
2007-05-21,56.93,57.8,56.92,57.37,8480
2007-05-22,58.85,59.84,58.8,59.46,11820
2007-05-23,58.68,59.04,58.06,58.07,7490
2007-05-24,57.4,57.56,56.25,56.56,9515
2007-05-25,56.58,57.03,56.42,56.75,7414
2007-05-29,56.89,57.0,56.41,56.71,7854
2007-05-30,56.62,57.41,56.51,57.3,6294
2007-05-31,57.7,57.92,57.51,57.68,5630
2007-06-01,57.2,57.33,56.9,57.07,3925
2007-06-04,56.82,56.93,56.31,56.66,3900
2007-06-05,56.47,56.47,55.7,55.97,4526
2007-06-06,56.1,56.25,55.48,55.68,10464
2007-06-07,55.68,55.81,54.67,54.67,9724
2007-06-08,54.13,54.8,53.87,54.72,3863
2007-06-11,54.5,55.37,54.5,54.88,6269
2007-06-12,53.81,54.3,53.55,53.6,4204
2007-06-13,54.39,55.13,54.39,55.0,7250
2007-06-14,54.3,54.69,54.21,54.51,4409
2007-06-15,54.9,55.12,54.42,54.47,8137
2007-06-18,54.41,54.44,53.75,54.12,8532
2007-06-19,54.15,54.35,53.94,54.18,7223
2007-06-20,53.7,53.78,52.98,53.14,5165
2007-06-21,52.69,53.26,52.05,53.1,8398
2007-06-22,52.6,53.1,52.35,52.41,6147
2007-06-25,52.29,52.55,51.83,52.0,5134
2007-06-26,51.96,52.0,51.21,51.34,6831
2007-06-27,50.96,51.42,50.88,51.13,16190
2007-06-28,50.67,50.87,50.44,50.47,13934
2007-06-29,51.2,51.7,51.1,51.39,15039
2007-07-03,50.76,50.81,50.32,50.71,5758
2007-07-05,52.62,52.67,52.05,52.37,8370
2007-07-06,53.2,53.27,52.84,53.06,6392
2007-07-09,52.99,53.11,52.75,53.02,5597
2007-07-10,52.44,52.61,52.1,52.15,6416
2007-07-11,51.82,52.1,51.63,52.08,4880
2007-07-12,52.18,52.87,52.09,52.75,5558
2007-07-13,52.41,52.88,52.35,52.78,5294
2007-07-16,52.65,52.75,52.3,52.44,4858
2007-07-17,51.91,52.05,51.61,51.91,5201
2007-07-18,51.8,51.85,50.76,51.5,11763
2007-07-19,52.32,52.35,51.93,52.22,4803
2007-07-20,51.47,51.63,50.79,51.21,5413
2007-07-23,51.15,51.56,51.05,51.11,4211
2007-07-24,51.96,51.96,51.31,51.66,8798
2007-07-25,52.1,52.74,51.78,52.38,9599
2007-07-26,52.49,52.59,50.42,51.46,20040
2007-07-27,53.87,53.94,51.42,53.22,22273
2007-07-30,53.49,54.12,52.96,53.75,11622
2007-07-31,53.4,53.59,52.66,52.66,10575
2007-08-01,51.84,52.42,51.35,52.05,9072
2007-08-02,51.27,51.58,50.76,51.36,10497
2007-08-03,51.06,51.16,49.75,49.89,16645
2007-08-06,50.28,50.74,49.74,50.6,9594
2007-08-07,50.84,50.95,49.92,50.62,7903
2007-08-08,49.9,50.72,48.91,49.47,24294
2007-08-09,49.66,49.94,48.67,48.9,20497
2007-08-10,48.54,48.55,46.43,47.98,27384
2007-08-13,48.56,48.72,48.23,48.52,7912
2007-08-14,47.97,48.03,47.05,47.13,10011
2007-08-15,47.17,47.58,46.38,46.45,11766
2007-08-16,46.32,46.87,43.86,46.7,31775
2007-08-17,46.6,47.18,45.47,46.56,13999
2007-08-20,45.42,46.01,45.3,45.8,14038
2007-08-21,45.8,46.32,45.61,46.27,9079
2007-08-22,46.36,46.87,46.23,46.65,4809
2007-08-23,47.0,47.18,46.66,46.86,5310
2007-08-24,46.82,47.54,46.54,47.37,3671
2007-08-27,46.55,46.6,46.22,46.33,5743
2007-08-28,46.2,46.46,45.3,45.4,5565
2007-08-29,45.51,46.15,45.43,46.13,6683
2007-08-30,45.48,46.3,45.48,45.95,3607
2007-08-31,47.75,48.1,47.34,47.71,8739
2007-09-04,48.35,49.41,48.3,49.0,8853
2007-09-05,49.4,49.77,49.22,49.6,9706
2007-09-06,49.8,49.9,49.03,49.3,10879
2007-09-07,48.5,48.59,46.68,47.27,27402
2007-09-10,47.05,47.05,46.21,46.66,6568
2007-09-11,47.36,47.75,47.15,47.57,6088
2007-09-12,47.0,47.28,46.39,47.19,4441
2007-09-13,46.69,47.63,46.45,47.06,10830
2007-09-14,46.88,47.12,46.81,46.95,4078
2007-09-17,46.65,46.92,46.49,46.75,3305
2007-09-18,46.3,47.43,46.06,47.31,9741
2007-09-19,47.35,47.96,47.34,47.51,5836
2007-09-20,47.2,47.24,46.3,46.65,7202
2007-09-21,46.95,47.06,46.46,46.65,4272
2007-09-24,47.11,47.18,46.56,46.6,3229
2007-09-25,46.41,46.46,45.54,45.95,8418
2007-09-26,47.8,47.8,46.97,47.15,5516
2007-09-27,48.36,48.89,48.0,48.35,7661
2007-09-28,48.36,48.54,47.92,48.04,4790
2007-10-01,48.6,49.42,48.07,49.35,8499
2007-10-02,50.68,51.28,50.65,51.1,10431
2007-10-03,50.77,50.85,49.89,50.12,6374
2007-10-04,50.01,50.25,49.35,49.7,11766
2007-10-05,50.1,50.88,49.91,50.68,7754
2007-10-08,50.37,50.57,50.01,50.05,7139
2007-10-09,49.7,49.91,49.02,49.82,6229
2007-10-10,49.59,49.59,48.96,49.16,8219
2007-10-11,49.66,49.66,48.01,48.3,9164
2007-10-12,47.46,47.57,47.16,47.44,6646
2007-10-15,47.61,47.61,46.64,46.96,5979
2007-10-16,46.39,46.6,45.97,46.03,6304
2007-10-17,46.44,46.99,46.22,46.62,8389
2007-10-18,47.0,47.0,46.32,46.62,5282
2007-10-19,46.2,46.2,45.01,45.08,8206
2007-10-22,45.41,46.41,45.41,46.18,9020
2007-10-23,46.0,46.38,45.68,45.97,7903
2007-10-24,45.62,45.65,44.57,45.34,9966
2007-10-25,45.75,49.2,45.65,48.0,36643
